row_v_px,bias_mm,build_sample_count,supported,in_high_precision_work_region,smooth_window,aggregate
212,,7,False,False,1,median
213,,7,False,False,1,median
214,,7,False,False,1,median
215,,7,False,False,1,median
216,,7,False,False,1,median
217,,7,False,False,1,median
218,,7,False,False,1,median
219,,7,False,False,1,median
220,,7,False,False,1,median
221,,7,False,False,1,median
222,,7,False,False,1,median
223,,7,False,False,1,median
224,,7,False,False,1,median
225,,7,False,False,1,median
226,,7,False,False,1,median
227,,7,False,False,1,median
228,,8,False,False,1,median
229,,7,False,False,1,median
230,,7,False,False,1,median
231,,7,False,False,1,median
232,,7,False,False,1,median
233,,7,False,False,1,median
234,,7,False,False,1,median
235,,7,False,False,1,median
236,,7,False,False,1,median
237,,7,False,False,1,median
238,,7,False,False,1,median
239,,7,False,False,1,median
240,,7,False,False,1,median
241,,7,False,False,1,median
242,,8,False,False,1,median
243,,8,False,False,1,median
244,,8,False,False,1,median
245,,8,False,False,1,median
246,,8,False,False,1,median
247,,8,False,False,1,median
248,,8,False,False,1,median
249,,8,False,False,1,median
250,,8,False,False,1,median
251,,8,False,False,1,median
252,,8,False,False,1,median
253,,8,False,False,1,median
254,,8,False,False,1,median
255,,8,False,False,1,median
256,,8,False,False,1,median
257,,8,False,False,1,median
258,,8,False,False,1,median
259,,8,False,False,1,median
260,,8,False,False,1,median
261,,8,False,False,1,median
262,,8,False,False,1,median
263,,8,False,False,1,median
264,,8,False,False,1,median
265,,8,False,False,1,median
266,,8,False,False,1,median
267,,8,False,False,1,median
268,,8,False,False,1,median
269,,8,False,False,1,median
270,,8,False,False,1,median
271,,8,False,False,1,median
272,,8,False,False,1,median
273,,8,False,False,1,median
274,,8,False,False,1,median
275,,8,False,False,1,median
276,,8,False,False,1,median
277,,8,False,False,1,median
278,,8,False,False,1,median
279,,8,False,False,1,median
280,,8,False,False,1,median
281,,8,False,False,1,median
282,,8,False,False,1,median
283,,8,False,False,1,median
284,,8,False,False,1,median
285,,8,False,False,1,median
286,,8,False,False,1,median
287,,8,False,False,1,median
288,,8,False,False,1,median
289,,8,False,False,1,median
290,,8,False,False,1,median
291,,8,False,False,1,median
292,,8,False,False,1,median
293,,8,False,False,1,median
294,,8,False,False,1,median
295,,8,False,False,1,median
296,,8,False,False,1,median
297,,8,False,False,1,median
298,,8,False,False,1,median
299,,8,False,False,1,median
300,0.093769461,8,True,True,1,median
301,0.084925056,8,True,True,1,median
302,0.083092520,8,True,True,1,median
303,0.090973018,8,True,True,1,median
304,0.097399774,8,True,True,1,median
305,0.099719793,8,True,True,1,median
306,0.098630942,8,True,True,1,median
307,0.088635618,8,True,True,1,median
308,0.086453481,8,True,True,1,median
309,0.062578443,8,True,True,1,median
310,0.053465560,8,True,True,1,median
311,0.058179899,8,True,True,1,median
312,0.059231362,8,True,True,1,median
313,0.060644998,8,True,True,1,median
314,0.053781424,8,True,True,1,median
315,0.053364957,8,True,True,1,median
316,0.049534594,8,True,True,1,median
317,0.050968892,8,True,True,1,median
318,0.054128226,8,True,True,1,median
319,0.055918775,8,True,True,1,median
320,0.053626318,8,True,True,1,median
321,0.050297042,8,True,True,1,median
322,0.051736130,8,True,True,1,median
323,0.059776341,8,True,True,1,median
324,0.064477286,8,True,True,1,median
325,0.056337999,8,True,True,1,median
326,0.048700336,8,True,True,1,median
327,0.048276739,8,True,True,1,median
328,0.051814392,8,True,True,1,median
329,0.051524018,8,True,True,1,median
330,0.045623149,8,True,True,1,median
331,0.039366054,8,True,True,1,median
332,0.037407756,8,True,True,1,median
333,0.041960405,8,True,True,1,median
334,0.046429927,8,True,True,1,median
335,0.048720136,8,True,True,1,median
336,0.038738949,8,True,True,1,median
337,0.025178697,8,True,True,1,median
338,0.015420331,8,True,True,1,median
339,0.011012845,8,True,True,1,median
340,0.009364506,8,True,True,1,median
341,0.010833164,8,True,True,1,median
342,0.016144073,8,True,True,1,median
343,0.003612667,8,True,True,1,median
344,-0.001070367,8,True,True,1,median
345,-0.006683872,8,True,True,1,median
346,-0.017245208,8,True,True,1,median
347,-0.023820255,8,True,True,1,median
348,-0.020100311,7,True,True,1,median
349,-0.013199373,7,True,True,1,median
350,-0.003167714,7,True,True,1,median
351,0.001234187,7,True,True,1,median
352,-0.007853911,7,True,True,1,median
353,-0.008020650,7,True,True,1,median
354,-0.001666267,7,True,True,1,median
355,-0.013531144,7,True,True,1,median
356,-0.026471713,7,True,True,1,median
357,-0.024003345,7,True,True,1,median
358,-0.013049810,7,True,True,1,median
359,0.001489635,7,True,True,1,median
360,0.012827732,7,True,True,1,median
361,0.014580738,7,True,True,1,median
362,0.002862517,7,True,True,1,median
363,-0.004071216,7,True,True,1,median
364,-0.006216548,7,True,True,1,median
365,0.001242152,7,True,True,1,median
366,-0.008766445,7,True,True,1,median
367,-0.019002031,7,True,True,1,median
368,-0.025371974,7,True,True,1,median
369,-0.027377787,7,True,True,1,median
370,-0.021069960,7,True,True,1,median
371,-0.015382162,7,True,True,1,median
372,-0.015543183,7,True,True,1,median
373,-0.022390748,7,True,True,1,median
374,-0.035096022,7,True,True,1,median
375,-0.044728391,7,True,True,1,median
376,-0.051048515,7,True,True,1,median
377,-0.035869500,7,True,True,1,median
378,-0.022251731,7,True,True,1,median
379,-0.023368358,7,True,True,1,median
380,-0.026527138,7,True,True,1,median
381,-0.012992367,7,True,True,1,median
382,-0.003430079,7,True,True,1,median
383,-0.008754752,7,True,True,1,median
384,-0.024255759,7,True,True,1,median
385,-0.043003530,7,True,True,1,median
386,-0.054164398,7,True,True,1,median
387,-0.044130016,8,True,True,1,median
388,-0.027453446,9,True,True,1,median
389,-0.019851208,8,True,True,1,median
390,0.009597384,9,True,True,1,median
391,-0.001703398,8,True,True,1,median
392,-0.001878512,8,True,True,1,median
393,-0.002117544,8,True,True,1,median
394,-0.006809718,8,True,True,1,median
395,-0.009255442,8,True,True,1,median
396,-0.011790835,8,True,True,1,median
397,-0.015757963,8,True,True,1,median
398,-0.021287072,8,True,True,1,median
399,-0.027888364,8,True,True,1,median
400,-0.047700365,9,True,True,1,median
401,-0.050284630,9,True,True,1,median
402,-0.049332893,8,True,True,1,median
403,-0.047616091,8,True,True,1,median
404,-0.045931447,8,True,True,1,median
405,-0.043370549,8,True,True,1,median
406,-0.033549680,8,True,True,1,median
407,-0.019125448,8,True,True,1,median
408,-0.011465893,8,True,True,1,median
409,-0.023981560,8,True,True,1,median
410,-0.021907006,8,True,True,1,median
411,-0.016311205,8,True,True,1,median
412,-0.017553015,8,True,True,1,median
413,-0.029691763,8,True,True,1,median
414,-0.039243576,8,True,True,1,median
415,-0.033152901,8,True,True,1,median
416,-0.019288221,8,True,True,1,median
417,-0.024399483,8,True,True,1,median
418,-0.055246322,8,True,True,1,median
419,-0.045663238,8,True,True,1,median
420,-0.085936442,7,True,True,1,median
421,-0.091272326,7,True,True,1,median
422,-0.080258230,7,True,True,1,median
423,-0.065925646,7,True,True,1,median
424,-0.056381148,7,True,True,1,median
425,-0.056006058,7,True,True,1,median
426,-0.062490431,7,True,True,1,median
427,-0.068018522,7,True,True,1,median
428,-0.066886718,7,True,True,1,median
429,-0.058894476,7,True,True,1,median
430,-0.053692859,7,True,True,1,median
431,-0.059655763,7,True,True,1,median
432,-0.070115941,7,True,True,1,median
433,-0.060197588,7,True,True,1,median
434,-0.043565507,7,True,True,1,median
435,-0.034659536,7,True,True,1,median
436,-0.030621721,7,True,True,1,median
437,-0.030512483,6,True,True,1,median
438,-0.034916083,7,True,True,1,median
439,-0.045853250,6,True,True,1,median
440,-0.060368869,6,True,True,1,median
441,-0.078395669,6,True,True,1,median
442,-0.090570651,6,True,True,1,median
443,-0.090503224,6,True,True,1,median
444,-0.085462723,6,True,True,1,median
445,-0.079978307,6,True,True,1,median
446,-0.073135594,6,True,True,1,median
447,-0.062888148,6,True,True,1,median
448,-0.051379851,6,True,True,1,median
449,-0.058128295,5,True,True,1,median
450,-0.057190950,5,True,True,1,median
451,-0.052611915,5,True,True,1,median
452,-0.053942950,5,True,True,1,median
453,-0.049712992,5,True,True,1,median
454,-0.033093996,5,True,True,1,median
455,-0.029158549,6,True,True,1,median
456,-0.041190426,5,True,True,1,median
457,-0.053063250,5,True,True,1,median
458,-0.061641174,5,True,True,1,median
459,-0.071309609,5,True,True,1,median
460,-0.083052261,5,True,True,1,median
461,-0.081412519,5,True,True,1,median
462,-0.070878839,5,True,True,1,median
463,-0.069317214,5,True,True,1,median
464,-0.077165776,5,True,True,1,median
465,-0.073247591,5,True,True,1,median
466,-0.057646331,5,True,True,1,median
467,-0.037538981,5,True,True,1,median
468,-0.019080841,5,True,True,1,median
469,-0.007341802,5,True,True,1,median
470,-0.016089563,5,True,True,1,median
471,-0.063169063,5,True,True,1,median
472,-0.091488948,5,True,True,1,median
473,,4,False,True,1,median
474,-0.104035699,5,True,True,1,median
475,,4,False,True,1,median
476,,4,False,True,1,median
477,,4,False,True,1,median
478,,4,False,True,1,median
479,,4,False,True,1,median
480,,4,False,True,1,median
481,,4,False,True,1,median
482,,4,False,True,1,median
483,,4,False,True,1,median
484,,4,False,True,1,median
485,,4,False,True,1,median
486,,4,False,True,1,median
487,,4,False,True,1,median
488,,4,False,True,1,median
489,,4,False,True,1,median
490,,4,False,True,1,median
491,,4,False,True,1,median
492,,4,False,True,1,median
493,,4,False,True,1,median
494,,4,False,True,1,median
495,,4,False,True,1,median
496,,4,False,True,1,median
497,,4,False,True,1,median
498,,4,False,True,1,median
499,,4,False,True,1,median
500,,4,False,True,1,median
501,,4,False,True,1,median
502,,4,False,True,1,median
503,,4,False,True,1,median
504,,4,False,True,1,median
505,,4,False,True,1,median
506,-0.133442981,5,True,True,1,median
507,-0.156597174,5,True,True,1,median
508,-0.137697567,5,True,True,1,median
509,-0.134287267,5,True,True,1,median
510,-0.125440655,5,True,True,1,median
511,-0.121549320,5,True,True,1,median
512,-0.124998847,5,True,True,1,median
513,-0.120021843,5,True,True,1,median
514,-0.113052156,5,True,True,1,median
515,-0.110758610,5,True,True,1,median
516,-0.105853264,5,True,True,1,median
517,-0.120146117,5,True,True,1,median
518,-0.133611286,5,True,True,1,median
519,-0.135948357,5,True,True,1,median
520,-0.133279112,5,True,True,1,median
521,-0.133847065,5,True,True,1,median
522,-0.136312518,5,True,True,1,median
523,-0.131401131,5,True,True,1,median
524,-0.127460638,6,True,True,1,median
525,-0.129648025,6,True,True,1,median
526,-0.126238546,6,True,True,1,median
527,-0.131170129,6,True,True,1,median
528,-0.144097553,6,True,True,1,median
529,-0.150432007,6,True,True,1,median
530,-0.155708496,6,True,True,1,median
531,-0.159660500,6,True,True,1,median
532,-0.158207667,6,True,True,1,median
533,-0.151021152,6,True,True,1,median
534,-0.142336609,6,True,True,1,median
535,-0.138442534,6,True,True,1,median
536,-0.139621075,6,True,True,1,median
537,-0.137647376,6,True,True,1,median
538,-0.136554339,6,True,True,1,median
539,-0.145653043,6,True,True,1,median
540,-0.128210176,7,True,True,1,median
541,-0.157225795,6,True,True,1,median
542,-0.154551615,6,True,True,1,median
543,-0.143027916,6,True,True,1,median
544,-0.133479115,6,True,True,1,median
545,-0.132108013,8,True,True,1,median
546,-0.136513263,6,True,True,1,median
547,-0.140937996,6,True,True,1,median
548,-0.148984707,6,True,True,1,median
549,-0.150777901,6,True,True,1,median
550,-0.154648380,7,True,True,1,median
551,-0.155105736,6,True,True,1,median
552,-0.146352727,6,True,True,1,median
553,-0.149914736,6,True,True,1,median
554,-0.148063269,6,True,True,1,median
555,-0.136906823,6,True,True,1,median
556,-0.123639865,6,True,True,1,median
557,-0.133516083,6,True,True,1,median
558,-0.145983231,6,True,True,1,median
559,-0.152364613,6,True,True,1,median
560,-0.149641300,6,True,True,1,median
561,-0.144554790,6,True,True,1,median
562,-0.141819725,6,True,True,1,median
563,-0.153995310,6,True,True,1,median
564,-0.159746706,6,True,True,1,median
565,-0.157975996,6,True,True,1,median
566,-0.148652114,6,True,True,1,median
567,-0.152349033,6,True,True,1,median
568,-0.150791767,6,True,True,1,median
569,-0.157685372,6,True,True,1,median
570,-0.165984910,6,True,True,1,median
571,-0.172220444,6,True,True,1,median
572,-0.180530658,6,True,True,1,median
573,-0.173713033,6,True,True,1,median
574,-0.177551351,6,True,True,1,median
575,-0.177387679,6,True,True,1,median
576,-0.172104549,6,True,True,1,median
577,-0.181372546,6,True,True,1,median
578,-0.179145635,6,True,True,1,median
579,-0.170454584,5,True,True,1,median
580,-0.156288403,5,True,True,1,median
581,-0.141625085,5,True,True,1,median
582,-0.131568947,5,True,True,1,median
583,-0.128386973,5,True,True,1,median
584,-0.131574760,5,True,True,1,median
585,-0.132472599,5,True,True,1,median
586,-0.132019656,5,True,True,1,median
587,-0.136044620,5,True,True,1,median
588,-0.136356342,5,True,True,1,median
589,-0.128460631,5,True,True,1,median
590,-0.119090655,5,True,True,1,median
591,-0.128784853,5,True,True,1,median
592,-0.150342100,5,True,True,1,median
593,-0.163448733,5,True,True,1,median
594,-0.160912828,5,True,True,1,median
595,-0.152408456,5,True,True,1,median
596,-0.145452203,5,True,True,1,median
597,-0.142197132,5,True,True,1,median
598,-0.140576372,5,True,True,1,median
599,-0.135761902,5,True,True,1,median
600,-0.129539273,5,True,True,1,median
601,-0.129191464,5,True,True,1,median
602,-0.142138604,5,True,True,1,median
603,-0.165851278,5,True,True,1,median
604,-0.178900096,5,True,True,1,median
605,-0.179495759,5,True,True,1,median
606,-0.178249706,5,True,True,1,median
607,-0.184153194,5,True,True,1,median
608,-0.192448540,5,True,True,1,median
609,-0.191045373,5,True,True,1,median
610,-0.177671600,5,True,True,1,median
611,-0.156767245,5,True,True,1,median
612,-0.133481614,5,True,True,1,median
613,-0.149826558,5,True,True,1,median
614,-0.147290251,5,True,True,1,median
615,-0.157023513,5,True,True,1,median
616,-0.150500120,5,True,True,1,median
617,-0.161374910,5,True,True,1,median
618,-0.161795002,6,True,True,1,median
619,-0.176478682,5,True,True,1,median
620,-0.174685426,5,True,True,1,median
621,-0.170439609,5,True,True,1,median
622,-0.166027864,5,True,True,1,median
623,-0.158905003,5,True,True,1,median
624,-0.151317847,6,True,True,1,median
625,-0.160062520,6,True,True,1,median
626,-0.164650186,6,True,True,1,median
627,-0.161357150,6,True,True,1,median
628,-0.172481464,6,True,True,1,median
629,-0.165255761,6,True,True,1,median
630,-0.154497084,6,True,True,1,median
631,-0.161630439,6,True,True,1,median
632,-0.164637954,6,True,True,1,median
633,-0.169725222,6,True,True,1,median
634,-0.167162427,6,True,True,1,median
635,-0.165566179,6,True,True,1,median
636,-0.162771667,6,True,True,1,median
637,-0.162165267,6,True,True,1,median
638,-0.165057206,6,True,True,1,median
639,-0.172872737,6,True,True,1,median
640,-0.172857014,6,True,True,1,median
641,-0.181347897,6,True,True,1,median
642,-0.178542975,6,True,True,1,median
643,-0.178671352,6,True,True,1,median
644,-0.178073937,6,True,True,1,median
645,-0.158696963,6,True,True,1,median
646,-0.155275676,6,True,True,1,median
647,-0.169404190,6,True,True,1,median
648,-0.178339727,6,True,True,1,median
649,-0.171003356,6,True,True,1,median
650,-0.164536779,6,True,True,1,median
651,-0.157084827,6,True,True,1,median
652,-0.122171111,7,True,True,1,median
653,-0.125417733,7,True,True,1,median
654,-0.132646441,7,True,True,1,median
655,-0.141223869,7,True,True,1,median
656,-0.154125425,7,True,True,1,median
657,-0.171183074,7,True,True,1,median
658,-0.186406041,7,True,True,1,median
659,-0.187400635,7,True,True,1,median
660,-0.169494000,7,True,True,1,median
661,-0.143749246,7,True,True,1,median
662,-0.121100607,7,True,True,1,median
663,-0.111371972,7,True,True,1,median
664,-0.116983894,7,True,True,1,median
665,-0.130874391,7,True,True,1,median
666,-0.140741830,7,True,True,1,median
667,-0.137553228,7,True,True,1,median
668,-0.123313816,7,True,True,1,median
669,-0.130367064,7,True,True,1,median
670,-0.122974738,7,True,True,1,median
671,-0.122002773,7,True,True,1,median
672,-0.123220559,7,True,True,1,median
673,-0.122579478,7,True,True,1,median
674,-0.122189580,7,True,True,1,median
675,-0.127145267,7,True,True,1,median
676,-0.135163238,7,True,True,1,median
677,-0.170398888,8,True,True,1,median
678,-0.167187836,8,True,True,1,median
679,-0.146299255,8,True,True,1,median
680,-0.139247241,8,True,True,1,median
681,-0.149001106,8,True,True,1,median
682,-0.161735994,8,True,True,1,median
683,-0.167437850,8,True,True,1,median
684,-0.162056483,8,True,True,1,median
685,-0.154621836,8,True,True,1,median
686,-0.161047060,8,True,True,1,median
687,-0.167572832,8,True,True,1,median
688,-0.168943884,8,True,True,1,median
689,-0.172087282,8,True,True,1,median
690,-0.165618645,8,True,True,1,median
691,-0.169600003,8,True,True,1,median
692,-0.176132354,8,True,True,1,median
693,-0.166688840,8,True,True,1,median
694,-0.162915853,8,True,True,1,median
695,-0.166322467,8,True,True,1,median
696,-0.140315601,8,True,True,1,median
697,-0.167003673,7,True,True,1,median
698,-0.159472755,7,True,True,1,median
699,-0.156802257,7,True,True,1,median
700,-0.163860304,7,True,True,1,median
701,-0.152645769,7,True,True,1,median
702,-0.140030343,7,True,True,1,median
703,-0.137490765,7,True,True,1,median
704,-0.144983994,7,True,True,1,median
705,-0.159190718,7,True,True,1,median
706,-0.168468120,7,True,True,1,median
707,-0.167455492,7,True,True,1,median
708,-0.161773846,7,True,True,1,median
709,-0.156500987,7,True,True,1,median
710,-0.157640296,7,True,True,1,median
711,-0.164596159,7,True,True,1,median
712,-0.171888324,7,True,True,1,median
713,-0.172198937,7,True,True,1,median
714,-0.167042899,7,True,True,1,median
715,-0.159151966,7,True,True,1,median
716,-0.149163994,7,True,True,1,median
717,-0.139615088,7,True,True,1,median
718,-0.152017093,8,True,True,1,median
719,-0.157637767,7,True,True,1,median
720,-0.162986442,7,True,True,1,median
721,-0.168529609,7,True,True,1,median
722,-0.188149970,6,True,True,1,median
723,-0.182699193,7,True,True,1,median
724,-0.182112572,6,True,True,1,median
725,-0.180359059,6,True,True,1,median
726,-0.172367575,6,True,True,1,median
727,-0.160021894,6,True,True,1,median
728,-0.158019117,6,True,True,1,median
729,-0.165117115,6,True,True,1,median
730,-0.175193716,6,True,True,1,median
731,-0.179851466,6,True,True,1,median
732,-0.185996539,6,True,True,1,median
733,-0.187565256,6,True,True,1,median
734,-0.186244358,6,True,True,1,median
735,-0.181939459,6,True,True,1,median
736,-0.160611964,5,True,True,1,median
737,-0.160849359,5,True,True,1,median
738,-0.159068013,5,True,True,1,median
739,-0.156636307,5,True,True,1,median
740,-0.157455683,5,True,True,1,median
741,-0.160920816,5,True,True,1,median
