segment_id,segment_role,u_start,u_end,width_px,point_count,rmse_px,mae_px,p95_abs_error_px,max_abs_error_px
S001,boundary,995,1093,99,99,0.5119504671955114,0.41179464795191556,0.9814500405915394,1.1531755394671563
S002,interior,1208,1313,106,106,0.08724424101008935,0.06565835871089656,0.18663105946274072,0.23754011689447907
S003,interior,1427,1532,106,106,0.20764673237750356,0.19196981417990774,0.31555989009939367,0.4037306156617433
S004,interior,1645,1750,106,106,0.20610246041812696,0.16386326508907004,0.3835652644738161,0.49682889704035915
S005,interior,1864,1968,105,105,0.13841160933745486,0.11308336678744993,0.25904629179235594,0.3210438009623431
S006,boundary,2082,2140,59,59,0.1485700026830156,0.11835857190195476,0.2872193909878658,0.3647190555848283
