row_type,scope,group_id,valid_point_count,used_point_count,uniform_subsample_cap,valid_fraction,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,a_frame_mm,k_frame_mm_per_normalized_stripe,remaining_rmse_after_a_k_mm,pnp_rmse_px,board_center_x_mm,board_center_y_mm,board_center_z_mm,plane_nx,plane_ny,plane_nz,u_mean_px,u_std_px,u_range_px,v_min_px,v_max_px,lambda_truth_min_mm,lambda_truth_max_mm,quality_warnings,group_count,pair_count,bias_mm_median,rmse_mm_median,a_frame_std_mm,a_frame_range_mm,k_frame_std_mm_per_normalized_stripe,k_frame_range_mm_per_normalized_stripe,pairwise_a_delta_std_mm,pairwise_a_delta_range_mm,pairwise_k_delta_std_mm_per_normalized_stripe,pairwise_k_delta_range_mm_per_normalized_stripe,pairwise_e_delta_rmse_median_mm,pairwise_e_delta_rmse_p95_mm,pairwise_e_delta_rmse_max_mm,pairwise_e_delta_p95_abs_median_mm,pairwise_e_delta_p95_abs_p95_mm,pairwise_u_delta_rmse_median_px,pairwise_u_delta_p95_abs_median_px,pairwise_truth_delta_rmse_median_mm
group,fixed_pose_groups,001,900,900,900,1.0,0.29074223320204523,0.29074223320204523,0.29892133517976677,0.4175564513445863,0.5141354985287307,0.2907422332020453,0.008763313689361462,0.06926675834421832,0.11955530778980093,-84.40146401854506,102.0279225070368,707.6937559282052,0.0454672044107618,-0.009003606696415603,-0.9989252566581378,2112.9957290020575,7.759973484988538,26.940898306368126,505.0234683203405,2562.00426928561,711.6734227645525,713.5923271659818,image_too_dark;dynamic_range_low;dynamic_range_low,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,002,900,900,900,1.0,0.2818004546139865,0.2818004546139865,0.2899226267538608,0.4022477558705531,0.5073797475964739,0.2818004546139866,0.016792465612690842,0.0674708709147727,0.11784252696020821,-84.40021793160928,102.03008723693628,707.7022068775206,0.04540350082591437,-0.008927203051787356,-0.998928839887218,2113.043972456168,7.758447707273981,26.8960764759654,505.02568839947565,2562.0034192684257,711.676340855725,713.5795838174196,image_too_dark;dynamic_range_low;dynamic_range_low,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,003,900,900,900,1.0,0.26580964822798037,0.26580964822798037,0.27478127012923703,0.38389492772130324,0.49376855434729805,0.26580964822798037,0.028096186394123857,0.06776603387075761,0.11712665753064895,-84.40140117195739,102.03017095368195,707.6978555777118,0.045522751243683296,-0.008812469005855486,-0.998924431330632,2112.977076122725,7.726812002535819,26.895510404470315,505.02263672487555,2562.002435087859,711.682613156746,713.5631622410941,image_too_dark;dynamic_range_low;dynamic_range_low,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,004,900,900,900,1.0,0.27315352446145336,0.27315352446145336,0.2813956215336013,0.39442987005937763,0.49948123927333654,0.27315352446145347,0.012420072269924937,0.06723152459471199,0.116376734097029,-84.40124107770093,102.0289289560648,707.6949276251036,0.04549141300828153,-0.00895501477128653,-0.9989245912745146,2112.9453784712396,7.718048890863208,26.891009282202504,505.02130937897266,2562.0017319972367,711.6770002177757,713.5860032010586,image_too_dark;dynamic_range_low;dynamic_range_low,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,005,900,900,900,1.0,0.26431959292203816,0.26431959292203816,0.2728318454417467,0.3841928759238158,0.5070692065576168,0.26431959292203827,0.010976585114156097,0.067325545774792,0.11466240212378717,-84.40296161461069,102.02807957618613,707.7003781069444,0.04537915850747163,-0.008996019861621882,-0.9989293286313117,2112.9365676930465,7.716081398921555,26.878696718260016,505.02044057190136,2562.0011266699107,711.6727544970322,713.5896103784384,image_too_dark;dynamic_range_low;dynamic_range_low,,,,,,,,,,,,,,,,,,,,
aggregate,five_groups_and_ten_pairs,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0.27315352446145336,0.2813956215336013,0.01113407997356723,0.026422640280007015,0.00767502134053496,0.019332872704762395,0.010364672615450876,0.033766516513480116,0.011441240602340025,0.03645247398473016,0.021395889712210715,0.03191747800884855,0.0326710891393886,0.03828759255010861,0.049770735384261446,0.06274156171436385,0.11349549635474417,0.005875609395982053
