row_type,bin_scale,phi_bin_deg,a_bin_mm,phi_bin_index,a_bin_index,phi_start_deg,phi_end_deg,a_start_mm,a_end_mm,phi_center_deg,a_center_mm,point_count,unique_frame_count,frame027_point_count,e_lambda_mean_mm,e_lambda_std_mm,e_lambda_rmse_mm,e_lambda_p95_abs_mm,delta_alpha_mean_deg,delta_alpha_std_deg,delta_alpha_rmse_deg,delta_alpha_p95_abs_deg,e_surface_mean_mm,e_surface_std_mm,e_surface_rmse_mm,cross_frame_variance_mm2,within_frame_variance_mm2,cross_frame_delta_rmse_mm
intrinsic_bin,fine,10.0,10.0,7,0,-110.0,-100.0,0.0,10.0,-105.0,5.0,534,12,0,-0.023324999285809098,0.051316176049235246,0.05632472058607687,0.10530498880455068,-0.0008537736024208727,0.002004598644823629,0.002177112759582171,0.003987133701525636,0.006935316028075753,0.015638064676362473,0.017093557797527293,0.0019527265264167855,0.0012002377256337428,0.042308383517714945
intrinsic_bin,fine,10.0,10.0,8,0,-100.0,-90.0,0.0,10.0,-95.0,5.0,7754,28,51,0.0028414447034540344,0.07465766614425057,0.07470690796277694,0.11283805071852265,0.00010137427333838533,0.0029297963955529993,0.0029313608885568193,0.004622626420268714,-0.0008721909765501002,0.022739933434061457,0.02275518843988038,0.015263305137731734,0.001257235343213919,0.12131853566993982
intrinsic_bin,fine,10.0,10.0,9,0,-90.0,-80.0,0.0,10.0,-85.0,5.0,12527,30,531,0.026216345813888275,0.10984315954189854,0.11292410426845359,0.17545642891584473,0.0010325391621775286,0.0043762636508792516,0.004496253087964678,0.007142351650651329,-0.008045555039446184,0.03371944118356355,0.0346646924927615,0.007205958634973565,0.0035137332445721375,0.08346112875948766
intrinsic_bin,fine,10.0,10.0,10,0,-80.0,-70.0,0.0,10.0,-75.0,5.0,5848,27,308,-0.017185112303996015,0.09696738381163421,0.09847026842587568,0.1854995213048766,-0.0006549497185812151,0.003889640057100616,0.003944067927674002,0.007470877954851566,0.00509090878674283,0.029943787345143157,0.030370947141539293,0.004597935339539989,0.0047302732302825995,0.06654052478058424
intrinsic_bin,medium,20.0,20.0,3,0,-120.0,-100.0,0.0,20.0,-110.0,10.0,534,12,0,-0.023324999285809098,0.051316176049235246,0.05632472058607687,0.10530498880455068,-0.0008537736024208727,0.002004598644823629,0.002177112759582171,0.003987133701525636,0.006935316028075753,0.015638064676362473,0.017093557797527293,0.0019527265264167855,0.0012002377256337428,0.042308383517714945
intrinsic_bin,medium,20.0,20.0,4,0,-100.0,-80.0,0.0,20.0,-90.0,10.0,20281,30,582,0.017279459900456633,0.09855038853454627,0.10005138646756007,0.1491629705150217,0.0006765284847918614,0.003913488952553294,0.003971439463556944,0.005983136627165209,-0.005302975041236223,0.03020119331652866,0.030662495793839614,0.007542624186394451,0.0033605093112898843,0.08538854361201684
intrinsic_bin,medium,20.0,20.0,5,0,-80.0,-60.0,0.0,20.0,-70.0,10.0,5848,27,308,-0.017185112303996015,0.09696738381163421,0.09847026842587568,0.1854995213048766,-0.0006549497185812151,0.003889640057100616,0.003944067927674002,0.007470877954851566,0.00509090878674283,0.029943787345143157,0.030370947141539293,0.004597935339539989,0.0047302732302825995,0.06654052478058424
intrinsic_bin,coarse,30.0,40.0,2,0,-120.0,-90.0,0.0,40.0,-105.0,20.0,8288,28,51,0.0011555275834894457,0.07365630351968379,0.07366092384078965,0.11203401063841051,3.983361628536364e-05,0.00288860560258209,0.0028887059875299173,0.0045627478205595646,-0.0003691493814161474,0.022431828922842106,0.022433513041395202,0.01526912169290048,0.0013251932847009476,0.12134164956087434
intrinsic_bin,coarse,30.0,40.0,3,0,-90.0,-60.0,0.0,40.0,-75.0,20.0,18375,30,839,0.01240346270785359,0.10782492369461115,0.10853307024937305,0.1816532717396171,0.0004954814764808139,0.004299827225005898,0.004328164724313978,0.0073341649833650975,-0.0038647637221371585,0.03313444870334338,0.03335818250886542,0.004316600673077748,0.0059099545031605204,0.06459654777134113
