row_type,scope,metric,unit,point_count,value_mean,value_std,value_rmse,value_p95_abs,value_min,value_max,frame_count,frame_id,is_frame027,alpha_truth_mean_deg,alpha_truth_std_deg,delta_alpha_mean_deg,delta_alpha_std_deg,delta_alpha_p95_abs_deg,e_surface_mean_mm,e_surface_rmse_mm,e_lambda_bias_mm,e_lambda_rmse_mm,e_lambda_p95_abs_mm,predictor,outcome,spearman_rho,spearman_p_value,binned_explained_fraction,simple_linear_r2,bootstrap_reps,bootstrap_seed,bootstrap_rho_mean,bootstrap_rho_ci_low,bootstrap_rho_ci_high,bootstrap_ev_mean,bootstrap_ev_ci_low,bootstrap_ev_ci_high,bootstrap_r2_mean,bootstrap_r2_ci_low,bootstrap_r2_ci_high,count,phi_span_deg,design_condition_number,harmonic_identifiable,r2,amplitude_1,amplitude_2,phase_1_deg,phase_2_deg,value_ci_low,value_ci_high,verdict,geometry_ok,max_pnp_rmse_px,max_board_z_rmse_mm,sensor_overlap_median_delta_rmse_mm,best_intrinsic_scale,best_intrinsic_median_delta_rmse_mm,intrinsic_improvement_vs_sensor,stable_azimuth_delta_alpha,stable_axial_delta_alpha,delta_alpha_phi_rho,delta_alpha_a_rho,harmonic_phi_identifiable,harmonic_phi_span_deg,harmonic_phi_condition_number,shape_hypothesis,frame_sampling_explains_effect,next_step
global_metric,all_points,alpha_truth_deg,deg,26663,88.87447429977021,0.003921635418703358,88.87447438628912,88.87942570146193,88.85366226202316,88.89795684068677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_metric,all_points,delta_alpha_deg,deg,26663,0.000353846646742979,0.003921635418703358,0.003937493492872908,0.006448459238630732,-0.020458191100303225,0.02383638756330697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_metric,all_points,e_surface_mm,mm,26663,-0.0027781773794189448,0.030259278703878293,0.030385981580502285,0.04919589353498214,-0.19020212602674033,0.14368195331121036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_metric,all_points,e_lambda_mm,mm,26663,0.008907123724591015,0.09861803711242219,0.09901762136055133,0.1613457129169318,-0.44290653471705355,0.6275241126674018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_metric,frame_balanced,alpha_truth_frame_mean,deg,,88.874476557103,0.0026406846031283297,,,88.87033822643937,88.8861422121994,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_metric,frame_balanced,delta_alpha_frame_mean,deg,,0.00035610397952909545,0.002640684603126727,,,-0.003782226684086175,0.01202175907593266,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_summary,frame,,,822,,,,,,,,001,False,88.87455744762715,0.003168586403390501,0.0004369945036901377,0.003168586403390501,0.005612447655931873,-0.004033607308204951,0.023875483378543227,0.014381148136257476,0.07687830320110613,0.1378491128957762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_summary,frame,,,890,,,,,,,,002,False,88.87590799046549,0.0018530849759353996,0.0017875373420235781,0.0018530849759353994,0.003618896258628012,-0.013828407283044027,0.01988888081000862,0.04530581783363275,0.06523519074227296,0.09135883624990128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_summary,frame,,,900,,,,,,,,003,False,88.8766452250717,0.002513943473505336,0.0025247719482287797,0.0025139434735053355,0.005715281668237536,-0.019070487645213095,0.026614832660039292,0.061619534974514,0.08537311120689597,0.13326322693397968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_summary,frame,,,900,,,,,,,,004,False,88.87535875000613,0.005038830247792899,0.001238296882651058,0.005038830247792899,0.009901977877623123,-0.009549906530306386,0.03857081232482757,0.029837974835339513,0.12070602844202004,0.23303750909452098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_summary,frame,,,900,,,,,,,,005,False,88.87585623436729,0.0022011108358005634,0.0017357812438189848,0.002201110835800564,0.005617741833063402,-0.012530809022929882,0.02020947382954746,0.03923327173369418,0.06329194073461111,0.1277541344245378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_summary,frame,,,900,,,,,,,,006,False,88.87389723846488,0.0023597649839169213,-0.00022321465857702251,0.002359764983916921,0.0043621199162707566,0.001815635072554071,0.019296672897140512,-0.006225219388691888,0.06553434985518876,0.12159574974500628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_summary,frame,,,900,,,,,,,,007,False,88.87597182655173,0.002223833365753228,0.0018513734282603403,0.002223833365753228,0.005611829081595941,-0.01521552609089983,0.02381691256572422,0.05156375625692691,0.08073912530525672,0.1573715513079093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
