frame_id,dataset_role,source_dir,manifest_dataset_id,manifest_split_tags,chess_recorded_file,nolaser_recorded_file,laser_recorded_file,chess_resolved_path,nolaser_resolved_path,laser_resolved_path,path_resolution,sha256_verified,chess_manifest_sha256,nolaser_manifest_sha256,laser_manifest_sha256,chess_observed_sha256,nolaser_observed_sha256,laser_observed_sha256,pnp_rmse_px,laser_point_count,u_min,u_max,v_min,v_max,lambda_min,lambda_max,quality_warnings
001,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 001.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 001.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 001.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 001.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 001.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 001.tif,original_task2_provenance,true,0c8c5e12dfecb016900b0ac3125cedffb072ba5ddc23de6b1c04d388c20db6af,c4b6fa4ef6c94a0275ca377dfa2d35a436d27017df562cb5fde0eb139d7eacc8,6f6b4b7d5d1c25745866961b143b0db770ed79695865a87e625e77a358b871c7,0c8c5e12dfecb016900b0ac3125cedffb072ba5ddc23de6b1c04d388c20db6af,c4b6fa4ef6c94a0275ca377dfa2d35a436d27017df562cb5fde0eb139d7eacc8,6f6b4b7d5d1c25745866961b143b0db770ed79695865a87e625e77a358b871c7,,822,,,,,,,
002,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 002.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 002.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 002.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 002.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 002.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 002.tif,original_task2_provenance,true,ec152cb638b53fe08e1b0c09a8fe81f60907234c8f2af71fea0adac08497cb85,b99c4f747f6b83a27b17a823d6d8df04558d2cfa1a2624f0b8238e146d0012c8,0046ea076d6d8d6232cd42e59ae31050472c0e49edbde2a8760da1c8d21acab2,ec152cb638b53fe08e1b0c09a8fe81f60907234c8f2af71fea0adac08497cb85,b99c4f747f6b83a27b17a823d6d8df04558d2cfa1a2624f0b8238e146d0012c8,0046ea076d6d8d6232cd42e59ae31050472c0e49edbde2a8760da1c8d21acab2,,890,,,,,,,
003,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 003.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 003.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 003.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 003.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 003.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 003.tif,original_task2_provenance,true,becf62a5ea6f825e8e553d50a40b8034a69ec722ed0f9f5914394ed9e5868760,f8a1157c08f0097f575efa59c6669904f0269bce806f363f1af55739ec0aa47c,fb066a1b2ae6d9bc2a652ef36c8a51f3bf169ae43e6a5f67a8d356dd81e7eaa1,becf62a5ea6f825e8e553d50a40b8034a69ec722ed0f9f5914394ed9e5868760,f8a1157c08f0097f575efa59c6669904f0269bce806f363f1af55739ec0aa47c,fb066a1b2ae6d9bc2a652ef36c8a51f3bf169ae43e6a5f67a8d356dd81e7eaa1,,900,,,,,,,
004,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 004.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 004.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 004.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 004.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 004.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 004.tif,original_task2_provenance,true,bbc90d64d1f5581857c10e49d6e49df413db00798a987777c4ae93c68ed63236,1b45d943fe459bdbd9bb6b877b6e8a18b79c1def6aaf9e0d87819848b9fe444e,a4085596e6047ce914fc6e82165b65a6ef79f140c35943525eac281742e56899,bbc90d64d1f5581857c10e49d6e49df413db00798a987777c4ae93c68ed63236,1b45d943fe459bdbd9bb6b877b6e8a18b79c1def6aaf9e0d87819848b9fe444e,a4085596e6047ce914fc6e82165b65a6ef79f140c35943525eac281742e56899,,900,,,,,,,
005,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 005.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 005.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 005.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 005.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 005.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 005.tif,original_task2_provenance,true,53d491f654d069240bb45b7eea67bbafee91ce65f3f3ab9a11ed60f8a40fe5cf,21083e096d7bbfad985ffeeb101929dcadc6e9ef445e4c0b6e182a4a6d356e5d,d80b2d04bc1e619e2ad61a134d58a43beb6468c67314a4ca1bc21db5d6157cb0,53d491f654d069240bb45b7eea67bbafee91ce65f3f3ab9a11ed60f8a40fe5cf,21083e096d7bbfad985ffeeb101929dcadc6e9ef445e4c0b6e182a4a6d356e5d,d80b2d04bc1e619e2ad61a134d58a43beb6468c67314a4ca1bc21db5d6157cb0,,900,,,,,,,
006,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 006.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 006.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 006.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 006.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 006.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 006.tif,original_task2_provenance,true,8613c34e9c724bd16964eaf9281cee8e7b1aaa01133007288f50da720b7425ab,943801d2f10753d2975262946bb66d71cc76809a0caeb9664beab73d7bf9f9d6,ae80351cecb1c57914b7466efef8785a43ef86120a4444412016ae8833bd4aa3,8613c34e9c724bd16964eaf9281cee8e7b1aaa01133007288f50da720b7425ab,943801d2f10753d2975262946bb66d71cc76809a0caeb9664beab73d7bf9f9d6,ae80351cecb1c57914b7466efef8785a43ef86120a4444412016ae8833bd4aa3,,900,,,,,,,
007,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 007.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 007.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 007.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 007.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 007.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 007.tif,original_task2_provenance,true,ba931b2dd6abe520e689ffffdc40269920b4a0bc407a26c3d546ec18657e8487,d5f8eaba72977497a42ad8bc280792184984b31c5004277ddfd8b7e9ea45e335,1da8e797b80e83065f6433998fae2517562116de41c26c7d3b8e3d5fb285b169,ba931b2dd6abe520e689ffffdc40269920b4a0bc407a26c3d546ec18657e8487,d5f8eaba72977497a42ad8bc280792184984b31c5004277ddfd8b7e9ea45e335,1da8e797b80e83065f6433998fae2517562116de41c26c7d3b8e3d5fb285b169,,900,,,,,,,
008,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 008.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 008.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 008.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 008.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 008.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 008.tif,original_task2_provenance,true,c305b0d397c0f5e40cd283cd34dc652b7875c476c755f9890de899c9d714bda5,5bf8eda4b8f890c770d4eaf133c4c71419ebb1d4f8d507fb50b6925f06de0c55,9d1d6fb4cd3c711a584ace2742b2ba38ff2f24ac2514b59c6d6394736e9ea5b6,c305b0d397c0f5e40cd283cd34dc652b7875c476c755f9890de899c9d714bda5,5bf8eda4b8f890c770d4eaf133c4c71419ebb1d4f8d507fb50b6925f06de0c55,9d1d6fb4cd3c711a584ace2742b2ba38ff2f24ac2514b59c6d6394736e9ea5b6,,900,,,,,,,
009,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 009.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 009.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 009.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 009.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 009.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 009.tif,original_task2_provenance,true,43ee8f2b5f44828ec54d3ccfba7b2479f4c44fa862b5bd6403599efac273cfcb,8ce7ce53d189d548a9946d5286c9bfd141d02ae47d9e3d4f3884499355b21a0e,d0ad0a65b1e44e3a6388bd64ecd2aa0ba0592d56fd0c4c9f573ed313c421938e,43ee8f2b5f44828ec54d3ccfba7b2479f4c44fa862b5bd6403599efac273cfcb,8ce7ce53d189d548a9946d5286c9bfd141d02ae47d9e3d4f3884499355b21a0e,d0ad0a65b1e44e3a6388bd64ecd2aa0ba0592d56fd0c4c9f573ed313c421938e,,900,,,,,,,
010,fit,original_0811_triplet,original_0811,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 010.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 010.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 010.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\chess 010.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\nolaser 010.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\laser_plane\fit\laser 010.tif,original_task2_provenance,true,405c2731c56097d9ea09c4b35976611ec08b1147bbe62624ab2b1405d8efcfc3,f0100917b46d2a99b6b7d6bdf1f8319dfe10a6fd8091f09a2d89e8747392f518,3ef9230357f8b11513f38faa37f390b434d0d102701d33b1c02e0adf9771b485,405c2731c56097d9ea09c4b35976611ec08b1147bbe62624ab2b1405d8efcfc3,f0100917b46d2a99b6b7d6bdf1f8319dfe10a6fd8091f09a2d89e8747392f518,3ef9230357f8b11513f38faa37f390b434d0d102701d33b1c02e0adf9771b485,,900,,,,,,,
