split,bin_width_px,v_start,v_end,v_center,unique_frame_count,bootstrap_reps,bootstrap_seed,slope_p05,slope_p50,slope_p95,slope_interval_width,slope_relative_interval,resampling_unit
fit,30,1590,1620,1605,30,500,20260814,0.285513558036,0.292017102409,0.297557237768,0.012043679732,0.0412430629325,frame
fit,30,1620,1650,1635,30,500,20260814,0.286160756953,0.292198992268,0.297432913006,0.0112721560529,0.0385769846961,frame
fit,30,1650,1680,1665,30,500,20260814,0.286074279531,0.292137606311,0.2973635847,0.0112893051683,0.0386437929403,frame
fit,30,1680,1710,1695,30,500,20260814,0.287101296749,0.292201062225,0.29798631142,0.0108850146713,0.0372517970618,frame
fit,30,1710,1740,1725,30,500,20260814,0.286496553233,0.291571982568,0.297611582737,0.0111150295043,0.0381210478673,frame
fit,30,1740,1770,1755,27,500,20260814,0.285923213558,0.290311049051,0.297162881833,0.0112396682754,0.0387159507435,frame
fit,30,1770,1800,1785,28,500,20260814,0.285769401879,0.290552675991,0.297377460066,0.0116080581868,0.0399516478285,frame
fit,30,1800,1830,1815,26,500,20260814,0.284329073865,0.289475190467,0.295216120052,0.0108870461872,0.0376096002205,frame
fit,30,1830,1860,1845,25,500,20260814,0.283713126066,0.288674632193,0.295712036412,0.0119989103454,0.0415655170469,frame
fit,30,1860,1890,1875,23,500,20260814,0.285646842875,0.291740267277,0.29728373268,0.0116368898047,0.0398878424063,frame
fit,30,1890,1920,1905,22,500,20260814,0.284593909519,0.290777391014,0.298208564951,0.0136146554313,0.046821575033,frame
fit,30,1920,1950,1935,21,500,20260814,0.28390394822,0.291181540929,0.298194461942,0.0142905137219,0.0490776773703,frame
fit,30,1950,1980,1965,21,500,20260814,0.284712619499,0.291378423607,0.298174157063,0.0134615375635,0.0461995002814,frame
fit,30,1980,2010,1995,21,500,20260814,0.2850214616,0.290871808681,0.298391633526,0.0133701719264,0.0459658568735,frame
fit,30,2010,2040,2025,21,500,20260814,0.284788892031,0.290892573606,0.298150253621,0.0133613615904,0.0459322884211,frame
fit,30,2040,2070,2055,21,500,20260814,0.285856686816,0.291442149219,0.298929792943,0.0130731061268,0.044856607604,frame
fit,30,2070,2100,2085,21,500,20260814,0.284890280232,0.290588324725,0.298602572355,0.0137122921231,0.047188035294,frame
fit,30,2100,2130,2115,21,500,20260814,0.285883023741,0.291260042552,0.299286879001,0.0134038552595,0.0460202338162,frame
fit,30,2130,2160,2145,21,500,20260814,0.285512542705,0.290188623715,0.298931812964,0.013419270259,0.0462432678691,frame
fit,30,2160,2190,2175,21,500,20260814,0.284293783954,0.290306184797,0.299264301028,0.0149705170741,0.0515680266493,frame
fit,30,2190,2220,2205,20,500,20260814,0.284652725177,0.290235712404,0.299009886248,0.0143571610708,0.0494672449225,frame
fit,30,2220,2250,2235,20,500,20260814,0.285044881497,0.290692389148,0.299057546418,0.0140126649214,0.0482044437505,frame
fit,30,2250,2280,2265,20,500,20260814,0.283923132737,0.290677907163,0.298907621747,0.0149844890099,0.0515501475708,frame
fit,30,2280,2310,2295,20,500,20260814,0.284186063119,0.291478745962,0.29972288305,0.0155368199305,0.0533034402878,frame
fit,30,2310,2340,2325,20,500,20260814,0.284397189065,0.291033339558,0.298586016074,0.0141888270095,0.048753270093,frame
fit,30,2340,2370,2355,19,500,20260814,0.281323419979,0.289300981258,0.298131772549,0.0168083525697,0.0580998809496,frame
fit,30,2370,2400,2385,17,500,20260814,0.280258902447,0.287759803428,0.297959499514,0.0177005970667,0.0615117082228,frame
fit,30,2400,2430,2415,15,500,20260814,0.276793067958,0.285957881266,0.293067706377,0.0162746384186,0.0569127115735,frame
fit,30,2430,2460,2445,16,500,20260814,0.28017049459,0.28708163396,0.296000566712,0.015830072122,0.0551413613738,frame
