candidate_weighting,metric_weighting,region,v_min_px,v_max_px,sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_fraction
point_equal,point_equal,top_0_299,0,300,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.0260818262671,0.0491761035469,0.060187140789,0.10818694307,5.81409952574,0.970328929447
point_equal,point_equal,middle_300_2699,300,2700,13979,0,-0.0831932681855,0.107613120549,0.13037101474,0.235597199471,237.595492149,-0.00201711045772,0.02276325167,0.0281355084115,0.0561219208961,11.0658719265,0.953425581326
point_equal,point_equal,bottom_2700_2999,2700,3000,1980,0,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,-0.00660262108298,0.032334821918,0.0427250195982,0.0900973862852,3.61434605334,0.980153302364
point_equal,point_equal,bin_0000_0299,0,300,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.0260818262671,0.0491761035469,0.060187140789,0.10818694307,5.81409952574,0.970328929447
point_equal,point_equal,bin_0300_0599,300,600,1900,0,-0.0412066420957,0.119902079311,0.153367432478,0.345094914097,44.6909817554,-0.0125424750902,0.0268977772395,0.0351610399901,0.0701443746463,2.34896759306,0.947439785371
point_equal,point_equal,bin_0600_0899,600,900,1717,0,-0.144169419101,0.163640879425,0.176821257178,0.289794031818,53.6833047516,-0.0223536973565,0.0268338385929,0.0331012307414,0.0672453205763,1.88130226532,0.964955542994
point_equal,point_equal,bin_0900_1199,900,1200,1875,0,-0.0893377504017,0.107646870875,0.133125911501,0.251223241484,33.229703087,-0.00812471602223,0.0241758881819,0.0284345450935,0.0521524137955,1.51598129001,0.954378728993
point_equal,point_equal,bin_1200_1499,1200,1500,1490,0,-0.00755780388122,0.0562040353106,0.0682211100387,0.120331663811,6.93463858382,0.0111152831276,0.0202931227553,0.023962830811,0.0447182587084,0.855583718112,0.876621729053
point_equal,point_equal,bin_1500_1799,1500,1800,1945,0,-0.0885014974293,0.0960128156815,0.114514546284,0.202679244183,25.5059156491,0.00348893860523,0.0187490908124,0.0224574381909,0.0381316793065,0.98093455104,0.961540900372
point_equal,point_equal,bin_1800_2099,1800,2100,1732,0,-0.0755715457546,0.0825489452681,0.0985810627357,0.177092770762,16.8319673109,0.00616749516354,0.0209083739481,0.024714170229,0.040595038734,1.0578886439,0.9371500298
point_equal,point_equal,bin_2100_2399,2100,2400,1561,0,-0.0976729328601,0.099988219028,0.112621270183,0.178994575719,19.7990223266,0.00655326698046,0.0180982876116,0.0220335614187,0.0390948624574,0.757830890741,0.961723822609
point_equal,point_equal,bin_2400_2699,2400,2700,1759,0,-0.115329730335,0.127433352117,0.144876412573,0.242342571352,36.9199586842,0.0028363545529,0.0253153848547,0.0307882327876,0.0491965144056,1.66738297432,0.954837897069
point_equal,point_equal,bin_2700_2999,2700,3000,1980,0,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,-0.00660262108298,0.032334821918,0.0427250195982,0.0900973862852,3.61434605334,0.980153302364
point_equal,point_equal,extrap_top_v_lt_242,0,241.997693497,1141,0,0.283016606051,0.294641525492,0.374683159676,0.722436861786,160.182103435,0.0292597365223,0.0534117556018,0.0637805284935,0.110969890213,4.64153758481,0.971023369744
point_equal,point_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,0,-0.236960483411,0.293069865134,0.308083105562,0.410285227872,169.32871668,-0.00930019529099,0.0314400850185,0.0414426185993,0.0879607189357,3.06400329528,0.981904999014
point_equal,frame_equal,top_0_299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.032946463961,0.0493661921706,0.0612068250513,0.108641575822,5.6800975531,0.971903822143
point_equal,frame_equal,middle_300_2699,300,2700,13979,0,-0.0817058447148,0.108067588184,0.13124657233,0.237046762612,241.346218381,3.06082312626e-05,0.0220499048463,0.0273538801952,0.0521112963875,10.4834068126,0.956562788168
point_equal,frame_equal,bottom_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.00798994756798,0.0328484205827,0.0436071480923,0.093781842136,3.87342832648,0.97997558306
point_equal,frame_equal,bin_0000_0299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.032946463961,0.0493661921706,0.0612068250513,0.108641575822,5.6800975531,0.971903822143
point_equal,frame_equal,bin_0300_0599,300,600,1900,0,-0.0369420322879,0.122858238065,0.157287159175,0.359171347126,46.6654139634,-0.00871728383301,0.0243900253148,0.0327880755794,0.072018261851,2.0278715423,0.956544443302
point_equal,frame_equal,bin_0600_0899,600,900,1717,0,-0.138964654435,0.163921505043,0.177432511513,0.288902696403,53.9115893633,-0.0186876989511,0.0237829598672,0.0291354011784,0.0648862415889,1.45364293041,0.973036540982
point_equal,frame_equal,bin_0900_1199,900,1200,1875,0,-0.0936907138625,0.112612971273,0.1379567258,0.254844200208,36.4385387041,-0.00729424879401,0.0237937783679,0.0281840196795,0.0523065626547,1.52083136973,0.958263107583
point_equal,frame_equal,bin_1200_1499,1200,1500,1490,0,-0.00932976752532,0.0584703925301,0.0697268717622,0.1209337215,7.16401282581,0.0129485263944,0.0205242217382,0.024284747009,0.0447182587084,0.869006768146,0.878698323234
point_equal,frame_equal,bin_1500_1799,1500,1800,1945,0,-0.0874000261735,0.0955023969594,0.114220452595,0.202463873767,25.6238119742,0.00517546245084,0.0185485902733,0.0223591584066,0.0385461299911,0.981899165629,0.961680207199
