weighting,singular_index,scaled_singular_value,relative_singular_value,effective,effective_rank,condition_number,rank_ratio_threshold,gradient_inf
point_equal,1,14.4747219222,1,True,6,614148.669697,1e-06,0.00024248510344
point_equal,2,0.926670211114,0.0640198973146,True,6,614148.669697,1e-06,0.00024248510344
point_equal,3,0.0150450336082,0.00103940052798,True,6,614148.669697,1e-06,0.00024248510344
point_equal,4,0.000899459960593,6.21400511478e-05,True,6,614148.669697,1e-06,0.00024248510344
point_equal,5,0.000256917514918,1.77493920989e-05,True,6,614148.669697,1e-06,0.00024248510344
point_equal,6,2.35687588956e-05,1.62827023707e-06,True,6,614148.669697,1e-06,0.00024248510344
frame_equal,1,14.4742818681,1,True,6,615270.767305,1e-06,6.01552193836e-05
frame_equal,2,0.924404534783,0.0638653125045,True,6,615270.767305,1e-06,6.01552193836e-05
frame_equal,3,0.0150051177737,0.00103667442091,True,6,615270.767305,1e-06,6.01552193836e-05
frame_equal,4,0.000912823487394,6.30652004509e-05,True,6,615270.767305,1e-06,6.01552193836e-05
frame_equal,5,0.000254272922892,1.75672220017e-05,True,6,615270.767305,1e-06,6.01552193836e-05
frame_equal,6,2.35250602454e-05,1.62530068571e-06,True,6,615270.767305,1e-06,6.01552193836e-05
v_region_equal,1,14.4560715202,1,True,6,663448.945688,1e-06,6.0877177355e-05
v_region_equal,2,0.899346560861,0.0622123762742,True,6,663448.945688,1e-06,6.0877177355e-05
v_region_equal,3,0.0147212341069,0.00101834264491,True,6,663448.945688,1e-06,6.0877177355e-05
v_region_equal,4,0.000954585811518,6.60335562248e-05,True,6,663448.945688,1e-06,6.0877177355e-05
v_region_equal,5,0.000241966589884,1.67380598212e-05,True,6,663448.945688,1e-06,6.0877177355e-05
v_region_equal,6,2.17892749911e-05,1.50727498551e-06,True,6,663448.945688,1e-06,6.0877177355e-05
