model,candidate_name,split,metric_weighting,sample_count,invalid_count,valid_mask_exact,unweighted_rmse_mm,weighted_rmse_mm,weighted_bias_mm,weighted_p95_abs_mm,provenance_rmse_mm,rmse_difference_mm,source_yaml
M1_point_equal,point_equal,fit,point_equal,17564,0,True,0.03415898958884753,0.03415898958884753,3.365033496165721e-05,0.07077318360234564,0.0341589895845,4.347529281023554e-12,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
M1_point_equal,point_equal,validation,point_equal,6049,0,True,0.0365716191627724,0.0365716191627724,0.011156611050735607,0.08867214267805483,0.0365716191628,2.7602919949742954e-14,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
M2_frame_equal,frame_equal,fit,frame_equal,17564,0,True,0.034233101448059175,0.03367101731561495,1.098786016925847e-05,0.07246239835100113,0.0336710173154,2.1494611646133421e-13,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_frame_equal.yaml
M2_frame_equal,frame_equal,validation,frame_equal,6049,0,True,0.03579321572811619,0.034809479911547134,0.01133244004244014,0.08768895269271779,0.0348094799115,4.71359062892418e-14,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_frame_equal.yaml
M3_v_region_equal,v_region_equal,fit,v_region_equal,17564,0,True,0.034286579822160254,0.0349000651045685,1.1365638594518017e-05,0.07578772509056891,0.0349000651043,2.685004996116902e-13,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_v_region_equal.yaml
M3_v_region_equal,v_region_equal,validation,v_region_equal,6049,0,True,0.03502483380722762,0.03409131143355943,0.008919040003061745,0.0887050180538631,0.0340913114336,4.0571712656145564e-14,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_v_region_equal.yaml
