frame,group,row_index,model,u,v,root_1,root_2,selected_root_index,selected_lambda,Zc,Zg,validity_reason,m0_selected_root_index,m0_selected_lambda,m0_Zg,root_switch_vs_m0,lambda_delta_vs_m0,validity_changed_vs_m0
frame_061303_measure,baseline,0,M0,2103.233606,2391.0,763.0446173241002,711.8294812710582,1,711.8294812710582,711.8294812710582,-0.03952747193295636,valid,1,711.8294812710582,-0.03952747193295636,0,0.0,0
frame_061303_measure,baseline,1,M0,2103.200691,2392.0,763.0371096708024,711.8211812828565,1,711.8211812828565,711.8211812828565,-0.03216556010988825,valid,1,711.8211812828565,-0.03216556010988825,0,0.0,0
frame_061303_measure,baseline,2,M0,2103.174495,2393.0,763.0321932440404,711.8150167835047,1,711.8150167835047,711.8150167835047,-0.026909403668582854,valid,1,711.8150167835047,-0.026909403668582854,0,0.0,0
frame_061303_measure,baseline,3,M0,2103.162836,2394.0,763.0328811253045,711.8134736422909,1,711.8134736422909,711.8134736422909,-0.026210308428176177,valid,1,711.8134736422909,-0.026210308428176177,0,0.0,0
frame_061303_measure,baseline,4,M0,2103.159135,2395.0,763.0366376573062,711.8144598263165,1,711.8144598263165,711.8144598263165,-0.028005349202771868,valid,1,711.8144598263165,-0.028005349202771868,0,0.0,0
frame_061303_measure,baseline,5,M0,2103.159113,2396.0,763.0418136906487,711.8166147172265,1,711.8166147172265,711.8166147172265,-0.030952835469179263,valid,1,711.8166147172265,-0.030952835469179263,0,0.0,0
frame_061303_measure,baseline,6,M0,2103.166929,2397.0,763.0500123047332,711.8212608642541,1,711.8212608642541,711.8212608642541,-0.03635693253602312,valid,1,711.8212608642541,-0.03635693253602312,0,0.0,0
frame_061303_measure,baseline,7,M0,2103.176135,2398.0,763.0587483477459,711.826347945094,1,711.826347945094,711.826347945094,-0.04219583108204006,valid,1,711.826347945094,-0.04219583108204006,0,0.0,0
frame_061303_measure,baseline,8,M0,2103.160487,2399.0,763.0579061534643,711.8235304543198,1,711.8235304543198,711.8235304543198,-0.040240039249624715,valid,1,711.8235304543198,-0.040240039249624715,0,0.0,0
frame_061303_measure,baseline,9,M0,2103.12364,2400.0,763.048894533955,711.8139707517083,1,711.8139707517083,711.8139707517083,-0.031635732249469584,valid,1,711.8139707517083,-0.031635732249469584,0,0.0,0
frame_061303_measure,baseline,10,M0,2103.100087,2401.0,763.0450084771254,711.8086373188823,1,711.8086373188823,711.8086373188823,-0.02719891934896168,valid,1,711.8086373188823,-0.02719891934896168,0,0.0,0
frame_061303_measure,baseline,11,M0,2103.107616,2402.0,763.0531039532972,711.8131863132242,1,711.8131863132242,711.8131863132242,-0.03250716568595635,valid,1,711.8131863132242,-0.03250716568595635,0,0.0,0
frame_061303_measure,baseline,12,M0,2103.126139,2403.0,763.0654387143958,711.8212302490476,1,711.8212302490476,711.8212302490476,-0.04126178369540412,valid,1,711.8212302490476,-0.04126178369540412,0,0.0,0
frame_061303_measure,baseline,13,M0,2103.128778,2404.0,763.0716527029022,711.8242221163472,1,711.8242221163472,711.8242221163472,-0.045034538709955996,valid,1,711.8242221163472,-0.045034538709955996,0,0.0,0
frame_061303_measure,baseline,14,M0,2103.107604,2405.0,763.0686893287012,711.8196403491488,1,711.8196403491488,711.8196403491488,-0.04133888187584489,valid,1,711.8196403491488,-0.04133888187584489,0,0.0,0
frame_061303_measure,baseline,15,M0,2103.066895,2406.0,763.0581977232176,711.8088455222166,1,711.8088455222166,711.8088455222166,-0.03151645894763533,valid,1,711.8088455222166,-0.03151645894763533,0,0.0,0
frame_061303_measure,baseline,16,M0,2103.013777,2407.0,763.042925057498,711.7941040290183,1,711.7941040290183,711.7941040290183,-0.01780215735470847,valid,1,711.7941040290183,-0.01780215735470847,0,0.0,0
frame_061303_measure,baseline,17,M0,2102.964164,2408.0,763.0290053483284,711.7804763594863,1,711.7804763594863,711.7804763594863,-0.005186159996924289,valid,1,711.7804763594863,-0.005186159996924289,0,0.0,0
frame_061303_measure,baseline,18,M0,2102.94044,2409.0,763.025065397983,711.7750795269427,1,711.7750795269427,711.7750795269427,-0.0006866330088541872,valid,1,711.7750795269427,-0.0006866330088541872,0,0.0,0
frame_061303_measure,baseline,19,M0,2102.938807,2410.0,763.0296410945396,711.7767056052643,1,711.7767056052643,711.7767056052643,-0.003112455193445385,valid,1,711.7767056052643,-0.003112455193445385,0,0.0,0
frame_061303_measure,baseline,20,M0,2102.927901,2411.0,763.0306443359555,711.7753820673678,1,711.7753820673678,711.7753820673678,-0.0026296132980405673,valid,1,711.7753820673678,-0.0026296132980405673,0,0.0,0
frame_061303_measure,baseline,21,M0,2102.898778,2412.0,763.0246279557912,711.7682651119487,1,711.7682651119487,711.7682651119487,0.0035662156409443924,valid,1,711.7682651119487,0.0035662156409443924,0,0.0,0
frame_061303_measure,baseline,22,M0,2102.863797,2413.0,763.0163554453261,711.7592845460614,1,711.7592845460614,711.7592845460614,0.011599809211816137,valid,1,711.7592845460614,0.011599809211816137,0,0.0,0
frame_061303_measure,baseline,23,M0,2102.849791,2414.0,763.0161683275677,711.7569718826676,1,711.7569718826676,711.7569718826676,0.013058108653240197,valid,1,711.7569718826676,0.013058108653240197,0,0.0,0
frame_061303_measure,baseline,24,M0,2102.873896,2415.0,763.0306710616477,711.7667755229199,1,711.7667755229199,711.7667755229199,0.002568326084542605,valid,1,711.7667755229199,0.002568326084542605,0,0.0,0
frame_061303_measure,baseline,25,M0,2102.912715,2416.0,763.050847132257,711.7812569217929,1,711.7812569217929,711.7812569217929,-0.012534292029613425,valid,1,711.7812569217929,-0.012534292029613425,0,0.0,0
frame_061303_measure,baseline,26,M0,2102.931741,2417.0,763.063396450061,711.7894440070341,1,711.7894440070341,711.7894440070341,-0.02142998255976636,valid,1,711.7894440070341,-0.02142998255976636,0,0.0,0
frame_061303_measure,baseline,27,M0,2102.924414,2418.0,763.0657896682873,711.7892503357756,1,711.7892503357756,711.7892503357756,-0.0220612379347358,valid,1,711.7892503357756,-0.0220612379347358,0,0.0,0
frame_061303_measure,baseline,28,M0,2102.891783,2419.0,763.0584309175451,711.7810094052451,1,711.7810094052451,711.7810094052451,-0.014756897732240759,valid,1,711.7810094052451,-0.014756897732240759,0,0.0,0
frame_061303_measure,baseline,29,M0,2102.851905,2420.0,763.0482805119466,711.7704631559097,1,711.7704631559097,711.7704631559097,-0.005179196021458665,valid,1,711.7704631559097,-0.005179196021458665,0,0.0,0
frame_061303_measure,baseline,30,M0,2102.821986,2421.0,763.0419703234976,711.7630825405661,1,711.7630825405661,711.7630825405661,0.0012768338176556426,valid,1,711.7630825405661,0.0012768338176556426,0,0.0,0
frame_061303_measure,baseline,31,M0,2102.80488,2422.0,763.0406001777224,711.7597748382061,1,711.7597748382061,711.7597748382061,0.0037164893891485917,valid,1,711.7597748382061,0.0037164893891485917,0,0.0,0
frame_061303_measure,baseline,32,M0,2102.803997,2423.0,763.0454843538283,711.7616242114484,1,711.7616242114484,711.7616242114484,0.0010706343192623535,valid,1,711.7616242114484,0.0010706343192623535,0,0.0,0
frame_061303_measure,baseline,33,M0,2102.814625,2424.0,763.0548068848223,711.7671325270367,1,711.7671325270367,711.7671325270367,-0.005183398114809279,valid,1,711.7671325270367,-0.005183398114809279,0,0.0,0
