parameter,unit,current_value,interpretation_scale,final_point_equal,delta_point_equal,normalized_delta_point_equal,final_frame_equal,delta_frame_equal,normalized_delta_frame_equal,final_v_region_equal,delta_v_region_equal,normalized_delta_v_region_equal
theta_axis,rad,1.85570995501,0.0174532925199,2.57909454538,0.723384590361,41.4468839925,2.579189779,0.723479823986,41.4523404773,2.5886085926,0.732898637583,41.9919987444
phi_axis,rad,0.0100301506435,0.0174532925199,-0.00500804755403,-0.0150381981976,-0.861625288202,-0.00508040664998,-0.0151105572935,-0.865771159009,-0.00467127303466,-0.0147014236782,-0.842329529595
A_x,mm,-115.599707421,10,-339.053986827,-223.454279406,-22.3454279406,-339.128183282,-223.528475861,-22.3528475861,-346.210336913,-230.610629492,-23.0610629492
A_y,mm,1.74188941554,10,76.5727198268,74.8308304113,7.48308304113,77.6337391731,75.8918497576,7.58918497576,61.1183034098,59.3764139942,5.93764139942
A_z,mm,327.033073765,10,500,172.966926235,17.2966926235,500,172.966926235,17.2966926235,500,172.966926235,17.2966926235
alpha,rad,1.55460927505,0.00174532925199,1.56241691858,0.00780764353111,4.47345022275,1.56240952471,0.00780024965802,4.46921384553,1.56282146621,0.00821219115667,4.70523893832
