weighting,trial_index,accepted_step_before,accepted,message,radius_before,radius_after,scaled_step_l2,scaled_step_max_abs,step_projected_to_bounds,damping_lambda,gradient_inf,condition_number,current_objective_mse,predicted_objective_mse,trial_objective_mse,current_rmse_mm,predicted_rmse_mm,trial_rmse_mm,predicted_reduction,actual_reduction,actual_to_predicted_ratio,invalid_count,bounds_ok,trial_theta_axis_rad,trial_phi_axis_rad,trial_A_x_mm,trial_A_y_mm,trial_A_z_mm,trial_alpha_rad
point_equal,1,0,True,accepted,0.1,0.2,0.1,0.0699276037279,False,0.0144198669195,2.24557924699,293646.819886,0.0350524088419,0.0238329137681,0.0238338467023,0.187222885465,0.154379123485,0.154382145024,0.0112194950739,0.0112185621396,0.999916847035,0,True,1.85693042194,0.00973372781777,-116.052506068,1.82571847592,327.04316888,1.55469996709
point_equal,2,1,True,accepted,0.2,0.4,0.2,0.148166100667,False,0.00658384013522,0.00564134130251,295379.606739,0.0238338467023,0.0232897240322,0.0232970930071,0.154382145024,0.152609711461,0.152633852756,0.000544122670174,0.000536753695278,0.986457144133,0,True,1.85951640823,0.00970062923896,-117.054486119,2.01268134433,327.13331572,1.55485184839
point_equal,3,2,True,accepted,0.4,0.8,0.4,0.313717658717,False,0.00298719433859,0.0569810693539,298542.365678,0.0232970930071,0.0223046921528,0.0223489714976,0.152633852756,0.149347554894,0.149495724011,0.000992400854237,0.000948121509447,0.955381593436,0,True,1.8649918143,0.00963196264276,-119.178393537,2.40484387271,327.487063774,1.55505588502
point_equal,4,3,True,accepted,0.8,1,0.8,0.645842541225,False,0.00134199750079,0.168113755251,302949.056467,0.0223489714976,0.0205496661604,0.0207745001213,0.149495724011,0.143351547464,0.144133618983,0.00179930533723,0.00157447137636,0.87504402048,0,True,1.87626389309,0.00948768026418,-123.552152709,3.20869507608,328.519525264,1.5552653234
point_equal,5,4,True,accepted,1,1,1,0.811377966833,False,0.000946769387297,0.394094730458,307798.095579,0.0207745001213,0.0186624381324,0.0189256895241,0.144133618983,0.136610534486,0.137570671017,0.00211206198881,0.00184881059717,0.875358113049,0,True,1.89042511009,0.00930324092891,-129.036780569,4.23710148331,330.037954395,1.55541249332
point_equal,6,5,True,accepted,1,1,1,0.811578205858,False,0.000829193514501,0.396967454095,311526.769954,0.0189256895241,0.017040653489,0.0172201129962,0.137570671017,0.130539854026,0.131225428162,0.00188503603505,0.00170557652789,0.904797837375,0,True,1.90458982192,0.00911533692218,-134.502043675,5.29970623135,331.696058144,1.55551936577
point_equal,7,6,True,accepted,1,1,1,0.811265958248,False,0.000730563522568,0.297509234345,314417.99842,0.0172201129962,0.0156100963617,0.0157478889266,0.131225428162,0.124940371224,0.12549059298,0.00161001663451,0.00147222406964,0.914415440239,0,True,1.918749084,0.00892439470531,-139.940444135,6.39863566645,333.457770526,1.55561259147
point_equal,8,7,True,accepted,1,1,1,0.810831110407,False,0.000646899215458,0.242245902575,317029.524297,0.0157478889266,0.0143417086928,0.0144544356268,0.12549059298,0.119756873259,0.120226601161,0.00140618023372,0.00129345329978,0.919834647627,0,True,1.93290075656,0.00873056827517,-145.349567277,7.53422915241,335.309694318,1.55570246331
point_equal,9,8,True,accepted,1,1,1,0.810366256207,False,0.000575433868044,0.207320820918,319587.200046,0.0144544356268,0.0132120286196,0.0133065763692,0.120226601161,0.114943588858,0.115354134599,0.00124240700721,0.00114785925758,0.923899536081,0,True,1.94704431588,0.00853390231575,-150.727726647,8.70588165973,337.246856208,1.55579281541
point_equal,10,9,True,accepted,1,1,1,0.80989674042,False,0.000514021998545,0.181044403385,322178.036908,0.0133065763692,0.0122017280517,0.0122816885028,0.115354134599,0.110461432417,0.110822779711,0.00110484831747,0.0010248878664,0.927627666345,0,True,1.9611796806,0.00833439347417,-156.073365517,9.91256465712,339.267391442,1.55588503072
