scope,metric,q_observed_mm,c_observed_mm,observed_delta_q_minus_c_mm,bootstrap_mean_delta_mm,bootstrap_std_delta_mm,ci95_low_mm,ci95_high_mm,bootstrap_unit,bootstrap_pose_count,bootstrap_replicates,bootstrap_seed
Global,rmse,0.09909295258417632,0.10089310367709341,-0.0018001510929170905,-0.001743096557230523,0.0016782272460948086,-0.005005782554959607,0.001625078667375264,pose,36,10000,20260818
Global,mae,0.0719120129222383,0.07236684228150116,-0.0004548293592628594,-0.0004561854460541383,0.0013523314336671996,-0.00312798652235199,0.002208667386743502,pose,36,10000,20260818
Global,p95,0.1843844136113773,0.19054052667960944,-0.006156113068232133,-0.0062611368096451075,0.005893787424186231,-0.018721630972289544,0.004822209807981036,pose,36,10000,20260818
WorstRegion,rmse,0.17422976527528605,0.20120235863433114,-0.02697259335904509,-0.02526583437418908,0.013937797987906547,-0.05033429171187176,0.004257366670862566,pose,11,10000,20260819
WorstRegion,mae,0.15805225907256207,0.18504831392248638,-0.026996054849924317,-0.025582575330675372,0.012981847874825968,-0.049034290677285756,0.0016659570928776193,pose,11,10000,20260819
WorstRegion,p95,0.24809716036311313,0.2901329624810386,-0.04203580211792546,-0.041290481658778855,0.023214750147967752,-0.07758029482346279,0.013375307887784663,pose,11,10000,20260819
