frame_id,fold,point_count,q_mae_mm,c_mae_mm,q_rmse_mm,c_rmse_mm,q_p95_mm,c_p95_mm,delta_mae_mm,delta_rmse_mm,delta_p95_mm,delta_sq_error_sum_mm2,rmse_winner,mae_winner,p95_winner
001,0,900,0.04768227251940726,0.05067120367302356,0.05975532022532354,0.06509962040603698,0.1117501173592302,0.12247604234449337,-0.0029889311536163005,-0.0053443001807134405,-0.010725924985263174,-0.6005360536012319,Quadratic,Quadratic,Quadratic
002,1,900,0.05992159816234608,0.06698479125171891,0.07025662546655985,0.07570269046635625,0.12971434664252673,0.12337579832457651,-0.007063193089372831,-0.005446064999796399,0.006338548317950221,-0.7154135297068303,Quadratic,Quadratic,Cone
003,2,900,0.0865892529770177,0.09085270872944,0.09680428823460911,0.10095076240160433,0.15550158830578198,0.15705489779474532,-0.004263455752422304,-0.00414647416699522,-0.0015533094889633448,-0.7379875879703022,Quadratic,Quadratic,Quadratic
004,3,900,0.08799348435551599,0.1041865387119738,0.11278275880256353,0.13354697312205366,0.2208519321712969,0.2604088392295352,-0.016193054356457806,-0.020764214319490132,-0.03955690705823833,-4.603359012250772,Quadratic,Quadratic,Quadratic
005,4,900,0.062367497783112215,0.05129852563943746,0.07441025991577015,0.06451441654284293,0.1374589992788628,0.12466483794933068,0.011068972143674756,0.009895843372927218,0.012794161329532108,1.237299154982121,Cone,Cone,Cone
006,5,900,0.06435233981639786,0.06736217749793591,0.08823498500297385,0.09252404499360192,0.18791168305121456,0.19747690583034225,-0.0030098376815380495,-0.004289059990628077,-0.009565222779127691,-0.6977576911527494,Quadratic,Quadratic,Quadratic
007,0,900,0.07864135415240434,0.07087541754960457,0.09503427694434509,0.08089898236186817,0.1891276175473649,0.14258514011639242,0.0077659366027997695,0.01413529458247692,0.04654247743097248,2.2381816024337606,Cone,Cone,Cone
008,1,900,0.05231229757103097,0.0545930447236489,0.06503958465865523,0.06776367576496423,0.12148155147664279,0.1258644713387184,-0.002280747152617925,-0.002724091106309001,-0.004382919862075604,-0.3255913625479372,Quadratic,Quadratic,Quadratic
009,2,900,0.07932021728171003,0.07535469618089928,0.10018564401074935,0.09236897867701437,0.1927229955729785,0.17163711824097724,0.003965521100810748,0.007816665333734985,0.021085877332001263,1.3546215396124772,Cone,Cone,Cone
010,3,900,0.07578123909173753,0.07034673006703476,0.08936618764050624,0.0826211297438932,0.15146902978643764,0.14290274859504842,0.005434509024702772,0.0067450578966130464,0.008566281191389219,1.0440579719168444,Cone,Cone,Cone
011,4,900,0.07163550313027987,0.06484004428191077,0.09424058670045052,0.08706463301111475,0.19855304797124512,0.18846760371403093,0.006795458848369101,0.007175953689335768,0.010085444257214193,1.1709340742565342,Cone,Cone,Cone
012,5,900,0.04861552669015378,0.049940110823255994,0.05982333630854909,0.061746112920250784,0.109828184759732,0.1200184733969194,-0.0013245841331022135,-0.0019227766117016973,-0.010190288637187406,-0.2103758043071342,Quadratic,Quadratic,Quadratic
013,0,900,0.06404875720296176,0.07666793481731711,0.07443919985678925,0.08817072120513808,0.12700546724569783,0.15411245779853283,-0.012619177614355354,-0.013731521348348832,-0.027106990552834997,-2.0095934422636565,Quadratic,Quadratic,Quadratic
014,1,900,0.07581435877914636,0.0634622135969108,0.09322483079756708,0.0756912562069724,0.18017680671958916,0.1353672544163544,0.012352145182235555,0.01753357459059468,0.04480955230323477,2.6655325299409256,Cone,Cone,Cone
