roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1769,1802,34,34,true,,-0.9589099288981515,0.9589099288981515,0.0,true,false
h001,1.0,2,1771,1800,30,30,true,,-0.9589099288981515,0.9589099288981515,0.0,true,false
h001,1.0,3,1772,1799,28,28,true,,-0.9589099288981515,0.9589099288981515,0.0,true,false
h001,1.0,4,1773,1798,26,26,true,,-0.9589099288981515,0.9589099288981515,0.0,true,false
h010,10.0,0,1829,1861,33,33,true,,-8.85506317657348,0.8855063176573481,0.0,true,false
h010,10.0,2,1831,1859,29,29,true,,-8.85506317657348,0.8855063176573481,0.0,true,false
h010,10.0,3,1832,1858,27,27,true,,-8.85506317657348,0.8855063176573481,0.0,true,false
h010,10.0,4,1833,1857,25,25,true,,-8.85506317657348,0.8855063176573481,0.0,true,false
h030,30.0,0,1894,1923,30,30,true,,-27.249716534817253,0.9083238844939084,0.0,true,false
h030,30.0,2,1896,1921,26,26,true,,-27.249716534817253,0.9083238844939084,0.0,true,false
h030,30.0,3,1897,1920,24,24,true,,-27.249716534817253,0.9083238844939084,0.0,true,false
h030,30.0,4,1898,1919,22,22,true,,-27.249716534817253,0.9083238844939084,0.0,true,false
