segment_id,segment_role,u_start,u_end,width_px,point_count,rmse_px,mae_px,p95_abs_error_px,max_abs_error_px
S001,boundary,1015,1116,102,102,0.21744029819606384,0.1709730646842164,0.46845968935752963,0.5491212246254236
S002,interior,1230,1336,107,107,0.16063559777586922,0.13674984551356995,0.27535345305445846,0.3514053117316962
S003,interior,1450,1556,107,107,0.06734664258658495,0.050854906247377374,0.1471111681319143,0.1951691031140399
S004,interior,1669,1775,107,107,0.1397835702107904,0.12162930926361085,0.24628307268252453,0.3130764332580611
S005,interior,1888,1993,106,106,0.16928852368235003,0.14603604044791524,0.2779540999180199,0.3007239277045528
S006,boundary,2107,2169,63,63,0.442670391991673,0.3648798588618222,0.7345887502841606,0.7655805772100166
