roi_id,height_mm,u,valid_fraction,formal_column_valid,sigma_pixel_px,sensitivity_px_per_mm,sigma_z_pred_mm,repeatability_valid
h001,1.0,1772,1.0,true,0.022850619002753217,0.9009970759868793,0.02536147964489729,true
h001,1.0,1773,1.0,true,0.024408561448568233,0.8935215507356133,0.027317261042526946,true
h001,1.0,1774,1.0,true,0.023594949453603405,0.8446221436470296,0.027935508950454196,true
h001,1.0,1775,1.0,true,0.021526163211350736,0.7799640177026959,0.027598918312608633,true
h001,1.0,1776,1.0,true,0.01964862698122989,0.7581546905632877,0.025916382534851182,true
h001,1.0,1777,1.0,true,0.019370592249929937,0.821034863511386,0.023592898561074695,true
h001,1.0,1778,1.0,true,0.0209813465861542,0.9171056456118549,0.0228777858761913,true
h001,1.0,1779,1.0,true,0.0206167353655822,0.9526490584479461,0.021641479811223392,true
h001,1.0,1780,1.0,true,0.022864350265492567,0.9083783194575972,0.02517051516503072,true
h001,1.0,1781,1.0,true,0.020295783123650966,0.8264409597341,0.024558055702104783,true
h001,1.0,1782,1.0,true,0.017444011381196733,0.7660188621963471,0.02277230005953229,true
h001,1.0,1783,1.0,true,0.016786643737038073,0.7642002113802846,0.02196629036089684,true
h001,1.0,1784,1.0,true,0.01794498185532609,0.8219804485452187,0.021831397434192018,true
h001,1.0,1785,1.0,true,0.016123917108940376,0.9169166953862486,0.01758493131390548,true
h001,1.0,1786,1.0,true,0.016953391775046213,1.0724501093492336,0.015808093660723846,true
h001,1.0,1787,1.0,true,0.015467322317624235,1.1713510202512225,0.013204685914139487,true
h001,1.0,1788,1.0,true,0.014585023292697993,1.1765748734698036,0.012396170971835999,true
h001,1.0,1789,1.0,true,0.015763782483972283,1.0896480399760549,0.01446685710031534,true
h001,1.0,1790,1.0,true,0.019235374254089957,0.9947592347198224,0.019336713430469103,true
h001,1.0,1791,1.0,true,0.020237695867038212,0.9651707993483569,0.020967994349499447,true
h001,1.0,1792,1.0,true,0.020086793755724,0.9849094493474695,0.020394558879531587,true
h001,1.0,1793,1.0,true,0.020295541287642885,1.0129606776306446,0.02003586292719177,true
h001,1.0,1794,1.0,true,0.020186203829150335,1.0287404525844295,0.01962225144198229,true
h001,1.0,1795,1.0,true,0.0198905893667586,1.0355935636831646,0.019206945721076382,true
h001,1.0,1796,1.0,true,0.019996211689835192,1.0373233538339264,0.01927673913435921,true
h001,1.0,1797,1.0,true,0.020463204015355684,1.0303681776172198,0.019860089296117347,true
h001,1.0,1798,1.0,true,0.02031081111134709,1.0102544236465292,0.020104649517925295,true
h001,1.0,1799,1.0,true,0.01808718724587412,1.0052753591413648,0.0179922715516701,true
h010,10.0,1832,1.0,true,0.018495615361506536,0.88144841584392,0.02098320789855682,true
h010,10.0,1833,1.0,true,0.01973387670656258,0.8932309641145821,0.02209269214723635,true
h010,10.0,1834,1.0,true,0.020887670542795733,0.9025935170866773,0.0231418353304989,true
h010,10.0,1835,1.0,true,0.029447229597152506,0.9024597510620083,0.03262996445270741,true
h010,10.0,1836,1.0,true,0.035839502690164504,0.894509729203628,0.04006608482847024,true
h010,10.0,1837,1.0,true,0.03511203857753776,0.882960458368973,0.039766263873693294,true
h010,10.0,1838,1.0,true,0.031350240508760986,0.8705456555182423,0.03601217272182922,true
h010,10.0,1839,1.0,true,0.027211485989754692,0.860890736135832,0.031608524575250214,true
h010,10.0,1840,1.0,true,0.0216045131714875,0.8600608785444706,0.02511974874156587,true
h010,10.0,1841,1.0,true,0.021048525944116707,0.8670217678463359,0.024276813714147926,true
h010,10.0,1842,1.0,true,0.022494725536780523,0.8770895950917179,0.02564700990943603,true
h010,10.0,1843,1.0,true,0.0238530030312479,0.8855063176573481,0.026937134784483785,true
h010,10.0,1844,1.0,true,0.02325096942217631,0.8885019732725482,0.026168731327109916,true
h010,10.0,1845,1.0,true,0.0206757748118449,0.8845067710180501,0.023375485060501557,true
h010,10.0,1846,1.0,true,0.01882460878984272,0.8782887226454932,0.02143328077029285,true
h010,10.0,1847,1.0,true,0.018619210506783307,0.8760177664836192,0.021254375446655364,true
h010,10.0,1848,1.0,true,0.019231741682118067,0.8777315843420638,0.021910732193297946,true
h010,10.0,1849,1.0,true,0.01962348096314752,0.8806010606019526,0.022284189562221845,true
h010,10.0,1850,1.0,true,0.019341076786403642,0.8844492970921692,0.02186793166096902,true
h010,10.0,1851,1.0,true,0.018886740384184083,0.888121988618218,0.021265930385947276,true
h010,10.0,1852,1.0,true,0.01773530622226087,0.892839898966838,0.019863926604068122,true
h010,10.0,1853,1.0,true,0.015736047623997246,0.8994437177851295,0.01749531106042643,true
h010,10.0,1854,1.0,true,0.016016206655755268,0.9073979789562827,0.017650696857598916,true
h010,10.0,1855,1.0,true,0.018817640715674187,0.916643093514358,0.020528863249848327,true
