case_id,role,frame_count,would_expand_fraction,reason_counts,current_region_counts,proposed_region_counts,active_interval_counts,seed_interval_counts,outside_active_interval_counts,outside_peak_interval_counts,representative_active_intervals,representative_seed_interval,representative_outside_active_intervals,representative_outside_peak_intervals,current_valid_fraction,proposed_valid_fraction,stable_valid_fraction,proposed_valid_fraction_delta_vs_stable,proposed_vs_current_center_shift_p95_px,proposed_vs_stable_center_shift_p95_px,proposed_vs_stable_center_shift_max_px,same_floor_candidate_vs_stable_fraction,alternate_candidate_fraction_vs_stable,proposed_only_vs_stable_count,proposed_only_vs_stable_fraction,stable_only_vs_proposed_count,alternate_ridge_detected
B05_A10_boundary_sensitive_h10,boundary-sensitive positive,50,1.0,"{""significant_intensity_outside_current_region"": 50}","{""[793,895)"": 50}","{""[793,942)"": 50}","{""[[841, 847], [862, 863], [890, 893], [899, 908], [911, 916]]"": 2, ""[[841, 847], [862, 864], [890, 893], [899, 908], [911, 916]]"": 47, ""[[841, 847], [863, 864], [890, 893], [899, 908], [911, 916]]"": 1}","{""[841, 847]"": 50}","{""[[899, 908], [911, 916]]"": 50}","{""[[895, 896], [898, 909], [910, 918], [926, 928]]"": 50}","[[841, 847], [862, 864], [890, 893], [899, 908], [911, 916]]","[841, 847]","[[899, 908], [911, 916]]","[[895, 896], [898, 909], [910, 918], [926, 928]]",1.0,1.0,1.0,0.0,0.15316273244097828,0.0,0.0,1.0,0.0,0,0.0,0,False
B05_A10_h1_truncation,known truncation positive,50,1.0,"{""significant_intensity_outside_current_region"": 50}","{""[793,895)"": 50}","{""[793,942)"": 50}","{""[[841, 847], [862, 863], [890, 893], [899, 908], [911, 916]]"": 2, ""[[841, 847], [862, 864], [890, 893], [899, 908], [911, 916]]"": 47, ""[[841, 847], [863, 864], [890, 893], [899, 908], [911, 916]]"": 1}","{""[841, 847]"": 50}","{""[[899, 908], [911, 916]]"": 50}","{""[[895, 896], [898, 909], [910, 918], [926, 928]]"": 50}","[[841, 847], [862, 864], [890, 893], [899, 908], [911, 916]]","[841, 847]","[[899, 908], [911, 916]]","[[895, 896], [898, 909], [910, 918], [926, 928]]",0.0,0.9747058823529412,0.9747058823529412,0.0,,0.0,0.0,1.0,0.0,0,0.0,0,False
B05_A10_full_scanlines,full-frame alternate-ridge audit,50,1.0,"{""significant_intensity_outside_current_region"": 50}","{""[793,895)"": 50}","{""[793,942)"": 50}","{""[[841, 847], [862, 863], [890, 893], [899, 908], [911, 916]]"": 2, ""[[841, 847], [862, 864], [890, 893], [899, 908], [911, 916]]"": 47, ""[[841, 847], [863, 864], [890, 893], [899, 908], [911, 916]]"": 1}","{""[841, 847]"": 50}","{""[[899, 908], [911, 916]]"": 50}","{""[[895, 896], [898, 909], [910, 918], [926, 928]]"": 50}","[[841, 847], [862, 864], [890, 893], [899, 908], [911, 916]]","[841, 847]","[[899, 908], [911, 916]]","[[895, 896], [898, 909], [910, 918], [926, 928]]",0.259468954248366,0.5399183006535948,0.5399183006535948,0.0,0.05538227856159208,0.0,0.0,1.0,0.0,0,0.0,0,False
B12p5_A10_normal_reference,normal negative control,50,1.0,"{""significant_intensity_near_current_boundary"": 50}","{""[908,1024)"": 50}","{""[899,1024)"": 50}","{""[[914, 918], [941, 942], [943, 945], [947, 948], [949, 950], [956, 976]]"": 12, ""[[914, 918], [943, 945], [947, 948], [949, 950], [956, 976]]"": 25, ""[[914, 918], [943, 945], [947, 948], [956, 976]]"": 5, ""[[914, 918], [944, 945], [947, 948], [949, 950], [956, 976]]"": 7, ""[[914, 918], [944, 945], [947, 948], [956, 976]]"": 1}","{""[956, 976]"": 50}","{""[]"": 50}","{""[]"": 50}","[[914, 918], [941, 942], [943, 945], [947, 948], [949, 950], [956, 976]]","[956, 976]",[],[],0.43526143790849675,0.43526143790849675,0.43526143790849675,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,False
