row_type,frame_id,is_frame027,laser_point_count,cone_valid_point_count,full_pnp_rmse_px,corner_residual_rms_px,corner_du_std_px,corner_dv_std_px,corner_du_dv_cov_px2,board_tilt_deg,cone_e_lambda_bias_mm,cone_e_lambda_rmse_mm,cone_e_lambda_p95_abs_mm,cone_a_frame_mm,cone_k_frame_mm_per_normalized_stripe,mc_successful_replicates,mc_lambda_sigma_median_mm,mc_lambda_sigma_p95_mm,mc_lambda_sigma_max_mm,mc_delta_p95_median_mm,mc_delta_p95_p95_mm,mc_delta_max_max_mm,mc_plane_normal_angle_p95_deg,mc_plane_distance_delta_p95_abs_mm,sigma_vs_u_spearman_rho,sigma_vs_u_spearman_p_value,sigma_vs_v_spearman_rho,sigma_vs_v_spearman_p_value,sigma_vs_lambda_spearman_rho,sigma_vs_lambda_spearman_p_value,edge_q10_sigma_median_mm,center_q50_sigma_median_mm,edge_to_center_sigma_ratio,balanced_random_lambda_delta_p95_p95_mm,task6c_subset_lambda_delta_p95_max_mm,verdict,geometry_ok,typical_mc_delta_p95_mm,worst_mc_delta_p95_mm,typical_mc_sigma_to_cone_rmse_ratio,worst_balanced_random_delta_p95_p95_mm,edge_to_center_sigma_ratio_median,edge_to_center_sigma_ratio_max,tilt_vs_sigma_spearman_rho,tilt_vs_sigma_spearman_p_value,task6c_subset_p95_max_mm,fullboard_to_task6c_p95_ratio,next_step
frame,001,False,822,822,0.16329053695098955,0.16329053695098955,0.0956993305379761,0.13346104772704512,-0.0008131558363283867,24.76584421914572,-0.014381148136257476,0.07687830320110613,0.1378491128957762,-0.014381148136257467,0.13242324586294638,1000,0.010344284585247837,0.01269464916067906,0.012887516722933975,0.020245647230899506,0.025315589058028814,0.0381619719611308,0.010510343609888983,0.05009878054932528,-0.9700342354858215,0.0,0.9700345163586893,0.0,-0.9700345163586893,0.0,0.012694909926218006,0.009430195810726408,1.3461979137037787,0.024448786774497355,0.21308518774204685,,,,,,,,,,,,,
frame,002,False,890,890,0.14798432041035417,0.14798432041035417,0.12838324783089738,0.075290602696368,0.0008038209190021658,21.011200707412186,-0.04530581783363275,0.06523519074227296,0.09135883624990128,-0.045305817833632786,-0.028190632337988984,1000,0.009992465846154493,0.011841286377471224,0.012295316389523699,0.020006097390151467,0.023292242111299395,0.04250169381020896,0.012585605526772596,0.04205143550780121,0.34317765948306517,5.32894755015008e-26,-0.34089617755901047,1.1757162710513083e-25,-0.3408315788922708,1.2022409184377104e-25,0.010709020217743866,0.010035077284131083,1.0671587188151026,0.02128048734483343,0.21308518774204685,,,,,,,,,,,,,
frame,003,False,900,900,0.15082336512204414,0.15082336512204414,0.08292084350981284,0.12701679332247187,0.00039009758142036276,18.94877238820376,-0.061619534974514,0.08537311120689597,0.13326322693397968,-0.06161953497451402,-0.06431824759273524,1000,0.011121551805604288,0.01462398297024146,0.015813084960699702,0.021397756173891475,0.0284283363966827,0.054541191033763425,0.011078422451238695,0.046805165946051365,-0.9964819215826192,0.0,-0.9964826129414974,0.0,-0.9964826129414974,0.0,0.014628223702901365,0.011012609764599831,1.3283158139248672,0.0199459777442388,0.21308518774204685,,,,,,,,,,,,,
frame,004,False,900,900,0.10089911315776134,0.10089911315776134,0.06766405372935065,0.07562549816671871,-0.00042832314642543524,3.122105794209866,-0.029837974835339513,0.12070602844202004,0.23303750909452098,-0.029837974835339533,0.13823220350221083,1000,0.008282937715736904,0.0110392669767539,0.01146717855425874,0.016480597000770557,0.021936634822033337,0.03710676123091616,0.013273170996527195,0.019499605112986273,-0.42439374204988733,1.1789369879370057e-40,0.4243110588202373,1.2253586073408931e-40,-0.4243110588202373,1.2253586073408931e-40,0.009116597325218821,0.00878808440735562,1.037381629788198,0.03070921027306041,0.21308518774204685,,,,,,,,,,,,,
frame,005,False,900,900,0.1029680148290363,0.1029680148290363,0.07340736032030078,0.07304537828284201,-0.0006059486812456762,2.8788045209626643,-0.03923327173369418,0.06329194073461111,0.1277541344245378,-0.03923327173369418,0.0015000053398215724,1000,0.011462134563885815,0.013664738073073206,0.014727683147841696,0.022521919957176804,0.025659049595267616,0.05058808057640363,0.01361209296251305,0.022602048312342027,-0.3423586778090673,3.777733033161245e-26,0.34238801117861467,3.739021245316578e-26,-0.34238801117861467,3.739021245316578e-26,0.013682826735638622,0.010872179351350264,1.258517385839417,0.026993826639697713,0.21308518774204685,,,,,,,,,,,,,
frame,006,False,900,900,0.09617947945335815,0.09617947945335815,0.06343006287793547,0.07303040619594668,-0.0003608743346221905,2.534085764196888,0.006225219388691888,0.06553434985518876,0.12159574974500628,0.0062252193886918935,0.030848902094320497,1000,0.007759595305479202,0.01082731636242582,0.011212164561707759,0.015149943678798645,0.02102728831768928,0.04441935194654434,0.01776203063856467,0.013506736980912136,-0.03812712525982543,0.25318826362737035,0.03834444240054618,0.2504911714969803,-0.03834449178332319,0.2504905608990335,0.010574102907483356,0.006523533625746451,1.6209164410145003,0.031249950690169327,0.21308518774204685,,,,,,,,,,,,,
frame,007,False,900,900,0.11620290816413645,0.11620290816413645,0.08504696170020919,0.08015814605004595,-0.0017655779933246206,2.5871708969671,-0.05156375625692691,0.08073912530525672,0.1573715513079093,-0.05156375625692694,-0.019294906184955458,1000,0.014544098941092657,0.016434471119687533,0.017061440553184686,0.028361161459110912,0.03171344063815722,0.05985400666941132,0.014637367739968758,0.0361504658776198,-0.5116109526061144,3.46226501854314e-61,0.5116238744327669,3.4344484310553085e-61,-0.5116238744327669,3.4344484310553085e-61,0.0150407399970724,0.015162761378818912,0.991952562023632,0.028022276647647566,0.21308518774204685,,,,,,,,,,,,,
frame,008,False,900,900,0.09554045144952464,0.09554045144952464,0.07310653061812775,0.062356138096864626,7.372071806985354e-05,4.577892286774789,0.009713062927254568,0.06761903487049702,0.1211071979681833,0.009713062927254582,0.010058513266377177,1000,0.008462115626170993,0.011426241928845985,0.0128019182253284,0.01650349964621966,0.022057631736336413,0.039726427781033635,0.01834853119679985,0.014841488496546162,-0.22477543799436792,9.017917715722335e-12,0.2247721622701592,9.024326036532614e-12,-0.2247721622701592,9.024326036532614e-12,0.01098359707787238,0.007459084483121866,1.472512759806602,0.025586064621386687,0.21308518774204685,,,,,,,,,,,,,
frame,009,False,900,900,0.10973019581690426,0.10973019581690426,0.09037900311808293,0.06333040948383968,-0.00039317852878793157,3.814305442730843,-0.04001030957358643,0.084914209814601,0.15506273645429472,-0.040010309573586436,-0.0024896215816010477,1000,0.012380449460381276,0.01579828292912291,0.01654729752445254,0.02431329192723694,0.03129896368022031,0.060568226971554395,0.022475229131612637,0.016933769127473394,0.15884141420750725,1.6756800580111347e-06,0.11210124127725263,0.0007544480544955867,0.11210124127725263,0.0007544480544955867,0.015073308696108224,0.012504921640133438,1.2053900959868293,0.033083551772646436,0.21308518774204685,,,,,,,,,,,,,
frame,010,False,900,900,0.11900903660715031,0.11900903660715031,0.09115093427062435,0.07757149418241548,0.001397918537872596,7.374237094643685,0.024089916095470773,0.06857943969404821,0.11914271821046327,0.024089916095470787,0.0192417992287628,1000,0.009251999426737077,0.013250030731211912,0.014111884088143853,0.018468823833410395,0.026129188793302373,0.04841081919300905,0.01841045331080743,0.026433549756342246,-0.44538845109685327,4.5562758484733204e-45,0.4454339161735591,4.4536273484522704e-45,-0.4454337021815254,4.4541050656236346e-45,0.010665724855096176,0.010048966684915783,1.061375282605543,0.02337845289557833,0.21308518774204685,,,,,,,,,,,,,
