row_type,frame_id,is_frame027,design,replicate,subset_point_count,status,valid_lambda_count,normal_angle_diff_deg,plane_distance_diff_mm,abs_plane_distance_diff_mm,lambda_delta_bias_mm,lambda_delta_rmse_mm,lambda_delta_p95_abs_mm,lambda_delta_max_abs_mm,subset_reprojection_rmse_px,subset_depth_min_mm,replicate_count_ok,normal_angle_p95_deg,plane_distance_abs_p95_mm,lambda_delta_rmse_median_mm,lambda_delta_rmse_p95_mm,lambda_delta_p95_median_mm,lambda_delta_p95_p95_mm,lambda_delta_max_max_mm
replicate,001,False,checkerboard_A,0,44,ok,822,0.0034182239397132744,-0.003783190584499607,0.003783190584499607,-0.005613886133445595,0.005642849168586112,0.006477464905123042,0.0068377059843669485,0.16680809334113084,631.0379527257917,,,,,,,,
replicate,001,False,checkerboard_B,0,44,ok,822,0.003303559382521734,0.004493016919354886,0.004493016919354886,0.005731968614442689,0.005750914406610316,0.006436785286786062,0.006730643652304025,0.157188907470466,631.9523701393888,,,,,,,,
replicate,001,False,uniform_sparse,0,30,ok,822,0.0020052058734160395,-0.005170981011247022,0.005170981011247022,-0.0020203847015578345,0.0020600141176705267,0.002591015690848053,0.00262759413897129,0.17369047573608423,631.0352332743184,,,,,,,,
replicate,001,False,full_span_random,0,44,ok,822,0.002873523322713898,0.008026850987789658,0.008026850987789658,0.0002109823959749287,0.0014570129441356075,0.0022820641513249026,0.0028922010219503136,0.14765264386344143,631.043031630056,,,,,,,,
replicate,001,False,full_span_random,1,44,ok,822,0.005507225197873007,-0.011438514497626784,0.011438514497626784,-0.0037870225347245465,0.003904816216398321,0.005138798254387211,0.00522615091699663,0.17569146158967705,631.0417333432349,,,,,,,,
replicate,001,False,full_span_random,2,44,ok,822,0.007670857461972362,0.0042671805267673335,0.0042671805267673335,0.005690547391926001,0.0056917780310391615,0.005849262868321148,0.005855679590354157,0.150590139038234,631.0572885996023,,,,,,,,
replicate,001,False,full_span_random,3,44,ok,822,0.006691425887715469,-0.01290338601017993,0.01290338601017993,-0.00370003775355293,0.003875039476011962,0.00533579658316512,0.005441643965014009,0.17524568085840786,631.0442563151727,,,,,,,,
replicate,001,False,full_span_random,4,44,ok,822,0.01245237356385988,0.04928700155721799,0.04928700155721799,-0.0006919435022232259,0.008735286238504881,0.013904742942719393,0.019412107038306203,0.1714305964036447,631.0571790181868,,,,,,,,
replicate,001,False,full_span_random,5,44,ok,822,0.002221683246716039,0.009554463231324917,0.009554463231324917,0.006332675096746548,0.0063590534822502995,0.007149402516154168,0.007197946821634105,0.16076463255021015,631.0470380923601,,,,,,,,
replicate,001,False,full_span_random,6,44,ok,822,0.005599420615957455,-0.0016180525597064843,0.0016180525597064843,0.0045987489158697895,0.0048104769696654505,0.006738815821296384,0.007635003945779317,0.16020340904732533,631.0280034239457,,,,,,,,
replicate,001,False,full_span_random,7,44,ok,822,0.004521776665774617,0.032029054753365926,0.032029054753365926,0.015356808607735877,0.015596828055775903,0.01921796338775721,0.019454951153988986,0.15182691195949805,631.0586291859703,,,,,,,,
replicate,001,False,full_span_random,8,44,ok,822,0.0071975603745854065,0.043328462619683705,0.043328462619683705,0.017258219394267468,0.017804382863233863,0.023462530113437196,0.02384401591518781,0.15760289451846943,631.0670279368312,,,,,,,,
replicate,001,False,full_span_random,9,44,ok,822,0.00678296280567081,0.020423551132807916,0.020423551132807916,0.011974621261441502,0.012009481546570965,0.013267573548773726,0.013351070424960199,0.18408750007679864,631.0363965921742,,,,,,,,
replicate,001,False,full_span_random,10,44,ok,822,0.00671075427816028,0.029732064784070644,0.029732064784070644,0.0178810831140159,0.01800509600746873,0.02086328796846146,0.02104231174587312,0.1752709644851587,631.0690047823708,,,,,,,,
replicate,001,False,full_span_random,11,44,ok,822,0.00209241771570398,-0.0029286950796176825,0.0029286950796176825,0.00037983344999278473,0.00059185078706187,0.0010676557691283505,0.0013501032821068293,0.17521376196459648,631.0385433948682,,,,,,,,
replicate,001,False,full_span_random,12,44,ok,822,0.0048787468753505965,0.023442595056508253,0.023442595056508253,0.009390869351202615,0.009613495318682929,0.012308126323216583,0.01249098528455761,0.1610365935602133,631.0416825604947,,,,,,,,
replicate,001,False,full_span_random,13,44,ok,822,0.008267875406121911,0.042002390734751316,0.042002390734751316,0.00849358628465005,0.01022231864515892,0.016569178332372304,0.017069005751977784,0.15528558388650268,631.0572969430872,,,,,,,,
replicate,001,False,full_span_random,14,44,ok,822,0.005336098883060079,0.021409150283147937,0.021409150283147937,-0.0015201443695883833,0.004133934294055726,0.007351620289603033,0.009776043196211504,0.1600980474327838,631.0379167901327,,,,,,,,
replicate,001,False,full_span_random,15,44,ok,822,0.004888143356839792,-0.03079660622006486,0.03079660622006486,-0.010846580231149304,0.011301462082599039,0.015349251052714407,0.01562881577956432,0.15171500544904956,631.0227106568378,,,,,,,,
replicate,001,False,full_span_random,16,44,ok,822,0.0016254596869430295,0.010222996269476425,0.010222996269476425,0.004334286723744815,0.004425901072967697,0.005604386039482279,0.005683428353222553,0.1640079116332551,631.038410672825,,,,,,,,
replicate,001,False,full_span_random,17,44,ok,822,0.001005056954951945,0.01399739993928506,0.01399739993928506,0.012203586072407102,0.012205107363129544,0.012467954466865194,0.0124822378772933,0.1750312281676745,631.0516844529585,,,,,,,,
replicate,001,False,full_span_random,18,44,ok,822,0.00267150603484723,-0.00877217521701823,0.00877217521701823,0.0029890108709174153,0.003605407972287734,0.006045952781886399,0.007315362405847736,0.18127462621100798,631.035741119457,,,,,,,,
replicate,001,False,full_span_random,19,44,ok,822,0.004102603138069093,0.02781787477204034,0.02781787477204034,0.01089647099921956,0.011225869966194988,0.014724470698280355,0.014961569287152088,0.16377850909207803,631.0504372752272,,,,,,,,
replicate,001,False,full_span_random,20,44,ok,822,0.0029736204392349563,0.024953838282613106,0.024953838282613106,0.019240655545847876,0.019259848742486093,0.020446953931570987,0.02051774351559743,0.17960308650099804,631.0617670882867,,,,,,,,
replicate,001,False,full_span_random,21,44,ok,822,0.003938745712220064,0.015280907685450984,0.015280907685450984,0.005529782179401867,0.005801061562073941,0.00801581864170089,0.0081675923390776,0.164850145747624,631.050457426806,,,,,,,,
replicate,001,False,full_span_random,22,44,ok,822,0.004218340933890111,-0.003089820457830683,0.003089820457830683,-0.001287187871573507,0.0012882611875734819,0.0013638406287839189,0.0013701124895533212,0.18277273618025675,631.0434352189893,,,,,,,,
replicate,001,False,full_span_random,23,44,ok,822,0.0042978873777506825,0.025773098499371372,0.025773098499371372,0.00827708350466777,0.008771871729874578,0.012397745242662949,0.012652456500518383,0.18719387336631094,631.0512278359172,,,,,,,,
replicate,001,False,full_span_random,24,44,ok,822,0.000156252240403174,0.001073619288035843,0.001073619288035843,0.001141041503904051,0.0011415661685068262,0.001192822479225697,0.0012135739790437583,0.1770997880653263,631.0385667742532,,,,,,,,
replicate,001,False,full_span_random,25,44,ok,822,0.0043627296171731555,0.025912669378726605,0.025912669378726605,0.011848141965280997,0.012083602769182316,0.015211546350906246,0.015417453604754883,0.16666980308993115,631.0580617677315,,,,,,,,
replicate,001,False,full_span_random,26,44,ok,822,0.001271536989588499,-0.0038878822073229458,0.0038878822073229458,-0.004362529879263989,0.004363003859286639,0.0044566942057542745,0.0044894710413245775,0.1943799116693367,631.0283851955386,,,,,,,,
replicate,001,False,full_span_random,27,44,ok,822,0.004289223016341867,-0.00403999311959069,0.00403999311959069,0.001273241111422994,0.0014443906559662243,0.0023059118134597153,0.002727169897866588,0.14777874211505634,631.0437904649303,,,,,,,,
replicate,001,False,full_span_random,28,44,ok,822,0.012326073770220776,0.07379579241796819,0.07379579241796819,0.022032486887273314,0.023600928119763127,0.03403806125024857,0.034782521883244044,0.16559605367467986,631.0722939198006,,,,,,,,
replicate,001,False,full_span_random,29,44,ok,822,0.004044475535724426,-0.0054835151411225524,0.0054835151411225524,-0.005399422738943349,0.005406734022288833,0.005823472121835494,0.006002112822216077,0.17307301556776133,631.0367867737451,,,,,,,,
replicate,001,False,full_span_random,30,44,ok,822,0.009211802704891235,-0.040098465442270026,0.040098465442270026,-0.0014140385016759253,0.006778995489788062,0.010888631960312976,0.012839945052178336,0.161140533024111,631.021593591376,,,,,,,,
replicate,001,False,full_span_random,31,44,ok,822,0.007335654077124051,-0.030820760423921456,0.030820760423921456,0.0005973432682022618,0.005405612714146273,0.008748779100363889,0.012143329701871153,0.18785131812312997,631.0267164950409,,,,,,,,
replicate,001,False,full_span_random,32,44,ok,822,0.006483155582430581,0.04410209688978739,0.04410209688978739,0.017305970915661634,0.017836972108911924,0.02343155915099828,0.023810402222693483,0.1679155276014247,631.0618335921924,,,,,,,,
replicate,001,False,full_span_random,33,44,ok,822,0.002240191256323379,-0.00895708823725272,0.00895708823725272,0.00027759616541748506,0.0015481928534846275,0.002588137950334612,0.003548395077700661,0.16079324423959446,631.0350888678871,,,,,,,,
replicate,001,False,full_span_random,34,44,ok,822,0.005379268868268919,-0.012294158216377582,0.012294158216377582,0.008925364348261834,0.009714394665122491,0.014738828112393776,0.017154753406543932,0.15896402245470895,631.0338189379846,,,,,,,,
replicate,001,False,full_span_random,35,44,ok,822,0.003969784797024439,0.029471453330074837,0.029471453330074837,0.0133305109998769,0.013577553089037768,0.01698421000280632,0.017209610984764367,0.16751291054770648,631.0544238139105,,,,,,,,
replicate,001,False,full_span_random,36,44,ok,822,0.007170386141031072,0.014144890811735422,0.014144890811735422,0.0020421021631639837,0.0031410997862594305,0.0054295509871053575,0.0056354581453206265,0.13834918248517986,631.0546631109859,,,,,,,,
replicate,001,False,full_span_random,37,44,ok,822,0.00602542317664268,-0.010581301462252668,0.010581301462252668,-0.004428466241509517,0.004617833651536614,0.006282810061219379,0.006393498900706618,0.18008601303726704,631.0179225619521,,,,,,,,
replicate,001,False,full_span_random,38,44,ok,822,0.005511189040974122,-0.0011006012532561726,0.0011006012532561726,0.002777960785218149,0.002804414131885174,0.0033574851929927263,0.003586308160606677,0.15507313501233347,631.0492310334441,,,,,,,,
replicate,001,False,full_span_random,39,44,ok,822,0.003046723047558808,-0.019110926683424623,0.019110926683424623,-0.0065904574546549,0.006904584164838132,0.009511084741103558,0.009691651880302743,0.15163844013315944,631.0245960172904,,,,,,,,
