candidate_type,candidate_id,omitted_frame_id,bootstrap_unique_count,status,fit_rms_px,error,fx_baseline,fx,delta_fx,delta_fx_pct,fy_baseline,fy,delta_fy,delta_fy_pct,cx_baseline,cx,delta_cx,delta_cx_pct,cy_baseline,cy,delta_cy,delta_cy_pct,k1_baseline,k1,delta_k1,delta_k1_pct,k2_baseline,k2,delta_k2,delta_k2_pct,p1_baseline,p1,delta_p1,delta_p1_pct,p2_baseline,p2,delta_p2,delta_p2_pct,k3_baseline,k3,delta_k3,delta_k3_pct
bootstrap,bootstrap_0001,,13,ok,0.120299656598651,,7347.865114440015,7347.452272528567,-0.41284191144768556,-0.00561852871572682,7348.841146643875,7348.264008903596,-0.5771377402788858,-0.007853452384699559,2070.216530147837,2069.471185762761,-0.7453443850763506,-0.03600320904708091,1512.4364541050136,1511.8731414762726,-0.5633126287409596,-0.03724537498498082,-0.049137165151413566,-0.04954348383221075,-0.00040631868079718525,0.8269070459094167,0.2272759720228212,0.22972257909648208,0.0024466070736608725,1.076491743445367,-0.0005131542263022916,-0.0005154202555373365,-2.2660292350448405e-06,0.44158834106726347,-0.00047837789954461685,-0.0005501118288883812,-7.173392934376431e-05,14.995243177423147,0.0,0.0,0.0,nan
bootstrap,bootstrap_0002,,10,ok,0.11143963990554039,,7347.865114440015,7335.597413162912,-12.267701277102788,-0.16695599451049145,7348.841146643875,7336.787504962942,-12.053641680932742,-0.1640209856276114,2070.216530147837,2067.2117921609843,-3.004737986852888,-0.1451412421404207,1512.4364541050136,1513.6710346347563,1.2345805297427432,0.08162858851966168,-0.049137165151413566,-0.0492072077467841,-7.004259537053692e-05,0.1425450474293834,0.2272759720228212,0.23139174991136632,0.0041157778885451135,1.8109164166865122,-0.0005131542263022916,-0.0005200675010152941,-6.9132747130024475e-06,1.3472118826377821,-0.00047837789954461685,-0.0005394423220754847,-6.106442253086782e-05,12.764892063156971,0.0,0.0,0.0,nan
bootstrap,bootstrap_0003,,13,ok,0.11250268072394977,,7347.865114440015,7342.89842355844,-4.966690881574323,-0.06759365889574903,7348.841146643875,7343.949231949355,-4.891914694519983,-0.06656715796277703,2070.216530147837,2069.3156928918306,-0.9008372560065254,-0.04351415626761493,1512.4364541050136,1513.6477445982237,1.2112904932100719,0.08008868669638453,-0.049137165151413566,-0.04932091960179151,-0.00018375445037794452,0.37396225405294536,0.2272759720228212,0.23496800845485694,0.007692036432035726,3.3844477106728,-0.0005131542263022916,-0.0004719384850195149,4.121574128277674e-05,-8.031842898336992,-0.00047837789954461685,-0.0004412691854098429,3.710871413477394e-05,-7.75719659501388,0.0,0.0,0.0,nan
bootstrap,bootstrap_0004,,12,ok,0.12900465206575049,,7347.865114440015,7350.439724814704,2.574610374689655,0.035038889998538957,7348.841146643875,7351.283584067075,2.4424374232003174,0.03323568130623899,2070.216530147837,2071.3967212370444,1.1801910892072556,0.0570080990089948,1512.4364541050136,1513.1937681928475,0.7573140878339473,0.05007245664956476,-0.049137165151413566,-0.04798272068257184,0.0011544444688417269,-2.349432380326312,0.2272759720228212,0.21173434478048014,-0.015541627242341066,-6.838218358067567,-0.0005131542263022916,-0.0005095095492822564,3.6446770200352155e-06,-0.7102498300166371,-0.00047837789954461685,-0.0004348403447172053,4.353755482741157e-05,-9.101079892874724,0.0,0.0,0.0,nan
bootstrap,bootstrap_0005,,9,ok,0.12185733446786282,,7347.865114440015,7355.85272164082,7.987607200805542,0.10870650286037922,7348.841146643875,7357.166311940369,8.32516529649456,0.11328541644006772,2070.216530147837,2072.8757487370212,2.6592185891840927,0.12845122963993502,1512.4364541050136,1509.155228547561,-3.2812255574526716,-0.2169496476064736,-0.049137165151413566,-0.04946984882899929,-0.0003326836775857239,0.6770510194484701,0.2272759720228212,0.2157619956399334,-0.011513976382887814,-5.066077280589817,-0.0005131542263022916,-0.0006014982867371282,-8.834406043483657e-05,17.21588869518428,-0.00047837789954461685,-0.0004405551331461526,3.782276639846424e-05,-7.906461906887618,0.0,0.0,0.0,nan
bootstrap,bootstrap_0006,,11,ok,0.11595804081786176,,7347.865114440015,7353.133644371842,5.268529931827288,0.07170150580845014,7348.841146643875,7354.016434962208,5.175288318333514,0.07042318938540405,2070.216530147837,2071.8945145210773,1.6779843732401787,0.08105356849413001,1512.4364541050136,1512.8730304911603,0.4365763861467258,0.02886576721698172,-0.049137165151413566,-0.049501603006890035,-0.0003644378554764696,0.7416745641582573,0.2272759720228212,0.2236595973931691,-0.0036163746296521138,-1.5911821198982647,-0.0005131542263022916,-0.00044512888908700545,6.802533721528617e-05,-13.256314325902764,-0.00047837789954461685,-0.00040477138788495853,7.360651165965831e-05,-15.38668733018952,0.0,0.0,0.0,nan
bootstrap,bootstrap_0007,,13,ok,0.12050601218719467,,7347.865114440015,7354.62991079309,6.764796353075326,0.09206478681516836,7348.841146643875,7355.7832766710835,6.942130027208805,0.09446564279565615,2070.216530147837,2072.2256240501647,2.0090939023275496,0.09704752488784722,1512.4364541050136,1516.3148092560332,3.878355151019605,0.2564309489164374,-0.049137165151413566,-0.049403155850200005,-0.0002659906987864391,0.5413228418180066,0.2272759720228212,0.2253912405121953,-0.0018847315106259033,-0.829270025269831,-0.0005131542263022916,-0.0002958526914193955,0.0002173015348828961,-42.3462428534861,-0.00047837789954461685,-0.00040935907106063853,6.901882848397832e-05,-14.427679152753406,0.0,0.0,0.0,nan
bootstrap,bootstrap_0008,,12,ok,0.11960834638398686,,7347.865114440015,7350.568987256749,2.7038728167344743,0.03679807365299653,7348.841146643875,7351.186513343313,2.345366699438273,0.03191478292477955,2070.216530147837,2072.2342871754604,2.0177570276232473,0.09746598958318414,1512.4364541050136,1513.9103441602467,1.4738900552331415,0.0974513706828971,-0.049137165151413566,-0.04923284552757129,-9.568037615772379e-05,0.19472099349421113,0.2272759720228212,0.22912064324829828,0.0018446712254770736,0.8116437514529018,-0.0005131542263022916,-0.0004215925417444802,9.156168455781141e-05,-17.842917365718776,-0.00047837789954461685,-0.00040736454561273556,7.101335393188129e-05,-14.844614268234622,0.0,0.0,0.0,nan
bootstrap,bootstrap_0009,,13,ok,0.1141210289664834,,7347.865114440015,7348.79829108937,0.9331766493551186,0.012699969784709862,7348.841146643875,7350.353216935185,1.5120702913100104,0.020575629016019135,2070.216530147837,2068.625944701345,-1.5905854464922413,-0.07683183972927969,1512.4364541050136,1512.1379248937317,-0.29852921128190246,-0.019738297795695327,-0.049137165151413566,-0.05136798087336514,-0.002230815721951572,4.539976441614879,0.2272759720228212,0.2395349625412715,0.01225899051845028,5.393878820247364,-0.0005131542263022916,-0.0005035717493628374,9.582476939454243e-06,-1.8673678298440723,-0.00047837789954461685,-0.0008116358428694145,-0.0003332579433247976,69.6641595780316,0.0,0.0,0.0,nan
bootstrap,bootstrap_0010,,9,ok,0.1174196279591863,,7347.865114440015,7332.375428675508,-15.489685764506248,-0.210805254631933,7348.841146643875,7333.20505235873,-15.636094285144281,-0.21276952342731062,2070.216530147837,2059.294765656374,-10.921764491463364,-0.5275662875072988,1512.4364541050136,1513.8938539653398,1.457399860326177,0.09636106405466109,-0.049137165151413566,-0.04921597562094631,-7.881046953274462e-05,0.16038871857970305,0.2272759720228212,0.23064970444846533,0.0033737324256441215,1.4844210743515636,-0.0005131542263022916,-0.00046868687770817844,4.4467348594113176e-05,-8.665493981124909,-0.00047837789954461685,-0.0008369275079848641,-0.0003585496084402473,74.9511231145005,0.0,0.0,0.0,nan
