row_type,frame_id,is_frame027,bootstrap_success_count,loo_success_count,pnp_rmse_px,board_tilt_deg,cone_bias_mm,cone_rmse_mm,cone_p95_abs_mm,a_frame_mm,k_frame_mm_per_normalized_stripe,sensor_u_min_px,sensor_u_max_px,sensor_v_min_px,sensor_v_max_px,lambda_truth_min_mm,lambda_truth_max_mm,bootstrap_bias_median_mm,bootstrap_bias_p95_mm,bootstrap_bias_max_mm,bootstrap_rmse_median_mm,bootstrap_rmse_p95_mm,bootstrap_rmse_max_mm,bootstrap_p95_abs_median_mm,bootstrap_p95_abs_p95_mm,bootstrap_p95_abs_max_mm,bootstrap_max_abs_median_mm,bootstrap_max_abs_p95_mm,bootstrap_max_abs_max_mm,bootstrap_top_p95_abs_median_mm,bootstrap_top_p95_abs_p95_mm,bootstrap_middle_p95_abs_median_mm,bootstrap_middle_p95_abs_p95_mm,bootstrap_bottom_p95_abs_median_mm,bootstrap_bottom_p95_abs_p95_mm,bootstrap_left_p95_abs_median_mm,bootstrap_left_p95_abs_p95_mm,bootstrap_center_u_p95_abs_median_mm,bootstrap_center_u_p95_abs_p95_mm,bootstrap_right_p95_abs_median_mm,bootstrap_right_p95_abs_p95_mm,loo_bias_median_mm,loo_bias_p95_mm,loo_bias_max_mm,loo_rmse_median_mm,loo_rmse_p95_mm,loo_rmse_max_mm,loo_p95_abs_median_mm,loo_p95_abs_p95_mm,loo_p95_abs_max_mm,loo_max_abs_median_mm,loo_max_abs_p95_mm,loo_max_abs_max_mm,loo_top_p95_abs_median_mm,loo_top_p95_abs_p95_mm,loo_middle_p95_abs_median_mm,loo_middle_p95_abs_p95_mm,loo_bottom_p95_abs_median_mm,loo_bottom_p95_abs_p95_mm,loo_left_p95_abs_median_mm,loo_left_p95_abs_p95_mm,loo_center_u_p95_abs_median_mm,loo_center_u_p95_abs_p95_mm,loo_right_p95_abs_median_mm,loo_right_p95_abs_p95_mm,bootstrap_p95_abs_to_cone_rmse_ratio,bootstrap_v_edge_to_middle_ratio,bootstrap_u_edge_to_center_ratio,verdict,bootstrap_requested_count,typical_intrinsics_p95_delta_lambda_mm,worst_intrinsics_p95_delta_lambda_mm,typical_intrinsics_to_cone_rmse_ratio,worst_intrinsics_to_cone_rmse_ratio,edge_to_middle_ratio_median,edge_to_middle_ratio_max
frame,001,False,500,18,0.16329053695098955,24.765800458073528,0.014381148136257476,0.07687830320110613,0.1378491128957762,0.014381148136257467,-0.13242324586294638,1836.5590052597033,2061.1397366470346,1087.0276657267011,2507.928479030282,636.117874180793,695.0948503932443,0.03862090422385597,0.8763469979078954,2.3833144483932047,0.31119862605333815,1.0539107219502164,3.140763278453777,0.3279352399006399,1.070110323915775,3.2068838141733353,0.3348470555819745,1.0735039043460517,3.210847192858637,nan,nan,0.3244908513958762,1.0659718124504876,0.3225825176908302,1.0505340750633312,nan,nan,0.3279352399006399,1.070110323915775,nan,nan,-0.003909093744020068,0.24315546138604313,0.38303996246512556,0.03419096577372287,0.3169338785889607,0.3830699113800165,0.036280595313684216,0.3295561237269034,0.39002113598689336,0.03708482762135645,0.33069735128019023,0.39256226914176295,nan,nan,0.03578693941741449,0.32007968431691425,0.03478970206223266,0.32873176390328,nan,nan,0.036280595313684216,0.3295561237269034,nan,nan,13.919536193670547,nan,nan,,,,,,,,
frame,002,False,500,18,0.14798432041035417,21.009646411780004,0.04530581783363275,0.06523519074227296,0.09135883624990128,0.045305817833632786,0.028190632337988984,2001.6279435634165,2009.9004633958773,1093.0318286279864,2599.0127377736176,679.6783196595146,681.3272654481854,0.03875543867347583,0.900806971087919,2.3410881070103327,0.320788682532695,1.0514349173686721,3.12213146169702,0.339466080050866,1.0766911301268465,3.225838137361683,0.34181941907053215,1.0780414353423509,3.232571514109736,nan,nan,0.330366921845075,1.0578469064344744,0.33869813485238187,1.0774401139893064,nan,nan,0.339466080050866,1.0766911301268465,nan,nan,-0.007130031951841415,0.25140642289363757,0.383666249179196,0.039265136454660336,0.32326078459997726,0.38366711618076643,0.0412910558762178,0.3398928671463113,0.38476220430246144,0.041672503187555776,0.34097823627764673,0.3848492367671952,nan,nan,0.03997471206325827,0.3259405124880674,0.040601926796648515,0.34029672135233674,nan,nan,0.0412910558762178,0.3398928671463113,nan,nan,16.504759438514853,nan,nan,,,,,,,,
frame,003,False,500,18,0.15082336512204414,18.94863131526217,0.061619534974514,0.08537311120689597,0.13326322693397968,0.06161953497451402,0.06431824759273524,1839.0224689361003,2054.781200047176,405.0034957607737,2511.0140227719253,631.5503788651798,697.0833223478852,0.03535201367915963,0.867526561836223,2.3518709609736197,0.30800346534868983,1.0333303372423166,3.107624934056003,0.33867577983481,1.051401442235214,3.230298204135096,0.344770331180257,1.0773704960564088,3.26713973437154,0.31183713665794244,1.0022523673312704,0.32051843465752083,1.0419870683768941,0.32905644784059407,1.0551576271796481,nan,nan,0.33867577983481,1.051401442235214,nan,nan,-0.006317870797933426,0.23817003886786736,0.37830288199070905,0.032557774408227644,0.3075250630397579,0.3783053371342555,0.03490985583581789,0.330003064889131,0.3800588943503726,0.036961490780981876,0.3368819269352741,0.3802957525280135,0.033203629911042754,0.2917570768913761,0.03343547608980657,0.3193998553549891,0.03532050852265058,0.33138090344430843,nan,nan,0.03490985583581789,0.330003064889131,nan,nan,12.31536987901511,1.0126398486146952,nan,,,,,,,,
frame,004,False,500,18,0.10089911315776134,3.1231462100848577,0.029837974835339513,0.12070602844202004,0.23303750909452098,0.029837974835339533,-0.13823220350221083,1889.486905186789,1919.9373646705894,273.9868693364702,1850.5004980636832,648.9385725758053,652.130168265232,0.03619699962921023,0.8802570333069288,2.3770325557206853,0.3117094044682964,1.018100369896504,3.045970590195174,0.32872000745766455,1.0466280704145157,3.0834093388828534,0.3312323617385573,1.0475667889990348,3.086485312324612,0.3166110406533107,1.022128671927846,0.3181368144949744,1.0473532277205462,nan,nan,nan,nan,0.32872000745766455,1.0466280704145157,nan,nan,-0.007570388722447901,0.244356441512623,0.3804058239424027,0.03473513063674318,0.2988384843207173,0.380409364740089,0.035772821096836084,0.3120404938820302,0.38289134862870355,0.03624755917667244,0.31312716643828925,0.38312225756078533,0.03598053070456615,0.29712111309814804,0.03470442110468639,0.31216947096052955,nan,nan,nan,nan,0.035772821096836084,0.3120404938820302,nan,nan,8.670884825916158,0.9759159038946214,nan,,,,,,,,
frame,005,False,500,18,0.1029680148290363,2.878183093024264,0.03923327173369418,0.06329194073461111,0.1277541344245378,0.03923327173369418,-0.0015000053398215724,1878.2994407469826,1922.9956078972973,475.9999514232307,2731.977874579812,647.3471048048373,653.4274294155333,0.02783013020424524,0.907416279698468,2.3927132538625244,0.31796379381706724,1.0467757606803074,3.069563041800232,0.3451173640501253,1.074358507529621,3.134559281872339,0.35047815481118505,1.0857193756250403,3.1486354216370955,0.322561378941586,1.030669889918531,0.3318531311348124,1.0647307472006105,0.335851093103372,1.0820605770768446,nan,nan,0.3451173640501253,1.074358507529621,nan,nan,-0.008851309746328234,0.2533494506776617,0.38641387377155223,0.04233566195230952,0.30942386490488105,0.38641397564505264,0.043701529016314564,0.3289023061255073,0.3868269227821372,0.043993507786240116,0.33317008175376933,0.38692053952036076,0.04046521836012573,0.2970450918941007,0.04290162910603498,0.3173685770816188,0.04390033234932389,0.3317923909031747,nan,nan,0.043701529016314564,0.3289023061255073,nan,nan,16.974649458680755,1.0162762556841696,nan,,,,,,,,
frame,006,False,500,18,0.09617947945335815,2.5334650585219993,-0.006225219388691888,0.06553434985518876,0.12159574974500628,-0.0062252193886918935,-0.030848902094320497,2075.6025788581655,2094.2983834567,850.0201303126184,2315.031713069205,702.936623574517,704.1487571294377,0.04363818566090705,0.9505022875927276,2.5718457343629497,0.33881640333878643,1.1149425957070942,3.3278640859641855,0.3551469677090182,1.1387592817279035,3.3722849627766265,0.35687908033690974,1.1396530565227239,3.3763580262947244,0.33848417119102125,1.1089443857450527,0.34788827125487387,1.1337181171763913,0.34693494250470847,1.1356549755479668,nan,nan,0.3551469677090182,1.1387592817279035,nan,nan,-0.008752596169992063,0.26009086464561293,0.4168367593969184,0.037532816594571375,0.3334758711821474,0.4168370634500841,0.038637228077141116,0.3462402371983497,0.41763809298191745,0.038738540967074186,0.34741795395281644,0.41771198358935635,0.036513557939818496,0.32186264099157924,0.03814450198456143,0.340526324585329,0.03871597800405198,0.3471544810978092,nan,nan,0.038637228077141116,0.3462402371983497,nan,nan,17.376525200054928,1.0017084126488156,nan,,,,,,,,
frame,007,False,500,18,0.11620290816413645,2.5878392327443622,0.05156375625692691,0.08073912530525672,0.1573715513079093,0.05156375625692694,0.019294906184955458,2081.365005152129,2102.0748459357847,328.00035875784766,1781.0239797038387,703.4755287469671,704.6237463646952,0.03745649485984024,0.9812981878483406,2.588138501984305,0.3396687591355999,1.1159633131429056,3.293532126684967,0.3575599414355651,1.1333429496064928,3.344286584828518,0.3606853864008599,1.1357037505770846,3.352906398879213,0.34556189143470417,1.108391419788853,0.3517872755203484,1.1320436534845417,nan,nan,nan,nan,0.3575599414355651,1.1333429496064928,nan,nan,-0.011957233562927994,0.27183753631615976,0.41543522344072786,0.03944891309207177,0.3229113140979366,0.41543526339846765,0.0402795233311366,0.33770906293190806,0.4157131452569331,0.04030913978709805,0.3402399874625017,0.4157453235526418,0.03962751907935171,0.32133918484254176,0.040032786398597864,0.33898431804552376,nan,nan,nan,nan,0.0402795233311366,0.33770906293190806,nan,nan,14.037097198187057,0.9791066063372337,nan,,,,,,,,
frame,008,False,500,18,0.09554045144952464,4.5777509829218035,-0.009713062927254568,0.06761903487049702,0.1211071979681833,-0.009713062927254582,-0.010058513266377177,2082.2571171720747,2121.8813481963675,552.4703760498631,2287.9390934977255,704.9507887583402,711.6773151647964,0.03658453664836239,0.9668635296644781,2.5964677912475973,0.34276094207104035,1.114736042020946,3.3189538719091747,0.3622469407518054,1.1392710071955223,3.36385450871648,0.36778749332046345,1.1418185794274895,3.374211053196518,0.34765407976886986,1.1203021523484595,0.3525927197781016,1.136251730903729,0.34699301223666623,1.1403893383766488,nan,nan,0.3622469407518054,1.1392710071955223,nan,nan,-0.009618607381131596,0.26733618798545805,0.4201003222139962,0.03928312863704068,0.33247810413315576,0.42010552464680534,0.03972464161348057,0.3464936401047119,0.4236858380805074,0.03978700942178648,0.3496719375333895,0.4240018845496252,0.03799613836131357,0.323966177092676,0.03965990155461441,0.3428603154737856,0.039777709141546325,0.34821567068499903,nan,nan,0.03972464161348057,0.3464936401047119,nan,nan,16.848377226581796,1.0036414531748425,nan,,,,,,,,
frame,009,False,500,18,0.10973019581690426,3.8202510385092014,0.04001030957358643,0.084914209814601,0.15506273645429472,0.040010309573586436,0.0024896215816010477,2096.640191639619,2100.32060352624,361.9854356703312,1816.006501595449,703.1149664065675,709.4525839501998,0.04423917456890687,0.9542293356849162,2.5743421624903475,0.337458613689395,1.1089897150597128,3.312086019583286,0.3552899853013486,1.1252673716864858,3.355780563631157,0.3570922265904528,1.1266905421045799,3.359713393251127,0.3445216325475513,1.1062681424440057,0.3477236781249303,1.125930715368847,nan,nan,nan,nan,0.3552899853013486,1.1252673716864858,nan,nan,-0.01048433583909577,0.2621044092794005,0.41556124380248005,0.03655331946812221,0.3245839856684926,0.4155693649704189,0.03754342591525699,0.3371311618605414,0.4195761974162167,0.037972850823393856,0.3382666034505006,0.41993212902184496,0.03697463976338895,0.32222833422991287,0.03747352247719107,0.33765950695087793,nan,nan,nan,nan,0.03754342591525699,0.3371311618605414,nan,nan,13.251814674403247,0.9825366049114311,nan,,,,,,,,
frame,010,False,500,18,0.11900903660715031,7.376196010975522,-0.024089916095470773,0.06857943969404821,0.11914271821046327,-0.024089916095470787,-0.0192417992287628,2021.9615995077706,2043.963308099713,406.9999914186739,1900.0006228493526,685.722885612507,687.2591224839429,0.03180063736015768,0.899269203394157,2.4964440593111723,0.32976343880653114,1.0537978611317895,3.160291328116823,0.34791490008729226,1.0648859644757047,3.1911968156960824,0.3491441949627756,1.0662513471768136,3.1948198053187298,0.339851687748984,1.0516548844610698,0.33829960419735416,1.061142713547329,nan,nan,nan,nan,0.34791490008729226,1.0648859644757047,nan,nan,-0.009093597918659447,0.231284728584029,0.40519124031637527,0.03435132786353702,0.3069885842727529,0.4051912790518169,0.03826925942873345,0.3162389924730307,0.4055079300762259,0.03876152528522425,0.3173377224773388,0.40555953464195227,0.03857242958387985,0.3042768977230959,0.03487594217000378,0.3166113861403441,nan,nan,nan,nan,0.03826925942873345,0.3162389924730307,nan,nan,15.527772889753177,0.9910588566786253,nan,,,,,,,,
