model,split,image_id,count,mean_signed_mm,mae_mm,rmse_mm,median_abs_mm,p95_abs_mm,max_abs_mm,valid_rate
circular_cone,train,1,730,0.027792468743874695,0.10241732258251503,0.1232323948035962,0.0992612739140668,0.21924488723389562,0.30160572421493725,1.0
circular_cone,train,10,898,0.010204183045090645,0.08508250065061054,0.10918157020019964,0.06873650690016575,0.2076804716077504,0.4483996626898943,1.0
circular_cone,train,11,700,-0.004018309997604125,0.11487721494426588,0.13358778375996655,0.10998332513156583,0.2220924350467839,0.436642943717402,1.0
circular_cone,train,12,716,-0.012006668600795092,0.10368750059599206,0.12369803551219624,0.09431163824064015,0.21739897035530475,0.5556191378416315,1.0
circular_cone,train,13,688,0.017964914491897802,0.09124233472224376,0.10919742675108944,0.08531310421886928,0.2015611934706384,0.34237636834961904,1.0
circular_cone,train,14,900,0.00827401066654804,0.06907693680874369,0.09108474014154731,0.05334890046037799,0.18507916744494526,0.4200560310474657,1.0
circular_cone,train,15,731,-0.05303840936336846,0.08573588892327827,0.10149984372294722,0.07949645165581387,0.18491536608144088,0.29777304029357765,1.0
circular_cone,train,2,803,-0.02212671411432195,0.052793975450094226,0.06464594720067456,0.04607367711594179,0.12375134152219966,0.22797076183621812,1.0
circular_cone,train,3,900,-0.017755571608678845,0.058996408410650805,0.07852689516489891,0.04789785851255601,0.1472748610801318,0.6614565695936108,1.0
circular_cone,train,4,780,0.014270075605017423,0.050045397001002086,0.06333426365914985,0.041659467643683,0.12165956048594918,0.24870806900287334,1.0
circular_cone,train,5,897,0.023462881755071475,0.054439813410222325,0.07279772459864375,0.04231386853052754,0.16539519005546024,0.2785064383306235,1.0
circular_cone,train,6,900,-0.03565854383070372,0.09077232492352677,0.11598051979411877,0.07019568769885609,0.22667244233153375,0.38380285820301197,1.0
circular_cone,train,7,885,0.01600649768849217,0.04609252854804015,0.06368747490626189,0.03436370445638204,0.12546971813392244,0.549968749790537,1.0
circular_cone,train,8,900,0.02846668561728216,0.10342699691699611,0.13129361408288387,0.07920308969750067,0.26351474235964356,0.39611501270042027,1.0
circular_cone,train,9,900,0.00427696869089876,0.08394483180205965,0.11391514876274154,0.0677836164868495,0.20512427333547967,0.7099085084983017,1.0
circular_cone,validation,1,770,0.035537009096176846,0.06255394563550855,0.09517743799049512,0.038503973198601216,0.21074406531745915,0.5007640921236316,1.0
circular_cone,validation,2,747,0.11120991328265925,0.11561656488049538,0.13794340066002012,0.10383413429258326,0.24973277055971718,0.3376685720122623,1.0
circular_cone,validation,3,600,0.01836951507562636,0.08878513521398702,0.11085971455113468,0.07890992130916175,0.2025250088430198,0.5869930759580484,1.0
circular_cone,validation,4,617,0.0031688094672762458,0.09609194202977969,0.12016516569081975,0.07913947957581513,0.22185962849416663,0.37348940734830194,1.0
circular_cone,validation,5,767,-0.019112503404829787,0.051510170887712245,0.06336072314118307,0.046624690371686484,0.11557254074714349,0.24693543137743745,1.0
circular_cone,validation,6,900,0.013948603565520822,0.08597082431695538,0.11799821394814032,0.061443017860881355,0.25568349315969374,0.5451240495629008,1.0
global_plane,train,1,730,0.1335721199498774,0.3081738362620985,0.3549849264587161,0.27708051291386937,0.707196790871478,0.8996118668919735,1.0
global_plane,train,10,898,0.20041116060110792,0.4933894805211418,0.6724038530483619,0.33124853907008855,1.5209888600771988,1.7319999764762315,1.0
global_plane,train,11,700,0.1557846368639241,0.3673197673799539,0.43151080389224866,0.35210216639717373,0.8031963533943268,0.879332370096563,1.0
global_plane,train,12,716,0.02275945275674021,0.31328070273695163,0.347568848788695,0.3277437354804533,0.5373262362978437,1.3656419146848293,1.0
global_plane,train,13,688,-0.037953647281328926,0.28292317368252046,0.31719780884463844,0.3090866006173201,0.4720311604633139,0.6801254909876207,1.0
global_plane,train,14,900,-0.009849059759204819,0.2915543958387464,0.3698337898455338,0.27562126315598334,0.7385650420395089,1.1623740369753932,1.0
global_plane,train,15,731,0.19245199705363156,0.4606916423025738,0.587062964843126,0.3547077978391826,1.2112041764788728,1.4210379888766056,1.0
global_plane,train,2,803,-0.2335035177405657,0.23699881595657707,0.27162215157729575,0.24704567263529498,0.4244979842392922,0.4985908575162057,1.0
global_plane,train,3,900,-0.006199337655516501,0.33526301524913354,0.41808179896867137,0.29357291575820454,0.8363850959461924,1.305732901794272,1.0
