fit_set,fit_size,model,cv_status,pose_ids,point_count,fold_count,valid_intersections,valid_rate,global_bias_mm,global_rmse_mm,global_p95_mm,worst_v_bin,worst_v_bin_rmse_mm,worst_v_bin_p95_mm,worst_v_bin_max_abs_mm,v_bias_range_mm,fold_rmse_mean_mm,fold_rmse_std_mm,frame_rmse_mean_mm,frame_rmse_std_mm,protocol_source,parameter_axis_consistency,parameter_center_std_mm,parameter_scale_cv_pct,parameter_beta_rel_std_pct,parameter_axis_angle_range_deg,parameter_apex_spread_mm,parameter_half_angle_range_deg,parameter_half_angle_std_deg,parameter_fit_success_rate,parameter_cost_cv_pct,parameter_stability_metric,within_set_model_rank
CURATED_14,14,quadratic_graph,COMPUTED_MISSING,"001,006,010,013,015,017,025,027,031,049,051,052,053,054",12600,6,12600,1.0,0.010860217553204508,0.12292450998166495,0.21505713418458738,v_1700_1800,0.1948566133511627,0.523809344988274,0.5593632470045122,0.2521616246701034,0.10891221690004384,0.0425964016339826,0.10682880748602781,0.060811520662993244,new subset Q/C grouped CV; 0817 fold-plane reused only as fixed root hint,1.0,2.8356158042923036,3.1613318700851876,7.6530640114778725,,,,,,,7.6530640114778725,2.0
CURATED_14,14,circular_cone,COMPUTED_MISSING,"001,006,010,013,015,017,025,027,031,049,051,052,053,054",12600,6,12600,1.0,0.0028561184430183372,0.12218859797337782,0.21991705174714296,v_1700_1800,0.19893094408278872,0.537071033968408,0.5727089773932903,0.290182277110304,0.10722865245607004,0.04262217760217161,0.10519168678480513,0.062167214076772066,new subset Q/C grouped CV; 0817 fold-plane reused only as fixed root hint,,,,,1.274001008004543,501.4424132807586,1.258597583909463,0.444655519046791,1.0,21.24436194491553,1.274001008004543,1.0
ROBUST_18,18,quadratic_graph,COMPUTED_MISSING,"001,005,006,010,013,015,017,025,026,027,028,031,049,050,051,052,053,054",16200,6,16200,1.0,0.008037791909611916,0.11073293544593767,0.19517701860685285,v_1700_1800,0.1735518203150355,0.502765126093351,0.5424337139575073,0.2748214216470721,0.10361098897278605,0.039071037310972494,0.0981382087314299,0.05129010605819117,new subset Q/C grouped CV; 0817 fold-plane reused only as fixed root hint,1.0,2.9031956332884246,3.466130842572486,6.804848506783272,,,,,,,6.804848506783272,1.0
ROBUST_18,18,circular_cone,COMPUTED_MISSING,"001,005,006,010,013,015,017,025,026,027,028,031,049,050,051,052,053,054",16200,6,16200,1.0,0.003943064077599618,0.11117652495365783,0.19803748268776641,v_0000_0100,0.1830285451343767,0.3011941664708729,0.38314462825758255,0.3008096801899608,0.10333589982272423,0.04101111445205074,0.09709135811035179,0.05416168277536002,new subset Q/C grouped CV; 0817 fold-plane reused only as fixed root hint,,,,,0.5499563912468008,225.30459865910422,0.5363129494401164,0.18240378450194783,1.0,17.25766296793194,0.5499563912468008,2.0
FULL_36,36,quadratic_graph,REUSED_EXISTING,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",32400,6,32400,1.0,0.0027056562025533,0.0990929525841763,0.1843844136113773,v_0000_0100,0.174229765275286,0.2480971603631132,0.3404671453467927,0.2836322262129271,0.0959836980014639,0.0246280931014479,0.0905009820085667,0.0403606926022695,0817/grouped_cv_model_comparison,1.0,2.7608423493028633,1.659831136354185,9.703717123289476,,,,,,,9.703717123289476,1.0
FULL_36,36,circular_cone,REUSED_EXISTING,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",32400,6,32400,1.0,9.034042849609452e-05,0.1008931036770934,0.1905405266796094,v_0000_0100,0.2012023586343311,0.2901329624810386,0.3788079629601952,0.3159864512827905,0.0979706935546825,0.0241072929631512,0.091203786004388,0.0431426446577225,0817/grouped_cv_model_comparison,,,,,0.9818345980328985,408.2814256481111,0.9684234365365683,0.30728625558336503,1.0,10.979370391447146,0.9818345980328985,2.0
