omitted_frame,train_frame_count,train_point_count,status,fit_success,optimizer_cost,objective_mse,train_rmse_mm,heldout_rmse_mm,heldout_p95_abs_mm,grid_valid_count,grid_invalid_count,grid_median_abs_delta_lambda_mm,grid_p95_abs_delta_lambda_mm,grid_max_abs_delta_lambda_mm,normalized_delta_l2,normalized_delta_max_abs,local_theta_axis,delta_local_theta_axis,normalized_delta_theta_axis,local_phi_axis,delta_local_phi_axis,normalized_delta_phi_axis,local_c1,delta_local_c1,normalized_delta_c1,local_c2,delta_local_c2,normalized_delta_c2,local_rho_ref,delta_local_rho_ref,normalized_delta_rho_ref,local_q,delta_local_q,normalized_delta_q,train_top_formal_edge_rmse_mm,train_middle_formal_rmse_mm,train_bottom_formal_edge_rmse_mm
001,29,26080,2,True,1.4372935967832874,0.0004811829918926305,0.030447972810381793,0.02417909995720781,0.043076166320037405,3120,1021,0.0035684437650837925,0.014385159326445773,0.02825468225159966,10.430921235332404,7.253839761822183,1.849370294198247,-0.003093210597535645,-0.17722791238393193,0.009071025213320656,-0.0003483082720075713,-0.01995659395552851,-505.83814730353913,-72.53839761822184,-7.253839761822183,-30.61832517843889,-7.812680605344575,-0.7812680605344575,509.75885523341543,72.36491960069503,7.236491960069503,0.02256086533023398,0.0031108616876716136,1.7823924535252793,0.07308528454613525,0.03022017197693244,0.023567931368774542
002,29,26012,2,True,1.4454244399103828,0.00048390506860073075,0.030546690732045873,0.019788606397104603,0.0279592256701722,3120,1021,0.0023206625906001276,0.007178421529323482,0.010291819047210993,0.9359035657116298,0.6463191316068446,1.8526579963514,0.00019449155561734877,0.011143545287808003,0.009494165321191118,7.483183586289022e-05,0.004287548368159325,-426.8900441668401,6.40970551847721,0.640970551847721,-20.925708103154303,1.879936469940013,0.18799364699400128,430.93074431665195,-6.463191316068446,-0.6463191316068446,0.019259933816330434,-0.00019006982623193114,-0.10890198855874597,0.07385946177447186,0.030324025121299645,0.02113111920843501
003,29,26002,2,True,1.4319354088873655,0.0004793891559716657,0.030410148309625677,0.02584919403846278,0.040103612414243005,3120,1021,0.0024316180954731073,0.0049839248507510085,0.006923794172962516,5.544960802003124,3.8772531721594587,1.8507525298296519,-0.0017109749661308182,-0.09803164441183486,0.009403836090317573,-1.5497395010654128e-05,-0.000887935327557581,-472.0722814069119,-38.77253172159459,-3.8772531721594587,-23.023968783612162,-0.21832421051784578,-0.021832421051784578,475.8193139741978,38.425378341477426,3.8425378341477425,0.021140644443248896,0.0016906408006865312,0.9686658255195645,0.07322383998719359,0.0301873657052106,0.021903846435532143
004,29,26002,2,True,1.373293389965418,0.0004597567425394771,0.029861618026011106,0.040276680555651624,0.07758822940294641,3120,1021,0.0059970503810256506,0.017356436216903137,0.035657622830740365,12.872451527858448,9.02374912797318,1.8562072358309996,0.0037437310352168574,0.2144999879500685,0.009501035212473648,8.170172714542026e-05,0.004681164144362012,-343.0622584055855,90.23749127973178,9.02374912797318,-21.091722809624788,1.7139217634695285,0.17139217634695286,348.10224668192075,-89.29168895079965,-8.929168895079965,0.015761409994387302,-0.0036885936481750627,-2.113408483791943,0.05861552442578738,0.029766025508443213,0.02226705744479568
005,29,26002,2,True,1.4423034699836108,0.00048286021760415496,0.0305468482780926,0.019913273790668203,0.03932787888222608,3120,1021,0.0027357143100621567,0.010039290613627823,0.017774446857515613,3.0450405838718058,2.1028775503874213,1.8533012439449006,0.0008377391491178887,0.047998917577335744,0.009620497293606083,0.0002011638082778551,0.01152583720509995,-412.3011736903737,20.99857599494362,2.0998575994943622,-18.36099091034873,4.444653662745587,0.4444653662745587,416.3651601288462,-21.028775503874215,-2.1028775503874213,0.018593564292815765,-0.0008564393497466002,-0.49070360149408804,0.07447496717805546,0.030306457041192322,0.023380023054297448
006,29,26002,2,True,1.4438414737342442,0.00048337511675066765,0.030533305680374774,0.019579593888075206,0.035260558605225506,3120,1021,0.0015107164303757533,0.004071425374172576,0.00835858890286545,2.418222410730042,1.671196264663911,1.8531833238227922,0.0007198190270094607,0.041242592260855505,0.009566440073603652,0.00014710658827542418,0.008428586646750485,-416.5877870386782,16.71196264663911,1.671196264663911,-19.69794084887362,3.107703724220695,0.3107703724220695,420.70227703326924,-16.69165859945116,-1.669165859945116,0.018729459964691903,-0.0007205436778704617,-0.4128411169681139,0.07378364248541967,0.030296684216468396,0.0242844170606673
007,29,26002,2,True,1.434651537175735,0.00048029847243914796,0.03045572500521006,0.023865680490658594,0.047417202582293955,3120,1021,0.0024607412477133167,0.007691389816994842,0.013445133585605618,1.8988541298377708,1.3022054238510692,1.8530116108258026,0.0005481060300198681,0.03140416224580925,0.009602038635151638,0.00018270514982341064,0.010468233980186807,-420.36522050266376,12.934529182653534,1.2934529182653534,-18.981832240068204,3.823812333026112,0.3823812333026112,424.3718813942097,-13.022054238510691,-1.3022054238510692,0.01892763859324829,-0.000522365049314074,-0.29929312690839555,0.07462685878055353,0.030214038562940634,0.0234779087266688
008,29,26002,2,True,1.4358915692382743,0.0004807136154128806,0.03052468260205638,0.01997628186234918,0.036035204209000145,3120,1021,0.0013936335782035077,0.003218274844886081,0.006168025520537412,2.309935481489815,1.5996417175663111,1.853139059913588,0.0006755551178052599,0.03870645707870452,0.009548791953678595,0.00012945846835036787,0.007417423858704023,-417.3033325096542,15.996417175663112,1.5996417175663111,-20.04588216394758,2.7597624091467345,0.27597624091467343,421.4226168502583,-15.971318782462106,-1.5971318782462105,0.018777650860055093,-0.0006723527825072718,-0.3852297678154404,0.07389229222623092,0.030289171685302988,0.023821041656565786
009,29,26002,2,True,1.4327448882638845,0.0004796601567672864,0.0304161039780793,0.024858011172294834,0.04580423505579993,3120,1021,0.00207052430098724,0.006039004670827798,0.010926701243420212,1.907073154853999,1.3129052605012248,1.8530046455836535,0.0005411407878708197,0.031005083267382137,0.009579406455784716,0.00016007297045648843,0.009171505621279101,-420.2268734131542,13.072876272163114,1.3072876272163114,-19.42516271467829,3.380481858416026,0.33804818584160257,424.26488302770815,-13.129052605012248,-1.3129052605012248,0.018929658826628937,-0.0005203448159334274,-0.2981356184449706,0.07446240478127689,0.030175861014408997,0.0233362146625264
010,29,26002,2,True,1.4397809983404384,0.0004820157342954263,0.030477493509276563,0.0216827245802298,0.038261032740200915,3120,1021,0.001590363147183,0.0031394533761499575,0.0047058653838121245,1.0562896432805926,0.7301625210802513,1.8527135061489777,0.00025000135319497296,0.014324022410631389,0.009495875455134386,7.65419698061584e-05,0.004385531825510656,-425.9981244745148,7.301625210802513,0.7301625210802513,-21.083383003632008,1.722261569462308,0.1722261569462308,430.0946759490967,-7.2992596836236885,-0.7299259683623689,0.01920359477051505,-0.00024640887204731635,-0.1411818840289035,0.07379172251509322,0.030246367473508565,0.0228981484617912
