model,old_global_rmse_mm,new_global_rmse_mm,delta_global_rmse_mm_old_minus_new,old_global_p95_mm,new_global_p95_mm,delta_global_p95_mm_old_minus_new,old_global_max_abs_mm,new_global_max_abs_mm,delta_global_max_abs_mm_old_minus_new,old_worst_v_bin,old_worst_rmse_mm,new_rmse_at_old_worst_v_bin_mm,delta_at_old_worst_v_bin_mm,new_worst_v_bin,new_worst_rmse_mm,old_rmse_at_new_worst_v_bin_mm,delta_at_new_worst_v_bin_mm
global_plane,0.22641392125525545,0.29824253533374406,-0.07182861407848862,0.4286302471428143,0.5415468315549273,-0.11291658441211305,0.9117137318645518,1.4112190975732801,-0.4995053657087283,v_2700_2800,0.8046271464805304,0.9668661727735657,-0.16223902629303533,v_2900_3000,1.14374787794845,,
quadratic_graph,0.07446960956062677,0.08197356395158864,-0.007503954390961867,0.14429062827963432,0.15854020867075175,-0.014249580391117428,0.5625815105147467,0.3933673594743823,0.1692141510403644,v_0200_0300,0.248352628177075,0.11941496705263586,0.12893766112443916,v_2900_3000,0.15183016430082538,,
circular_cone,0.0740966193426796,0.08147464595811418,-0.007378026615434588,0.14034549694699755,0.1567837393580589,-0.016438242411061343,0.5668801895853903,0.43173439217071063,0.1351457974146797,v_0200_0300,0.23882406497825356,0.11421507823612893,0.12460898674212463,v_0000_0100,0.16212540530627587,,
