variant,mask,model,region,v_bin_lo_px,v_bin_hi_px,point_count,frame_count,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,surface_rmse_mm,ray_rmse_mm
new,new_full_board_physical_inset_0mm,circular_cone,Global,0.0,3000.0,16200,18,16200,1.0,-0.0006785351288382106,0.06550360071703146,0.08147464595811418,0.1567837393580589,0.43173439217071063,0.02515327794963053,0.0835032218633984
new,new_full_board_physical_inset_0mm,circular_cone,v_0000_0100,0.0,100.0,61,4,61,1.0,0.15084180508629885,0.15117858364581732,0.16212540530627587,0.2105005313444508,0.22727416134091527,0.05139800392380532,0.16802163209829937
new,new_full_board_physical_inset_0mm,circular_cone,v_0100_0200,100.0,200.0,248,9,248,1.0,0.11868360937035737,0.11906672427928211,0.13862523296563983,0.2176991149890796,0.3763494615951686,0.04322432880355883,0.14227481669855122
new,new_full_board_physical_inset_0mm,circular_cone,v_0200_0300,200.0,300.0,543,12,543,1.0,0.0845680407769023,0.09412870480935501,0.11421507823612893,0.1808107280488002,0.43173439217071063,0.035978682734363526,0.11862207387993645
new,new_full_board_physical_inset_0mm,circular_cone,v_0300_0400,300.0,400.0,573,14,573,1.0,0.049053366281934054,0.0661099668643234,0.08259583120051403,0.13711495919187652,0.3543553075504633,0.025969142481590102,0.08479218599365426
new,new_full_board_physical_inset_0mm,circular_cone,v_0400_0500,400.0,500.0,516,14,516,1.0,-0.004993346400557013,0.040621375759242746,0.0538771990634826,0.11616224967792732,0.1650269195014289,0.016395682880343827,0.05460017850718634
new,new_full_board_physical_inset_0mm,circular_cone,v_0500_0600,500.0,600.0,562,14,562,1.0,-0.04406987773067748,0.05313904260923623,0.06843174361116296,0.14787215519992838,0.2005484015745651,0.020564894587020138,0.06947290131917268
new,new_full_board_physical_inset_0mm,circular_cone,v_0600_0700,600.0,700.0,706,15,706,1.0,-0.0870480788155741,0.08855958541156951,0.10161892207010792,0.17741509638292996,0.21508650058774492,0.03086350187988637,0.10338891693936078
new,new_full_board_physical_inset_0mm,circular_cone,v_0700_0800,700.0,800.0,645,15,645,1.0,-0.11720405270408571,0.11770728392527978,0.12636352613819368,0.19519543647934365,0.26827652791791934,0.03839439458722829,0.12845824538045297
new,new_full_board_physical_inset_0mm,circular_cone,v_0800_0900,800.0,900.0,629,17,629,1.0,-0.09824227602890429,0.0987676090518884,0.10953178673326495,0.1800126277361642,0.28945502122712696,0.03320982690742958,0.11132774713594917
new,new_full_board_physical_inset_0mm,circular_cone,v_0900_1000,900.0,1000.0,812,18,812,1.0,-0.04694157610806413,0.05847399931337188,0.07147687265351953,0.1307307838544659,0.20230389005052984,0.022012324900138644,0.07342509745966581
new,new_full_board_physical_inset_0mm,circular_cone,v_1000_1100,1000.0,1100.0,805,18,805,1.0,-0.007322478465623349,0.043079615422046184,0.05294150602646705,0.10066227153438376,0.21638900562527397,0.016222551659422782,0.054302476536782135
new,new_full_board_physical_inset_0mm,circular_cone,v_1100_1200,1100.0,1200.0,723,18,723,1.0,0.033704624549351546,0.05584136076823537,0.07103388529899961,0.12865095163505197,0.3445913223571324,0.022042796871242425,0.07324872399535404
new,new_full_board_physical_inset_0mm,circular_cone,v_1200_1300,1200.0,1300.0,874,18,874,1.0,0.07532603444628103,0.07643400615657893,0.08764997425169009,0.15480898296017354,0.22950823414282695,0.026925770601505337,0.08973023633443453
new,new_full_board_physical_inset_0mm,circular_cone,v_1300_1400,1300.0,1400.0,840,18,840,1.0,0.0616520064445302,0.0708950342291706,0.08464789774920276,0.1472724897560738,0.22902456601570975,0.026140075398074055,0.08715273725732763
new,new_full_board_physical_inset_0mm,circular_cone,v_1400_1500,1400.0,1500.0,753,18,753,1.0,0.05165009679105492,0.06240009404636052,0.0721589310438155,0.12525975499495418,0.18983884168414988,0.0223192110040563,0.07403193854408226
new,new_full_board_physical_inset_0mm,circular_cone,v_1500_1600,1500.0,1600.0,846,18,846,1.0,0.02266353080505735,0.050643690567856774,0.06526224551493608,0.11037315646044021,0.3115177273481322,0.020000573855933724,0.0663740304825088
new,new_full_board_physical_inset_0mm,circular_cone,v_1600_1700,1600.0,1700.0,891,18,891,1.0,-0.03238844098302605,0.05442128908508735,0.06879769083888014,0.1362267087077953,0.22330275335150418,0.021383393199851015,0.0701493851403516
new,new_full_board_physical_inset_0mm,circular_cone,v_1700_1800,1700.0,1800.0,782,18,782,1.0,-0.029704204872432968,0.055396776622937266,0.06842645247857776,0.13215066080850305,0.19193261266104855,0.021453681919759996,0.06988894460016017
new,new_full_board_physical_inset_0mm,circular_cone,v_1800_1900,1800.0,1900.0,660,18,660,1.0,0.0029278634587686873,0.05564782664232053,0.06694008517387522,0.11970772207375825,0.17856904177676824,0.02121240074808484,0.06893027806825039
new,new_full_board_physical_inset_0mm,circular_cone,v_1900_2000,1900.0,2000.0,677,18,677,1.0,0.0060183302329591725,0.047142930245688844,0.06040250065934942,0.12011684337853681,0.2305479476481196,0.018913989128887566,0.06196953601504313
new,new_full_board_physical_inset_0mm,circular_cone,v_2000_2100,2000.0,2100.0,635,15,635,1.0,0.0005501945229199675,0.052579956485588296,0.06612343094028987,0.12964619703017197,0.2415931062623713,0.020746674286096216,0.06793098315719785
new,new_full_board_physical_inset_0mm,circular_cone,v_2100_2200,2100.0,2200.0,368,11,368,1.0,0.01897639456279289,0.05613677106977717,0.06765421822510356,0.12012686465670866,0.22257028090632502,0.02134257149056742,0.0707409696010035
new,new_full_board_physical_inset_0mm,circular_cone,v_2200_2300,2200.0,2300.0,299,9,299,1.0,0.013771812002324397,0.06567569452122515,0.08360478472888426,0.16499842431925324,0.30968871678794585,0.025776430558169385,0.08613572824961445
new,new_full_board_physical_inset_0mm,circular_cone,v_2300_2400,2300.0,2400.0,390,10,390,1.0,0.007079730857595351,0.04336246830733053,0.052465418080231335,0.09704595377289706,0.12803265782474682,0.01659673976738112,0.0543841205927105
new,new_full_board_physical_inset_0mm,circular_cone,v_2400_2500,2400.0,2500.0,469,10,469,1.0,0.015376652031818351,0.051329270021906105,0.05891417614133416,0.09639694305969894,0.1763839175365547,0.018756977877719565,0.06121500460497593
new,new_full_board_physical_inset_0mm,circular_cone,v_2500_2600,2500.0,2600.0,372,10,372,1.0,0.020096447826298637,0.054513720737835995,0.06607465033611107,0.12137291781173189,0.19216974236928763,0.021116388673296103,0.07042273779452206
new,new_full_board_physical_inset_0mm,circular_cone,v_2600_2700,2600.0,2700.0,176,8,176,1.0,0.003311849912086793,0.05011648468374765,0.06142307000754597,0.11086508476464019,0.21555345796843994,0.01925554207001291,0.06450951619439817
new,new_full_board_physical_inset_0mm,circular_cone,v_2700_2800,2700.0,2800.0,186,7,186,1.0,-0.09211233156484881,0.10376656141111577,0.11706458506430831,0.18766944012483577,0.2078603634980709,0.03506887450355519,0.11843814859993139
new,new_full_board_physical_inset_0mm,circular_cone,v_2800_2900,2800.0,2900.0,131,5,131,1.0,-0.13165327110545486,0.13165327110545486,0.14979140988234765,0.24027852723719434,0.2702981361304637,0.044491754129342226,0.15177775273793825
new,new_full_board_physical_inset_0mm,circular_cone,v_2900_3000,2900.0,3000.0,28,1,28,1.0,-0.09045342020430017,0.09045342020430017,0.09737233576145131,0.1445993017255432,0.16199159315101497,0.0309440374204378,0.09868343060485738
new,new_full_board_physical_inset_0mm,global_plane,Global,0.0,3000.0,16200,18,16200,1.0,-0.021841686938963583,0.23326855564653362,0.29824253533374406,0.5415468315549273,1.4112190975732801,0.09137331311869211,0.3053131541495276
new,new_full_board_physical_inset_0mm,global_plane,v_0000_0100,0.0,100.0,61,4,61,1.0,-0.5319427083979898,0.5319427083979898,0.5418964002263074,0.713862840756633,0.7971180501604067,0.16649448929235977,0.5618351204856558
