frame_index,filename,platform_id,scan_start,scan_end,point_count,z_median_mm,z_spatial_sigma_mm,height_relative_mm,reference_platform_id
0,laser 003.tif,p01,1058,1120,63,-0.023171958676357463,0.02690336919993005,0.01475252364912194,p08
1,laser 003_02.tif,p01,1058,1120,63,-0.02158959696078,0.026637090248294408,0.01665770463239369,p08
0,laser 003.tif,p02,1192,1270,79,30.00581950527237,0.017444252751981536,30.04374398759785,p08
1,laser 003_02.tif,p02,1192,1270,79,30.00354470875493,0.017643439494453544,30.041792010348104,p08
0,laser 003.tif,p03,1291,1372,82,20.02925433586455,0.01873316639275037,20.06717881819003,p08
1,laser 003_02.tif,p03,1291,1372,82,20.032070371122472,0.017228062399902794,20.070317672715646,p08
0,laser 003.tif,p04,1394,1470,77,10.010162379492726,0.025593595141403316,10.048086861818206,p08
1,laser 003_02.tif,p04,1394,1470,77,10.00894602422477,0.023481626522564678,10.047193325817943,p08
0,laser 003.tif,p05,1489,1564,76,6.008818991763633,0.02468328649496215,6.046743474089112,p08
1,laser 003_02.tif,p05,1489,1564,76,6.004354973042041,0.023568703521412666,6.042602274635215,p08
0,laser 003.tif,p06,1582,1656,75,1.9472314908879298,0.025658790002105462,1.9851559732134092,p08
1,laser 003_02.tif,p06,1582,1656,75,1.9366806046645024,0.02353903940313573,1.9749279062576761,p08
0,laser 003.tif,p07,1678,1747,70,0.9212352503658963,0.02777616896549233,0.9591597326913757,p08
1,laser 003_02.tif,p07,1678,1747,70,0.9171502193697734,0.02868157700033335,0.9553975209629471,p08
0,laser 003.tif,p08,1770,1841,72,-0.0379244823254794,0.018126717884444726,0.0,p08
1,laser 003_02.tif,p08,1770,1841,72,-0.03824730159317369,0.01809132411749236,0.0,p08
