row_v_px,yg_mm,raw_mean_z_mm,retained_trend_z_mm,bias_mm,sample_count,repeatability_sigma_mm
9.0,146.2031905,0.1793835,0.0735322588522663,0.1058512411477337,2,0.021614132980529204
10.0,146.10743200000002,0.17068899999999998,0.07346542157838455,0.09722357842161543,2,0.02074792717357568
11.0,146.01137549999999,0.16336,0.07339837630722196,0.08996162369277805,2,0.014515488004197441
12.0,145.91369600000002,0.163527,0.07333019821865405,0.09019680178134595,2,0.007759789816741161
13.0,145.81362000000001,0.174783,0.07326034742712129,0.10152265257287871,2,0.004992173875177033
14.0,145.71292549999998,0.18891750000000002,0.07319006493653415,0.11572743506346586,2,0.007104301830581243
15.0,145.613901,0.1953365,0.07312094806829267,0.12221555193170733,2,0.009986469070697609
16.0,145.516466,0.194403,0.07305294063521188,0.12135005936478811,2,0.013948388365685831
17.0,145.4191255,0.193027,0.07298499916100033,0.12004200083899967,2,0.02171100660955176
18.0,145.32198,0.190752,0.07291719379239202,0.11783480620760799,2,0.02603425746972632
19.0,145.225605,0.1848965,0.07284992621541082,0.11204657378458917,2,0.020501146906941565
20.0,145.1287715,0.181167,0.07278233861576767,0.10838466138423232,2,0.010171023940587305
21.0,145.030765,0.18288749999999998,0.0727139322885728,0.11017356771142718,2,0.0064367930291411414
22.0,144.932816,0.1843435,0.07264556609508142,0.11169793390491857,2,0.01709854907587191
23.0,144.835482,0.182945,0.07257762915772333,0.11036737084227667,2,0.032893193247235816
24.0,144.7378235,0.1830535,0.07250946572668189,0.11054403427331812,2,0.04079086888630836
25.0,144.64072,0.180583,0.07244168967312657,0.10814131032687342,2,0.018094862530563752
26.0,144.540784,0.19131900000000002,0.07237193659843717,0.11894706340156284,2,0.003068843430349604
27.0,144.44048049999998,0.20378600000000002,0.07230192701703396,0.13148407298296605,2,0.0014354267658086943
28.0,144.34464300000002,0.195417,0.0722350346029335,0.12318196539706651,2,0.01987111476490435
29.0,144.2475285,0.1930055,0.07216725087162619,0.1208382491283738,2,0.018105469132281542
30.0,144.150778,0.188892,0.07209972120411161,0.1167922787958884,2,0.018963189657860837
31.0,144.05478549999998,0.1812245,0.07203272060350596,0.10919177939649405,2,0.026032136149382757
32.0,143.959718,0.16922199999999998,0.0719663656320439,0.09725563436795609,2,0.033427765973812855
33.0,143.86146300000001,0.17214200000000002,0.07189778585745207,0.10024421414254794,2,0.014576299187379486
34.0,143.7663795,0.160196,0.07183141971835073,0.08836458028164927,2,0.0315327198002329
35.0,143.6665865,0.1703345,0.07176176645443702,0.09857273354556298,2,0.03460085612380133
36.0,143.566286,0.182868,0.07169175896696618,0.11117624103303382,2,0.033629998513232194
37.0,143.46623449999998,0.19425399999999998,0.071621925275881,0.12263207472411898,2,0.02185384217935145
38.0,143.3672725,0.20053500000000002,0.0715528520312303,0.12898214796876972,2,0.0022853691167949108
39.0,143.269792,0.1998575,0.0714848128401754,0.12837268715982458,2,0.016227393521450077
40.0,143.1733835,0.19413249999999999,0.07141752188094956,0.12271497811905042,2,0.02747604819656568
41.0,143.0765735,0.190295,0.07134995068377654,0.11894504931622345,2,0.03305017095265923
42.0,142.9790705,0.189724,0.07128189578822898,0.11844210421177102,2,0.0327786419486836
43.0,142.8825975,0.1842935,0.07121455980945744,0.11307894019054256,2,0.02703057092441816
