dataset,split,pose,frame_count,exposure_us,search_mode,peak_p50_dn,peak_p95_dn,saturation_fraction,near_saturation_fraction,fwhm_p50_px,fwhm_p95_px,valid_fraction,response_p50
laser_plane,fit,001,1,200.0,auto,35.0,91.0,0.0,0.0,3.3333333333333357,4.3781565656565675,0.09233333333333334,4.117178916931152
laser_plane,fit,002,1,200.0,auto,121.0,182.0,0.0020408163265306124,0.0020408163265306124,1.9935427968655794,2.5230432717916766,0.49,19.50512981414795
laser_plane,fit,003,1,200.0,auto,87.0,128.5,0.0,0.0,4.01218161683278,5.880903665814152,0.19033333333333333,10.578071594238281
laser_plane,fit,004,1,200.0,auto,112.0,186.0,0.009668508287292817,0.011049723756906077,2.8315806527630514,3.8550238645685746,0.4826666666666667,17.28654384613037
laser_plane,fit,005,1,200.0,auto,110.0,178.0,0.003351206434316354,0.003351206434316354,2.787607316162749,3.7067262751473273,0.49733333333333335,17.22664451599121
laser_plane,fit,006,1,200.0,auto,121.0,200.0,0.011494252873563218,0.013522650439486139,2.1446428571428555,2.8384084682440838,0.493,19.352121353149414
laser_plane,fit,007,1,200.0,auto,123.0,201.0,0.006574621959237344,0.008547008547008548,2.19811746987952,3.327380952380949,0.507,20.076690673828125
laser_plane,fit,008,1,200.0,auto,111.0,170.54999999999995,0.0018633540372670807,0.002484472049689441,2.3319081825847583,3.0339585274930045,0.5366666666666666,17.842490196228027
laser_plane,fit,009,1,200.0,auto,119.0,202.0,0.008252063015753939,0.009752438109527382,2.2171717171717162,3.479230769230763,0.44433333333333336,19.13511085510254
laser_plane,fit,010,1,200.0,auto,168.0,255.0,0.09658068386322735,0.10197960407918416,1.8368055555555571,2.3014359086579312,0.5556666666666666,26.005273818969727
laser_plane,fit,011,1,200.0,auto,32.0,37.0,0.0,0.0,3.74603174603174,4.575000000000003,0.02033333333333333,3.4903807640075684
laser_plane,fit,012,1,200.0,auto,112.0,173.04999999999995,0.002380952380952381,0.002380952380952381,2.388948306595367,4.003896103896107,0.42,18.251850128173828
laser_plane,fit,013,1,200.0,auto,103.0,172.0,0.00850546780072904,0.009113001215066828,2.5042857142857144,3.321439988582847,0.5486666666666666,16.677939414978027
laser_plane,fit,014,1,200.0,auto,106.0,174.0,0.005555555555555556,0.006349206349206349,2.421840927906974,3.6731730769230735,0.42,17.21568489074707
laser_plane,fit,015,1,200.0,auto,34.0,166.74999999999994,0.0,0.0,3.7040043290043343,4.61201923076923,0.04066666666666666,3.714180111885071
laser_plane,fit,016,1,200.0,auto,96.0,149.25,0.0,0.0,3.147681451612904,4.7101044932079414,0.23866666666666667,13.993563175201416
