model,split,image_id,count,mean_signed_mm,mae_mm,rmse_mm,median_abs_mm,p95_abs_mm,max_abs_mm,valid_rate
circular_cone,train,12,900,-0.0013177580757702699,0.03178924013627832,0.043718783974179005,0.0255722473697233,0.08397333638994833,0.5609761058117329,1.0
circular_cone,train,13,900,-0.006932065570658021,0.04353927274915072,0.055863183732179446,0.03393275833394682,0.11704277008748816,0.1720149537038651,1.0
circular_cone,train,14,900,0.004276237544367834,0.06659300773040942,0.07732931740156403,0.06570372921851231,0.1268304959466036,0.39772040341483716,1.0
circular_cone,train,16,900,0.017937272114838834,0.039902702129005166,0.05349703745386382,0.028738313286226003,0.09753761669293226,0.3220694673922253,1.0
circular_cone,train,17,890,-0.05951096243850316,0.07170516696617346,0.08648732358446166,0.07189330475091538,0.15010743938186114,0.234774162282406,1.0
circular_cone,train,18,900,-0.06468002974178742,0.0831006296799852,0.09826202092756449,0.07531293681569196,0.1706265732127235,0.2895571287066332,1.0
circular_cone,train,2,890,0.029492956968504565,0.042253413670276414,0.052304332039982304,0.04053444913256499,0.07694006333192077,0.22755995188720135,1.0
circular_cone,train,3,900,0.02458672146824837,0.06225828107740224,0.07194015253437132,0.05846367264973651,0.13440110867806537,0.1991790242030902,1.0
circular_cone,train,4,900,-0.0064501560291041135,0.07511732773325523,0.09848765402033859,0.06641904516334307,0.1545691556022177,0.4587364465947985,1.0
circular_cone,train,5,900,0.02711246709641437,0.046011724318255016,0.05909425719478384,0.037916293905823295,0.12230555992368858,0.19724429740927008,1.0
circular_cone,train,6,900,-0.025258377540928526,0.055710613557692516,0.07056051914242782,0.048250330589212354,0.12787553967291385,0.3393419148674184,1.0
circular_cone,train,7,900,0.051055992194389874,0.06657079199111864,0.08096960236365727,0.05994486690741496,0.1582446450823454,0.23532399182568042,1.0
circular_cone,train,8,900,-0.020441390334952986,0.05785584631427974,0.06957571161020926,0.055369854809441676,0.12378532322790073,0.46305198947538884,1.0
circular_cone,train,9,900,0.022178703957873344,0.0655879021844814,0.07877448972708362,0.06086250985674724,0.13947028762991634,0.1636594340453712,1.0
circular_cone,validation,19,900,-0.0654820345833246,0.07662359266097458,0.09401060242755871,0.07210695277268542,0.17348772278887167,0.2322712053808118,1.0
circular_cone,validation,20,900,-0.08327149391167268,0.08457975532578556,0.09590887062458758,0.08091723495010683,0.16798855306792565,0.22488331224008107,1.0
circular_cone,validation,21,900,-0.050548466545626905,0.060279457976405035,0.0731458569043107,0.05528541681206889,0.1378627323158866,0.1954697051404537,1.0
circular_cone,validation,22,900,0.10424275627001028,0.1058066505821201,0.11014265076650834,0.10198967436622297,0.15708995858514638,0.25830419362421253,1.0
circular_cone,validation,23,900,-0.013336827173087486,0.05188092960884559,0.06610399318757107,0.04192943280190775,0.13173909746955695,0.19490829410324295,1.0
circular_cone,validation,24,900,0.005617485426252845,0.04466790220778926,0.05377402778232538,0.04087611633622146,0.09857531756167072,0.16766615796359474,1.0
global_plane,train,12,900,-0.09909397399769293,0.2555729561346651,0.33041565582624866,0.19581987199586592,0.7382722645831392,0.8793234384049811,1.0
global_plane,train,13,900,-0.03981706664310688,0.20140226084859617,0.24786656931087278,0.18982991301999164,0.478501906506733,0.8639142465181067,1.0
global_plane,train,14,900,-0.03149732264652761,0.22470249723287958,0.2580543379072581,0.21469019444845117,0.47232362611152895,0.5399301886938019,1.0
global_plane,train,16,900,-0.023435012643709948,0.199227523717003,0.24334232918700072,0.16800426979875738,0.5152033454932905,0.6318883107356896,1.0
global_plane,train,17,890,-0.006921678865744831,0.13660775846016532,0.1601261159056904,0.16210709354396613,0.26054244946399757,0.3769112500931442,1.0
global_plane,train,18,900,-0.0887415353606683,0.20012524119029637,0.24926054651101606,0.17127476763818095,0.4803147874560749,0.6013755082140051,1.0
global_plane,train,2,890,-0.02294844427007782,0.20986786505737576,0.26103879334237,0.18458046830647845,0.5297110410687763,0.610409618035419,1.0
global_plane,train,3,900,0.0497663007701797,0.16659149887766841,0.18112898409655284,0.16683510747850505,0.2790037865781926,0.4296034011296115,1.0
global_plane,train,4,900,-0.008720480561173896,0.1433069314588364,0.16867963522602222,0.1488608501753106,0.2873255502840948,0.35511682680294143,1.0
global_plane,train,5,900,-0.024366872106760033,0.19986831852820336,0.24335203625300064,0.18365898662739255,0.4401809932084177,0.826559804118574,1.0
global_plane,train,6,900,0.040281618859807196,0.16285021308037395,0.19522292589018056,0.15534306010323462,0.3711327782885916,0.5652068542037796,1.0
global_plane,train,7,900,0.05013760344774836,0.22279117113091237,0.2418741443457555,0.23334557586281335,0.36607213952423195,0.4327069153065395,1.0
global_plane,train,8,900,0.03609376781676411,0.15647524253791226,0.18254282366576233,0.15836759904522069,0.30873866826035506,0.4065484852623058,1.0
global_plane,train,9,900,0.028171436635880003,0.21041776366490605,0.23743775005031734,0.22159573123315113,0.36707953205907984,0.4142078503716675,1.0
global_plane,validation,19,900,-0.10084908834866092,0.22712297335292317,0.2716074262809522,0.19884456967582764,0.5055750150813423,0.6124223468988248,1.0
global_plane,validation,20,900,-0.17044402449494428,0.24995879167806656,0.3641232463985186,0.1453688930315593,0.83213937780132,0.9877628904035873,1.0
global_plane,validation,21,900,0.016121955875799662,0.13909542298308325,0.1659535556424997,0.12862979472470215,0.3224791626354374,0.4259827110779497,1.0
global_plane,validation,22,900,0.09869477581081368,0.14837886590877777,0.17757993458173493,0.17485629496877664,0.29082950685151443,0.4360591720536604,1.0
global_plane,validation,23,900,-0.012208896632469836,0.2020612360046031,0.23138658812119928,0.20554312037705813,0.4207769749376723,0.5557650563350762,1.0
global_plane,validation,24,900,0.041859714274002424,0.1658899405949473,0.18664635913071564,0.1801089480351834,0.28653839182150587,0.3290670975464991,1.0
quadratic_graph,train,12,900,0.0024642407225996974,0.03204495631168457,0.04397795246117695,0.026463572108525568,0.0833288367067439,0.5646916138171036,1.0
quadratic_graph,train,13,900,0.012776923887153846,0.04575769626682877,0.05671194468307625,0.04035337568501518,0.11058250925488546,0.17987617463927563,1.0
quadratic_graph,train,14,900,0.022732802913239994,0.07029050451530161,0.08309013769573345,0.06658429034411029,0.1522792002688902,0.4117631795768375,1.0
quadratic_graph,train,16,900,0.007250217452018812,0.033413323342500814,0.045357519524041226,0.02572538827604376,0.08115261607448473,0.2961938663161163,1.0
quadratic_graph,train,17,890,-0.07014653110736349,0.07738848435488223,0.09234474094355721,0.08056909661934242,0.15079957363951166,0.2571919564321661,1.0
quadratic_graph,train,18,900,-0.06120509374425359,0.08060979579774387,0.09698220750051313,0.06997273912674018,0.17210152578376778,0.28983849085068414,1.0
quadratic_graph,train,2,890,0.0035469366967876073,0.027896560013325113,0.043284848691903355,0.021212029558682843,0.06696115918027201,0.2533369848119946,1.0
quadratic_graph,train,3,900,0.024509500924231892,0.04796024022789412,0.05893946596802373,0.040574547885057655,0.11423047775764414,0.24476673709261831,1.0
quadratic_graph,train,4,900,0.006059124543932563,0.07195555565706867,0.09457007410381509,0.06212869087892159,0.15332147508620422,0.4558248728385479,1.0
quadratic_graph,train,5,900,0.03532795071923412,0.05162079625493827,0.06552613315836779,0.04153556520481061,0.1359685941606017,0.21334855895543114,1.0
quadratic_graph,train,6,900,-0.03061858059364555,0.05573742190796806,0.07060396686545606,0.04882844538701647,0.1302218604556401,0.3360706105308964,1.0
quadratic_graph,train,7,900,0.045967791913400204,0.0633794947590377,0.0776935675411277,0.05618770554031016,0.15723928255380315,0.2261913046961581,1.0
quadratic_graph,train,8,900,-0.01555444601394331,0.05477859269300577,0.06696965238477359,0.05131816589914706,0.12018811069893329,0.4813600955779975,1.0
quadratic_graph,train,9,900,0.02180892740657795,0.06547160118350841,0.07846551706552836,0.06080207950509475,0.1386512264547605,0.16084667949121467,1.0
quadratic_graph,validation,19,900,-0.06888993712078799,0.07921741866903985,0.09720563021091842,0.07268057023100027,0.17856470873003896,0.23801107280644374,1.0
quadratic_graph,validation,20,900,-0.06057070123091901,0.06457775618612573,0.07891152989089688,0.05507868091564205,0.15580873032193945,0.21076307764042213,1.0
quadratic_graph,validation,21,900,-0.07696855357251442,0.08062587289685312,0.09372709344574684,0.0781571586576888,0.16614249699980518,0.2225093539855152,1.0
quadratic_graph,validation,22,900,0.08176032739274483,0.08397435272406356,0.08915254601045812,0.07953810606420575,0.13617954094222567,0.23839601659699383,1.0
quadratic_graph,validation,23,900,0.0038998974609556728,0.05141684876983049,0.06535611671150818,0.04279210096933639,0.13211966769380865,0.20543721143076255,1.0
quadratic_graph,validation,24,900,-0.01658973900423373,0.04763064466835342,0.056720951854920036,0.044479003044955334,0.10213235520930082,0.18929462858102397,1.0
