row_type,dataset,dimension,feature,frame_count,min,max,range,std,spearman,direction_count,directions
dataset_dimension,M0,depth,board_center_z_mm,18,648.6771903892012,712.278195371598,63.60100498239683,21.982505102655722,,,
dataset_dimension,M0,tilt,board_tilt_deg,18,2.5334650585219993,24.765800458073528,22.23233539955153,7.733239892548373,,,
dataset_dimension,M0,apparent_size,apparent_bbox_area_fraction,18,0.24641252297657018,0.5051748660672994,0.25876234309072926,0.05823459126941642,,,
dataset_dimension,M0,sensor_u,image_center_u_norm,18,0.34233722293918784,0.6770237934860316,0.33468657054684375,0.10498234647753928,,,
dataset_dimension,M0,sensor_v,image_center_v_norm,18,0.3388376345778956,0.6402894092906606,0.30145177471276496,0.10210173162927227,,,
dataset_dimension,M0,sensor_radius,image_center_radius_norm,18,0.03317333688235521,0.2310375272186442,0.197864190336289,0.06069720230907885,,,
coupling,M0,tilt_depth,"spearman(tilt,depth)",18,,,,,-0.5768833849329206,,
direction_coverage,M0,,,,,,,,,4,+pitch;+roll;-pitch;-roll
dataset_dimension,M1-core,depth,board_center_z_mm,22,648.6771903892012,712.278195371598,63.60100498239683,21.627148311922422,,,
dataset_dimension,M1-core,tilt,board_tilt_deg,22,2.5334650585219993,26.649614862903103,24.116149804381102,8.364859291275677,,,
dataset_dimension,M1-core,apparent_size,apparent_bbox_area_fraction,22,0.24641252297657018,0.5446312985986236,0.2982187756220534,0.07558615361873619,,,
dataset_dimension,M1-core,sensor_u,image_center_u_norm,22,0.3129687058654698,0.6770237934860316,0.36405508762056177,0.10588837010783181,,,
dataset_dimension,M1-core,sensor_v,image_center_v_norm,22,0.3388376345778956,0.6402894092906606,0.30145177471276496,0.09905655205983215,,,
dataset_dimension,M1-core,sensor_radius,image_center_radius_norm,22,0.03317333688235521,0.2310375272186442,0.197864190336289,0.0599200731622327,,,
coupling,M1-core,tilt_depth,"spearman(tilt,depth)",22,,,,,-0.6160361377752683,,
direction_coverage,M1-core,,,,,,,,,4,+pitch;+roll;-pitch;-roll
dataset_dimension,M2,depth,board_center_z_mm,30,648.6771903892012,712.278195371598,63.60100498239683,20.799362295093342,,,
dataset_dimension,M2,tilt,board_tilt_deg,30,2.5334650585219993,28.544995260599368,26.011530202077367,8.592339309928997,,,
dataset_dimension,M2,apparent_size,apparent_bbox_area_fraction,30,0.24641252297657018,0.5446312985986236,0.2982187756220534,0.06547115409960398,,,
dataset_dimension,M2,sensor_u,image_center_u_norm,30,0.3129687058654698,0.6770237934860316,0.36405508762056177,0.09322993420990278,,,
dataset_dimension,M2,sensor_v,image_center_v_norm,30,0.3388376345778956,0.6402894092906606,0.30145177471276496,0.08986867896636966,,,
dataset_dimension,M2,sensor_radius,image_center_radius_norm,30,0.03180210459864335,0.2310375272186442,0.19923542262000085,0.057814882313801816,,,
coupling,M2,tilt_depth,"spearman(tilt,depth)",30,,,,,-0.6743047830923248,,
direction_coverage,M2,,,,,,,,,4,+pitch;+roll;-pitch;-roll
