row_type,dataset,omitted_frame_id,remaining_frame_count,status,global_reprojection_rmse_px,fx,delta_fx,delta_fx_pct,fy,delta_fy,delta_fy_pct,cx,delta_cx,delta_cx_pct,cy,delta_cy,delta_cy_pct,k1,delta_k1,delta_k1_pct,k2,delta_k2,delta_k2_pct,p1,delta_p1,delta_p1_pct,p2,delta_p2,delta_p2_pct,k3,delta_k3,delta_k3_pct,candidate_global_p95_abs_delta_lambda_mm,candidate_frame_p95_median_mm,candidate_frame_p95_p90_mm,candidate_frame_p95_p95_mm,candidate_frame_p95_max_mm,candidate_frame_count
loo,M0,001,17,ok,0.1153754488156851,7344.6476469599265,-3.2174674800880894,-0.04378778638389982,7345.569086433889,-3.272060209985284,-0.044524846090592034,2069.4317714952927,-0.7847586525444967,-0.03790708078678398,1510.100183864193,-2.336270240820568,-0.15447063805421557,-0.04955180737936778,-0.00041464222795421085,0.8438464585340095,0.2307254192704063,0.0034494472475850857,1.5177351203842702,-0.0006013636336136357,-8.820940731134406e-05,17.189648411739125,-0.00047545486142394123,2.9230381206756147e-06,-0.6110311792116959,0.0,0.0,nan,0.3350935538268118,0.3263700056774354,0.3419526404339507,0.3454948283031763,0.348450503301666,30
loo,M0,002,17,ok,0.11640201337480227,7352.231407214792,4.366292774777321,0.05942260380088753,7353.247710995807,4.406564351932502,0.059962710636967925,2071.5289960838813,1.312465936044191,0.06339751986959866,1511.8903155178696,-0.5461385871440143,-0.03610985345279796,-0.04935962795397976,-0.00022246280256619372,0.4527383740610318,0.22964892536840542,0.002372953345584211,1.0440845657656843,-0.0005009732242827478,1.2181002019543818e-05,-2.3737506962221078,-0.00040041923351820375,7.79586660264131e-05,-16.296460622579858,0.0,0.0,nan,0.4248178497567096,0.39996708773527134,0.42383359013187827,0.4258780809808019,0.4265811995111676,30
loo,M0,003,17,ok,0.11633498816783787,7345.930656761583,-1.9344576784314995,-0.02632679898587014,7346.938089801223,-1.9030568426514947,-0.02589601278183292,2069.9443160277997,-0.2722141200374608,-0.013149065137549723,1513.986977979121,1.5505238741075118,0.10251828233173846,-0.04909039298315777,4.677216825579866e-05,-0.09518694884345222,0.2262066569074427,-0.0010693151153784997,-0.4704919336000586,-0.00046920575030129445,4.394847600099717e-05,-8.564379624753936,-0.0004899163752240251,-1.1538475679408254e-05,2.4120001551894634,0.0,0.0,nan,0.19409245711321998,0.19016541029317297,0.19724130158699438,0.19761781067449363,0.20162134294723727,30
loo,M0,004,17,ok,0.11965997502085564,7347.967240220801,0.10212578078608203,0.0013898701077866085,7349.006720586237,0.16557394236224354,0.0022530619325995247,2070.362135255068,0.14560510723094922,0.007033327437519366,1512.475482513025,0.03902840801151797,0.002580499028940233,-0.04916167114360719,-2.4505992193626924e-05,0.04987262109670554,0.22706371930608085,-0.00021225271674035762,-0.09338986204799728,-0.0005136752894226927,-5.210631204011218e-07,0.10154123140635914,-0.00047157069169798804,6.807207846628801e-06,-1.422977075886825,0.0,0.0,nan,0.015264515824219414,0.012554402576603252,0.015097554429849539,0.01540646241999326,0.01638521310850365,30
loo,M0,005,17,ok,0.11953091849732543,7348.304356812793,0.4392423727786081,0.005977823026655859,7349.341272675791,0.5001260319158973,0.0068055088133766335,2069.4990689777114,-0.7174611701257163,-0.0346563347204305,1512.8693428755691,0.4328887705555644,0.02862194767790935,-0.04884090373695504,0.00029626141445852905,-0.6029273637288908,0.2266656773163566,-0.0006102947064646203,-0.2685258371277978,-0.0004931250407539542,2.0029185548337404e-05,-3.903151240254719,-0.0005034805852763138,-2.5102685731696948e-05,5.247459331961823,0.0,0.0,nan,0.05410635069589489,0.05119911131872357,0.055266835546157154,0.05626389174594323,0.057622582664583887,30
loo,M0,006,17,ok,0.11995856259147485,7347.836497294387,-0.028617145627322316,-0.0003894620434863991,7348.804303429859,-0.03684321401578927,-0.0005013472638827568,2070.151202986287,-0.06532716155015805,-0.0031555714389688958,1513.0190040106474,0.5825499056338685,0.038517314499576336,-0.04895204741235028,0.00018511773906328827,-0.3767367093580954,0.22559441105150582,-0.0016815609713153878,-0.739876264239028,-0.0004935587475726146,1.9595478729677067e-05,-3.818633409857889,-0.00047861505135996635,-2.3715181534950808e-07,0.04957415791474908,0.0,0.0,nan,0.007120972334712404,0.006641941031415398,0.008250357141139376,0.008349987097091968,0.008537630306574328,30
loo,M0,007,17,ok,0.11872409439584565,7348.049830928614,0.18471648859940615,0.0025138796878075723,7349.037015197145,0.19586855326997465,0.0026652985057300555,2070.1726742492865,-0.04385589855064609,-0.0021184208469011826,1513.6321777423357,1.1957236373220894,0.07905942984094896,-0.04918014286312608,-4.297771171251491e-05,0.08746477656999824,0.23085543016292884,0.0035794581401076275,1.5749390963987198,-0.0004666617593222131,4.6492466980078495e-05,-9.060135257015396,-0.0004748841873989059,3.4937121457109203e-06,-0.7303247388804324,0.0,0.0,nan,0.03140054988233487,0.028790357089965822,0.03371265425901243,0.035304922312868144,0.0368875463362258,30
loo,M0,008,17,ok,0.11996351934332687,7347.423793372513,-0.44132106750203093,-0.006006112804585203,7348.307105815217,-0.534040828657453,-0.007267007382535991,2070.2716801686306,0.05515002079346232,0.0026639735501254053,1512.611884484265,0.1754303792513383,0.01159919008664397,-0.04913592272001345,1.24243140011554e-06,-0.0025284962945807997,0.22657173055948507,-0.0007042414633361416,-0.30986182000155627,-0.0005258386179474136,-1.2684391645121935e-05,2.47184783734973,-0.00047425406729966656,4.123832244950284e-06,-0.8620448914709251,0.0,0.0,nan,0.051202928156493493,0.04731754555970724,0.05197467247298903,0.05228079974750074,0.053051851055653285,30
loo,M0,009,17,ok,0.11913382071989138,7347.796918202104,-0.06819623791034246,-0.0009281095508452286,7348.725828185144,-0.1153184587310534,-0.0015692060343924826,2069.635631445202,-0.5808987026352952,-0.02805980409178804,1512.5008414314225,0.06438732640890521,0.004257192177175239,-0.04917678456009299,-3.961940867942132e-05,0.08063022878372453,0.22821351998038736,0.0009375479575661483,0.4125152118905061,-0.0005065616670999672,6.5925592023244545e-06,-1.284713028640414,-0.0005082173831906532,-2.9839483646036343e-05,6.237638418171387,0.0,0.0,nan,0.011848973392278592,0.009357230212751233,0.01241618558289133,0.012896023978152866,0.013588897870647543,30
loo,M0,010,17,ok,0.11823794371152739,7350.270223186786,2.405108746771475,0.03273207536220226,7351.440962207387,2.599815563512493,0.03537721814411238,2070.2038400037954,-0.012690144041698659,-0.0006129863160155733,1511.6702831506227,-0.7661709543908728,-0.05065805920713909,-0.04984326198480863,-0.0007060968333950646,1.4369913917892183,0.22956227976047777,0.002286307737656562,1.005961042563263,-0.0005241030320211217,-1.0948805718830079e-05,2.1336286748967157,-0.0005654436136892623,-8.706571414464543e-05,18.20019575058255,0.0,0.0,nan,0.24515651864187474,0.2369422046547925,0.24569720570366826,0.2461314639384301,0.24779449813253224,30
