row_type,dataset,rep,candidate_id,frame_count,status,global_reprojection_rmse_px,fx,delta_fx,delta_fx_pct,fy,delta_fy,delta_fy_pct,cx,delta_cx,delta_cx_pct,cy,delta_cy,delta_cy_pct,k1,delta_k1,delta_k1_pct,k2,delta_k2,delta_k2_pct,p1,delta_p1,delta_p1_pct,p2,delta_p2,delta_p2_pct,k3,delta_k3,delta_k3_pct,candidate_global_p95_abs_delta_lambda_mm,candidate_frame_p95_median_mm,candidate_frame_p95_p90_mm,candidate_frame_p95_p95_mm,candidate_frame_p95_max_mm,candidate_frame_count,mc_centered_global_p95_abs_delta_lambda_mm,mc_centered_frame_p95_median_mm,mc_centered_frame_p95_p90_mm,mc_centered_frame_p95_p95_mm,mc_centered_frame_p95_max_mm
corner_noise_mc,M0,1,M0_mc_0001,18,ok,0.16552815442464344,7349.212315657688,1.3472012176735007,0.018334593745140786,7350.148461135432,1.3073144915570083,0.01778939652483906,2071.3414463256813,1.1249161778441703,0.05433809272906532,1512.4638797546695,0.027425649655924644,0.00181334227838047,-0.049293351232050656,-0.00015618608063708989,0.3178573288788858,0.23314417259521628,0.005868200572395066,2.581971389305434,-0.0004919314958340828,2.122273046820881e-05,-4.135741143775909,-0.00045084684930348434,2.7531050241132507e-05,-5.755084059556303,0.0,0.0,nan,0.13279418663419162,0.12560460777573326,0.1340819124459426,0.1346964017450543,0.135658684836136,30,0.13279412596412496,0.12560460989198247,0.13407947782759153,0.1346964401441292,0.13565868220865696
corner_noise_mc,M0,2,M0_mc_0002,18,ok,0.16787480558380005,7346.203813005759,-1.6613014342556198,-0.022609307715663322,7347.102918449669,-1.738228194205476,-0.023653092501520506,2068.0938914729572,-2.1226386748799086,-0.10253220588130112,1512.9824329975413,0.545978892527728,0.036099294687446014,-0.04995897282284799,-0.0008218076714344227,1.6724767676402699,0.23386596803532786,0.006589996012506649,2.8995568488185524,-0.0005075324509591024,5.621775343189208e-06,-1.0955332831805429,-0.0005371933047945118,-5.881540524989499e-05,12.294758036665835,0.0,0.0,nan,0.17830602694000958,0.17497642961270116,0.18080790218270978,0.18154383205996366,0.18322540555673755,30,0.17830605710078656,0.17497484641169195,0.18080790214344178,0.1815438348380553,0.18322540695307338
corner_noise_mc,M0,3,M0_mc_0003,18,ok,0.16648330636443173,7348.619470823263,0.7543563832487052,0.010266334118821059,7349.646426490829,0.8052798469543632,0.010957916097045104,2071.710354484936,1.4938243370988857,0.07215787891483069,1513.1749160140594,0.7384619090457818,0.04882597923644783,-0.04794406104442762,0.0011931041069859483,-2.4281093614364226,0.21308817101646096,-0.014187801006360246,-6.242543318629222,-0.0004921279140130858,2.1026312289205832e-05,-4.0974645070582625,-0.00045543078346336,2.2947116081256853e-05,-4.7968595754738965,0.0,0.0,nan,0.09701151460558322,0.09260226338466851,0.0987650321189051,0.10113726820140016,0.10285775537252562,30,0.09701111632497258,0.09260226372674367,0.09876491387731448,0.10113674273101451,0.10285775750789412
corner_noise_mc,M0,4,M0_mc_0004,18,ok,0.16608945783303128,7348.259155746113,0.3940413060981882,0.005362663848085872,7349.297641297841,0.45649465396672895,0.006211791013814531,2069.6960807383666,-0.5204494094705296,-0.02513985382163689,1513.2895171112873,0.8530630062737146,0.056403229633771014,-0.04850639311124038,0.0006307720401731859,-1.2836964408294522,0.22005043680332237,-0.007225535219498841,-3.1791901075989286,-0.0004877893628830909,2.5364863419200716e-05,-4.9429317969328475,-0.0004699559576434701,8.421941901146752e-06,-1.7605206906848887,0.0,0.0,nan,0.05371882092808277,0.050211820345521116,0.05607051666282643,0.05628204608499999,0.05864623947576888,30,0.05371738446460199,0.05021284347298831,0.05606796262283126,0.056281527785641855,0.0586468987685862
corner_noise_mc,M0,5,M0_mc_0005,18,ok,0.16754153269505762,7348.101539585918,0.2364251459030129,0.0032176032387746275,7349.139565835192,0.29841919131740724,0.004060765301120866,2071.127567140844,0.9110369930067463,0.04400684564825148,1512.8019304450556,0.36547634004205065,0.02416474021437957,-0.049393564848550134,-0.00025639969713656813,0.5218040079163828,0.23320884391237282,0.005932871889551605,2.610426362605491,-0.0005090721450630752,4.082081239216396e-06,-0.7954881846401675,-0.00045161995372727283,2.6757945817344015e-05,-5.593474498469883,0.0,0.0,nan,0.02950940284488865,0.02588271798072128,0.03098392405442098,0.03151701280936692,0.032211803151085405,30,0.029508554789077834,0.025883739889545152,0.030984430223141998,0.03151649253795199,0.03221179583377989
corner_noise_mc,M0,6,M0_mc_0006,18,ok,0.1661609811512618,7346.333915661188,-1.531198778826365,-0.02083868926522964,7347.320697420693,-1.5204492231814584,-0.02068964606584031,2070.1554795760208,-0.06105057181639495,-0.002948994509865847,1512.7886604245004,0.35220631948686787,0.02328734662080639,-0.04913712318509803,4.196631553377017e-08,-8.540646454563098e-05,0.2214713954814812,-0.005804576541340006,-2.553977215311242,-0.0005436012561668259,-3.044702986453431e-05,5.933309773931086,-0.0004879515043904307,-9.573604845813867e-06,2.001264033084991,0.0,0.0,nan,0.1536647568912997,0.14564821336810496,0.15440974476714928,0.15743665919414923,0.15857593067622702,30,0.15366474732205118,0.14564819432523562,0.15441000757072004,0.15743785877940183,0.15857593330370606
corner_noise_mc,M0,7,M0_mc_0007,18,ok,0.16924658626031572,7347.070081036973,-0.7950334030419981,-0.010819923755535463,7348.024659918561,-0.8164867253135526,-0.011110414676556617,2069.4832501134815,-0.73328003435563,-0.03542045113045569,1513.1192535605533,0.6827994555396799,0.045145662397018026,-0.04920056528110848,-6.340012969491271e-05,0.12902683640692045,0.22925810194325053,0.0019821299204293152,0.8721247137512125,-0.0004691455529121802,4.4008673390111416e-05,-8.576110481878123,-0.0004757092632897618,2.6686362548550583e-06,-0.557851074933733,0.0,0.0,nan,0.08975451296076357,0.08488654688647727,0.09222892516993113,0.09297197817467179,0.09379254710592022,30,0.08975451693704599,0.08488712497533016,0.09222892404615719,0.09297196810392648,0.09379254850225607
corner_noise_mc,M0,8,M0_mc_0008,18,ok,0.16833264169285483,7346.584323523928,-1.2807909160865165,-0.017430789707469016,7347.553658258748,-1.2874883851263803,-0.017519611043903982,2070.9665239449537,0.7499937971165309,0.03622779483182722,1512.73686667359,0.30041256857634835,0.019862822517995832,-0.04957848662398238,-0.00044132147256881193,0.8981419078795109,0.23380351351273881,0.006527541489917604,2.872077251202851,-0.0005277653553212179,-1.461112901892628e-05,2.847317291764655,-0.00043859268940914736,3.978521013546949e-05,-8.316690669310246,0.0,0.0,nan,0.13036077118902084,0.12409053149999066,0.13126509796690244,0.13197147801165898,0.13352355650093273,30,0.13036076989604908,0.12409020192890238,0.13126537123864865,0.1319726775969116,0.1335235571236751
corner_noise_mc,M0,9,M0_mc_0009,18,ok,0.16537841174388015,7347.41685174108,-0.4482626989347409,-0.0061005842098790794,7348.33344412835,-0.5077025155251249,-0.006908606478138208,2070.6541097641634,0.43757961632627485,0.021136900896788158,1513.8043184849648,1.3678643799512429,0.09044111415316808,-0.0493145953700488,-0.00017743021863523417,0.3610916870936538,0.22513516503762926,-0.002140806985191951,-0.9419416254776762,-0.00046388399153789384,4.9270234764397776e-05,-9.601447720587105,-0.00048201113374536555,-3.633234200748703e-06,0.7594903953981349,0.0,0.0,nan,0.06250836624694783,0.06016172307134582,0.0661295533073303,0.06676230638609666,0.07063070815563037,30,0.06250836699208547,0.06016171660446048,0.06612957648028953,0.06676229928526624,0.07063070295215539
corner_noise_mc,M0,10,M0_mc_0010,18,ok,0.16940627023968047,7350.231443338092,2.366328898076972,0.03220430507667684,7351.157016102064,2.3158694581888994,0.03151339662916144,2069.6929593589603,-0.5235707888768957,-0.025290629325595556,1511.1305083135378,-1.3059457914757786,-0.0863471511765811,-0.049210749544745344,-7.358439333177841e-05,0.1497530293109747,0.23396049990277148,0.006684527879950275,2.9411502766685205,-0.0005439569672356695,-3.080274093337793e-05,6.002628323912993,-0.0004872718240829458,-8.893924538328976e-06,1.8591838265930316,0.0,0.0,nan,0.23194428290384508,0.22797675284869853,0.23448490091269036,0.2355056875930407,0.23774074219721228,30,0.23194428086468405,0.22797734779426831,0.23448345220845623,0.23550568268299116,0.23774074080087643
