platform_id,stable_range,analysis_range,z_median_mm,z_sigma_between_frames_mm,z_spatial_sigma_median_mm,height_median_mm,height_sigma_between_frames_mm,height_p95_abs_mm,is_reference
p01,"[1200, 1408]","[1208, 1400]",0.07618245987504224,0.0003552607500222544,0.022387552381321667,0.1154561596018766,0.0017978003889755167,0.0012712368462644008,False
p02,"[1478, 1572]","[1486, 1564]",29.973953198412403,0.0006849517212746945,0.02098501899442649,30.013226898139237,0.0007575879176785679,0.0005356955539355113,False
p03,"[1578, 1666]","[1586, 1658]",19.9429477799585,0.001144468776949541,0.02429891217983586,19.982221479685336,0.00029807086200372133,0.00021076792779695097,False
p04,"[1673, 1762]","[1681, 1754]",9.915966982245664,0.002323810146061915,0.021268092895698917,9.955240681972498,0.0008812705071086527,0.0006231523516362358,False
p05,"[1765, 1851]","[1773, 1843]",5.975450521991377,0.0002754224341006713,0.022844924747296158,6.014724221718211,0.0017179620730539337,0.0012147826316777355,False
p06,"[1857, 1946]","[1865, 1938]",1.962004058946178,0.0025709721521644225,0.027134613656378932,2.0012777586730124,0.0011284325132111602,0.0007979222822029897,False
p07,"[1949, 2036]","[1957, 2028]",0.9881840281723271,0.0017794404369932736,0.029819361957887883,1.0274577278991615,0.0003369007980400111,0.00023822483888125134,False
p08,"[2043, 2199]","[2051, 2191]",-0.039273699726834366,0.0014425396389532623,0.02405953990257897,0.0,0.0,0.0,True
