split,weighting,region,v_min_px,v_max_px,baseline_sample_count,analysis_sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_energy,explained_fraction
fit,point_equal,extrap_top_v_lt_242,0,241.997693497,1141,1141,0,0.283016606051,0.294641525492,0.374683159676,0.722436861786,160.182103435,-0.00146793898543,0.0256954525679,0.0323976885306,0.0603478063886,1.19760526345,158.984498171,0.992523476482
fit,point_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,1784,0,-0.236960483411,0.293069865134,0.308083105562,0.410285227872,169.32871668,0.00136648068646,0.0193451094542,0.0230842432884,0.0548662962244,0.950662002147,168.378054678,0.994385701251
fit,frame_equal,top_0_299,0,300,1605,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,-0.000589348668512,0.0191212343524,0.0262899148017,0.0635379480869,1.04793524617,201.118266225,0.994816466657
fit,frame_equal,middle_300_2699,300,2700,13979,13979,0,-0.0817058447148,0.108067588184,0.13124657233,0.237046762612,241.346218381,-0.000201014188193,0.0161952846503,0.0200423580925,0.043195834629,5.62810502054,235.71811336,0.976680367903
fit,frame_equal,bottom_2700_2999,2700,3000,1980,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,0.00182369500158,0.0193438551762,0.0232070465919,0.0541331766006,1.09703353364,192.338227935,0.994328678622
fit,frame_equal,bin_0000_0299,0,300,1605,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,-0.000589348668512,0.0191212343524,0.0262899148017,0.0635379480869,1.04793524617,201.118266225,0.994816466657
fit,frame_equal,bin_0300_0599,300,600,1900,1900,0,-0.0369420322879,0.122858238065,0.157287159175,0.359171347126,46.6654139634,0.00136132917153,0.0137586865467,0.0208357923684,0.0570287848878,0.818895769727,45.8465181936,0.982451762447
fit,frame_equal,bin_0600_0899,600,900,1717,1717,0,-0.138964654435,0.163921505043,0.177432511513,0.288902696403,53.9115893633,0.000440176138827,0.0149769957461,0.0207344462244,0.0511607737204,0.736208143439,53.1753812199,0.986344158053
fit,frame_equal,bin_0900_1199,900,1200,1875,1875,0,-0.0936907138625,0.112612971273,0.1379567258,0.254844200208,36.4385387041,-0.0027302163771,0.0153171504386,0.0194723994308,0.044050957835,0.725962410814,35.7125762933,0.980077071237
fit,frame_equal,bin_1200_1499,1200,1500,1490,1490,0,-0.00932976752532,0.0584703925301,0.0697268717622,0.1209337215,7.16401282581,-0.000318653220004,0.0146626732819,0.0181490775354,0.03863717805,0.485361253954,6.67865157185,0.932250085845
fit,frame_equal,bin_1500_1799,1500,1800,1945,1945,0,-0.0874000261735,0.0955023969594,0.114220452595,0.202463873767,25.6238119742,0.00274845393027,0.014958937148,0.0175948019384,0.0336691752647,0.608029639515,25.0157823347,0.97627091394
fit,frame_equal,bin_1800_2099,1800,2100,1732,1732,0,-0.075958263494,0.083006489909,0.0998179993596,0.179854957962,17.4203390465,-0.0005339074794,0.0170635319937,0.0189990035551,0.0296375626438,0.631103413381,16.7892356331,0.963772036141
fit,frame_equal,bin_2100_2399,2100,2400,1561,1561,0,-0.0930666137189,0.0954954272722,0.108885450842,0.179099752059,18.0993109585,0.0017561757974,0.0171517784062,0.0187582918146,0.0271246434576,0.537166486734,17.5621444718,0.970321163719
fit,frame_equal,bin_2400_2699,2400,2700,1759,1759,0,-0.11061886776,0.124046560441,0.142061446516,0.24052023172,36.0232015452,-0.00425042518207,0.02183799038,0.0246590060028,0.0459992869377,1.08537790297,34.9378236422,0.96987003219
fit,frame_equal,bin_2700_2999,2700,3000,1980,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,0.00182369500158,0.0193438551762,0.0232070465919,0.0541331766006,1.09703353364,192.338227935,0.994328678622
fit,frame_equal,extrap_top_v_lt_242,0,241.997693497,1141,1141,0,0.30313726771,0.315218808272,0.392308392434,0.730880570828,162.075187525,-0.0014968447279,0.0214530483528,0.0283666556862,0.0641798597012,0.847378829458,161.227808696,0.994771693049
fit,frame_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,1784,0,-0.248499816585,0.30080875986,0.313207026879,0.412384234489,181.194136487,0.00147067633443,0.0191231024753,0.0232963699645,0.054295064595,1.00243830819,180.191698178,0.994467600731
fit,v_region_equal,top_0_299,0,300,1605,1605,0,0.286592086279,0.305866738086,0.379494468127,0.688220936835,252.949792572,0.000105095887643,0.0172580744003,0.02526576626,0.0599898852471,1.12121365048,251.828578921,0.995567445859
fit,v_region_equal,middle_300_2699,300,2700,13979,13979,0,-0.0780251129459,0.1073157933,0.130961775974,0.241230912066,240.991945252,-0.000154144603705,0.0160056169506,0.0199682434177,0.0428051162981,5.60264544681,235.389299805,0.976751731511
fit,v_region_equal,bottom_2700_2999,2700,3000,1980,1980,0,-0.16082211758,0.285722516962,0.302005869544,0.419320640496,160.196932458,0.00113085457758,0.0224477473739,0.025688113487,0.0518760082006,1.15901178213,159.037920676,0.992765081301
fit,v_region_equal,bin_0000_0299,0,300,1605,1605,0,0.286592086279,0.305866738086,0.379494468127,0.688220936835,252.949792572,0.000105095887643,0.0172580744003,0.02526576626,0.0599898852471,1.12121365048,251.828578921,0.995567445859
fit,v_region_equal,bin_0300_0599,300,600,1900,1900,0,-0.021777677273,0.113925073127,0.148369931403,0.345094914097,38.6647512268,0.000539150713502,0.0148680896894,0.0223118985078,0.0576696806332,0.874372479507,37.7903787473,0.977385798388
fit,v_region_equal,bin_0600_0899,600,900,1717,1717,0,-0.131947252677,0.170822249627,0.185203494912,0.304113729188,60.2451075645,-0.00147328212678,0.0149567281337,0.0207793388373,0.051946541369,0.758380012309,59.4867275522,0.987411757685
fit,v_region_equal,bin_0900_1199,900,1200,1875,1875,0,-0.0870323329374,0.105988705592,0.133346624065,0.255862191337,31.2311142235,-0.000209776416736,0.0142483935889,0.0189454477044,0.0453625449051,0.630424632186,30.6006895913,0.979814212593
