weighting,analysis,mode,parameter_a,parameter_b,value,abs_value
frame_equal,smallest_singular_vector,v5,theta_axis,,-0.0896504470036,0.0896504470036
frame_equal,smallest_singular_vector,v5,phi_axis,,-0.0221156652277,0.0221156652277
frame_equal,smallest_singular_vector,v5,A_x,,0.0516524179129,0.0516524179129
frame_equal,smallest_singular_vector,v5,A_y,,0.994279060616,0.994279060616
frame_equal,smallest_singular_vector,v5,A_z,,-0.0129353462671,0.0129353462671
frame_equal,smallest_singular_vector,v5,alpha,,-0.00689556849118,0.00689556849118
frame_equal,smallest_singular_vector,v6,theta_axis,,0.0180018642948,0.0180018642948
frame_equal,smallest_singular_vector,v6,phi_axis,,0.000103880864629,0.000103880864629
frame_equal,smallest_singular_vector,v6,A_x,,0.291943320809,0.291943320809
frame_equal,smallest_singular_vector,v6,A_y,,6.42628389112e-05,6.42628389112e-05
frame_equal,smallest_singular_vector,v6,A_z,,0.932261836363,0.932261836363
frame_equal,smallest_singular_vector,v6,alpha,,0.212915203442,0.212915203442
v_region_equal,column_cosine,,theta_axis,phi_axis,0.0532526987038,0.0532526987038
v_region_equal,column_cosine,,theta_axis,A_x,0.999998210971,0.999998210971
v_region_equal,column_cosine,,theta_axis,A_y,0.949413417704,0.949413417704
v_region_equal,column_cosine,,theta_axis,A_z,-0.999997683312,0.999997683312
v_region_equal,column_cosine,,theta_axis,alpha,-0.999837274169,0.999837274169
v_region_equal,column_cosine,,phi_axis,A_x,0.0514145858123,0.0514145858123
v_region_equal,column_cosine,,phi_axis,A_y,0.364106606917,0.364106606917
v_region_equal,column_cosine,,phi_axis,A_z,-0.051359872295,0.051359872295
v_region_equal,column_cosine,,phi_axis,alpha,-0.0548934145807,0.0548934145807
v_region_equal,column_cosine,,A_x,A_y,0.948832998255,0.948832998255
v_region_equal,column_cosine,,A_x,A_z,-0.999999501472,0.999999501472
v_region_equal,column_cosine,,A_x,alpha,-0.999833762926,0.999833762926
v_region_equal,column_cosine,,A_y,A_z,-0.948816257741,0.948816257741
v_region_equal,column_cosine,,A_y,alpha,-0.949760160632,0.949760160632
v_region_equal,column_cosine,,A_z,alpha,0.999815236746,0.999815236746
v_region_equal,covariance_correlation,,theta_axis,phi_axis,0.317045926129,0.317045926129
v_region_equal,covariance_correlation,,theta_axis,A_x,0.759605697115,0.759605697115
v_region_equal,covariance_correlation,,theta_axis,A_y,-0.315147728592,0.315147728592
v_region_equal,covariance_correlation,,theta_axis,A_z,0.783146646186,0.783146646186
v_region_equal,covariance_correlation,,theta_axis,alpha,0.782454404915,0.782454404915
v_region_equal,covariance_correlation,,phi_axis,A_x,0.0977287512863,0.0977287512863
v_region_equal,covariance_correlation,,phi_axis,A_y,-0.996947869898,0.996947869898
v_region_equal,covariance_correlation,,phi_axis,A_z,0.108761699402,0.108761699402
v_region_equal,covariance_correlation,,phi_axis,alpha,0.111301595356,0.111301595356
v_region_equal,covariance_correlation,,A_x,A_y,-0.0480816089743,0.0480816089743
v_region_equal,covariance_correlation,,A_x,A_z,0.999310602298,0.999310602298
v_region_equal,covariance_correlation,,A_x,alpha,0.999248674206,0.999248674206
v_region_equal,covariance_correlation,,A_y,A_z,-0.0612474694126,0.0612474694126
v_region_equal,covariance_correlation,,A_y,alpha,-0.0636333578471,0.0636333578471
v_region_equal,covariance_correlation,,A_z,alpha,0.999880203256,0.999880203256
v_region_equal,smallest_singular_vector,v5,theta_axis,,-0.0716579161367,0.0716579161367
v_region_equal,smallest_singular_vector,v5,phi_axis,,-0.0223401842371,0.0223401842371
v_region_equal,smallest_singular_vector,v5,A_x,,0.0412128200406,0.0412128200406
v_region_equal,smallest_singular_vector,v5,A_y,,0.99629980715,0.99629980715
v_region_equal,smallest_singular_vector,v5,A_z,,-0.00388052342139,0.00388052342139
v_region_equal,smallest_singular_vector,v5,alpha,,-0.00626087038255,0.00626087038255
v_region_equal,smallest_singular_vector,v6,theta_axis,,0.0190237624422,0.0190237624422
v_region_equal,smallest_singular_vector,v6,phi_axis,,0.000229692812641,0.000229692812641
v_region_equal,smallest_singular_vector,v6,A_x,,0.291298641839,0.291298641839
v_region_equal,smallest_singular_vector,v6,A_y,,-0.0057056172566,0.0057056172566
v_region_equal,smallest_singular_vector,v6,A_z,,0.932380470064,0.932380470064
v_region_equal,smallest_singular_vector,v6,alpha,,0.213113232675,0.213113232675
