parameter,unit,current_value,interpretation_scale,selected_step,delta_point_equal,delta_frame_equal,delta_v_region_equal,normalized_delta_point_equal,normalized_delta_frame_equal,normalized_delta_v_region_equal,jacobian_norm_point_equal,jacobian_norm_frame_equal,jacobian_norm_v_region_equal,fit_invalid_indices,validation_invalid_indices
theta_axis,rad,1.85570995501,0.0174532925199,1e-05,0.272871283013,0.273528621528,0.272326780804,15.634372867,15.6720355896,15.6031751884,1386.49607698,1386.46509627,1386.43680346,,
phi_axis,rad,0.0100301506435,0.0174532925199,1e-05,-0.00284359986264,-0.00287861140212,-0.00284291956542,-0.162926270753,-0.1649322842,-0.162887292594,279.12401292,278.394036567,276.61341964,,
A_x,mm,-115.599707421,10,0.01,-111.755478014,-114.754040053,-131.671626702,-11.1755478014,-11.4754040053,-13.1671626702,3.279302933,3.27930156729,3.27919470435,,
A_y,mm,1.74188941554,10,0.01,1.18037530663,1.6836853032,0.402764515437,0.118037530663,0.16836853032,0.0402764515437,0.0351037807952,0.0349534739782,0.0352387809581,,
A_z,mm,327.033073765,10,0.01,10.556401785,2.26331237703,-50.9557273804,1.0556401785,0.226331237703,-5.09557273804,1.0172054637,1.01721052991,1.01719312257,,
alpha,rad,1.55460927505,0.00174532925199,1e-05,0.000747970966317,0.000417916023994,-0.00173659553163,0.428555795683,0.239448243658,-0.994995946835,1416.67381774,1416.48752636,1416.08101151,,
