model_id,model_family,interior_knot_count,basis_count,smoothness,smoothness_penalty,cv_method,cv_weighting,fold_count,global_rmse_mean_mm,global_rmse_median_mm,global_rmse_p95_mm,global_rmse_max_mm,global_p95_abs_median_mm,global_bias_range_mm,worst_region_rmse_mean_mm,worst_region_rmse_median_mm,worst_region_rmse_p95_mm,worst_region_rmse_max_mm,worst_region_bias_range_mm,edge_middle_ratio_median,edge_middle_ratio_p95,frame_improvement_fraction_global,frame_improvement_fraction_worst_region,median_global_improvement_pct,median_worst_region_improvement_pct,median_edge_middle_ratio_reduction_pct,bias_abs_improvement_fraction_median,train_global_rmse_median_mm,train_worst_region_rmse_median_mm,train_global_improvement_median_pct,train_worst_region_improvement_median_pct,cv_train_global_improvement_gap_pct,cv_train_worst_region_improvement_gap_pct,selection_gate_global_fraction,selection_gate_global_median_improvement_pct,selection_gate_worst_region_fraction,selection_gate_worst_region_improvement_pct,selection_gate_worst_region_p95_degradation,selection_gate_edge_middle_degradation,selection_gate_pass,stability_score
C0,C0_frozen_cone,0,0,none,0.0,leave_one_frame_out,frame_equal,30,0.08158078368393204,0.07006032950096795,0.11619401167528602,0.36880019482421467,0.12863997624164086,0.3919523352633683,0.10982634921529551,0.07809013505403836,0.28856209182004366,0.47886732252706576,0.5787602119777375,1.424594025540599,3.6059612295205627,nan,nan,nan,nan,nan,nan,0.09984177506533531,0.2347515075974984,0.0,0.0,0.0,0.0,0.6,5.0,0.5,5.0,0.02,0.02,False,0.0
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,leave_one_frame_out,frame_equal,30,0.07820723342145468,0.06667634858955124,0.11234507599693591,0.3680983999453278,0.12135611570459506,0.4014085280892584,0.0899929948220741,0.06678914228382277,0.25481407769637027,0.38332292915891414,0.4839255343320418,0.9386223402299163,2.322458512029416,0.6333333333333333,0.8,2.7957604384908454,6.931414457212486,19.332956042921385,-0.048745983959235566,0.09460780146433792,0.14294061802656788,5.310053828347957,39.127868470081495,2.494342548922053,32.23524414742726,0.6,5.0,0.5,5.0,0.02,0.02,False,0.3653849749139082
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,leave_one_frame_out,frame_equal,30,0.07515788886213833,0.06378386433897432,0.10820025373623263,0.36668747439900023,0.11483192310653981,0.4007197569232179,0.08770764064522056,0.06486981008072576,0.2539318865884344,0.36668747439900023,0.4823943498822775,1.0134311641617857,2.7372511019588917,0.8333333333333334,0.8666666666666667,7.933175843050277,10.934349112753214,17.627722599803107,-0.10599640339767805,0.09230321236632871,0.13387362425812172,7.649491136202566,42.9721982924772,-0.2821016452720392,32.13397303364945,0.6,5.0,0.5,5.0,0.02,0.02,True,0.4286316374880049
C1_5k,C1_cubic_spline_F_s,5,9,moderate_second_difference,0.1,leave_one_frame_out,frame_equal,30,0.07458999810714738,0.06349177632061384,0.1064532380414504,0.3661547305697196,0.11416076769479305,0.40038842760159915,0.08841545546094812,0.06452054403227994,0.252270059120015,0.3661547305697196,0.48273893072108964,1.0454379264693867,3.078963600742358,0.8,0.9,8.93702073381381,12.304830195130311,16.33362032277335,-0.09993034202539353,0.09177765560393408,0.13167826668166926,8.193116020380971,43.90831877212832,-0.7783953361171513,31.94837076789162,0.6,5.0,0.5,5.0,0.02,0.02,True,0.43440749180319016
C1_6k,C1_cubic_spline_F_s,6,10,moderate_second_difference,0.1,leave_one_frame_out,frame_equal,30,0.07279566286956357,0.059407624536962994,0.10415601293699074,0.36609779111518925,0.10956811835281681,0.4002194815555723,0.08770238142165604,0.06218260999646806,0.2515656673301813,0.36609779111518925,0.48337311639419084,1.025915824730565,3.348720612011032,0.8333333333333334,0.9,10.298699598090563,15.363900422228555,18.218487285948232,-0.0927198594634979,0.09053346448757837,0.13188103232212456,9.473813496648594,43.83019848432901,-0.7909537450654237,28.451005594918254,0.6,5.0,0.5,5.0,0.02,0.02,True,0.454386819484065
