weighting,t,total_points,invalid_count,valid_rate,bounds_ok,axis_norm,max_normalized_parameter_displacement,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,linear_bias_mm,linear_mae_mm,linear_rmse_mm,linear_p95_abs_mm,linear_residual_energy,linear_explained_fraction,exact_bias_mm,exact_mae_mm,exact_rmse_mm,exact_p95_abs_mm,exact_residual_energy,linearization_gap_bias_mm,linearization_gap_mae_mm,linearization_gap_rmse_mm,linearization_gap_p95_abs_mm,linearization_gap_residual_energy,exact_explained_fraction,exact_to_linear_gain_ratio,gap_to_baseline_rmse
point_equal,0,17564,0,1,True,1,0,1.85570995501,0.0100301506435,-115.599707421,1.74188941554,327.033073765,1.55460927505,89.0725502525,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,0,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-3.2369580554e-16,4.97098562716e-15,1.0333002847e-13,0,1.87532492779e-22,-1.29260826795e-15,nan,5.5190917613e-13
point_equal,0.0078125,17564,0,1,True,1,0.122143538023,1.85784176191,0.0100079350196,-116.472797093,1.75111109763,327.115545654,1.55461511858,89.0728850617,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0679131194913,0.141676026921,0.185782188349,0.370954817868,606.221837765,0.0153309673085,-0.0666075065042,0.140982708162,0.185318969535,0.370371138528,603.202567929,0.00130561298708,0.00130561298708,0.00130566278804,0.00132580019126,0.0299423223716,0.0202350821442,1.31988293608,0.00697384181852
point_equal,0.015625,17564,0,1,True,1,0.244287076047,1.85997356881,0.00998571939569,-117.345886765,1.76033277971,327.198017543,1.5546209621,89.0732198709,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0673783679659,0.140571380784,0.184341663702,0.368254985929,596.857195423,0.0305416917362,-0.0621743838973,0.137851090026,0.182544154462,0.364591803866,585.274077319,0.0052039840686,0.0052039840686,0.00520418142393,0.00528421650607,0.475694669404,0.0493558237724,1.61601473155,0.0277967162561
point_equal,0.0234375,17564,0,1,True,1,0.36643061407,1.86210537571,0.00996350377176,-118.218976437,1.76955446179,327.280489432,1.55462680562,89.0735546801,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0668436164406,0.139466824484,0.182901315599,0.365253142091,587.566581874,0.0456321732831,-0.0551756114728,0.133545511945,0.179058078791,0.35831255056,563.13337757,0.0116680049678,0.0116680049678,0.0116684449227,0.0118473831974,2.39138438782,0.0853183378999,1.86969700896,0.0623238173777
point_equal,0.03125,17564,0,1,True,1,0.488574152093,1.86423718261,0.00994128814784,-119.092066109,1.77877614388,327.362961321,1.55463264915,89.0738894893,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0663088649152,0.138362518908,0.181461148243,0.362460375443,578.349997119,0.0606024119491,-0.0456375148993,0.128373935214,0.175132071282,0.349911748655,538.709701363,0.0206713500159,0.0206713500159,0.0206721249907,0.0209882386638,7.50574270565,0.124989026296,2.06244309882,0.110414519781
point_equal,0.0390625,17564,0,1,True,1,0.610717690117,1.86636898951,0.00991907252391,-119.965155781,1.78799782596,327.44543321,1.55463849267,89.0742242985,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0657741133899,0.137258466786,0.180021165972,0.359497123756,569.207441157,0.0754524077342,-0.0335856642745,0.122803174172,0.171165002066,0.340792889661,514.580551119,0.0321884491153,0.0321884491153,0.0321896489858,0.0326804912268,18.1993513862,0.164181324479,2.175958719,0.17193223417
point_equal,0.046875,17564,0,1,True,1,0.73286122814,1.86850079641,0.00989685689998,-120.838245453,1.79721950804,327.527905099,1.55464433619,89.0745591078,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0652393618645,0.136154763744,0.178581373264,0.356695014417,560.138913988,0.0901821606385,-0.0190449000207,0.117320225835,0.167698779709,0.330864886376,493.950276895,0.0461944618439,0.0461944618439,0.0461961740187,0.0468986033367,37.48309518,0.197690497028,2.19212420315,0.246744269024
point_equal,0.0546875,17564,0,1,True,1,0.855004766164,1.8706326033,0.00987464127606,-121.711335125,1.80644119013,327.610376988,1.55465017972,89.074893917,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0647046103392,0.135051209846,0.177141774742,0.353849790537,551.144415612,0.104791670662,-0.00203935773096,0.112650880247,0.165422136834,0.318752562482,480.629785645,0.0626652526082,0.0626652526082,0.0626675621037,0.063617762546,68.9777507441,0.219326595263,2.09297737003,0.334721697873
point_equal,0.0625,17564,0,1,True,1,0.977148304187,1.8727644102,0.00985242565213,-122.584424797,1.81566287221,327.692848877,1.55465602324,89.0752287262,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0641698588138,0.133947802077,0.175702375177,0.350998952649,542.223946029,0.119280937805,0.0174075080156,0.109993349011,0.165144415717,0.309865505259,479.01731714,0.0815773668295,0.0815773668295,0.0815803563416,0.0828138548624,116.894647155,0.221945682376,1.86069699368,0.435739232086
point_equal,0.0703125,17564,0,1,True,1,1.09929184221,1.8748962171,0.0098302100282,-123.457514469,1.82488455429,327.775320766,1.55466186676,89.0755635354,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0636351072885,0.132844483897,0.174263179501,0.347911427605,533.37750524,0.133649962066,0.0392729007858,0.110918460417,0.167720837467,0.312933634066,494.080225987,0.102908008074,0.102908008074,0.102911758048,0.104463442406,186.017337146,0.197479424384,1.47758683452,0.549675098706
