exposure_us,dynamic_range_u8_p50,intensity_coverage_fraction,peak_contrast_p50_dn,peak_contrast_p05_dn,global_fwhm_p50_px,global_fwhm_p95_px,contiguous_fwhm_p50_px,contiguous_fwhm_p95_px,interpolated_fwhm_p50_px,interpolated_fwhm_p95_px,steger_aligned_contiguous_fwhm_p50_px,steger_aligned_contiguous_fwhm_p95_px,steger_aligned_interpolated_fwhm_p50_px,steger_aligned_interpolated_fwhm_p95_px,multiple_halfmax_components_fraction,global_exceeds_contiguous_fraction,peak_saturated_fraction,peak_near_saturated_fraction,steger_valid_fraction,steger_common_valid_fraction,steger_response_p50,steger_response_p95,centre_jitter_p50_px,centre_jitter_p95_px
100.0,8.0,0.4962222222222222,25.0,18.0,6.0,11.0,5.0,11.0,5.454545454545496,10.84166666666664,7.5,10.0,7.477913533834567,10.209902597402788,0.11957008508732647,0.11957008508732647,0.0,0.0,0.017777777777777778,0.015,1.8215159177780151,3.1117181897163384,0.025524028288545594,0.3166408245714814
200.0,16.0,0.5433333333333333,46.0,15.0,6.0,11.0,6.0,11.0,5.5625,10.762232142857192,9.0,12.0,8.701298701298583,12.273390151515287,0.1149284253578732,0.1149284253578732,0.0,0.0,0.10344444444444445,0.10033333333333333,2.419577121734619,4.361747741699219,0.023560879162463463,0.462161245733131
300.0,23.0,0.5681111111111111,68.0,19.0,6.0,11.0,6.0,11.0,5.6145833333332575,10.729230769230707,9.0,12.0,8.670833333333348,12.087884615384745,0.1279092509290045,0.1279092509290045,0.0,0.0,0.11666666666666667,0.11533333333333333,3.494524598121643,6.3214775800704945,0.01940587321190286,0.1588749656784989
400.0,30.0,0.5764444444444444,89.0,24.0,6.0,11.0,6.0,11.0,5.6162974272348265,10.575728474529397,8.0,12.0,8.488980463980397,12.107500000000003,0.1289514263685428,0.1289514263685428,0.0,0.0,0.11911111111111111,0.11766666666666667,4.609480619430542,8.119303369522092,0.01815886322524747,0.21823504924899803
500.0,38.0,0.5786666666666667,110.0,29.0,6.0,11.0,6.0,11.0,5.575011246063923,10.586674448217238,8.0,12.0,8.481493506493507,12.155980272168472,0.12960829493087558,0.12960829493087558,0.00019201228878648233,0.000576036866359447,0.12,0.119,5.7406089305877686,10.354546499252317,0.015197416554291097,0.16360238061330828
600.0,45.0,0.5832222222222222,132.0,34.0,6.0,11.0,6.0,11.0,5.567307692307622,10.50928600092602,9.0,12.0,8.543444171927035,12.106188867438915,0.1324061726043056,0.1324061726043056,0.0026671746999428463,0.0038102495713469233,0.12133333333333333,0.12066666666666667,6.830883026123047,12.414682769775407,0.02098387898121422,0.37559333389878313
800.0,61.0,0.6110000000000001,175.0,19.0,6.0,11.0,5.0,10.0,5.520177383591999,10.49944477791123,9.0,12.0,8.64285714285711,12.300457445022744,0.1347517730496454,0.1347517730496454,0.06473904346244772,0.07310420076377523,0.12566666666666668,0.12466666666666666,9.355707168579102,16.16220474243164,0.014145242348474304,0.17468775071102274
1000.0,76.0,0.6713333333333332,208.5,14.0,6.0,11.0,6.0,11.0,5.54677364432041,10.698244147157254,9.0,12.0,9.21697365752243,12.31763295930324,0.15723270440251572,0.15723270440251572,0.24097980801059252,0.26133730552797085,0.12622222222222224,0.12466666666666666,11.022106647491455,17.48778486251831,0.012760222701565316,0.10195851221226203
1200.0,91.0,0.7513333333333333,235.0,14.0,6.0,12.0,6.0,11.0,5.695501750023027,11.169302666949692,10.0,13.0,9.850998463901533,12.809089212392655,0.186483288967761,0.186483288967761,0.4208813960366755,0.4392191659272405,0.12966666666666668,0.12933333333333333,10.467594146728516,18.81034564971924,0.013275506578057275,0.05796177486662202
