v_px,fit_sample_count,fit_residual_median_mm,fit_residual_mean_mm,fit_residual_std_mm,fit_residual_mad_mm,fit_residual_p95_abs_mm,fit_positive_fraction,fit_sign_consistency,validation_sample_count,validation_residual_median_mm,validation_residual_mean_mm,validation_residual_std_mm,validation_residual_mad_mm,validation_residual_p95_abs_mm,validation_positive_fraction,validation_sign_consistency
790,6,-0.114510355,-0.131288584,0.084737243,0.044790400,0.246018083,0.000000000,1.000000000,1,-0.261009929,-0.261009929,0.000000000,0.000000000,0.261009929,0.000000000,1.000000000
791,5,-0.137829419,-0.152467633,0.080247096,0.040296231,0.257647700,0.000000000,1.000000000,1,-0.246805076,-0.246805076,0.000000000,0.000000000,0.246805076,0.000000000,1.000000000
792,5,-0.143080160,-0.152647435,0.093876843,0.051614196,0.275486075,0.000000000,1.000000000,1,-0.228895605,-0.228895605,0.000000000,0.000000000,0.228895605,0.000000000,1.000000000
793,5,-0.144873136,-0.154609964,0.104709731,0.055601183,0.292999101,0.000000000,1.000000000,1,-0.212324173,-0.212324173,0.000000000,0.000000000,0.212324173,0.000000000,1.000000000
794,5,-0.141604690,-0.157237099,0.107229276,0.047488663,0.300722849,0.000000000,1.000000000,1,-0.205776655,-0.205776655,0.000000000,0.000000000,0.205776655,0.000000000,1.000000000
795,5,-0.138780203,-0.161264765,0.101574934,0.033611928,0.298480640,0.000000000,1.000000000,1,-0.222040431,-0.222040431,0.000000000,0.000000000,0.222040431,0.000000000,1.000000000
796,5,-0.143335294,-0.165685877,0.092458524,0.020559558,0.290137016,0.000000000,1.000000000,1,-0.257374951,-0.257374951,0.000000000,0.000000000,0.257374951,0.000000000,1.000000000
797,5,-0.142826308,-0.168143693,0.087401810,0.026948603,0.283432925,0.000000000,1.000000000,1,-0.290960618,-0.290960618,0.000000000,0.000000000,0.290960618,0.000000000,1.000000000
798,5,-0.147651563,-0.168442663,0.088737060,0.035256894,0.281102853,0.000000000,1.000000000,1,-0.308183696,-0.308183696,0.000000000,0.000000000,0.308183696,0.000000000,1.000000000
799,5,-0.153471916,-0.172551811,0.085770537,0.029303825,0.283288472,0.000000000,1.000000000,1,-0.310332763,-0.310332763,0.000000000,0.000000000,0.310332763,0.000000000,1.000000000
800,5,-0.167630471,-0.171618464,0.090667048,0.033389140,0.286579431,0.000000000,1.000000000,1,-0.309739100,-0.309739100,0.000000000,0.000000000,0.309739100,0.000000000,1.000000000
801,5,-0.170803676,-0.171479726,0.093171673,0.050218045,0.290976039,0.000000000,1.000000000,1,-0.307795060,-0.307795060,0.000000000,0.000000000,0.307795060,0.000000000,1.000000000
802,5,-0.165051244,-0.167929004,0.098003496,0.056181354,0.294626343,0.000000000,1.000000000,1,-0.291431225,-0.291431225,0.000000000,0.000000000,0.291431225,0.000000000,1.000000000
803,5,-0.148430803,-0.171177537,0.094114078,0.037708244,0.297259634,0.000000000,1.000000000,1,-0.267147519,-0.267147519,0.000000000,0.000000000,0.267147519,0.000000000,1.000000000
804,5,-0.143909740,-0.175685076,0.089225617,0.052513049,0.295417796,0.000000000,1.000000000,1,-0.250819381,-0.250819381,0.000000000,0.000000000,0.250819381,0.000000000,1.000000000
805,5,-0.155998688,-0.177000673,0.086385376,0.041947581,0.289510070,0.000000000,1.000000000,1,-0.245473811,-0.245473811,0.000000000,0.000000000,0.245473811,0.000000000,1.000000000
806,5,-0.169196171,-0.179209354,0.080098265,0.035116559,0.283161902,0.000000000,1.000000000,1,-0.247248987,-0.247248987,0.000000000,0.000000000,0.247248987,0.000000000,1.000000000
807,5,-0.170691163,-0.178206997,0.079969109,0.048402949,0.282251796,0.000000000,1.000000000,1,-0.248337349,-0.248337349,0.000000000,0.000000000,0.248337349,0.000000000,1.000000000
808,5,-0.187061351,-0.186026504,0.080956866,0.054707589,0.287688490,0.000000000,1.000000000,1,-0.245588129,-0.245588129,0.000000000,0.000000000,0.245588129,0.000000000,1.000000000
809,5,-0.171466608,-0.190342577,0.081198974,0.051372403,0.296264524,0.000000000,1.000000000,1,-0.240658675,-0.240658675,0.000000000,0.000000000,0.240658675,0.000000000,1.000000000
810,5,-0.158303237,-0.192040902,0.085290823,0.036736737,0.304611593,0.000000000,1.000000000,1,-0.237335533,-0.237335533,0.000000000,0.000000000,0.237335533,0.000000000,1.000000000
811,5,-0.156105989,-0.192025965,0.088096652,0.036058105,0.309566398,0.000000000,1.000000000,1,-0.237267071,-0.237267071,0.000000000,0.000000000,0.237267071,0.000000000,1.000000000
812,5,-0.169810511,-0.195568747,0.084734359,0.049438200,0.308408484,0.000000000,1.000000000,1,-0.238120002,-0.238120002,0.000000000,0.000000000,0.238120002,0.000000000,1.000000000
813,5,-0.191973871,-0.199338533,0.079091344,0.053402844,0.303176524,0.000000000,1.000000000,1,-0.235801290,-0.235801290,0.000000000,0.000000000,0.235801290,0.000000000,1.000000000
814,6,-0.177271836,-0.128445305,0.190453892,0.044073151,0.299404108,0.166666667,0.833333333,1,-0.230131250,-0.230131250,0.000000000,0.000000000,0.230131250,0.000000000,1.000000000
815,6,-0.183824174,-0.127696998,0.194953107,0.053460522,0.299032037,0.166666667,0.833333333,1,-0.224791427,-0.224791427,0.000000000,0.000000000,0.224791427,0.000000000,1.000000000
816,6,-0.173915863,-0.125007706,0.186925921,0.059708507,0.291598587,0.166666667,0.833333333,1,-0.222550452,-0.222550452,0.000000000,0.000000000,0.222550452,0.000000000,1.000000000
