v_px,fit_sample_count,fit_residual_median_mm,fit_residual_mean_mm,fit_residual_std_mm,fit_residual_mad_mm,fit_residual_p95_abs_mm,fit_positive_fraction,fit_sign_consistency,validation_sample_count,validation_residual_median_mm,validation_residual_mean_mm,validation_residual_std_mm,validation_residual_mad_mm,validation_residual_p95_abs_mm,validation_positive_fraction,validation_sign_consistency
0,3,0.195556432,0.317800834,0.310312747,0.108328839,0.623112271,1.000000000,1.000000000,2,-0.005822443,-0.005822443,0.044408527,0.031401571,0.036641769,0.500000000,0.500000000
1,3,0.201659399,0.322961329,0.326126787,0.126791438,0.643286903,1.000000000,1.000000000,2,-0.002003079,-0.002003079,0.039673805,0.028053617,0.029856388,0.500000000,0.500000000
2,3,0.203843127,0.337972993,0.336548891,0.114672325,0.669198859,1.000000000,1.000000000,2,0.010530543,0.010530543,0.040031972,0.028306879,0.037784368,0.500000000,0.500000000
3,3,0.201949529,0.345404980,0.337449734,0.098564689,0.677987467,1.000000000,1.000000000,2,0.016325268,0.016325268,0.055909526,0.039534005,0.054226746,0.500000000,0.500000000
4,3,0.200238566,0.346458378,0.323459626,0.078312607,0.665513406,1.000000000,1.000000000,2,0.008617099,0.008617099,0.070927548,0.050153350,0.057908740,0.500000000,0.500000000
5,3,0.199923667,0.346948314,0.307193179,0.059026017,0.650013629,1.000000000,1.000000000,2,-0.001087734,-0.001087734,0.073032771,0.051641968,0.052620929,0.500000000,0.500000000
6,3,0.198777736,0.353052881,0.308521249,0.046678538,0.657331310,1.000000000,1.000000000,2,-0.001432651,-0.001432651,0.061765510,0.043674811,0.044964197,0.500000000,0.500000000
7,3,0.197414843,0.363233849,0.325938320,0.043869904,0.684609072,1.000000000,1.000000000,2,0.004443615,0.004443615,0.043843323,0.031001911,0.035001165,0.500000000,0.500000000
8,3,0.202197877,0.372622300,0.340674167,0.051406564,0.708609726,1.000000000,1.000000000,2,0.007117165,0.007117165,0.026404340,0.018670688,0.025076136,0.500000000,0.500000000
9,3,0.215536138,0.371111586,0.333829064,0.072069397,0.700452305,1.000000000,1.000000000,2,0.004716279,0.004716279,0.011504065,0.008134602,0.012379253,0.500000000,0.500000000
10,3,0.226362605,0.365583820,0.323344346,0.091192602,0.684333228,1.000000000,1.000000000,2,0.004522396,0.004522396,0.002035883,0.001439586,0.005818024,1.000000000,1.000000000
11,3,0.228503842,0.359401224,0.317330818,0.100045989,0.671968164,1.000000000,1.000000000,2,0.010189667,0.010189667,0.013389508,0.009467812,0.018710697,1.000000000,1.000000000
12,3,0.221823335,0.356921751,0.327425457,0.103160719,0.679433706,1.000000000,1.000000000,2,0.017033131,0.017033131,0.017760306,0.012558433,0.028335721,1.000000000,1.000000000
13,3,0.210487847,0.334915313,0.317672398,0.112196728,0.647419061,1.000000000,1.000000000,2,0.018601067,0.018601067,0.010238821,0.007239940,0.025117012,1.000000000,1.000000000
14,3,0.201625120,0.313785299,0.308153654,0.124204163,0.616241349,1.000000000,1.000000000,2,0.013226720,0.013226720,0.002214196,0.001565673,0.014635826,1.000000000,1.000000000
15,3,0.197767682,0.308270297,0.305813899,0.124700928,0.608355577,1.000000000,1.000000000,2,0.004878315,0.004878315,0.011132004,0.007871516,0.012261999,0.500000000,0.500000000
16,3,0.197271177,0.320596785,0.315963201,0.112376414,0.631389092,1.000000000,1.000000000,2,-0.006262980,-0.006262980,0.016665821,0.011784515,0.017421197,0.500000000,0.500000000
17,3,0.199743168,0.333358383,0.318267033,0.096063492,0.646961392,1.000000000,1.000000000,2,-0.016533859,-0.016533859,0.025362235,0.017933808,0.032814281,0.500000000,0.500000000
18,3,0.202807838,0.350400450,0.327835474,0.080502476,0.673760118,1.000000000,1.000000000,2,-0.019878326,-0.019878326,0.041616027,0.029426975,0.047317468,0.500000000,0.500000000
19,3,0.199348461,0.357711388,0.333904217,0.066894294,0.687133230,1.000000000,1.000000000,2,-0.017677366,-0.017677366,0.065798098,0.046526281,0.062435911,0.500000000,0.500000000
20,3,0.187239728,0.357862280,0.345378520,0.056239652,0.698536303,1.000000000,1.000000000,2,-0.012657832,-0.012657832,0.097269724,0.068780082,0.080172131,0.500000000,0.500000000
21,3,0.176725677,0.353034405,0.351695429,0.052358780,0.699882145,1.000000000,1.000000000,2,-0.016384256,-0.016384256,0.115190741,0.081452154,0.096197985,0.500000000,0.500000000
22,4,0.336343345,0.386118792,0.293217761,0.186249590,0.712534535,1.000000000,1.000000000,2,-0.014198820,-0.014198820,0.130820837,0.092504301,0.105283239,0.500000000,0.500000000
23,4,0.464229219,0.450176314,0.340266447,0.279575275,0.748329393,1.000000000,1.000000000,2,-0.015236942,-0.015236942,0.129775770,0.091765327,0.105478575,0.500000000,0.500000000
24,4,0.457996173,0.461229236,0.348793698,0.296114279,0.791044589,1.000000000,1.000000000,2,-0.018335480,-0.018335480,0.117946121,0.083400502,0.099902434,0.500000000,0.500000000
25,4,0.448612487,0.456220662,0.345670937,0.287698259,0.790804793,1.000000000,1.000000000,2,-0.021961571,-0.021961571,0.097370443,0.068851301,0.088616715,0.500000000,0.500000000
26,4,0.439832112,0.438680831,0.333289526,0.283559061,0.755790127,1.000000000,1.000000000,2,-0.017954008,-0.017954008,0.078907220,0.055795831,0.071954438,0.500000000,0.500000000
27,4,0.444446388,0.431961344,0.332779269,0.272478347,0.737017394,1.000000000,1.000000000,2,-0.011580741,-0.011580741,0.053915138,0.038123760,0.048546426,0.500000000,0.500000000
28,4,0.460789437,0.438820646,0.340764875,0.270811234,0.737079154,1.000000000,1.000000000,2,-0.004226920,-0.004226920,0.026094321,0.018451471,0.022255699,0.500000000,0.500000000
29,4,0.470275140,0.448824253,0.347363528,0.277388688,0.751571965,1.000000000,1.000000000,2,0.005054646,0.005054646,0.013754440,0.009725858,0.014275040,0.500000000,0.500000000
30,4,0.468552833,0.454058004,0.348544371,0.285592449,0.764406142,1.000000000,1.000000000,2,0.005144141,0.005144141,0.038571479,0.027274154,0.031903882,0.500000000,0.500000000
31,4,0.450198861,0.444917966,0.338816130,0.287162827,0.750022590,1.000000000,1.000000000,2,0.011973092,0.011973092,0.062137444,0.043937808,0.054713591,0.500000000,0.500000000
32,4,0.421668333,0.424142757,0.315778248,0.270701562,0.707784995,1.000000000,1.000000000,2,0.016831702,0.016831702,0.074968032,0.053010404,0.068158936,0.500000000,0.500000000
33,4,0.399212887,0.404791879,0.293579336,0.248471343,0.668558871,1.000000000,1.000000000,2,0.009640778,0.009640778,0.084095962,0.059464825,0.068141526,0.500000000,0.500000000
34,4,0.385951034,0.392742659,0.287116843,0.241280548,0.656438864,1.000000000,1.000000000,2,0.005826102,0.005826102,0.077749943,0.054977512,0.060221003,0.500000000,0.500000000
35,4,0.379324173,0.386983279,0.292173445,0.244047978,0.661324488,1.000000000,1.000000000,2,0.006789735,0.006789735,0.066892293,0.047299994,0.053410756,0.500000000,0.500000000
36,4,0.385922850,0.392804197,0.304425226,0.255830821,0.675033355,1.000000000,1.000000000,2,0.013540426,0.013540426,0.059325110,0.041949188,0.054135572,0.500000000,0.500000000
37,4,0.405198257,0.409435577,0.324140906,0.276300973,0.699232457,1.000000000,1.000000000,2,0.020083267,0.020083267,0.062962822,0.044521438,0.062596379,0.500000000,0.500000000
38,3,0.721032478,0.528558652,0.334591415,0.001404384,0.722296423,1.000000000,1.000000000,2,0.022260736,0.022260736,0.069946801,0.049459857,0.069494520,0.500000000,0.500000000
39,3,0.721493426,0.546991553,0.331206992,0.032967216,0.751163921,1.000000000,1.000000000,2,0.018144205,0.018144205,0.065459487,0.046286847,0.062616631,0.500000000,0.500000000
40,3,0.711544910,0.546320648,0.333148088,0.053017984,0.759261095,1.000000000,1.000000000,2,0.008915041,0.008915041,0.052136813,0.036866294,0.044889831,0.500000000,0.500000000
41,3,0.700309922,0.532500539,0.338330557,0.053814276,0.748742771,1.000000000,1.000000000,2,0.000398508,0.000398508,0.037739786,0.026686058,0.027044715,0.500000000,0.500000000
42,3,0.688933774,0.524119914,0.329641383,0.049916779,0.733858875,1.000000000,1.000000000,2,-0.001193868,-0.001193868,0.027330499,0.019325581,0.020400062,0.500000000,0.500000000
43,3,0.663728092,0.506581099,0.332680458,0.067849773,0.724792888,1.000000000,1.000000000,2,0.004797780,0.004797780,0.016695551,0.011805538,0.016123540,0.500000000,0.500000000
44,3,0.617831592,0.486358296,0.329215417,0.111689505,0.718352147,1.000000000,1.000000000,2,0.011787691,0.011787691,0.007731096,0.005466710,0.016707731,1.000000000,1.000000000
45,3,0.602274022,0.478660858,0.329509115,0.126214810,0.715867351,1.000000000,1.000000000,2,0.020993787,0.020993787,0.009995102,0.007067604,0.027354631,1.000000000,1.000000000
46,3,0.619647372,0.486090866,0.334388192,0.113412683,0.721718786,1.000000000,1.000000000,2,0.032936816,0.032936816,0.027785298,0.019647172,0.050619271,1.000000000,1.000000000
47,4,0.500929034,0.466347366,0.278190552,0.184480594,0.727085519,1.000000000,1.000000000,2,0.038484497,0.038484497,0.049830881,0.035235754,0.070196675,1.000000000,1.000000000
48,4,0.603495432,0.516509315,0.277118997,0.075585178,0.725726808,1.000000000,1.000000000,2,0.031310644,0.031310644,0.057704920,0.040803540,0.068983120,0.500000000,0.500000000
49,4,0.574585527,0.501385447,0.270132560,0.086491868,0.717984349,1.000000000,1.000000000,2,0.019065336,0.019065336,0.050795489,0.035917834,0.053076637,0.500000000,0.500000000
50,4,0.513328043,0.467347994,0.272607704,0.122131993,0.714748638,1.000000000,1.000000000,2,0.009952808,0.009952808,0.042054613,0.029737102,0.038694629,0.500000000,0.500000000
51,4,0.455460723,0.441612036,0.278435342,0.165899045,0.723761124,1.000000000,1.000000000,2,0.006467300,0.006467300,0.046327146,0.032758239,0.038578809,0.500000000,0.500000000
52,4,0.412921902,0.423789111,0.299936206,0.199860328,0.748161808,1.000000000,1.000000000,2,0.010912101,0.010912101,0.066063550,0.046713984,0.056534875,0.500000000,0.500000000
53,4,0.374144397,0.400856837,0.296740978,0.193846949,0.730524501,1.000000000,1.000000000,2,0.020929637,0.020929637,0.086846189,0.061409529,0.080246203,0.500000000,0.500000000
54,4,0.335547662,0.368621568,0.292211691,0.187210230,0.696120911,1.000000000,1.000000000,2,0.026499677,0.026499677,0.091385918,0.064619602,0.088469312,0.500000000,0.500000000
55,4,0.301997809,0.341589755,0.276553503,0.167126596,0.656022898,1.000000000,1.000000000,2,0.019985201,0.019985201,0.070600533,0.049922116,0.067908796,0.500000000,0.500000000
56,4,0.279774573,0.325455351,0.266403481,0.150405709,0.632377871,1.000000000,1.000000000,2,0.007088537,0.007088537,0.035213741,0.024899875,0.031279558,0.500000000,0.500000000
57,4,0.278511402,0.328069858,0.256620015,0.140071335,0.625723298,1.000000000,1.000000000,2,-0.001804361,-0.001804361,0.007673679,0.005426111,0.007050035,0.500000000,0.500000000
58,4,0.290769086,0.339444372,0.251587218,0.141464265,0.629878857,1.000000000,1.000000000,2,0.002334856,0.002334856,0.009452713,0.006684077,0.008785448,0.500000000,0.500000000
59,4,0.301573045,0.346878357,0.252877442,0.150014698,0.635566840,1.000000000,1.000000000,2,0.016411319,0.016411319,0.033279342,0.023532049,0.038302236,0.500000000,0.500000000
60,4,0.313765491,0.354225124,0.259581618,0.164337479,0.645734736,1.000000000,1.000000000,2,0.032731219,0.032731219,0.055482372,0.039231961,0.068690059,0.500000000,0.500000000
61,4,0.329979631,0.361885068,0.260386637,0.177849219,0.647448801,1.000000000,1.000000000,2,0.044151094,0.044151094,0.060508106,0.042785692,0.082658217,1.000000000,1.000000000
62,4,0.356667979,0.375280129,0.255554108,0.192454847,0.644116733,1.000000000,1.000000000,2,0.043284344,0.043284344,0.043664047,0.030875143,0.071071973,1.000000000,1.000000000
63,4,0.382296589,0.391834465,0.252846648,0.202248507,0.648664307,1.000000000,1.000000000,2,0.030162873,0.030162873,0.017345471,0.012265100,0.041201463,1.000000000,1.000000000
64,4,0.387232409,0.399624919,0.252310224,0.197506550,0.659812821,1.000000000,1.000000000,2,0.012474237,0.012474237,0.000592076,0.000418661,0.012851032,1.000000000,1.000000000
65,4,0.368714871,0.397193621,0.259445634,0.179753473,0.680976089,1.000000000,1.000000000,2,0.001213256,0.001213256,0.005213884,0.003686773,0.004778703,0.500000000,0.500000000
66,4,0.360439046,0.402565576,0.281869117,0.178685558,0.719476768,1.000000000,1.000000000,2,0.006298371,0.006298371,0.021295870,0.015058454,0.020726987,0.500000000,0.500000000
67,4,0.364016231,0.409437319,0.298590089,0.189158683,0.745024426,1.000000000,1.000000000,2,0.020637854,0.020637854,0.031859662,0.022528183,0.041102252,0.500000000,0.500000000
68,4,0.369179064,0.413435763,0.304532936,0.196764711,0.753683295,1.000000000,1.000000000,3,0.051820029,0.229426033,0.347687551,0.045406185,0.572221807,1.000000000,1.000000000
69,4,0.371801409,0.411409739,0.298316915,0.199015467,0.741280655,1.000000000,1.000000000,3,0.047951714,0.219030118,0.335624740,0.044535345,0.549945217,1.000000000,1.000000000
70,4,0.369522494,0.407164366,0.296692246,0.201795822,0.732646215,1.000000000,1.000000000,3,0.054209300,0.218580165,0.340350920,0.062596435,0.554347429,0.666666667,0.666666667
71,4,0.364449277,0.404319911,0.307110270,0.208839194,0.740711528,1.000000000,1.000000000,3,0.072749656,0.224715100,0.347001023,0.093127507,0.566871111,0.666666667,0.666666667
72,4,0.361625537,0.401895921,0.316318984,0.216472676,0.747468504,1.000000000,1.000000000,3,0.060332627,0.210504701,0.343866754,0.093066576,0.549557144,0.666666667,0.666666667
73,4,0.359706069,0.399701458,0.315191385,0.216397173,0.743373932,1.000000000,1.000000000,3,0.056250133,0.194301867,0.333085617,0.103811957,0.522420577,0.666666667,0.666666667
74,4,0.355545408,0.397455098,0.307662997,0.209132743,0.733013075,1.000000000,1.000000000,3,0.048073104,0.177655776,0.323344051,0.108871148,0.497202844,0.666666667,0.666666667
75,4,0.351893924,0.391179847,0.301497732,0.208403224,0.717245053,1.000000000,1.000000000,3,0.014768996,0.158790252,0.324682319,0.083738056,0.484410644,0.666666667,0.666666667
76,4,0.349649291,0.378807081,0.292996698,0.214308742,0.688367687,1.000000000,1.000000000,3,-0.000437497,0.162008586,0.341221766,0.067201824,0.505456250,0.333333333,0.666666667
77,4,0.337821513,0.363328465,0.277410527,0.205510355,0.654767602,1.000000000,1.000000000,3,0.012040066,0.183236091,0.359180424,0.070359624,0.542220943,0.666666667,0.666666667
78,4,0.323408223,0.355451812,0.262355354,0.184568259,0.636930944,1.000000000,1.000000000,3,0.038720953,0.208132930,0.373402400,0.089253610,0.577642710,0.666666667,0.666666667
79,4,0.316861482,0.356656866,0.257657597,0.169662682,0.640056077,1.000000000,1.000000000,3,0.040426525,0.219705831,0.388258378,0.086944450,0.603339796,0.666666667,0.666666667
80,4,0.315472663,0.357313809,0.259144667,0.165302785,0.646630971,1.000000000,1.000000000,3,0.060025212,0.235599671,0.390710527,0.096547916,0.620969375,0.666666667,0.666666667
81,4,0.316678452,0.355314972,0.255558226,0.163408699,0.641563890,1.000000000,1.000000000,3,0.080823367,0.247830993,0.374563946,0.095001931,0.617245696,0.666666667,0.666666667
82,4,0.321769034,0.359686887,0.255880457,0.163099560,0.646892147,1.000000000,1.000000000,3,0.100198624,0.250671180,0.343774287,0.092409489,0.589643065,1.000000000,1.000000000
83,4,0.330013778,0.373321447,0.264453609,0.164221475,0.671819590,1.000000000,1.000000000,3,0.110897847,0.243197579,0.332295684,0.113468673,0.570228928,0.666666667,0.666666667
84,4,0.334814949,0.383907835,0.276129958,0.167839895,0.696693663,1.000000000,1.000000000,3,0.107665155,0.240277775,0.333924259,0.114634623,0.568890390,0.666666667,0.666666667
85,4,0.331751487,0.386024672,0.285010153,0.168948976,0.710429799,1.000000000,1.000000000,3,0.089220844,0.230468948,0.341927292,0.107425514,0.567273689,0.666666667,0.666666667
86,4,0.334210863,0.390162247,0.288761869,0.170830832,0.718629610,1.000000000,1.000000000,3,0.060143326,0.212875913,0.345518988,0.090100022,0.553611330,0.666666667,0.666666667
87,4,0.361336689,0.406276595,0.291867890,0.190158182,0.729698486,1.000000000,1.000000000,3,0.030858300,0.192408177,0.338087937,0.065457057,0.526328364,0.666666667,0.666666667
88,4,0.400287259,0.423804120,0.295706712,0.221918175,0.734150087,1.000000000,1.000000000,3,0.015508155,0.173236974,0.310068105,0.041765252,0.480039589,0.666666667,0.666666667
89,4,0.419873991,0.426133496,0.293137164,0.239799712,0.720079960,1.000000000,1.000000000,3,0.024382941,0.174974516,0.287113048,0.029896797,0.457887309,0.666666667,0.666666667
90,4,0.414473276,0.415699572,0.288976755,0.242830196,0.699371964,1.000000000,1.000000000,3,0.047375950,0.199455634,0.291666814,0.032117593,0.486896930,1.000000000,1.000000000
91,4,0.400818065,0.405905684,0.289302925,0.240847369,0.688696073,1.000000000,1.000000000,3,0.066087959,0.223118482,0.312422300,0.045725890,0.531223672,1.000000000,1.000000000
92,4,0.381389658,0.395411286,0.282696747,0.225637902,0.678491726,1.000000000,1.000000000,3,0.069344556,0.230422802,0.331970081,0.059620882,0.557914613,1.000000000,1.000000000
93,4,0.371248190,0.388671232,0.274694608,0.214797286,0.667115197,1.000000000,1.000000000,3,0.056828786,0.225544956,0.344639460,0.059059527,0.565516020,0.666666667,0.666666667
94,4,0.371687879,0.385262591,0.266161526,0.211870813,0.652452318,1.000000000,1.000000000,3,0.041821917,0.209012071,0.332421116,0.048446097,0.536836820,0.666666667,0.666666667
95,4,0.374116439,0.382038063,0.256698458,0.210526545,0.634363812,1.000000000,1.000000000,3,0.040039811,0.198021685,0.323499208,0.056170555,0.517144371,0.666666667,0.666666667
96,4,0.375205280,0.378055583,0.255197200,0.215994606,0.620391403,1.000000000,1.000000000,3,0.046971123,0.185756332,0.315292252,0.083306669,0.496667190,0.666666667,0.666666667
97,4,0.370483130,0.375740152,0.264290673,0.221276787,0.628549533,1.000000000,1.000000000,3,0.051144796,0.177200040,0.309555050,0.100583987,0.482019542,0.666666667,0.666666667
98,4,0.364240613,0.380749283,0.275631696,0.217057984,0.658357634,1.000000000,1.000000000,3,0.051262022,0.178319245,0.301507693,0.090126180,0.475430088,0.666666667,0.666666667
99,4,0.369768960,0.387398731,0.279719801,0.215828611,0.676737449,1.000000000,1.000000000,3,0.048506800,0.185761026,0.293343449,0.062300200,0.475163389,0.666666667,0.666666667
100,4,0.378291665,0.389088699,0.283789757,0.224508651,0.681037875,1.000000000,1.000000000,3,0.040979039,0.197824801,0.302783372,0.035336837,0.496265749,1.000000000,1.000000000
101,4,0.391464945,0.392476958,0.282166154,0.231462201,0.678359956,1.000000000,1.000000000,3,0.027072757,0.210194352,0.337303459,0.023014574,0.542214181,1.000000000,1.000000000
102,4,0.385858055,0.390688472,0.276058893,0.221610892,0.674084561,1.000000000,1.000000000,3,0.013654229,0.202528942,0.353621776,0.030205264,0.551090371,0.666666667,0.666666667
103,4,0.363696348,0.382048169,0.264302460,0.198129208,0.661809574,1.000000000,1.000000000,3,0.009508307,0.187406820,0.345697014,0.042620347,0.530552977,0.666666667,0.666666667
104,4,0.346390555,0.367170895,0.258323779,0.191801745,0.640865877,1.000000000,1.000000000,3,0.013296609,0.170263461,0.316903715,0.050817115,0.485264902,0.666666667,0.666666667
105,4,0.342426410,0.361304622,0.250996986,0.190851565,0.621988490,1.000000000,1.000000000,3,0.016458468,0.162347253,0.295736643,0.048557004,0.455623497,0.666666667,0.666666667
106,4,0.339286040,0.357309015,0.253712929,0.195173535,0.618122363,1.000000000,1.000000000,3,0.015933749,0.160430575,0.276889767,0.030253633,0.433303450,0.666666667,0.666666667
107,4,0.331695636,0.358631143,0.268513900,0.196198692,0.642388520,1.000000000,1.000000000,3,0.014774224,0.173332549,0.276894729,0.002610291,0.445230964,1.000000000,1.000000000
108,4,0.309928256,0.354820536,0.281649948,0.181316601,0.668055544,1.000000000,1.000000000,3,0.038662851,0.187715716,0.278475619,0.023171797,0.461960204,1.000000000,1.000000000
109,4,0.295953266,0.343025166,0.273216380,0.168800764,0.651115560,1.000000000,1.000000000,3,0.054926257,0.200865418,0.286808857,0.038551239,0.483658107,1.000000000,1.000000000
110,4,0.308049987,0.341304767,0.257375497,0.173406125,0.624861458,1.000000000,1.000000000,3,0.051796176,0.198260229,0.286719399,0.037440509,0.480945576,1.000000000,1.000000000
111,5,0.329816312,0.345509090,0.217725332,0.145771343,0.604618280,1.000000000,1.000000000,3,0.028908974,0.180906832,0.274944092,0.013388263,0.451352627,1.000000000,1.000000000
112,5,0.371443232,0.364208489,0.225532341,0.173043101,0.611354235,1.000000000,1.000000000,3,0.024656293,0.162639642,0.260512139,0.024513683,0.419273650,1.000000000,1.000000000
113,5,0.390149314,0.374759038,0.236958572,0.197776760,0.621173337,1.000000000,1.000000000,3,0.033482899,0.151616945,0.254920988,0.056289768,0.403105614,0.666666667,0.666666667
114,5,0.436194442,0.380653639,0.243602881,0.200222999,0.623624149,1.000000000,1.000000000,3,0.037763192,0.145493126,0.257478199,0.078385763,0.399467139,0.666666667,0.666666667
115,5,0.437386756,0.370345015,0.241852745,0.205747746,0.620588352,1.000000000,1.000000000,3,0.041476716,0.147473503,0.267732890,0.092509115,0.411881814,0.666666667,0.666666667
116,5,0.433092468,0.358768936,0.239073254,0.218282255,0.617410634,1.000000000,1.000000000,3,0.045824335,0.162161428,0.288093385,0.095396304,0.446165923,0.666666667,0.666666667
117,5,0.446655577,0.353779642,0.239334498,0.206121353,0.612698416,1.000000000,1.000000000,3,0.048435281,0.184466091,0.313062234,0.086004945,0.493122920,0.666666667,0.666666667
118,5,0.443040077,0.353320769,0.235104526,0.192189229,0.602142062,1.000000000,1.000000000,3,0.049070069,0.205584613,0.338711364,0.075635636,0.539731411,0.666666667,0.666666667
119,5,0.462019280,0.354096585,0.223502156,0.140732443,0.575890349,1.000000000,1.000000000,3,0.049989992,0.212597042,0.352023650,0.078719028,0.559876152,0.666666667,0.666666667
120,5,0.441876644,0.351250585,0.210267867,0.126061615,0.551367518,1.000000000,1.000000000,3,0.051601445,0.209026745,0.352147761,0.088548054,0.556343005,0.666666667,0.666666667
121,5,0.392364541,0.344273965,0.195088370,0.152216097,0.533973463,1.000000000,1.000000000,3,0.049872439,0.203216684,0.337997549,0.080799495,0.536621446,0.666666667,0.666666667
122,5,0.360208672,0.341284955,0.182491878,0.129170091,0.527604754,1.000000000,1.000000000,3,0.054074135,0.203270746,0.314024468,0.062415924,0.513079316,0.666666667,0.666666667
123,5,0.325639952,0.331316284,0.171853943,0.154400833,0.510201833,1.000000000,1.000000000,3,0.071248393,0.214291764,0.293040517,0.051003559,0.503368699,1.000000000,1.000000000
124,5,0.306597014,0.314752247,0.164207027,0.161742232,0.482733454,1.000000000,1.000000000,3,0.068375516,0.220758685,0.289369962,0.028950978,0.505865953,1.000000000,1.000000000
125,5,0.303885430,0.297805091,0.161641569,0.123962098,0.475927989,1.000000000,1.000000000,3,0.066099440,0.223945256,0.299223294,0.029404345,0.518747055,1.000000000,1.000000000
126,5,0.314658583,0.273592876,0.154256694,0.151449120,0.451477580,1.000000000,1.000000000,3,0.059839439,0.224201449,0.320814135,0.040964476,0.540484892,1.000000000,1.000000000
127,5,0.257482170,0.259199211,0.157502116,0.103964023,0.450368344,1.000000000,1.000000000,3,0.043258615,0.224165124,0.343662752,0.034513925,0.562768722,1.000000000,1.000000000
128,5,0.237306204,0.257183586,0.166103547,0.108293705,0.459445389,1.000000000,1.000000000,3,0.049038330,0.230803010,0.344979213,0.034325060,0.570695520,1.000000000,1.000000000
129,5,0.247268446,0.265188089,0.170206837,0.093947319,0.474165977,1.000000000,1.000000000,3,0.044844794,0.229393600,0.340201874,0.023499315,0.564275954,1.000000000,1.000000000
130,5,0.251275771,0.279243894,0.173465079,0.087037994,0.497021746,1.000000000,1.000000000,3,0.067858852,0.234767458,0.339392905,0.056709854,0.569550957,1.000000000,1.000000000
131,5,0.238402357,0.290452624,0.183094985,0.110252136,0.526818725,1.000000000,1.000000000,3,0.087430833,0.242219138,0.354306014,0.095785813,0.591566489,0.666666667,0.666666667
132,5,0.223903164,0.303979471,0.198854776,0.127158766,0.562471860,1.000000000,1.000000000,3,0.097057106,0.236076286,0.351118848,0.121304060,0.581582547,0.666666667,0.666666667
133,5,0.212059762,0.311610458,0.211499537,0.104788219,0.585867798,1.000000000,1.000000000,3,0.090158801,0.215114007,0.328668881,0.122910356,0.538157179,0.666666667,0.666666667
134,5,0.202364768,0.308604951,0.210691312,0.088746611,0.579204331,1.000000000,1.000000000,3,0.074185281,0.194032255,0.302535157,0.104403865,0.491735590,0.666666667,0.666666667
135,5,0.191749937,0.295394786,0.197276434,0.073169206,0.549425577,1.000000000,1.000000000,3,0.064689502,0.182010164,0.277497779,0.082247422,0.455477968,0.666666667,0.666666667
136,5,0.182586930,0.279841761,0.175514781,0.050286712,0.509067537,1.000000000,1.000000000,3,0.064396395,0.179976681,0.259281657,0.065811250,0.435693293,0.666666667,0.666666667
137,5,0.177878142,0.271058119,0.154312823,0.026610174,0.473028247,1.000000000,1.000000000,3,0.059890084,0.177125289,0.266571900,0.070627430,0.439989826,0.666666667,0.666666667
138,5,0.176645586,0.265371005,0.140631103,0.024558273,0.447503574,1.000000000,1.000000000,3,0.047761967,0.185565556,0.283118362,0.050031124,0.464859671,0.666666667,0.666666667
139,5,0.185629879,0.260077969,0.138483919,0.052250239,0.436132985,1.000000000,1.000000000,3,0.039366633,0.187417323,0.292465130,0.040786281,0.475811150,0.666666667,0.666666667
140,5,0.197100897,0.257218299,0.149251062,0.087295827,0.444798931,1.000000000,1.000000000,3,0.037854356,0.180487951,0.292914270,0.051644247,0.469444885,0.666666667,0.666666667
141,5,0.208061778,0.260702647,0.172840636,0.123748047,0.476136266,1.000000000,1.000000000,3,0.039001326,0.173621964,0.297811018,0.072111676,0.467377558,0.666666667,0.666666667
142,5,0.210998755,0.269914078,0.202943687,0.156170620,0.522230089,1.000000000,1.000000000,3,0.038981293,0.181982657,0.300452240,0.059239631,0.478400644,0.666666667,0.666666667
143,5,0.199979689,0.277708217,0.226088745,0.170901670,0.560855311,1.000000000,1.000000000,3,0.031830298,0.179815346,0.325080610,0.076774369,0.501798237,0.666666667,0.666666667
144,5,0.181404203,0.275892567,0.226365614,0.160480682,0.558898858,1.000000000,1.000000000,3,0.007904514,0.175730099,0.336183694,0.051404174,0.510856863,0.666666667,0.666666667
145,5,0.183772749,0.277152958,0.224231380,0.150533507,0.558363622,1.000000000,1.000000000,3,-0.013078237,0.163382866,0.338494456,0.037342459,0.503324849,0.333333333,0.666666667
146,5,0.184140372,0.274687291,0.214025375,0.133395830,0.532850816,1.000000000,1.000000000,3,-0.040022620,0.116566916,0.376040216,0.115852110,0.506625761,0.333333333,0.666666667
147,5,0.185858516,0.249348651,0.172090385,0.121262292,0.443992486,1.000000000,1.000000000,3,0.089880747,0.186348032,0.309213981,0.153013420,0.488054496,0.666666667,0.666666667
148,5,0.197421425,0.231306559,0.144302730,0.091516045,0.416632279,1.000000000,1.000000000,2,0.228800609,0.228800609,0.391371691,0.276741576,0.482662124,0.500000000,0.500000000
149,5,0.167125760,0.207948547,0.142514821,0.028777604,0.400083425,1.000000000,1.000000000,2,0.217505581,0.217505581,0.344277910,0.243441245,0.439196267,0.500000000,0.500000000
150,5,0.176540270,0.193592068,0.153034480,0.102586265,0.396148956,1.000000000,1.000000000,2,0.204780462,0.204780462,0.311760587,0.220448025,0.404750441,0.500000000,0.500000000
151,5,0.170759033,0.184764070,0.161359038,0.109029778,0.396080966,1.000000000,1.000000000,2,0.206876111,0.206876111,0.329951536,0.233310969,0.419499469,0.500000000,0.500000000
152,5,0.163014021,0.185511175,0.183621757,0.113128646,0.429182304,1.000000000,1.000000000,2,0.208123379,0.208123379,0.360860189,0.255166686,0.442477728,0.500000000,0.500000000
