frame_id,is_frame027,subset,solver,subset_point_count,status,valid_lambda_count,normal_angle_diff_deg,plane_distance_diff_mm,abs_plane_distance_diff_mm,subset_reprojection_rmse_px,subset_depth_min_mm,lambda_delta_bias_mm,lambda_delta_rmse_mm,lambda_delta_p95_abs_mm,lambda_delta_max_abs_mm
001,False,full,full_iterative_lm,88,ok,822,8.537736462515939e-07,0.0,0.0,0.16329053695098955,631.0360245891787,0.0,0.0,0.0,0.0
001,False,left_half,iterative_lm,48,ok,822,0.020772287327874474,-0.011449903961533892,0.011449903961533892,0.136668758806155,635.6135901000575,-0.004297042203068186,0.004876683739540992,0.007562664847142741,0.0077506265312194955
001,False,right_half,iterative_lm,48,ok,822,0.015974404931864732,-0.10995454109922775,0.10995454109922775,0.13546956738595936,630.9807994591829,-0.05733081136380932,0.05783750815111702,0.06814688773287117,0.06881914041991877
001,False,top_half,iterative_lm,44,ok,822,0.0655237527430081,0.2863237526368039,0.2863237526368039,0.13611527670047843,631.0933229851589,0.01105506375092784,0.046873687819089654,0.07608222472929924,0.0868046271956473
001,False,bottom_half,iterative_lm,55,ok,822,0.03156540622472082,-0.1975343075556566,0.1975343075556566,0.1483619676402068,655.9613014239666,-0.0673327781105524,0.07048195282662183,0.09688712223777997,0.09872140613902047
001,False,central_subset,iterative_lm,35,ok,822,0.011743923764342357,-0.00306266326720106,0.00306266326720106,0.11397879085949418,641.1995792831493,-0.017976552270960722,0.01829174951820358,0.02309778652578984,0.025232714898493214
002,False,full,full_iterative_lm,88,ok,890,0.0,0.0,0.0,0.14798432041035417,628.1546972445636,0.0,0.0,0.0,0.0
002,False,left_half,iterative_lm,48,ok,890,0.027605629015910488,-0.11504088794038125,0.11504088794038125,0.14283667405688633,663.9529314097686,-0.011699533524017624,0.013408705335009935,0.021435650968066964,0.022054520580468306
002,False,right_half,iterative_lm,48,ok,890,0.04705708611556728,0.140915371076062,0.140915371076062,0.11951227235257823,628.2460614260918,-0.03984879988503063,0.04124647109019242,0.0556480637459515,0.0573679851071347
002,False,top_half,iterative_lm,44,ok,890,0.0637209172370419,-0.22339122789367138,0.22339122789367138,0.12419915421220427,628.0665337911247,-0.10465272798466195,0.11548271727530769,0.17679952155071418,0.1845258719041567
