row_type,frame_id,is_frame027,laser_point_count,cone_valid_point_count,full_pnp_rmse_px,cone_e_lambda_bias_mm,cone_e_lambda_rmse_mm,cone_e_lambda_p95_abs_mm,cone_a_frame_mm,cone_k_frame_mm_per_normalized_stripe,subset_count_ok,solver_count_ok,subset_normal_angle_max_deg,subset_plane_distance_max_abs_mm,subset_lambda_delta_rmse_max_mm,subset_lambda_delta_p95_max_mm,subset_lambda_delta_max_abs_max_mm,subset_lambda_delta_rmse_median_mm,solver_lambda_delta_rmse_max_mm,solver_lambda_delta_p95_max_mm,solver_normal_angle_max_deg,solver_plane_distance_max_abs_mm,left_du_mean_px,right_du_mean_px,left_dv_mean_px,right_dv_mean_px,top_du_mean_px,bottom_du_mean_px,top_dv_mean_px,bottom_dv_mean_px,left_right_du_difference_px,top_bottom_dv_difference_px,radial_magnitude_spearman_rho,radial_magnitude_spearman_p_value,corner_du_rmse_px,corner_dv_rmse_px,corner_residual_rmse_px,verdict,geometry_ok,max_subset_lambda_delta_p95_mm,max_subset_lambda_delta_rmse_mm,max_solver_lambda_delta_p95_mm,max_solver_lambda_delta_rmse_mm,median_cone_e_lambda_rmse_mm,max_cone_e_lambda_rmse_mm,max_abs_frame_correlation,corner_pattern_left_right_du_difference_px,corner_pattern_top_bottom_dv_difference_px,next_step,spearman_subset_lambda_delta_p95_max_mm_vs_cone_e_lambda_rmse_mm_rho,spearman_subset_lambda_delta_p95_max_mm_vs_cone_e_lambda_rmse_mm_p_value,spearman_subset_lambda_delta_p95_max_mm_vs_cone_e_lambda_rmse_mm_n,spearman_subset_lambda_delta_p95_max_mm_vs_cone_e_lambda_p95_abs_mm_rho,spearman_subset_lambda_delta_p95_max_mm_vs_cone_e_lambda_p95_abs_mm_p_value,spearman_subset_lambda_delta_p95_max_mm_vs_cone_e_lambda_p95_abs_mm_n,spearman_subset_lambda_delta_p95_max_mm_vs_cone_a_frame_mm_rho,spearman_subset_lambda_delta_p95_max_mm_vs_cone_a_frame_mm_p_value,spearman_subset_lambda_delta_p95_max_mm_vs_cone_a_frame_mm_n,spearman_subset_lambda_delta_p95_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_rho,spearman_subset_lambda_delta_p95_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_p_value,spearman_subset_lambda_delta_p95_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_n,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_e_lambda_rmse_mm_rho,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_e_lambda_rmse_mm_p_value,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_e_lambda_rmse_mm_n,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_e_lambda_p95_abs_mm_rho,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_e_lambda_p95_abs_mm_p_value,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_e_lambda_p95_abs_mm_n,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_a_frame_mm_rho,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_a_frame_mm_p_value,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_a_frame_mm_n,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_rho,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_p_value,spearman_subset_lambda_delta_rmse_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_n,spearman_solver_lambda_delta_p95_max_mm_vs_cone_e_lambda_rmse_mm_rho,spearman_solver_lambda_delta_p95_max_mm_vs_cone_e_lambda_rmse_mm_p_value,spearman_solver_lambda_delta_p95_max_mm_vs_cone_e_lambda_rmse_mm_n,spearman_solver_lambda_delta_p95_max_mm_vs_cone_e_lambda_p95_abs_mm_rho,spearman_solver_lambda_delta_p95_max_mm_vs_cone_e_lambda_p95_abs_mm_p_value,spearman_solver_lambda_delta_p95_max_mm_vs_cone_e_lambda_p95_abs_mm_n,spearman_solver_lambda_delta_p95_max_mm_vs_cone_a_frame_mm_rho,spearman_solver_lambda_delta_p95_max_mm_vs_cone_a_frame_mm_p_value,spearman_solver_lambda_delta_p95_max_mm_vs_cone_a_frame_mm_n,spearman_solver_lambda_delta_p95_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_rho,spearman_solver_lambda_delta_p95_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_p_value,spearman_solver_lambda_delta_p95_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_n,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_e_lambda_rmse_mm_rho,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_e_lambda_rmse_mm_p_value,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_e_lambda_rmse_mm_n,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_e_lambda_p95_abs_mm_rho,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_e_lambda_p95_abs_mm_p_value,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_e_lambda_p95_abs_mm_n,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_a_frame_mm_rho,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_a_frame_mm_p_value,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_a_frame_mm_n,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_rho,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_p_value,spearman_solver_lambda_delta_rmse_max_mm_vs_cone_k_frame_mm_per_normalized_stripe_n
frame,001,False,822,822,0.16329053695098955,-0.014381148136257476,0.07687830320110613,0.1378491128957762,-0.014381148136257467,0.13242324586294638,5,2,0.0655237527430081,0.2863237526368039,0.07048195282662183,0.09688712223777997,0.09872140613902047,0.046873687819089654,0.016775691224452275,0.02586787560578614,0.026779348543880605,0.1047331326250287,-0.007462388221398442,0.010872000030298068,0.009182154107412544,-0.02904400832688907,0.005167612227885663,-0.0054987523607327275,0.016708529317291075,-0.017101533590706906,0.01833438825169651,-0.033810062907997984,0.26112278948644124,0.01399784473394123,0.09515417481612937,0.13270072521581777,0.16329053695098955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,002,False,890,890,0.14798432041035417,-0.04530581783363275,0.06523519074227296,0.09135883624990128,-0.045305817833632786,-0.028190632337988984,5,2,0.0637209172370419,0.22339122789367138,0.11548271727530769,0.17679952155071418,0.1845258719041567,0.04124647109019242,0.07978432606173255,0.10162435841513115,0.03070776737657544,0.18496827283695438,-0.01100236638270644,0.012225631894733625,-0.016159369500383037,0.0019040524407017757,-0.014730152628725467,0.014142005219990882,0.011983389354962914,-0.012450635451653046,0.023227998277440064,-0.02443402480661596,0.12611765197238167,0.24165737019534805,0.1276520521296552,0.07486195745772457,0.14798432041035417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,003,False,900,900,0.15082336512204414,-0.061619534974514,0.08537311120689597,0.13326322693397968,-0.06161953497451402,-0.06431824759273524,5,2,0.0653061783926794,0.09349153020991707,0.07031545085259887,0.07205722742108947,0.07348751655331398,0.021058067003809012,0.0446693224286528,0.05762284551115613,0.013849028005932096,0.08241807252443323,-0.008459824129829485,-0.009973183814173581,-0.01508524177424988,0.00483742055238281,-2.6132858181426855e-05,0.00010754638767903916,0.002008751829991566,-0.0017179231546926778,-0.0015133596843440959,-0.003726674984684244,0.18374523679421378,0.08659106516825778,0.0824483662738895,0.12629312873432186,0.15082336512204414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,004,False,900,900,0.10089911315776134,-0.029837974835339513,0.12070602844202004,0.23303750909452098,-0.029837974835339533,0.13823220350221083,5,2,0.06548642914016202,0.09943204434523523,0.0716101987666363,0.10767367395275186,0.11099291814457501,0.05829485796173862,0.04427860092025476,0.08127142831297647,0.05280422750023556,0.06972478639431756,0.017076153391997195,-0.012287789525379367,0.000426686588915004,0.017253248568664503,-0.012381693488407564,0.012186821799497755,-0.024481069475879993,0.02449374721419934,-0.02936394291737656,0.04897481669007933,0.27440111609930523,0.00967681217443979,0.06727857098273535,0.07519458040672725,0.10089911315776134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,005,False,900,900,0.1029680148290363,-0.03923327173369418,0.06329194073461111,0.1277541344245378,-0.03923327173369418,0.0015000053398215724,5,2,0.03165267728262273,0.038037412998505715,0.04417923800376531,0.06518937174628263,0.06715238799927192,0.019575796991070028,0.059110752443365555,0.09133055972568511,0.042154567412609,0.06633211177404519,-0.024986601336053127,0.00825818236125997,-0.011046478941256054,0.012654618804162965,-0.015757937817149716,0.01555600943252309,0.01862481013221058,-0.018570907992514405,0.033244783697313096,-0.03719571812472498,0.17644480224212122,0.1000807869751453,0.07298915118883906,0.07262916691361282,0.1029680148290363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,006,False,900,900,0.09617947945335815,0.006225219388691888,0.06553434985518876,0.12159574974500628,0.0062252193886918935,0.030848902094320497,5,2,0.05573679513242813,0.030841727963093035,0.052141426422724124,0.09607418355491859,0.10159294719335321,0.03568171582885651,0.12545948037879254,0.20883301354132866,0.18404979116019854,0.0274565660386088,-0.009786910741206611,0.006356126553077957,-0.009224461995225397,0.028333754969364123,-0.020811625384257324,0.02082306245289994,0.0032867803691916915,-0.0031249034923761924,0.016143037294284568,-0.006411683861567884,0.5136226019294688,3.0942517531611773e-07,0.0630686353354372,0.0726143202463852,0.09617947945335815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,007,False,900,900,0.11620290816413645,-0.05156375625692691,0.08073912530525672,0.1573715513079093,-0.05156375625692694,-0.019294906184955458,5,2,0.0782238856916981,0.09088391517127548,0.1120929873486281,0.18129715141045608,0.19079811620667897,0.04642452466747287,0.03895750793786005,0.06907573594909877,0.04527804537085075,0.06639687600431898,-0.00407635323894624,0.0027388322513502315,-0.007097203577993127,0.027983854266753382,-0.026825538216686793,0.026814050816193976,0.004750787758106092,-0.004552045142159758,0.0068151854902964715,-0.00930283290026585,0.22984025109172576,0.03122505537676498,0.08456235987821045,0.07970146270697138,0.11620290816413645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,008,False,900,900,0.09554045144952464,0.009713062927254568,0.06761903487049702,0.1211071979681833,0.009713062927254582,0.010058513266377177,5,2,0.06617819029549248,0.09181706822823799,0.08974142249610137,0.13019045884885827,0.14064443855352238,0.04735500049226425,0.17351207507819086,0.30754701459758277,0.21930479220129806,0.12811533796207186,0.009941808072682079,0.003520149256326022,-0.031095707624979242,0.032495414391709686,-0.04178368481549652,0.04195036322426466,-0.0011211676739254597,0.0015054693395975185,-0.006421658816356058,0.002626637013522978,0.3563634827614459,0.0006549042531112184,0.07269001357350965,0.0620011273273475,0.09554045144952464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,009,False,900,900,0.10973019581690426,-0.04001030957358643,0.084914209814601,0.15506273645429472,-0.040010309573586436,-0.0024896215816010477,5,2,0.027228432019131964,0.02205107108170523,0.026637251665359168,0.045252686714064794,0.047755547169799684,0.018705411524303793,0.21941114390454894,0.2455068124280217,0.2251315223074932,0.08231680980668443,0.013174328581413874,-0.010799554321522464,0.015047413816964195,-0.01510323897447563,0.015688004049273084,-0.01549009640930618,-0.01226702512931607,0.012278385085111991,-0.02397388290293634,0.024545410214428062,0.08534807543992272,0.42915857505434074,0.08986407333283923,0.06296954976848926,0.10973019581690426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,010,False,900,900,0.11900903660715031,0.024089916095470773,0.06857943969404821,0.11914271821046327,0.024089916095470787,0.0192417992287628,5,2,0.0904093509645921,0.1500094999578323,0.09015447531619394,0.15267489338320386,0.16479036953694504,0.04269275932898553,0.06576606243195661,0.12011459008919585,0.08655005247456264,0.05528147349195933,-0.03352084689388448,0.019895986613528295,0.01745341269570133,-0.02375714014567052,0.02247364018259387,-0.021954352712183125,0.03358363262637712,-0.034018919002849396,0.053416833507412775,-0.06760255162922651,0.3139186857399802,0.0028976731126635776,0.0906319234164135,0.0771297948396299,0.11900903660715031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
