frame_id,is_frame027,method,status,valid_lambda_count,solver_reprojection_rmse_px,solver_depth_min_mm,normal_angle_diff_deg,plane_distance_diff_mm,abs_plane_distance_diff_mm,lambda_delta_bias_mm,lambda_delta_rmse_mm,lambda_delta_p95_abs_mm,lambda_delta_max_abs_mm,homography_inlier_fraction
001,False,full_iterative_lm,ok,822,0.16329053695098955,631.0360245891787,8.537736462515939e-07,0.0,0.0,0.0,0.0,0.0,0.0,nan
001,False,ippe,ok,822,0.16403730374058395,631.0275931529675,0.005126526214991042,-0.027471091126813008,0.027471091126813008,-0.009338410264658351,0.009746005108291033,0.01329572596044386,0.013542780317152392,nan
001,False,homography,ok,822,0.264252142765588,631.0464753185803,0.026779348543880605,0.1047331326250287,0.1047331326250287,0.0017546500348636879,0.016775691224452275,0.02586787560578614,0.034070322899424355,1.0
002,False,full_iterative_lm,ok,890,0.14798432041035417,628.1546972445636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
002,False,ippe,ok,890,0.14928085141014605,628.1783291666019,0.00781433399793714,0.04149389918563884,0.04149389918563884,0.011971898614992467,0.012446733408446705,0.016996782190312844,0.01753219595821065,nan
002,False,homography,ok,890,0.1882692125320109,628.0424486192882,0.03070776737657544,-0.18496827283695438,0.18496827283695438,-0.07818919602925714,0.07978432606173255,0.10162435841513115,0.10412556354879143,1.0
003,False,full_iterative_lm,ok,900,0.15082336512204414,628.8485306382465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
003,False,ippe,ok,900,0.15111265232108628,628.8333737044151,0.0034127222985350595,-0.020834241746229054,0.020834241746229054,-0.008817197314155137,0.009307689546065732,0.013045735310384998,0.014269385255602174,nan
003,False,homography,ok,900,0.1856748285768855,628.9204326849348,0.013849028005932096,0.08241807252443323,0.08241807252443323,0.04355020866314842,0.0446693224286528,0.05762284551115613,0.06168590306776878,1.0
004,False,full_iterative_lm,ok,900,0.10089911315776134,642.2058919944509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
004,False,ippe,ok,900,0.1199957642314258,642.1353245343452,0.05280422750023556,-0.06972478639431756,0.06972478639431756,-0.02251681873619039,0.04427860092025476,0.08127142831297647,0.08599958418687947,nan
004,False,homography,ok,900,0.15151304192572412,642.2119165578843,0.019662868936041678,0.002796010771589863,0.002796010771589863,-0.015271152733715527,0.020971375166016624,0.037063602622276905,0.03924576565384541,1.0
005,False,full_iterative_lm,ok,900,0.1029680148290363,647.1900370297213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
005,False,ippe,ok,900,0.11883707424117337,647.2920753955922,0.042154567412609,0.06633211177404519,0.06633211177404519,0.05314876381031619,0.059110752443365555,0.09133055972568511,0.09941745161165727,nan
005,False,homography,ok,900,0.16982713640550962,647.1616930577923,0.02318791625896173,-0.017021197523831688,0.017021197523831688,-0.010325273467410625,0.014128078362184314,0.02454178085245075,0.027538083260310486,1.0
006,False,full_iterative_lm,ok,900,0.09617947945335815,697.8344573885129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
006,False,ippe,ok,900,0.19881119443701542,697.9201886859753,0.18404979116019854,-0.0274565660386088,0.0274565660386088,0.004688886244458925,0.12545948037879254,0.20883301354132866,0.22195467387973622,nan
006,False,homography,ok,900,0.10270264478883748,697.8383657805736,0.00694621770486528,0.009939463053797226,0.009939463053797226,0.009525303295012893,0.010699735285057837,0.01716655041327044,0.01807333095996455,1.0
007,False,full_iterative_lm,ok,900,0.11620290816413645,702.0158073400399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
007,False,ippe,ok,900,0.1246936924734535,702.0935266207966,0.03258544590430388,0.0662403223924457,0.0662403223924457,0.03275193701448416,0.03895750793786005,0.06576006081528475,0.07133831438181915,nan
007,False,homography,ok,900,0.17283594051687437,701.9335184505749,0.04527804537085075,-0.06639687600431898,0.06639687600431898,-0.021530072819868136,0.037237392683441964,0.06907573594909877,0.0771098115399127,1.0
008,False,full_iterative_lm,ok,900,0.09554045144952464,695.7888071265969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
008,False,ippe,ok,900,0.2591177140125474,695.9657021566329,0.21930479220129806,0.12811533796207186,0.12811533796207186,-0.00719696860682916,0.17351207507819086,0.30754701459758277,0.33260894791123974,nan
008,False,homography,ok,900,0.1728715438627457,695.7565833382581,0.013257237372468858,-0.03516676906144767,0.03516676906144767,-0.029470318040769015,0.031168870632490242,0.04466642738745463,0.04812720643155899,1.0
009,False,full_iterative_lm,ok,900,0.10973019581690426,695.892540237952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
009,False,ippe,ok,900,0.28842653429897624,696.2735845461935,0.2251315223074932,-0.08231680980668443,0.08231680980668443,-0.21874281291933836,0.21941114390454894,0.2455068124280217,0.24789972787402803,nan
009,False,homography,ok,900,0.11435836071592566,695.9018180015621,0.0032032220734959198,0.016028746606480127,0.016028746606480127,0.018016321308609678,0.018020260092097725,0.018603301695554818,0.01865597120070106,1.0
