frame_id,is_frame027,corner_index,board_x_mm,board_y_mm,observed_u_px,observed_v_px,projected_u_px,projected_v_px,du_px,dv_px,residual_norm_px,board_x_normalized,board_y_normalized,board_radial_normalized,left_right,top_bottom
001,False,0,0.0,0.0,2875.06640625,2508.877197265625,2875.317291595513,2508.611315892651,0.2508853455128701,-0.2658813729740359,0.3655630740209829,-1.0,-1.0,1.0,left,top
001,False,1,20.0,0.0,2647.23291015625,2509.214111328125,2647.352853805329,2508.995997027308,0.11994364907877753,-0.21811430081697836,0.24891831426235445,-0.8,-1.0,0.8708554769564043,left,top
001,False,2,40.0,0.0,2418.440185546875,2509.261474609375,2418.5931796846994,2509.3122720213655,0.15299413782440752,0.050797411990515684,0.16120664773379537,-0.6,-1.0,0.7552945112058728,left,top
001,False,3,60.0,0.0,2189.033447265625,2509.525390625,2189.076104382277,2509.5490850002566,0.04265711665220806,0.023694375256582134,0.04879603487866425,-0.4,-1.0,0.6604858898858135,left,top
001,False,4,80.0,0.0,1958.855224609375,2509.7412109375,1958.8492590907588,2509.7004124186583,-0.005965518616221743,-0.040798518841711484,0.041232348369186725,-0.2,-1.0,0.5964098406184939,left,top
001,False,5,100.0,0.0,1727.980712890625,2509.827880859375,1727.9642627339551,2509.765414405012,-0.016450156669861826,-0.06246645436294784,0.06459617306885328,0.0,-1.0,0.5734623443633283,center,top
001,False,6,120.0,0.0,1496.47802734375,2509.798095703125,1496.4706552703915,2509.7485894800943,-0.007372073358510534,-0.049506223030675756,0.050052108690506456,0.2,-1.0,0.5964098406184939,right,top
001,False,7,140.0,0.0,1264.5701904296875,2509.641845703125,1264.4095646830299,2509.6599327197064,-0.1606257466576153,0.018087016581375792,0.16164086939302008,0.4,-1.0,0.6604858898858135,right,top
001,False,8,160.0,0.0,1031.807373046875,2509.652587890625,1031.8070995088592,2509.515097432994,-0.00027353801579010906,-0.13749045763097456,0.1374907297333929,0.6,-1.0,0.7552945112058728,right,top
001,False,9,180.0,0.0,798.9634399414062,2509.59033203125,798.6674585406072,2509.3355604294056,-0.29598140079906443,-0.254771601844368,0.39052984357833853,0.8,-1.0,0.8708554769564043,right,top
001,False,10,200.0,0.0,565.16650390625,2509.25048828125,564.9657491055063,2509.1487909488023,-0.2007548007436526,-0.10169733244765666,0.22504407890142958,1.0,-1.0,1.0,right,top
001,False,11,0.0,20.0,2861.93896484375,2290.510009765625,2862.104960726159,2290.3813622395537,0.16599588240887897,-0.12864752607129049,0.21001147335554252,-1.0,-0.7142857142857143,0.9159291318091396,left,top
001,False,12,20.0,20.0,2636.8369140625,2290.408447265625,2636.9884986760426,2290.411235827144,0.1515846135425818,0.0027885615190825774,0.15161026066265956,-0.8,-0.7142857142857143,0.7728618480955124,left,top
001,False,13,40.0,20.0,2410.913330078125,2290.264892578125,2411.087723640931,2290.381379563722,0.17439356280601714,0.11648698559702098,0.20971965230196435,-0.6,-0.7142857142857143,0.6398405841726221,left,top
001,False,14,60.0,20.0,2184.39990234375,2290.17333984375,2184.4436274811396,2290.2836270319804,0.0437251373896288,0.11028718823035888,0.11863874378760307,-0.4,-0.7142857142857143,0.5245643766354129,left,top
001,False,15,80.0,20.0,1957.1422119140625,2290.01708984375,1957.10641686866,2290.1135509037194,-0.03579504540243761,0.09646105996944243,0.10288839276512651,-0.2,-0.7142857142857143,0.4411698907260348,left,top
001,False,16,100.0,20.0,1729.091064453125,2289.853271484375,1729.1300660603872,2289.8705667101685,0.03900160726220747,0.017295225793532154,0.042664390354073205,0.0,-0.7142857142857143,0.40961596025952024,center,top
001,False,17,120.0,20.0,1500.6531982421875,2289.579345703125,1500.5666305710201,2289.5580387454856,-0.08656767116735864,-0.02130695763935364,0.08915126547158568,0.2,-0.7142857142857143,0.4411698907260348,right,top
001,False,18,140.0,20.0,1271.4698486328125,2289.255859375,1271.4603145033152,2289.1833881442167,-0.009534129497296817,-0.07247123078332152,0.07309568329607893,0.4,-0.7142857142857143,0.5245643766354129,right,top
001,False,19,160.0,20.0,1041.9833984375,2288.71533203125,1041.8412840988324,2288.758203174253,-0.1421143386676249,0.04287114300313988,0.14843995472019,0.6,-0.7142857142857143,0.6398405841726221,right,top
001,False,20,180.0,20.0,811.6490478515625,2288.3232421875,811.719219872765,2288.2983517876364,0.07017202120255206,-0.02489039986357966,0.07445565502378113,0.8,-0.7142857142857143,0.7728618480955124,right,top
001,False,21,200.0,20.0,581.0531616210938,2287.9658203125,581.0765994916724,2287.824096472354,0.023437870578618458,-0.14172384014591444,0.1436488100993697,1.0,-0.7142857142857143,0.9159291318091396,right,top
001,False,22,0.0,40.0,2849.116943359375,2077.580078125,2849.1774553078476,2077.520365880622,0.06051194847259467,-0.0597122443778062,0.08501322271614457,-1.0,-0.42857142857142855,0.8553032352102229,left,top
001,False,23,20.0,40.0,2626.83154296875,2077.181884765625,2626.8458377015722,2077.2034036443947,0.014294732822236256,0.02151887876971159,0.02583411562187997,-0.8,-0.42857142857142855,0.6999520597198355,left,top
001,False,24,40.0,40.0,2403.8623046875,2076.70166015625,2403.743639799587,2076.8383433541608,-0.11866488791292795,0.1366831979107701,0.1810073264111221,-0.6,-0.42857142857142855,0.5495574790854838,left,top
001,False,25,60.0,40.0,2179.969970703125,2076.30419921875,2179.9136896911045,2076.4196173520218,-0.056281012020463095,0.11541813327175987,0.1284091032675847,-0.4,-0.42857142857142855,0.40961596025952024,left,top
001,False,26,80.0,40.0,1955.39794921875,2075.863037109375,1955.4074637016943,2075.944247328885,0.00951448294426882,0.0812102195100124,0.08176567212810752,-0.2,-0.42857142857142855,0.295378269592824,left,top
001,False,27,100.0,40.0,1730.34619140625,2075.23828125,1730.2799730777867,2075.411906836267,-0.0662183284632647,0.17362558626700775,0.18582440967491587,0.0,-0.42857142857142855,0.24576957615571215,center,top
001,False,28,120.0,40.0,1504.6298828125,2074.6279296875,1504.5844291844555,2074.824984881426,-0.04545362804446995,0.19705519392618953,0.2022295274080746,0.2,-0.42857142857142855,0.295378269592824,right,top
001,False,29,140.0,40.0,1278.44140625,2074.147216796875,1278.3666805946314,2074.188650622421,-0.0747256553686384,0.041433825545937,0.08544404876668509,0.4,-0.42857142857142855,0.40961596025952024,right,top
001,False,30,160.0,40.0,1051.6854248046875,2073.44189453125,1051.6594152723314,2073.510919179922,-0.026009532356056297,0.06902464867198432,0.07376244232447572,0.6,-0.42857142857142855,0.5495574790854838,right,top
001,False,31,180.0,40.0,824.4446411132812,2072.792724609375,824.4761208724312,2072.802718582841,0.03147975914998824,0.009993973465952877,0.03302809019273501,0.8,-0.42857142857142855,0.6999520597198355,right,top
001,False,32,200.0,40.0,596.74072265625,2072.184814453125,596.8047959948578,2072.0779578650863,0.06407333860784092,-0.10685658803868137,0.12459423392606697,1.0,-0.42857142857142855,0.8553032352102229,right,top
001,False,33,0.0,60.0,2836.412841796875,1869.9979248046875,2836.5179382792135,1869.8563425461653,0.10509648233846747,-0.1415822585222486,0.17632585326088923,-1.0,-0.14285714285714285,0.8233178906068351,left,top
001,False,34,20.0,60.0,2616.902099609375,1869.1702880859375,2616.9128415610144,1869.203789173947,0.010741951639374747,0.03350108800941598,0.03518113731585863,-0.8,-0.14285714285714285,0.6604858898858135,left,top
001,False,35,40.0,60.0,2396.62255859375,1868.3995361328125,2396.55317453087,1868.516415488171,-0.06938406288008991,0.11687935535860561,0.13592252164667737,-0.6,-0.14285714285714285,0.4983193229757469,left,top
001,False,36,60.0,60.0,2175.507568359375,1867.635986328125,2175.482488399163,1867.790972652714,-0.02507996021222425,0.15498632458889006,0.15700243696777302,-0.4,-0.14285714285714285,0.3377779740177616,left,top
001,False,37,80.0,60.0,1953.7969970703125,1866.8472900390625,1953.7524330985789,1867.0257795328807,-0.044563971733623475,0.1784894938182333,0.18396860324567435,-0.2,-0.14285714285714285,0.18318582636182795,left,top
001,False,38,100.0,60.0,1731.3116455078125,1865.7066650390625,1731.4179531085554,1866.2207494848171,0.10630760074286627,0.5140844457546336,0.5249610684065567,0.0,-0.14285714285714285,0.08192319205190404,center,top
001,False,39,120.0,60.0,1508.567138671875,1865.3189697265625,1508.5322779013115,1865.3774173426677,-0.034860770563454935,0.05844761610524074,0.06805436909312615,0.2,-0.14285714285714285,0.18318582636182795,right,top
001,False,40,140.0,60.0,1285.167724609375,1864.4556884765625,1285.141700947891,1864.4989666002268,-0.026023661484032345,0.043278123664322266,0.05049977173156211,0.4,-0.14285714285714285,0.3377779740177616,right,top
001,False,41,160.0,60.0,1061.190185546875,1863.5025634765625,1061.2801410639659,1863.590256783617,0.08995551709085703,0.087693307054451,0.12562687275113432,0.6,-0.14285714285714285,0.4983193229757469,right,top
001,False,42,180.0,60.0,836.9234008789062,1862.6490478515625,836.9634797124972,1862.657851011317,0.04007883359099651,0.00880315975450685,0.04103423599481486,0.8,-0.14285714285714285,0.6604858898858135,right,top
001,False,43,200.0,60.0,612.1744384765625,1861.6678466796875,612.1836677135659,1861.7100437376512,0.009229237003410162,0.04219705796367634,0.043194565820887425,1.0,-0.14285714285714285,0.8233178906068351,right,top
001,False,44,0.0,80.0,2824.087158203125,1667.4903564453125,2824.1142991911547,1667.2336820594978,0.027140988029714208,-0.2566743858146765,0.25810535361470227,-1.0,0.14285714285714285,0.8233178906068351,left,bottom
001,False,45,20.0,80.0,2607.265380859375,1666.286376953125,2607.1808294780267,1666.2592805407612,-0.08455138134831941,-0.027096412363789568,0.08878711421652054,-0.8,0.14285714285714285,0.6604858898858135,left,bottom
001,False,46,40.0,80.0,2389.56982421875,1665.1204833984375,2389.5106105766554,1665.2639314882429,-0.05921364209461899,0.14344808980536072,0.15518894895873375,-0.6,0.14285714285714285,0.4983193229757469,left,bottom
001,False,47,60.0,80.0,2171.166748046875,1664.028076171875,2171.146982861713,1664.2464378272725,-0.01976518516221404,0.21836165539752983,0.219254361626961,-0.4,0.14285714285714285,0.3377779740177616,left,bottom
001,False,48,80.0,80.0,1952.139404296875,1663.0484619140625,1952.1408547252372,1663.2062629811503,0.0014504283622045477,0.15780106708780295,0.15780773275249593,-0.2,0.14285714285714285,0.18318582636182795,left,bottom
001,False,49,100.0,80.0,1732.5318603515625,1662.0238037109375,1732.5461849290523,1662.143526793669,0.014324577489787771,0.11972308273152521,0.12057698809889292,0.0,0.14285714285714285,0.08192319205190404,center,bottom
001,False,50,120.0,80.0,1512.4515380859375,1661.040283203125,1512.415274327973,1661.0590009051266,-0.03626375796443426,0.01871770200159517,0.04080946593528993,0.2,0.14285714285714285,0.18318582636182795,right,bottom
001,False,51,140.0,80.0,1291.7928466796875,1659.909423828125,1291.793861408777,1659.954103562355,0.0010147290895474725,0.044679734229930546,0.04469125558744575,0.4,0.14285714285714285,0.3377779740177616,right,bottom
001,False,52,160.0,80.0,1070.701171875,1658.8236083984375,1070.7160159463729,1658.8308938427374,0.014844071372863255,0.007285444299895971,0.016535542131104898,0.6,0.14285714285714285,0.4983193229757469,right,bottom
001,False,53,180.0,80.0,849.161865234375,1657.7032470703125,849.1988249314272,1657.6920652716249,0.03695969705222524,-0.011181798687630362,0.03861414026082879,0.8,0.14285714285714285,0.6604858898858135,right,bottom
001,False,54,200.0,80.0,627.0838012695312,1656.6025390625,627.2368647729238,1656.5409388119856,0.15306350339255914,-0.06160025051440243,0.16499402090451976,1.0,0.14285714285714285,0.8233178906068351,right,bottom
001,False,55,0.0,100.0,2812.011474609375,1469.8292236328125,2811.958027677863,1469.5072629858626,-0.05344693151209867,-0.32196064694994675,0.3263667150192973,-1.0,0.42857142857142855,0.8553032352102229,left,bottom
001,False,56,20.0,100.0,2597.654296875,1468.22265625,2597.643650859941,1468.2265910567419,-0.010646015059137426,0.0039348067418814026,0.011349904877810043,-0.8,0.42857142857142855,0.6999520597198355,left,bottom
001,False,57,40.0,100.0,2382.738037109375,1466.9110107421875,2382.6117500294313,1466.9386044357407,-0.12628707994372235,0.02759369355317176,0.12926654046820651,-0.6,0.42857142857142855,0.5495574790854838,left,bottom
