record_type,frame_ids,pose_count,frame_id,old_steger_count,old_effective_count,old_v_min_px,old_v_max_px,old_s_min,old_s_max,new_steger_count,new_effective_count,new_v_min_px,new_v_max_px,new_s_min,new_s_max,new_effective_outside_old_mask_count,old_top_observed_target_v_min,old_top_observed_target_v_max,old_top_observed_target_s_min,old_top_observed_target_s_max,old_top_observed_joint_count,old_top_observed_joint_fraction,old_top_observed_joint_v_min,old_top_observed_joint_v_max,old_top_observed_joint_s_min,old_top_observed_joint_s_max,old_top_observed_v_given_s_count,old_top_observed_v_given_s_min,old_top_observed_v_given_s_max,old_top_observed_v_given_s_overlap_fraction,old_top_observed_s_given_v_count,old_top_observed_s_given_v_min,old_top_observed_s_given_v_max,old_top_observed_s_given_v_overlap_fraction,old_top_observed_joint_present,old_top_observed_joint_full,old_top_observed_status,old_top_safe_target_v_min,old_top_safe_target_v_max,old_top_safe_target_s_min,old_top_safe_target_s_max,old_top_safe_joint_count,old_top_safe_joint_fraction,old_top_safe_joint_v_min,old_top_safe_joint_v_max,old_top_safe_joint_s_min,old_top_safe_joint_s_max,old_top_safe_v_given_s_count,old_top_safe_v_given_s_min,old_top_safe_v_given_s_max,old_top_safe_v_given_s_overlap_fraction,old_top_safe_s_given_v_count,old_top_safe_s_given_v_min,old_top_safe_s_given_v_max,old_top_safe_s_given_v_overlap_fraction,old_top_safe_joint_present,old_top_safe_joint_full,old_top_safe_status,old_bottom_observed_target_v_min,old_bottom_observed_target_v_max,old_bottom_observed_target_s_min,old_bottom_observed_target_s_max,old_bottom_observed_joint_count,old_bottom_observed_joint_fraction,old_bottom_observed_joint_v_min,old_bottom_observed_joint_v_max,old_bottom_observed_joint_s_min,old_bottom_observed_joint_s_max,old_bottom_observed_v_given_s_count,old_bottom_observed_v_given_s_min,old_bottom_observed_v_given_s_max,old_bottom_observed_v_given_s_overlap_fraction,old_bottom_observed_s_given_v_count,old_bottom_observed_s_given_v_min,old_bottom_observed_s_given_v_max,old_bottom_observed_s_given_v_overlap_fraction,old_bottom_observed_joint_present,old_bottom_observed_joint_full,old_bottom_observed_status,old_bottom_safe_target_v_min,old_bottom_safe_target_v_max,old_bottom_safe_target_s_min,old_bottom_safe_target_s_max,old_bottom_safe_joint_count,old_bottom_safe_joint_fraction,old_bottom_safe_joint_v_min,old_bottom_safe_joint_v_max,old_bottom_safe_joint_s_min,old_bottom_safe_joint_s_max,old_bottom_safe_v_given_s_count,old_bottom_safe_v_given_s_min,old_bottom_safe_v_given_s_max,old_bottom_safe_v_given_s_overlap_fraction,old_bottom_safe_s_given_v_count,old_bottom_safe_s_given_v_min,old_bottom_safe_s_given_v_max,old_bottom_safe_s_given_v_overlap_fraction,old_bottom_safe_joint_present,old_bottom_safe_joint_full,old_bottom_safe_status,new_top_observed_target_v_min,new_top_observed_target_v_max,new_top_observed_target_s_min,new_top_observed_target_s_max,new_top_observed_joint_count,new_top_observed_joint_fraction,new_top_observed_joint_v_min,new_top_observed_joint_v_max,new_top_observed_joint_s_min,new_top_observed_joint_s_max,new_top_observed_v_given_s_count,new_top_observed_v_given_s_min,new_top_observed_v_given_s_max,new_top_observed_v_given_s_overlap_fraction,new_top_observed_s_given_v_count,new_top_observed_s_given_v_min,new_top_observed_s_given_v_max,new_top_observed_s_given_v_overlap_fraction,new_top_observed_joint_present,new_top_observed_joint_full,new_top_observed_status,new_top_safe_target_v_min,new_top_safe_target_v_max,new_top_safe_target_s_min,new_top_safe_target_s_max,new_top_safe_joint_count,new_top_safe_joint_fraction,new_top_safe_joint_v_min,new_top_safe_joint_v_max,new_top_safe_joint_s_min,new_top_safe_joint_s_max,new_top_safe_v_given_s_count,new_top_safe_v_given_s_min,new_top_safe_v_given_s_max,new_top_safe_v_given_s_overlap_fraction,new_top_safe_s_given_v_count,new_top_safe_s_given_v_min,new_top_safe_s_given_v_max,new_top_safe_s_given_v_overlap_fraction,new_top_safe_joint_present,new_top_safe_joint_full,new_top_safe_status,new_bottom_observed_target_v_min,new_bottom_observed_target_v_max,new_bottom_observed_target_s_min,new_bottom_observed_target_s_max,new_bottom_observed_joint_count,new_bottom_observed_joint_fraction,new_bottom_observed_joint_v_min,new_bottom_observed_joint_v_max,new_bottom_observed_joint_s_min,new_bottom_observed_joint_s_max,new_bottom_observed_v_given_s_count,new_bottom_observed_v_given_s_min,new_bottom_observed_v_given_s_max,new_bottom_observed_v_given_s_overlap_fraction,new_bottom_observed_s_given_v_count,new_bottom_observed_s_given_v_min,new_bottom_observed_s_given_v_max,new_bottom_observed_s_given_v_overlap_fraction,new_bottom_observed_joint_present,new_bottom_observed_joint_full,new_bottom_observed_status,new_bottom_safe_target_v_min,new_bottom_safe_target_v_max,new_bottom_safe_target_s_min,new_bottom_safe_target_s_max,new_bottom_safe_joint_count,new_bottom_safe_joint_fraction,new_bottom_safe_joint_v_min,new_bottom_safe_joint_v_max,new_bottom_safe_joint_s_min,new_bottom_safe_joint_s_max,new_bottom_safe_v_given_s_count,new_bottom_safe_v_given_s_min,new_bottom_safe_v_given_s_max,new_bottom_safe_v_given_s_overlap_fraction,new_bottom_safe_s_given_v_count,new_bottom_safe_s_given_v_min,new_bottom_safe_s_given_v_max,new_bottom_safe_s_given_v_overlap_fraction,new_bottom_safe_joint_present,new_bottom_safe_joint_full,new_bottom_safe_status,recovered_top_observed_count,recovered_top_safe_count,recovered_bottom_observed_count,recovered_bottom_safe_count,target_edge
frame_summary,001,1,001,822,822,1087.0276657267011,2507.928479030282,-0.04854555717736985,0.14525093313882825,900,895,898.0115496512335,2558.940273809001,-0.07432056138806464,0.15222306616642664,173,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,0,0,0,0,
frame_summary,002,1,002,890,890,1093.0318286279864,2599.0127377736176,-0.047656852170941,0.15745081686167675,900,900,871.9931775972348,2814.9996280130126,-0.07775207196822481,0.18694564006575903,183,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2810.0,2938.0,0.1863643564578584,0.2037112277937999,3,0.0033333333333333335,2812.9995607506175,2814.9996280130126,0.18667238052691096,0.18694564006575903,3,2812.9995607506175,2814.9996280130126,0.015625525487461545,3,0.18667238052691096,0.18694564006575903,0.015752669951606804,True,False,PARTIAL,2760.0,2990.0,0.181,0.209,7,0.0077777777777777776,2779.999846953896,2814.9996280130126,0.18216431528093713,0.18694564006575903,7,2779.999846953896,2814.9996280130126,0.15217296112659429,7,0.18216431528093713,0.18694564006575903,0.1707615994579252,True,False,PARTIAL,0,0,3,7,
frame_summary,003,1,003,900,900,405.0034957607737,2511.0140227719253,-0.14115410466516853,0.1453688906707279,900,820,354.0154469496938,2705.0156961347025,-0.14810288680849923,0.1718219561699341,141,86.0,467.0,-0.18500106019725174,-0.13286152907480264,7,0.0077777777777777776,405.0034957607737,461.99977096466546,-0.14115410466516853,-0.13339043901781625,7,405.0034957607737,461.99977096466546,0.14959652284486022,7,-0.14115410466516853,-0.13339043901781625,0.14890171584242684,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,9,0.01,405.0034957607737,480.0117403799538,-0.14115410466516853,-0.13093635404698273,9,405.0034957607737,480.0117403799538,0.15307805024322463,9,-0.14115410466516853,-0.13093635404698273,0.1596523534091532,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,35,0.042682926829268296,354.0154469496938,461.05051770589705,-0.14810288680849923,-0.13351983710444454,35,354.0154469496938,461.05051770589705,0.2809319442420033,35,-0.14810288680849923,-0.13351983710444454,0.27969276650774944,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,37,0.045121951219512194,354.0154469496938,507.99913142442733,-0.14810288680849923,-0.12712491570185933,37,354.0154469496938,507.99913142442733,0.31425241729537456,37,-0.14810288680849923,-0.12712491570185933,0.3277807985412485,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30,30,0,0,
frame_summary,004,1,004,900,900,273.9868693364702,1850.5004980636832,-0.15913643424653087,0.055588531672786635,900,900,49.00791335741325,2077.718937690636,-0.1898520430676752,0.08653305956275491,179,86.0,467.0,-0.18500106019725174,-0.13286152907480264,136,0.1511111111111111,273.9868693364702,466.00560332378905,-0.15913643424653087,-0.13294132519201973,136,273.9868693364702,466.00560332378905,0.5039861784444064,137,-0.15913643424653087,-0.1328063648954015,0.5039344352756436,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,164,0.18222222222222223,273.9868693364702,508.9661601399926,-0.15913643424653087,-0.12708257625935443,164,273.9868693364702,508.9661601399926,0.4795495730684131,167,-0.15913643424653087,-0.12585030449344578,0.5021317851020448,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,221,0.24555555555555555,86.97683716878664,465.0111306265861,-0.1846669654823214,-0.1330768796613393,222,85.99167450590683,465.0111306265861,0.9947798704109873,222,-0.1846669654823214,-0.1328063648954015,0.9935922953709398,True,True,FULL,30.0,520.0,-0.191,-0.127,266,0.29555555555555557,49.00791335741325,503.9963586267731,-0.1898520430676752,-0.12776064663260447,266,49.00791335741325,503.9963586267731,0.9285478474884894,269,-0.1898520430676752,-0.12585030449344578,0.982063172932425,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,112,135,0,0,
frame_summary,005,1,005,900,900,475.9999514232307,2731.977874579812,-0.13158683915351624,0.17577649887481903,900,900,251.018110032898,2961.036089734711,-0.16228171055336968,0.2070787418212251,156,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,19,0.021111111111111112,475.9999514232307,509.0101312454105,-0.13158683915351624,-0.12708538117993864,19,475.9999514232307,509.0101312454105,0.0673677139228159,25,-0.13158683915351624,-0.12558689450653202,0.0716693617736912,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,49,0.05444444444444444,251.018110032898,460.0435871583923,-0.16228171055336968,-0.13376344357290093,49,251.018110032898,460.0435871583923,0.5486232995419799,50,-0.16228171055336968,-0.13281456400181127,0.5642586506862534,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,68,0.07555555555555556,251.018110032898,509.0101312454105,-0.16228171055336968,-0.12708538117993864,68,251.018110032898,509.0101312454105,0.5265143290051275,73,-0.16228171055336968,-0.12558689450653202,0.5512767273964012,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,57,0.06333333333333334,2810.9924269368034,2933.9988733838054,0.1865711283971815,0.20338260484864873,57,2810.9924269368034,2933.9988733838054,0.9609878628672028,58,0.1865711283971815,0.20378943293240537,0.9880801595101073,True,True,FULL,2760.0,2990.0,0.181,0.209,87,0.09666666666666666,2770.9997184156655,2961.036089734711,0.1811070516340778,0.2070787418212251,87,2770.9997184156655,2961.036089734711,0.8262450926915018,92,0.17960471822942695,0.2070787418212251,0.9313836364723252,True,False,PARTIAL,49,52,57,87,
frame_summary,006,1,006,900,900,850.0201303126184,2315.031713069205,-0.08085892051657728,0.11861066469770652,900,900,637.9855184564794,2524.995058483226,-0.1097484712458499,0.1472505127244152,187,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,0,0,0,0,
frame_summary,007,1,007,900,900,328.00035875784766,1781.0239797038387,-0.15201999812374392,0.045866490451941466,900,900,118.97999544257927,1993.999581883192,-0.18054969000290946,0.07486489782745456,243,86.0,467.0,-0.18500106019725174,-0.13286152907480264,81,0.09,328.00035875784766,465.99978781394674,-0.15201999812374392,-0.13319577111013817,82,328.00035875784766,467.00034665344344,0.3648284547038119,81,-0.15201999812374392,-0.13319577111013817,0.36103560213069946,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,107,0.11888888888888889,328.00035875784766,511.02580695993316,-0.15201999812374392,-0.12705581999304383,107,328.00035875784766,511.02580695993316,0.373521322861399,109,-0.15201999812374392,-0.1259675997961154,0.3909374706834987,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,180,0.2,118.97999544257927,465.99978781394674,-0.18054969000290946,-0.13319577111013817,181,118.97999544257927,467.00034665344344,0.913438332171708,180,-0.18054969000290946,-0.13319577111013817,0.9082152806775565,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,199,0.22111111111111112,118.97999544257927,510.0260917496285,-0.18054969000290946,-0.12719220610466436,199,118.97999544257927,510.0260917496285,0.7980532577694883,200,-0.18054969000290946,-0.12610436126356653,0.8367139062954603,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,121,121,0,0,
frame_summary,008,1,008,900,900,552.4703760498631,2287.9390934977255,-0.12143540862132958,0.1149083990089937,900,900,292.01553542811314,2626.6577991982967,-0.15696633276802108,0.16112378779946926,185,86.0,467.0,-0.18500106019725174,-0.13286152907480264,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,30.0,520.0,-0.191,-0.127,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,52,0.057777777777777775,292.01553542811314,465.01494827886336,-0.15696633276802108,-0.13336406400469641,52,292.01553542811314,465.01494827886336,0.4540667003956699,52,-0.15696633276802108,-0.13336406400469641,0.45267512490465256,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,63,0.07,292.01553542811314,510.99945003563005,-0.15696633276802108,-0.12709272137115082,63,292.01553542811314,510.99945003563005,0.44690594817860596,64,-0.15696633276802108,-0.12654677586864374,0.4682239495003293,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,52,63,0,0,
frame_summary,009,1,009,900,900,361.9854356703312,1816.006501595449,-0.14737648971276765,0.0506024485958588,900,900,151.0122142305479,2022.9614097596095,-0.17616478921960196,0.07877869992493969,153,86.0,467.0,-0.18500106019725174,-0.13286152907480264,79,0.08777777777777777,361.9854356703312,466.0019569966986,-0.14737648971276765,-0.13319120560033518,80,361.9854356703312,467.0000306358139,0.27562877776815964,79,-0.14737648971276765,-0.13319120560033518,0.2720638986783079,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,113,0.12555555555555556,361.9854356703312,511.0002168760996,-0.14737648971276765,-0.12705613590109857,113,361.9854356703312,511.0002168760996,0.3041117983791192,119,-0.14737648971276765,-0.12596563468040434,0.3183826517619945,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,158,0.17555555555555555,151.0122142305479,466.0019569966986,-0.17616478921960196,-0.13319120560033518,159,151.0122142305479,467.0000306358139,0.8293642671114229,158,-0.17616478921960196,-0.13319120560033518,0.8242034919405741,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,186,0.20666666666666667,151.0122142305479,511.0002168760996,-0.17616478921960196,-0.12705613590109857,186,151.0122142305479,511.0002168760996,0.7346693931541872,191,-0.17616478921960196,-0.12596563468040434,0.7681998315562807,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,92,92,0,0,
frame_summary,010,1,010,900,900,406.9999914186739,1900.0006228493526,-0.14116312670536665,0.062144120575974106,900,900,193.99108103588276,2115.98764422037,-0.17022939900441372,0.0915615524044238,207,86.0,467.0,-0.18500106019725174,-0.13286152907480264,34,0.03777777777777778,406.9999914186739,466.0008516913115,-0.14116312670536665,-0.13311616351028993,35,406.9999914186739,467.0027206387662,0.1574803374837955,34,-0.14116312670536665,-0.13311616351028993,0.15433516607923692,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,58,0.06444444444444444,406.9999914186739,509.9841424634963,-0.14116312670536665,-0.12711827907411566,58,406.9999914186739,509.9841424634963,0.21017173682616816,63,-0.14116312670536665,-0.12588835644655078,0.22129885477135394,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,86.0,467.0,-0.18500106019725174,-0.13286152907480264,129,0.14333333333333334,193.99108103588276,466.0008516913115,-0.17022939900441372,-0.13311616351028993,129,193.99108103588276,466.0008516913115,0.7139364059197605,129,-0.17022939900441372,-0.13311616351028993,0.7118060844652359,True,False,PARTIAL,30.0,520.0,-0.191,-0.127,147,0.16333333333333333,193.99108103588276,508.99516774109384,-0.17022939900441372,-0.12725306396951228,147,193.99108103588276,508.99516774109384,0.6428654830718593,151,-0.17022939900441372,-0.12588835644655078,0.6754593594439644,True,False,PARTIAL,2810.0,2938.0,0.1863643564578584,0.2037112277937999,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,2760.0,2990.0,0.181,0.209,0,0.0,,,,,0,,,0.0,0,,,0.0,False,False,NONE,103,103,0,0,
