model,legacy_theta_axis,legacy_phi_axis,legacy_A_x_mm,legacy_A_y_mm,legacy_A_z_mm,legacy_alpha_rad,local_theta_axis,local_phi_axis,local_c1_mm,local_c2_mm,local_rho_ref_mm,local_q_cot_alpha,roundtrip_theta_max_abs_diff,axis_dot_legacy_roundtrip,axis_norm_legacy,axis_norm_roundtrip,median_axial_legacy_mm,median_axial_roundtrip_mm,nappe_sign_preserved,objective_cost_legacy,objective_cost_roundtrip,max_objective_vector_abs_diff,max_scalar_residual_abs_diff_mm,lambda_legacy_valid_count,lambda_roundtrip_valid_count,lambda_common_valid_count,lambda_max_abs_diff_mm,lambda_p95_abs_diff_mm,lambda_mean_abs_diff_mm,filtered_legacy,filtered_roundtrip
M0,1.8557099550137575,0.01003015064354381,-115.59970742084231,1.7418894155446691,327.03307376521605,1.5546092750536373,1.8557099550137575,0.01003015064354381,-370.9871976785704,-9.849574659165807,375.29474445857204,0.016188465670025187,1.1368683772161603e-13,1.0000000000000002,1.0,1.0,6.082194700245575,6.0821947002455925,True,1.3997795787611402,1.399779578761159,3.552713678800501e-14,4.796163466380676e-14,3120,3120,3120,2.9558577807620168e-12,0.0,1.0457731546828142e-14,"{""near_parallel"": 0, ""negative_depth"": 0, ""no_valid_intersection"": 1021, ""non_finite"": 0, ""outside_working_distance"": 0}","{""near_parallel"": 0, ""negative_depth"": 0, ""no_valid_intersection"": 1021, ""non_finite"": 0, ""outside_working_distance"": 0}"
M_diag_fullfit,1.852458599873015,0.009419112810039132,-134.25383250117153,14.594870247783915,267.3906663828438,1.5513439145926573,1.852458599873015,0.009419112810039132,-433.41041970712484,-22.81040753749011,437.50381956685055,0.019454866147529202,1.7763568394002505e-15,1.0,1.0,1.0,8.518623162999502,8.518623162999502,True,1.3859455691794351,1.385945569179436,2.842170943040401e-14,2.842170943040401e-14,3120,3120,3120,0.0,0.0,0.0,"{""near_parallel"": 0, ""negative_depth"": 0, ""no_valid_intersection"": 1021, ""non_finite"": 0, ""outside_working_distance"": 0}","{""near_parallel"": 0, ""negative_depth"": 0, ""no_valid_intersection"": 1021, ""non_finite"": 0, ""outside_working_distance"": 0}"
