frame_id,fold,point_count,c0_36_bias_mm,c0_35_bias_mm,delta_bias_mm,c0_36_mae_mm,c0_35_mae_mm,delta_mae_mm,c0_36_rmse_mm,c0_35_rmse_mm,delta_rmse_mm,rmse_improvement_pct,c0_36_p95_abs_mm,c0_35_p95_abs_mm,delta_p95_abs_mm,p95_improvement_pct,c0_36_p99_abs_mm,c0_35_p99_abs_mm,delta_p99_abs_mm,p99_improvement_pct,c0_35_better
001,0,900,0.020967383358180186,0.025195920945336386,0.0042285375871562,0.04718803784462099,0.05036708826921641,0.003179050424595417,0.059279005677321604,0.06246667167819207,0.003187666000870469,-5.377394516740311,0.11125104446919634,0.11686641858675557,0.0056153741175592325,-5.047479908482155,0.13280725631437004,0.1369349943124871,0.004127737998117054,-3.10806661674135,False
002,1,900,0.01641478169957673,0.023580970172149593,0.007166188472572863,0.061430728483267985,0.06496284389124765,0.0035321154079796663,0.0718023466784329,0.07376223999780686,0.001959893319373962,-2.729567221739078,0.1306531563504335,0.12440517686433158,-0.006247979486101923,4.782111401383831,0.194838189336566,0.18718598745025694,-0.007652201886309051,3.9274650993037814,False
003,2,900,0.059745692836830816,0.05855692391381278,-0.0011887689230180368,0.08475780362856047,0.08658234115333016,0.0018245375247696871,0.09583656349459783,0.09721898228416535,0.0013824187895675188,-1.4424753342135894,0.1575720762267508,0.15810041815111614,0.0005283419243653498,-0.33530174699548315,0.2155089915780172,0.20937133125645005,-0.006137660321567151,2.8479834073861525,False
004,3,900,0.030623764649814877,0.030913389068035587,0.0002896244182207103,0.08761910450321529,0.08579825786729214,-0.0018208466359231484,0.1121629956813029,0.10963919991727965,-0.0025237957640232567,2.250114441659802,0.2192719473940883,0.2131560377964206,-0.006115909597667724,2.7891892557855815,0.35101310590424417,0.3466066453870382,-0.004406460517205946,1.255354983357237,True
005,4,900,0.0249391515499969,0.025957853958658083,0.0010187024086611846,0.06450468244292172,0.06611788761423264,0.0016132051713109163,0.07629900284491771,0.07780447126684016,0.0015054684219224512,-1.9731167718959655,0.14130933063806878,0.14312494167164685,0.0018156110335780795,-1.284848654635799,0.17225849411874944,0.17604883134576652,0.0037903372270170765,-2.2003775467839284,False
006,5,900,-0.030075420098333628,-0.02761380366356472,0.002461616434768908,0.06286141346074677,0.06287229225912988,1.0878798383115451e-05,0.08567389792086401,0.08525440041738556,-0.0004194975034784443,0.4896444700881116,0.18073953688583513,0.17852667738529818,-0.0022128595005369567,1.2243361572486038,0.20704428673059388,0.2047419574307718,-0.0023023292998220757,1.1119984695920964,True
007,0,900,0.06302535470749894,0.06472561804363648,0.0017002633361375419,0.07949089143555789,0.08047920864123702,0.000988317205679129,0.0963701264696314,0.09688203509542735,0.0005119086257959482,-0.5311901566895455,0.19245930029264285,0.1910347807208836,-0.001424519571759264,0.7401666584016564,0.22449058942842495,0.22028491390795576,-0.004205675520469188,1.8734306552347026,False
008,1,900,0.004676192860435498,0.004246681071647597,-0.0004295117887879009,0.05240907152547,0.05230595571665213,-0.00010311580881787463,0.06518822109212324,0.06503358622685153,-0.0001546348652717161,0.237212893189995,0.12035028282526235,0.12097738402948718,0.0006271012042248364,-0.5210633406947038,0.1821486370948969,0.1759210762655652,-0.0062275608293317075,3.4189445107334158,True
009,2,900,0.05159506129194293,0.05294286435431382,0.0013478030623708878,0.08046420837554756,0.08057808309618925,0.00011387472064168513,0.10243071650584934,0.10257499913611166,0.00014428263026232402,-0.14085875329602396,0.20617858154238886,0.20465175794376475,-0.0015268235986241052,0.7405345342868221,0.26788653004226143,0.26495379368784366,-0.0029327363544177643,1.0947681296088683,False
010,3,900,-0.0424699323789015,-0.037665844576560074,0.004804087802341428,0.07719977020419706,0.07502423440532008,-0.0021755357988769847,0.09120785482725592,0.08815761754532302,-0.003050237281932905,3.3442703895513537,0.15324308273677617,0.14868740192698054,-0.004555680809795626,2.9728459702294456,0.17106140687817628,0.16561382389357504,-0.00544758298460124,3.1845774473729254,True
011,4,900,-0.0664961513278499,-0.06337393936891923,0.0031222119589306707,0.07529111300421404,0.07424408544353545,-0.0010470275606785928,0.09859643015280171,0.09724922860052522,-0.0013472015522764946,1.3663796449715706,0.2051712041171811,0.20182841680424415,-0.00334278731293694,1.629267287931764,0.22717865966768955,0.22416503000640317,-0.0030136296612863767,1.3265461050323248,True
012,5,900,0.022743496193482617,0.023170243409341665,0.00042674721585904754,0.05099461029443672,0.05129752129657315,0.0003029110021364259,0.061573788502768456,0.061801109234013635,0.0002273207312451786,-0.3691842531907191,0.11246176221727637,0.1120817674175043,-0.0003799947997720765,0.3378880005791886,0.1497748674547199,0.149280427584016,-0.000494439870703911,0.330122055259632,False
013,0,900,0.025826048711969002,0.02362805416589178,-0.0021979945460772234,0.0643336317547956,0.06441101046110084,7.737870630523946e-05,0.07462715095622163,0.07453711544064737,-9.003551557426603e-05,0.12064712965805618,0.1264513456382246,0.12696836846041035,0.000517022822185742,-0.4088709531529514,0.16398989002060826,0.16313090190116436,-0.0008589881194439042,0.523805534192356,True
014,1,900,0.029380458771629744,0.025952049184071863,-0.003428409587557881,0.07696964477608592,0.07572224274974562,-0.0012474020263402996,0.09525354912969725,0.092937036567422,-0.002316512562275247,2.4319435689698903,0.1873117057473848,0.179042639068899,-0.008269066678485787,4.41460219770661,0.2730786871378825,0.2631608619032534,-0.00991782523462914,3.631856201806568,True
015,2,900,-0.0402619337857344,-0.03621641770922237,0.004045516076512032,0.08769626966322285,0.08390043380754794,-0.0037958358556749033,0.10733234059847777,0.10373371075910835,-0.0035986298393694133,3.3527917301567265,0.18583203372444923,0.18110769135725477,-0.004724342367194462,2.5422647928395876,0.27460009030820176,0.27127641828468313,-0.0033236720235186312,1.210368146561152,True
016,3,900,0.017580344048938816,0.021205698311426255,0.003625354262487439,0.044583833682142235,0.047135107570983464,0.0025512738888412295,0.06054287688494198,0.0631461405288649,0.0026032636439229165,-4.299867759621431,0.11897456359196777,0.12079627024277212,0.0018217066508043472,-1.5311732153538529,0.19190450098839718,0.19456233148152918,0.0026578304931320074,-1.3849755891305038,False
017,4,900,-0.01846920357409974,-0.015259383181507677,0.0032098203925920634,0.07058337780602567,0.06957197116599294,-0.0010114066400327276,0.0827471436391332,0.08112119454169944,-0.001625949097433757,1.9649609955416092,0.14081870570290106,0.13838641652566253,-0.0024322891772385336,1.7272486386646466,0.16664028090021246,0.16463033258092763,-0.002009948319284832,1.2061599442984794,True
018,5,900,-0.043983471674817136,-0.04363381601677525,0.00034965565804188914,0.07727285722950783,0.07608137619418232,-0.0011914810353255145,0.09766361463710514,0.09649613119890102,-0.0011674834382041227,1.1954128899920555,0.18268395998287587,0.18149146745660114,-0.0011924925262747355,0.6527625777252231,0.24350822861444152,0.2462544102545519,0.002746181640110368,-1.127757224359975,True
025,0,900,0.05806241602013327,0.055328714906607956,-0.0027337011135253123,0.08342563010327808,0.08231002110233489,-0.0011156090009431935,0.10596323536956034,0.10208597470387033,-0.0038772606656900105,3.6590621758268966,0.22455384764828631,0.20098679013623266,-0.023567057512053652,10.495058427574223,0.3142056011318516,0.3184315385600075,0.0042259374281559126,-1.3449592919199942,True
026,1,900,-0.022124267327370464,-0.030530437228700167,-0.008406169901329703,0.05896340212290233,0.06809164995049614,0.009128247827593812,0.07544079385745966,0.08696361814199322,0.01152282428453355,-15.273996594342785,0.14956660239213307,0.1751892666062872,0.02562266421415413,-17.131273830087242,0.20098725788188287,0.22370981891341096,0.022722561031528088,-11.305473427017839,False
028,2,900,-0.03972204509704233,-0.0425657897633102,-0.0028437446662678695,0.06296363857412024,0.06378441238377452,0.0008207738096542849,0.08123167770779693,0.08290275000785322,0.001671072300056281,-2.05716827130838,0.1628988180728981,0.16603841679200285,0.0031395987191047414,-1.9273305701332677,0.22815583580073165,0.23099649020888363,0.0028406544081519824,-1.245050076489375,False
029,3,900,0.01302831186288573,0.017291941823419216,0.004263629960533486,0.05300605007745402,0.05356135402368005,0.0005553039462260281,0.07495334927288017,0.0743186413832552,-0.0006347078896249692,0.8468039064061157,0.17395862527241093,0.17177655917466267,-0.002182066097748264,1.2543592445222262,0.2054828183101267,0.2023870516999682,-0.003095766610158507,1.5065817354549782,True
030,4,900,-0.017066005259289214,-0.013213064991909707,0.0038529402673795066,0.044660731231023695,0.04390389754396943,-0.0007568336870542661,0.07021532068425024,0.06888128442588622,-0.0013340362583640214,1.8999219050255718,0.13413568312749924,0.12942575306682888,-0.004709930060670359,3.5113177574034906,0.24958076546354957,0.25198495702780177,0.0024041915642522005,-0.9632920068126503,True
031,5,900,-0.03417044162666697,-0.030303475448711197,0.0038669661779557746,0.0524962780777691,0.05287098480088086,0.0003747067231117604,0.07088453187269479,0.07040153538730183,-0.00048299648539296136,0.6813848841668304,0.14294966718700833,0.1423776807470915,-0.0005719864399168217,0.4001313547435845,0.17158424215837612,0.1685635937641632,-0.003020648394212927,1.7604462718813074,True
032,0,900,-0.05963780439660139,-0.05506208148813938,0.004575722908462011,0.06456239420890295,0.06201380823170363,-0.0025485859771993136,0.08657305910794687,0.08431654753610823,-0.0022565115718386347,2.606482426623066,0.18156721674475873,0.17813360152172206,-0.0034336152230366734,1.8910986711128241,0.1996685204324467,0.196144558289717,-0.0035239621427297085,1.764906223122919,True
033,1,900,-0.025438419159848107,-0.02043375629419264,0.0050046628656554674,0.041120120919255085,0.039248263069265855,-0.0018718578499892294,0.05842432730170318,0.05633384498244089,-0.002090482319262295,3.5781025059425087,0.1446482898159786,0.13936952852104126,-0.005278761294937345,3.649376913928937,0.18060673708391503,0.17645939584104212,-0.004147341242872915,2.296338060161035,True
034,2,900,0.007028881606425507,0.011158998706482256,0.004130117100056749,0.04637312435614995,0.04846792474826429,0.002094800392114342,0.05697922439604495,0.058463607962372516,0.001484383566327567,-2.6051312246900316,0.10844324441655999,0.10812077378484444,-0.00032247063171554624,0.2973635042463769,0.14424887926419275,0.1433275354987427,-0.0009213437654500556,0.6387181447438552,False
035,3,900,-0.11366206623802416,-0.11086656751783178,0.0027954987201923853,0.11390584627403957,0.11113290181673353,-0.0027729444573060397,0.1331143361014051,0.13104917781180214,-0.002065158289602964,1.5514168872312506,0.24800846284917383,0.24496314845287087,-0.003045314396302956,1.2279074517529516,0.27543350434671765,0.2720830964909078,-0.003350407855809867,1.2164126015665653,True
036,4,900,-0.05228597455862188,-0.0550255740174546,-0.002739599458832724,0.07110743607117696,0.0721663486114643,0.0010589125402873378,0.09195644992707307,0.09388097361229712,0.0019245236852240555,-2.0928642708046223,0.18375616904206704,0.18531747832869874,0.0015613092866317013,-0.8496636030076753,0.23360530880259253,0.2336681481585855,6.28393559929663e-05,-0.026899797917721346,False
049,5,900,0.005488271227545738,0.007891992061844348,0.00240372083429861,0.0615230654459957,0.0632309198702055,0.001707854424209801,0.06730937017640705,0.06871573091220302,0.001406360735795975,-2.0893981508222845,0.11246306409433372,0.1123742441020056,-8.881999232812632e-05,0.07897703396523532,0.13155669632478748,0.13176918115298009,0.0002124848281926106,-0.16151578302637487,False
050,0,900,0.0033557258232068915,0.008526954606649673,0.005171228783442781,0.05900540324804549,0.06260928060245988,0.003603877354414385,0.0752458333277155,0.07754657264822774,0.002300739320512238,-3.0576301952719556,0.16625624541431988,0.16545882798189376,-0.0007974174324261174,0.4796315653820453,0.19762061870937145,0.19817573313688058,0.0005551144275091346,-0.28089904339663435,False
051,1,900,0.0588116229857485,0.04939084644734344,-0.009420776538405055,0.07536104898363911,0.07176565978228255,-0.003595389201356561,0.09154372035301908,0.08828090404842827,-0.0032628163045908126,3.5642164115773847,0.16526158389517034,0.1532803021293887,-0.011981281765781643,7.24988922615051,0.2089522323567825,0.2076082152036156,-0.0013440171531668987,0.6432174176880826,True
052,2,900,0.03802618291587186,0.03714079036771535,-0.000885392548156512,0.07337055579528788,0.07105357158593506,-0.002316984209352821,0.09512877549154868,0.09162097656724724,-0.0035077989243014335,3.6874215043512986,0.19931661540225604,0.18962587025956168,-0.009690745142694357,4.861985601720522,0.23186855196322312,0.22210798802631415,-0.009760563936908967,4.209524687270699,True
053,3,900,0.053501989395953915,0.056688155226260556,0.0031861658303066406,0.07165823470972593,0.07287296679981876,0.0012147320900928321,0.0982985912219856,0.09806177431223899,-0.00023681690974661218,0.2409158735671131,0.20895006164700475,0.20556790954482834,-0.0033821521021764056,1.6186413516786287,0.22491820835567522,0.21992804842916938,-0.004990159926505838,2.218655378320741,True
054,4,900,-0.06462669907940342,-0.06280405435301721,0.0018226447263862133,0.07467905849617498,0.07280520294671305,-0.001873855549461928,0.09901670553594169,0.09706636420706248,-0.0019503413288792099,1.9697093720930383,0.19108712185068263,0.18912424777699358,-0.001962874073689058,1.0272142123857344,0.25045992889226903,0.24802223439997528,-0.0024376944922937516,0.9732872252560142,True
