image,rvec_x,rvec_y,rvec_z,tvec_x_mm,tvec_y_mm,tvec_z_mm
chess 002.tif,0.56156847787107467,0.0015983857709022803,-3.0263765693193747,41.669900709860151,104.44154496000894,699.9256324491073
chess 003.tif,0.23422231209872516,-0.28647323983505807,1.6183899562454893,57.578626754245555,-90.764810340879606,634.94427301042992
chess 004.tif,-0.02130368386814455,-0.05031820089879617,-0.029984174772543226,-153.29919083103934,-105.82513328207865,645.16695255899674
chess 005.tif,-0.054661295460478584,-0.0090651025970923168,1.5334350343263028,111.68305572279927,-96.735495990633382,658.74471557084883
chess 006.tif,-0.010938645672546304,-0.042780983435537129,0.12092589245636597,-102.64247867688793,-76.382768851055715,699.83856130418155
chess 007.tif,-0.0076938588218001527,-0.044065371259090283,-0.004079481178730561,-32.278176995236215,-113.49479015430006,703.21876308839478
chess 008.tif,-0.0056173123789629723,-0.082437598979275814,-0.87612398553405402,-149.87424753092279,37.736892332625111,695.90626455620713
chess 009.tif,0.076890123124645257,0.070656547456297847,-3.1317986540810554,54.367298210964762,30.094436000501499,712.13114642070445
chess 012.tif,-0.069157272383535071,0.10251367279177651,3.1329743183185763,92.405315197023555,108.64523628417663,705.129734022305
chess 013.tif,0.028331954616173733,-0.042540573692759827,-1.579796953719248,-69.052782411112659,112.05485184273373,708.35762519902403
chess 014.tif,-0.0073914182038974192,-0.045916896113438681,-0.041179720269966344,-167.13541119487317,-113.50503698092903,705.84925210163237
chess 016.tif,-0.20989468457164651,-0.2790529799693639,-1.5822449719105423,-100.97961593094962,97.309122404617483,634.73802070526676
chess 017.tif,-0.066422021755024693,0.44927136492116154,3.0159356019377506,119.42447204617798,19.310175619660722,656.59343465501877
chess 018.tif,-0.0099835836805848392,-0.05729894878206504,1.535813190445269,118.09736586020402,-120.42996943924615,709.14630259901173
