dataset,image_count,point_count,mean_euclidean_reprojection_error,overall_reprojection_rmse,mean_per_image_rmse,median_per_image_rmse,p95_per_image_rmse,max_per_image_rmse
fit,14,1232,0.09739268571138382,0.11462120711803436,0.11277074845773834,0.10775520280003548,0.1501670926809311,0.15161646902561188
test,6,528,0.1048726886510849,0.1231488287448883,0.12114514162143071,0.10959190130233765,0.15334177389740944,0.15493039786815643
