u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2135.976695,5.000000,6.410772,-146.589410,713.657799,6.409476,146.595259,0.172503
2135.915169,6.000000,6.404626,-146.488933,713.643103,6.402715,146.494664,0.186086
2135.867099,7.000000,6.399828,-146.389343,713.632716,6.397494,146.394993,0.195434
2135.839251,8.000000,6.397055,-146.291084,713.628803,6.394584,146.296705,0.198415
2135.832784,9.000000,6.396424,-146.194230,713.631734,6.394120,146.199878,0.194667
2135.843973,10.000000,6.397560,-146.098532,713.640319,6.395675,146.104254,0.185360
2135.862881,11.000000,6.399469,-146.003338,713.651373,6.398112,146.009154,0.173624
2135.859158,12.000000,6.399112,-145.906659,713.655181,6.397961,145.912509,0.169014
2135.811262,13.000000,6.394332,-145.807088,713.644842,6.392759,145.812857,0.178313
2135.743268,14.000000,6.387539,-145.706206,713.628069,6.385259,145.711840,0.193941
2135.698049,15.000000,6.383027,-145.606816,713.618587,6.380364,145.612376,0.202398
2135.673766,16.000000,6.380612,-145.508797,713.615807,6.377862,145.514338,0.204266
2135.642351,17.000000,6.377482,-145.410313,713.610742,6.374545,145.415815,0.208379
2135.621523,18.000000,6.375413,-145.312521,713.609067,6.372438,145.318013,0.209161
2135.634209,19.000000,6.376699,-145.216913,713.618120,6.374163,145.222483,0.199393
2135.650921,20.000000,6.378387,-145.121566,713.628461,6.376349,145.127224,0.188359
2135.635505,21.000000,6.376860,-145.024125,713.628515,6.374860,145.029786,0.187439
2135.588603,22.000000,6.372180,-144.924635,713.618487,6.369772,144.930217,0.196434
2135.539240,23.000000,6.367253,-144.824988,713.607670,6.364403,144.830486,0.206204
2135.502831,24.000000,6.363624,-144.726186,713.601000,6.360515,144.731632,0.211897
2135.543335,25.000000,6.367694,-144.632379,713.618953,6.365420,144.637975,0.193378
2135.524666,26.000000,6.365841,-144.534728,713.617960,6.363560,144.540319,0.193489
2135.470416,27.000000,6.360426,-144.434770,713.605575,6.357632,144.440263,0.204801
2135.437281,28.000000,6.357124,-144.336184,713.599949,6.354118,144.341635,0.209468
2135.430598,29.000000,6.356471,-144.239312,713.602790,6.353628,144.244789,0.205808
2135.423434,30.000000,6.355769,-144.142409,713.605476,6.353083,144.147911,0.202301
2135.413608,31.000000,6.354801,-144.045332,713.607310,6.352233,144.050852,0.199632
2135.416825,32.000000,6.355139,-143.949098,713.613317,6.352875,143.954670,0.192859
2135.431599,33.000000,6.356634,-143.853608,713.623024,6.354838,143.859263,0.182449
2135.413167,34.000000,6.354804,-143.755973,713.622098,6.353004,143.761624,0.182493
2135.355780,35.000000,6.349075,-143.655827,713.608701,6.346717,143.661372,0.194801
2135.299861,36.000000,6.343493,-143.555779,713.595773,6.340599,143.561221,0.206648
2135.271861,37.000000,6.340705,-143.457532,713.591782,6.337672,143.462945,0.209707
2135.277588,38.000000,6.341294,-143.361457,713.598586,6.338600,143.366929,0.202151
2135.303049,39.000000,6.343858,-143.266649,713.611707,6.341784,143.272231,0.188383
2135.328230,40.000000,6.346395,-143.171819,713.624738,6.344936,143.177511,0.174704
2135.334672,41.000000,6.347055,-143.075782,713.631769,6.345946,143.081535,0.166925
2135.317609,42.000000,6.345363,-142.978235,713.631273,6.344268,142.983988,0.166546
2135.303688,43.000000,6.343985,-142.880890,713.631783,6.342950,142.886650,0.165180
2135.296714,44.000000,6.343302,-142.783990,713.634515,6.342426,142.789775,0.161627
2135.291873,45.000000,6.342833,-142.687226,713.637929,6.342146,142.693042,0.157404
2135.252804,46.000000,6.338938,-142.588270,713.630384,6.337953,142.594029,0.163958
2135.160377,47.000000,6.329702,-142.485905,713.605757,6.327661,142.491465,0.187309
2135.094789,48.000000,6.323152,-142.385262,713.589722,6.320437,142.390694,0.202211
2135.086877,49.000000,6.322376,-142.288306,713.592149,6.319805,142.293761,0.198960
2135.115112,50.000000,6.325217,-142.193656,713.606146,6.323306,142.199229,0.184331
2135.136837,51.000000,6.327407,-142.098587,713.618058,6.326062,142.104261,0.171752
2135.135878,52.000000,6.327327,-142.002070,713.622707,6.326225,142.007785,0.166314
2135.122741,53.000000,6.326028,-141.904776,713.623457,6.324996,141.910500,0.164711
2135.104425,54.000000,6.324210,-141.807152,713.622548,6.323175,141.812872,0.164740
2135.077976,55.000000,6.321578,-141.709011,713.619034,6.320424,141.714705,0.167330
2135.061949,56.000000,6.319989,-141.611533,713.618856,6.318865,141.617230,0.166640
2135.078850,57.000000,6.321697,-141.516147,713.629218,6.321070,141.521932,0.155585
2135.083943,58.000000,6.322222,-141.420009,713.635798,6.321924,141.425850,0.148249
2135.044250,59.000000,6.318264,-141.321028,713.628040,6.317660,141.326810,0.155012
2134.989826,60.000000,6.312833,-141.221116,713.615566,6.311711,141.226799,0.166414
2134.953938,61.000000,6.309256,-141.122382,713.609025,6.307882,141.128014,0.171981
2134.937391,62.000000,6.307615,-141.024873,713.608673,6.306263,141.030506,0.171461
2134.932615,63.000000,6.307153,-140.928109,713.612090,6.305989,140.933773,0.167237
2134.933001,64.000000,6.307207,-140.831671,713.617157,6.306305,140.837379,0.161389
2134.923015,65.000000,6.306223,-140.734576,713.618902,6.305436,140.740302,0.158807
2134.881141,66.000000,6.302048,-140.635468,713.610440,6.300922,140.641128,0.166264
2134.819885,67.000000,6.295933,-140.535140,713.595772,6.294194,140.540684,0.179822
2134.789210,68.000000,6.292878,-140.436744,713.590893,6.290960,140.442250,0.183755
2134.794781,69.000000,6.293451,-140.340631,713.597614,6.291868,140.346196,0.176280
2134.808639,70.000000,6.294854,-140.245039,713.606987,6.293724,140.250684,0.166198
2134.802807,71.000000,6.294285,-140.148205,713.610056,6.293329,140.153879,0.162315
2134.758755,72.000000,6.289892,-140.048969,713.600890,6.288566,140.054571,0.170463
2134.681387,73.000000,6.282165,-139.947643,713.581060,6.279997,139.953086,0.189099
2134.589946,74.000000,6.273031,-139.845440,713.556726,6.269819,139.850687,0.212163
2134.503083,75.000000,6.264355,-139.743531,713.533858,6.260166,139.748594,0.233786
2134.543433,76.000000,6.268407,-139.649599,713.551701,6.265047,139.654812,0.215374
2134.548682,77.000000,6.268948,-139.553465,713.558310,6.265918,139.558735,0.208010
2134.518915,78.000000,6.265985,-139.455138,713.553711,6.262788,139.460374,0.211668
2134.579612,79.000000,6.272073,-139.362470,713.578064,6.269995,139.367908,0.186855
2134.608710,80.000000,6.275000,-139.267820,713.592304,6.273591,139.273377,0.171987
2134.592448,81.000000,6.273388,-139.170334,713.592024,6.272004,139.175892,0.171397
2134.555949,82.000000,6.269752,-139.071585,713.585266,6.268105,139.077091,0.177178
2134.533406,83.000000,6.267511,-138.973708,713.582974,6.265800,138.979199,0.178567
2134.535996,84.000000,6.267786,-138.877398,713.588725,6.266367,138.882939,0.172047
2134.533633,85.000000,6.267565,-138.780778,713.592889,6.266368,138.786357,0.167087
2134.505583,86.000000,6.264773,-138.682559,713.588831,6.263433,138.688108,0.170213
2134.498052,87.000000,6.264035,-138.585617,713.591339,6.262844,138.591189,0.166882
2134.521901,88.000000,6.266437,-138.490624,713.603890,6.265840,138.496302,0.153674
2134.524583,89.000000,6.266720,-138.394313,713.609666,6.266417,138.400042,0.147130
2134.466261,90.000000,6.260900,-138.294216,713.595914,6.260023,138.299835,0.159789
2134.428466,91.000000,6.257134,-138.195395,713.588732,6.255976,138.200959,0.165987
2134.349880,92.000000,6.249286,-138.094048,713.568494,6.247267,138.099450,0.185024
2134.322714,93.000000,6.246584,-137.995891,713.564711,6.244434,138.001266,0.187879
2134.320724,94.000000,6.246400,-137.899293,713.568986,6.244477,137.904706,0.182811
2134.350614,95.000000,6.249405,-137.804666,713.583462,6.248162,137.810200,0.167711
2134.400400,96.000000,6.254402,-137.711263,713.604305,6.254121,137.716971,0.146349
2134.418696,97.000000,6.256248,-137.615911,713.615069,6.256482,137.621711,0.134899
2134.407092,98.000000,6.255102,-137.518711,713.616262,6.255427,137.524524,0.132861
2134.382542,99.000000,6.252661,-137.420713,713.613311,6.252892,137.426504,0.134899
2134.362352,100.000000,6.250656,-137.322984,713.611753,6.250855,137.328766,0.135566
2134.346418,101.000000,6.249077,-137.225517,713.611557,6.249305,137.231301,0.134894
2134.307579,102.000000,6.245206,-137.126642,713.604029,6.245137,137.132367,0.141433
2134.222088,103.000000,6.236669,-137.024900,713.581569,6.235640,137.030445,0.162655
2134.113408,104.000000,6.225812,-136.921740,713.551689,6.223494,136.927044,0.191175
2134.025846,105.000000,6.217068,-136.819885,713.528568,6.213761,136.825003,0.213048
2133.996467,106.000000,6.214145,-136.721606,713.524065,6.210675,136.726690,0.216612
2134.032314,107.000000,6.217746,-136.627326,713.540432,6.215039,136.632548,0.199652
2134.086410,108.000000,6.223172,-136.534160,713.562639,6.221488,136.539566,0.176949
2134.097791,109.000000,6.224325,-136.438373,713.571176,6.223058,136.443853,0.167690
2134.047618,110.000000,6.219322,-136.338819,713.560014,6.217596,136.344210,0.177802
