u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2127.451548,536.000000,5.566976,-94.850860,713.434931,5.575508,94.856617,-0.065672
2127.492163,537.000000,5.571038,-94.755909,713.452322,5.580380,94.761812,-0.083640
2127.449647,538.000000,5.566816,-94.657429,713.443153,5.575787,94.663260,-0.075475
2127.447601,539.000000,5.566626,-94.560666,713.446913,5.575802,94.566531,-0.080030
2127.468549,540.000000,5.568729,-94.464875,713.458017,5.578434,94.470834,-0.091812
2127.475229,541.000000,5.569409,-94.368477,713.464562,5.579442,94.374493,-0.099108
2127.454162,542.000000,5.567324,-94.270907,713.462241,5.577291,94.276907,-0.097680
2127.403369,543.000000,5.562277,-94.172083,713.450423,5.571756,94.177990,-0.086908
2127.354199,544.000000,5.557392,-94.073331,713.439121,5.566406,94.079149,-0.076644
2127.340864,545.000000,5.556077,-93.976091,713.439268,5.565135,93.981913,-0.077645
2127.365468,546.000000,5.558544,-93.880447,713.451533,5.568183,93.886373,-0.090568
2127.378709,547.000000,5.559878,-93.784322,713.460167,5.569938,93.790322,-0.099920
2127.350849,548.000000,5.557116,-93.686470,713.455669,5.567013,93.692436,-0.096350
2127.308297,549.000000,5.552891,-93.588004,713.446476,5.562416,93.593898,-0.088162
2127.285306,550.000000,5.550614,-93.490359,713.443532,5.560046,93.496232,-0.086121
2127.287191,551.000000,5.550817,-93.393756,713.448533,5.560508,93.399674,-0.091897
2127.277502,552.000000,5.549866,-93.296669,713.449836,5.559652,93.302600,-0.094035
2127.274295,553.000000,5.549561,-93.199852,713.453208,5.559534,93.205814,-0.098210
2127.312877,554.000000,5.553420,-93.104777,713.469930,5.564173,93.110879,-0.115519
2127.358155,555.000000,5.557947,-93.009976,713.488791,5.569574,93.016236,-0.134932
2127.353920,556.000000,5.557540,-92.913110,713.491832,5.569339,92.919398,-0.138780
2127.302788,557.000000,5.552459,-92.814293,713.479888,5.563764,92.820487,-0.127884
2127.241046,558.000000,5.546321,-92.715039,713.464554,5.556983,92.721111,-0.113652
2127.192963,559.000000,5.541544,-92.616357,713.453583,5.551756,92.622341,-0.103714
2127.166111,560.000000,5.538884,-92.518557,713.449394,5.548946,92.524511,-0.100447
2127.146361,561.000000,5.536930,-92.421053,713.447472,5.546944,92.426994,-0.099412
2127.112108,562.000000,5.533532,-92.322949,713.440916,5.543292,92.328840,-0.093818
2127.073782,563.000000,5.529728,-92.224680,713.433058,5.539176,92.230509,-0.086942
2127.061246,564.000000,5.528494,-92.127477,713.433438,5.537995,92.133313,-0.088171
2127.072067,565.000000,5.529586,-92.031237,713.441277,5.539473,92.037140,-0.096740
2127.070163,566.000000,5.529411,-91.934471,713.445051,5.539503,91.940408,-0.101309
2127.051862,567.000000,5.527603,-91.837029,713.443586,5.537666,91.842958,-0.100723
2127.034857,568.000000,5.525923,-91.739642,713.442533,5.535977,91.745565,-0.100543
2127.023869,569.000000,5.524843,-91.642502,713.443401,5.534972,91.648436,-0.102253
2127.007421,570.000000,5.523219,-91.545138,713.442524,5.533346,91.551068,-0.102245
2126.989868,571.000000,5.521485,-91.447729,713.441293,5.531594,91.453652,-0.101890
2126.985154,572.000000,5.521030,-91.350846,713.444162,5.531304,91.356796,-0.105568
2126.982874,573.000000,5.520817,-91.254062,713.447808,5.531290,91.260045,-0.110011
2126.970578,574.000000,5.519607,-91.156868,713.448252,5.530136,91.162858,-0.111304
2126.948130,575.000000,5.517385,-91.059260,713.445453,5.527827,91.065231,-0.109405
