u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2135.929869,9.000000,6.406146,-146.200601,713.662821,6.405222,146.206503,0.164100
2135.937165,10.000000,6.406892,-146.104644,713.670159,6.406331,146.110610,0.156018
2135.928076,11.000000,6.405998,-146.007611,713.672249,6.405567,146.013597,0.153096
2135.894011,12.000000,6.402602,-145.908942,713.666341,6.401947,145.914883,0.158040
2135.833687,13.000000,6.396578,-145.808556,713.652023,6.395324,145.814383,0.171253
2135.775178,14.000000,6.390735,-145.708293,713.638286,6.388908,145.714011,0.183894
2135.742908,15.000000,6.387519,-145.609748,713.632949,6.385493,145.615426,0.188275
2135.736420,16.000000,6.386885,-145.512889,713.635867,6.385026,145.518594,0.184540
2135.739879,17.000000,6.387247,-145.416678,713.641969,6.385696,145.422436,0.177675
2135.738470,18.000000,6.387122,-145.320149,713.646510,6.385810,145.325947,0.172343
2135.726300,19.000000,6.385919,-145.222916,713.647606,6.384693,145.228727,0.170400
2135.696609,20.000000,6.382962,-145.124542,713.643089,6.381572,145.130319,0.173975
2135.664422,21.000000,6.379755,-145.026007,713.637774,6.378167,145.031744,0.178336
2135.665411,22.000000,6.379870,-144.929631,713.643079,6.378554,144.935415,0.172253
2135.687000,23.000000,6.382047,-144.834594,713.654979,6.381297,144.840478,0.159686
2135.686068,24.000000,6.381970,-144.738090,713.659667,6.381465,144.744015,0.154210
2135.624621,25.000000,6.375833,-144.637656,713.644978,6.374713,144.643465,0.167788
2135.538450,26.000000,6.367221,-144.535622,713.622373,6.365136,144.541249,0.189149
2135.476866,27.000000,6.361071,-144.435188,713.607640,6.358369,144.440698,0.202771
2135.526547,28.000000,6.366061,-144.341967,713.628528,6.364323,144.347651,0.181366
2135.511932,29.000000,6.364613,-144.244578,713.628829,6.362926,144.250268,0.180203
2135.508620,30.000000,6.364297,-144.147920,713.632749,6.362821,144.153645,0.175483
2135.530550,31.000000,6.366509,-144.052893,713.644749,6.365603,144.058719,0.162817
2135.566986,32.000000,6.370173,-143.958800,713.661394,6.370042,143.964766,0.145585
2135.497078,33.000000,6.363189,-143.857836,713.643988,6.362324,143.863663,0.161835
2135.554812,34.000000,6.368985,-143.765113,713.667449,6.369198,143.771135,0.137899
