candidate_type,candidate_id,frame_id,is_frame027,region,candidate_pnp_rmse_px,baseline_pnp_rmse_px,point_count,bias_delta_lambda_mm,rmse_delta_lambda_mm,p95_abs_delta_lambda_mm,max_abs_delta_lambda_mm
full18_corner_noise_mc,full18_mc_0001,001,False,all,0.16491773804834622,0.16329053695098955,822,0.029286660271305807,0.029397102200281435,0.03315685113042832,0.03472858419740987
full18_corner_noise_mc,full18_mc_0001,001,False,top,0.16491773804834622,0.16329053695098955,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,001,False,middle,0.16491773804834622,0.16329053695098955,505,0.030942645179265586,0.030988918274546275,0.03326953603520906,0.03472858419740987
full18_corner_noise_mc,full18_mc_0001,001,False,bottom,0.16491773804834622,0.16329053695098955,317,0.02664857705830994,0.026665693683347168,0.028286366716974952,0.028383920453961764
full18_corner_noise_mc,full18_mc_0001,002,False,all,0.15127227934229293,0.14798432041035417,890,0.027295689574692188,0.027415992984619594,0.03108874237223631,0.031494898416099204
full18_corner_noise_mc,full18_mc_0001,002,False,top,0.15127227934229293,0.14798432041035417,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,002,False,middle,0.15127227934229293,0.14798432041035417,497,0.029261447452322783,0.029295434015115633,0.031191190555659887,0.031494898416099204
full18_corner_noise_mc,full18_mc_0001,002,False,bottom,0.15127227934229293,0.14798432041035417,393,0.02480973113911355,0.024836364098481892,0.026420086894268023,0.026526953967845657
full18_corner_noise_mc,full18_mc_0001,003,False,all,0.15032983458488386,0.15082336512204414,900,0.028899430300658523,0.02901295403684206,0.03254028422444435,0.03365320635077751
full18_corner_noise_mc,full18_mc_0001,003,False,top,0.15032983458488386,0.15082336512204414,216,0.032214560233618975,0.032217970308329645,0.033062517871940145,0.03365320635077751
full18_corner_noise_mc,full18_mc_0001,003,False,middle,0.15032983458488386,0.15082336512204414,510,0.028797376669644884,0.028828552885324443,0.03068703596321711,0.031051970566977616
full18_corner_noise_mc,full18_mc_0001,003,False,bottom,0.15032983458488386,0.15082336512204414,174,0.025083219302368287,0.02508780929327624,0.025770536006115206,0.026260635590688253
full18_corner_noise_mc,full18_mc_0001,004,False,all,0.1023038670055304,0.10089911315776134,900,0.03268294336804919,0.032751145822999886,0.03588258316424344,0.03620352803636706
full18_corner_noise_mc,full18_mc_0001,004,False,top,0.1023038670055304,0.10089911315776134,440,0.03456969223710473,0.034583345698963236,0.03602327146883795,0.03620352803636706
full18_corner_noise_mc,full18_mc_0001,004,False,middle,0.1023038670055304,0.10089911315776134,460,0.030878227058517792,0.03089710713785434,0.03258530622139801,0.03293370876588142
full18_corner_noise_mc,full18_mc_0001,004,False,bottom,0.1023038670055304,0.10089911315776134,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,005,False,all,0.10511488979063667,0.1029680148290363,900,0.03824941488756281,0.038249488850296484,0.038363409207022414,0.03837125949826259
full18_corner_noise_mc,full18_mc_0001,005,False,top,0.10511488979063667,0.1029680148290363,222,0.03834690055617272,0.038346904210947275,0.0383688227784603,0.03837125949826259
full18_corner_noise_mc,full18_mc_0001,005,False,middle,0.10511488979063667,0.1029680148290363,407,0.03825649636668072,0.038256514913659924,0.0383127374743026,0.038316933271403286
full18_corner_noise_mc,full18_mc_0001,005,False,bottom,0.10511488979063667,0.1029680148290363,271,0.038158920494823355,0.03815892547532643,0.03819238562755345,0.03819495776644999
full18_corner_noise_mc,full18_mc_0001,006,False,all,0.09587880631531545,0.09617947945335815,900,0.034412238984234844,0.03441242442926401,0.034587011068060745,0.03460714918810481
full18_corner_noise_mc,full18_mc_0001,006,False,top,0.09587880631531545,0.09617947945335815,82,0.034588854211588055,0.03458885590756002,0.03460570063786576,0.03460714918810481
full18_corner_noise_mc,full18_mc_0001,006,False,middle,0.09587880631531545,0.09617947945335815,621,0.03443773090275968,0.03443781772249791,0.034551169113115066,0.034568662259061966
full18_corner_noise_mc,full18_mc_0001,006,False,bottom,0.09587880631531545,0.09617947945335815,197,0.03425836624288009,0.034258376475579465,0.0342971581177153,0.034300868670015916
full18_corner_noise_mc,full18_mc_0001,007,False,all,0.11624139147863506,0.11620290816413645,900,0.036042070063547524,0.03609699079953759,0.039151671377476306,0.039510053798380795
full18_corner_noise_mc,full18_mc_0001,007,False,top,0.11624139147863506,0.11620290816413645,425,0.037849445450757926,0.03786124818265578,0.039344866650776564,0.039510053798380795
full18_corner_noise_mc,full18_mc_0001,007,False,middle,0.11624139147863506,0.11620290816413645,475,0.03442494471709611,0.03444192585469154,0.03605934121254677,0.03620472203135705
full18_corner_noise_mc,full18_mc_0001,007,False,bottom,0.11624139147863506,0.11620290816413645,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,008,False,all,0.09280363234682315,0.09554045144952464,900,0.03536751013789361,0.035379518413688735,0.036944650988834836,0.03709464482153635
full18_corner_noise_mc,full18_mc_0001,008,False,top,0.09280363234682315,0.09554045144952464,209,0.036636869600362915,0.03663783515166897,0.03705112241448205,0.03709464482153635
full18_corner_noise_mc,full18_mc_0001,008,False,middle,0.09280363234682315,0.09554045144952464,565,0.03520104912837969,0.03520511382813781,0.03602127067508718,0.03619305409529261
full18_corner_noise_mc,full18_mc_0001,008,False,bottom,0.09280363234682315,0.09554045144952464,126,0.03400841761979264,0.03400876367693616,0.03420998390660657,0.034228579536033976
full18_corner_noise_mc,full18_mc_0001,009,False,all,0.10866188261648958,0.10973019581690426,900,0.03398746431340922,0.03399704606515138,0.0352192170290266,0.03533222859982743
full18_corner_noise_mc,full18_mc_0001,009,False,top,0.10866188261648958,0.10973019581690426,418,0.034740306731794623,0.034742187806059,0.035279825375886274,0.03533222859982743
full18_corner_noise_mc,full18_mc_0001,009,False,middle,0.10866188261648958,0.10973019581690426,482,0.03333458437381357,0.03333736233321265,0.03403949201286309,0.03414221148193519
full18_corner_noise_mc,full18_mc_0001,009,False,bottom,0.10866188261648958,0.10973019581690426,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,010,False,all,0.11798319309946363,0.11900903660715031,900,0.0455751065929956,0.04557727373390603,0.04626799114732307,0.046349786994369424
full18_corner_noise_mc,full18_mc_0001,010,False,top,0.11798319309946363,0.11900903660715031,348,0.04604739660075846,0.04604771772781024,0.04631800426340078,0.046349786994369424
full18_corner_noise_mc,full18_mc_0001,010,False,middle,0.11798319309946363,0.11900903660715031,552,0.04527735854462337,0.0452781774257496,0.04569695105077472,0.045744572512944615
full18_corner_noise_mc,full18_mc_0001,010,False,bottom,0.11798319309946363,0.11900903660715031,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,011,False,all,0.11599237134089532,0.11763441654918086,900,0.03549047710464897,0.03557513879886477,0.03932396171873052,0.039729745403406014
full18_corner_noise_mc,full18_mc_0001,011,False,top,0.11599237134089532,0.11763441654918086,368,0.038006673958529885,0.03801893623051504,0.03957815864538929,0.039729745403406014
full18_corner_noise_mc,full18_mc_0001,011,False,middle,0.11599237134089532,0.11763441654918086,532,0.03374994995760352,0.03378141005800746,0.03589208644431778,0.03619487782680153
full18_corner_noise_mc,full18_mc_0001,011,False,bottom,0.11599237134089532,0.11763441654918086,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,012,False,all,0.08887752214412094,0.08831906971658644,900,0.03629763205998769,0.036308241008632336,0.037627369794546436,0.03774640732331136
full18_corner_noise_mc,full18_mc_0001,012,False,top,0.08887752214412094,0.08831906971658644,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,012,False,middle,0.08887752214412094,0.08831906971658644,472,0.03557102660114708,0.03557405488551406,0.036331739739222255,0.036444457964876165
full18_corner_noise_mc,full18_mc_0001,012,False,bottom,0.08887752214412094,0.08831906971658644,428,0.0370989352762792,0.03710106218080411,0.037689427436748704,0.03774640732331136
full18_corner_noise_mc,full18_mc_0001,013,False,all,0.10529527817239265,0.10716464123154426,900,0.03735451044793257,0.03735530797487445,0.03772838865605763,0.03781447301048502
full18_corner_noise_mc,full18_mc_0001,013,False,top,0.10529527817239265,0.10716464123154426,191,0.03702327774937124,0.037023309879510725,0.03711196147963847,0.03712287958910565
full18_corner_noise_mc,full18_mc_0001,013,False,middle,0.10529527817239265,0.10716464123154426,478,0.037333769184723295,0.037333987992118484,0.03752981746893056,0.03754693780194884
full18_corner_noise_mc,full18_mc_0001,013,False,bottom,0.10529527817239265,0.10716464123154426,231,0.03767130598576483,0.037671364398843825,0.037772228675009956,0.03781447301048502
full18_corner_noise_mc,full18_mc_0001,014,False,all,0.09538361860096098,0.0958597242250322,900,0.03560561989245912,0.03565785727828053,0.03861591582231085,0.038879267156175956
full18_corner_noise_mc,full18_mc_0001,014,False,top,0.09538361860096098,0.0958597242250322,442,0.03732371744006703,0.0373361870006423,0.03874978136946652,0.038879267156175956
full18_corner_noise_mc,full18_mc_0001,014,False,middle,0.09538361860096098,0.0958597242250322,458,0.03394754321987681,0.03395960055206164,0.03533797857725176,0.035602424356625306
full18_corner_noise_mc,full18_mc_0001,014,False,bottom,0.09538361860096098,0.0958597242250322,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,015,False,all,0.11143543215476077,0.11069834610060661,900,0.023638319756851666,0.024029835533506235,0.030288813153339325,0.031701477604428874
full18_corner_noise_mc,full18_mc_0001,015,False,top,0.11143543215476077,0.11069834610060661,431,0.027523456099488728,0.02760944169057093,0.031049550227749023,0.031701477604428874
full18_corner_noise_mc,full18_mc_0001,015,False,middle,0.11143543215476077,0.11069834610060661,469,0.020067970580568993,0.020188159073595443,0.023801325638009983,0.024041647635954178
full18_corner_noise_mc,full18_mc_0001,015,False,bottom,0.11143543215476077,0.11069834610060661,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,016,False,all,0.12563540131954729,0.12452317961002471,900,0.03153397917281432,0.03180280796924166,0.03825262452173774,0.03879548299937596
full18_corner_noise_mc,full18_mc_0001,016,False,top,0.12563540131954729,0.12452317961002471,198,0.037194865086965394,0.03721351263639047,0.038683957106957226,0.03879548299937596
full18_corner_noise_mc,full18_mc_0001,016,False,middle,0.12563540131954729,0.12452317961002471,420,0.03210887778423869,0.03216898272854843,0.03500697347243431,0.03525473812385371
full18_corner_noise_mc,full18_mc_0001,016,False,bottom,0.12563540131954729,0.12452317961002471,282,0.026703082620331525,0.026727086218599674,0.028409742922139002,0.02855180633719101
full18_corner_noise_mc,full18_mc_0001,017,False,all,0.11907820196220242,0.11832308699666845,890,0.037296709252987975,0.03738420812082566,0.04114195526568665,0.04215637169011188
full18_corner_noise_mc,full18_mc_0001,017,False,top,0.11907820196220242,0.11832308699666845,324,0.040253868195543135,0.040262598123769755,0.04181925435304947,0.04215637169011188
full18_corner_noise_mc,full18_mc_0001,017,False,middle,0.11907820196220242,0.11832308699666845,566,0.03560391862156064,0.03563201302328429,0.038042854250477376,0.03842416814120497
full18_corner_noise_mc,full18_mc_0001,017,False,bottom,0.11907820196220242,0.11832308699666845,0,nan,nan,nan,nan
full18_corner_noise_mc,full18_mc_0001,018,False,all,0.1208863774757276,0.12157909084589343,900,0.03809558568263014,0.03814061585828055,0.040949105822323875,0.04131359658310885
full18_corner_noise_mc,full18_mc_0001,018,False,top,0.1208863774757276,0.12157909084589343,310,0.040190516780062205,0.040195705996798003,0.04118326075419532,0.04131359658310885
full18_corner_noise_mc,full18_mc_0001,018,False,middle,0.1208863774757276,0.12157909084589343,448,0.03752190214003624,0.03753233711830152,0.03892700035223129,0.039053473219382795
full18_corner_noise_mc,full18_mc_0001,018,False,bottom,0.1208863774757276,0.12157909084589343,142,0.035332075731067676,0.03533377495053428,0.03577273117406889,0.03581560235102188
full18_corner_noise_mc,full18_mc_0001,025,False,all,0.15548558613490598,0.15619495732179384,900,0.031217837423682795,0.03139840265216706,0.03590177176482712,0.0370624743462713
full18_corner_noise_mc,full18_mc_0001,025,False,top,0.15548558613490598,0.15619495732179384,321,0.03493436737115811,0.03494819386325645,0.03674466416714495,0.0370624743462713
full18_corner_noise_mc,full18_mc_0001,025,False,middle,0.15548558613490598,0.15619495732179384,442,0.03012403222933311,0.030168157849584105,0.03242555400856304,0.03303266737054855
full18_corner_noise_mc,full18_mc_0001,025,False,bottom,0.15548558613490598,0.15619495732179384,137,0.026038682553339607,0.02604598655393785,0.026804163717133633,0.02687317160746261
full18_corner_noise_mc,full18_mc_0001,026,False,all,0.1634133108234125,0.16533904087018206,900,0.02948905615992266,0.029638526318150414,0.033866082520046345,0.034155315418729515
full18_corner_noise_mc,full18_mc_0001,026,False,top,0.1634133108234125,0.16533904087018206,222,0.033328379145200315,0.033333515563630824,0.034063644478573,0.034155315418729515
