candidate_type,candidate_id,frame_id,is_frame027,region,candidate_pnp_rmse_px,baseline_pnp_rmse_px,point_count,bias_delta_lambda_mm,rmse_delta_lambda_mm,p95_abs_delta_lambda_mm,max_abs_delta_lambda_mm,subset_id,subset_size,selection_score,min_span_ratio,row_type,candidate_global_p95_abs_mm,candidate_frame_p95_median_mm,candidate_frame_p95_p95_mm,candidate_frame_p95_max_mm,board_center_u_norm_loss,board_center_v_norm_loss,board_tilt_deg_loss,board_center_z_mm_loss,apparent_bbox_area_fraction_loss,predictor,rho,p_value,n,metric
coverage_matched,matched_16_01,001,False,all,0.16012851101067047,0.16329053695098955,822,-0.18564655390636098,0.18593637504196095,0.20099978908068578,0.20686807931622297,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,001,False,top,0.16012851101067047,0.16329053695098955,0,nan,nan,nan,nan,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,001,False,middle,0.16012851101067047,0.16329053695098955,505,-0.19247124388168776,0.19258390890090782,0.20143164645330672,0.20686807931622297,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,001,False,bottom,0.16012851101067047,0.16329053695098955,317,-0.17477441372484673,0.17482515862325476,0.18192669385930457,0.18233765419256542,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,all,0.14486307601051174,0.14798432041035417,890,-0.18096401448365992,0.1813636067202717,0.19874458455744276,0.2006496594572127,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,top,0.14486307601051174,0.14798432041035417,0,nan,nan,nan,nan,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,middle,0.14486307601051174,0.14798432041035417,497,-0.1901858893996125,0.19030068810953876,0.19924957797791193,0.2006496594572127,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,002,False,bottom,0.14486307601051174,0.14798432041035417,393,-0.16930174518791327,0.1693876231926336,0.17685206586836558,0.17735777140546816,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,003,False,all,0.15471198807137457,0.15082336512204414,900,-0.18503791152356536,0.1854911374135415,0.20364714553359703,0.20921749611864016,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,003,False,top,0.15471198807137457,0.15082336512204414,216,-0.2019815123128952,0.20199571315373513,0.20630003997865742,0.20921749611864016,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
