method,candidate_count,unique_frame_count_min,unique_frame_count_median,unique_frame_count_max,frame_candidate_p95_median_mm,frame_candidate_p95_p95_mm,frame_candidate_p95_max_mm,candidate_global_p95_median_mm,candidate_frame_p95_median_distribution_mm,candidate_to_cone_p95_ratio_median,candidate_to_cone_p95_ratio_p95,valid_candidate_count,min_span_ratio
naive_frame_bootstrap,500,8,12.0,15,0.352331281125349,1.0943945047407677,1.1765189085033358,nan,0.352331281125349,15.2762120237736,22.848200804191237,,
loo,18,17,17.0,17,0.039147127090370756,0.33880096503910967,0.36015233271478897,nan,0.039147127090370756,nan,nan,,
full18_corner_noise_mc,2,18,18.0,18,0.07449327736029829,0.12117064655891453,0.1263534169012246,0.0816637307974389,0.07645894037681841,0.798581894042709,2.2668566532113377,2,
coverage_matched_16,2,16,16.0,16,0.14481895329394945,0.22383057683114915,0.22908718795175673,0.15310642447822714,0.14900384063236202,1.7357333677106241,4.266881432211634,,0.9975542751921842
coverage_matched_14,2,14,14.0,14,0.5051664860967606,0.5452703298268858,0.5539961862901237,0.5300216757859744,0.5046909312214908,7.141881948884494,10.624622356619017,,0.9975542751921842
coverage_matched_12,2,12,12.0,12,0.36516577922356247,0.6179694079639628,0.6303477740577932,0.3947244864334237,0.37929398487964794,3.7213180328317086,12.048382040471507,,0.8286042310879875
