model,region,variable,count,slope,rho,binned_median_range,max_adjacent_median_jump,within_bin_rmse
global_plane,Global,v,32400,-5.407868924972195e-05,-0.11724627070154121,1.3518462217692218,0.29519085672791334,0.10307545967198092
global_plane,Global,s,32400,-0.3975665654500917,-0.11739721448751819,1.3525254225314143,0.2973827795192392,0.10328388038103145
quadratic_graph,Global,v,32400,-1.5959419300003112e-06,-0.012075072526650037,0.2747277660532177,0.0911095924923302,0.07983953471187333
quadratic_graph,Global,s,32400,-0.011880988254147714,-0.012243350618034778,0.27390741266253826,0.09123078806925378,0.07982247830310753
circular_cone,Global,v,32400,1.068928798214662e-06,0.008063261272321333,0.28229335406581413,0.09056297144474001,0.0795078327713915
circular_cone,Global,s,32400,0.0077073132179597695,0.007918447118686252,0.2815862686231867,0.09035272754147172,0.079521022091701
