config_id,method,roi_id,roi_label,height_mm,trim_px,x_start,x_end,frame_count,detected_frame_fraction,detected_event_fraction,valid_column_fraction,y_median_px,sigma_pixel_p50_px,sigma_pixel_p95_px,delta_y_median_px,sensitivity_px_per_mm,roi_trim_relative_change_vs_trim0,background_false_detection_rate,center_shift_px,sensitivity_relative_change,sigma_pixel_p95_ratio
B12p5_A20,centroid,h001,H1,1.0,0,1711,1744,50,1.0,0.971764705882353,0.9705882352941176,1908.6805096418734,0.04135544133179887,0.05316644901049233,-0.9573797894602194,0.9573797894602194,0.0,0.0,0.013277114727770822,0.015367964427450849,2.3558499451536563
B12p5_A20,steger,h001,H1,1.0,0,1711,1744,50,1.0,1.0,1.0,1908.6356783658266,0.01790763833782702,0.022567841861008103,-0.972322405601517,0.972322405601517,0.0,,,,
B12p5_A20,centroid,h001,H1,1.0,2,1713,1742,50,1.0,0.968,0.9666666666666667,1908.6854497354498,0.041701970971062687,0.05321699873824362,-0.9768556897060989,0.9768556897060989,0.020342919769447236,0.0,-0.01146253173101286,0.015196934861770347,2.356606354105517
B12p5_A20,steger,h001,H1,1.0,2,1713,1742,50,1.0,1.0,1.0,1908.6356783658266,0.01790763833782702,0.0225820483957928,-0.9622327020117609,0.9622327020117609,0.010376911538425506,,,,
B12p5_A20,centroid,h001,H1,1.0,3,1714,1741,50,1.0,0.9657142857142857,0.9642857142857143,1908.6854497354498,0.04237969020038364,0.05324227360211927,-0.9768556897060989,0.9768556897060989,0.020342919769447236,0.0,-0.01146253173101286,0.015196934861770347,2.3745563415056328
B12p5_A20,steger,h001,H1,1.0,3,1714,1741,50,1.0,1.0,1.0,1908.6356783658266,0.01790763833782702,0.02242198791895584,-0.9622327020117609,0.9622327020117609,0.010376911538425506,,,,
B12p5_A20,centroid,h001,H1,1.0,4,1715,1740,50,1.0,0.963076923076923,0.9615384615384616,1908.6854497354498,0.04237969020038364,0.05326754846599492,-0.9768556897060989,0.9768556897060989,0.020342919769447236,0.0,0.013277114727770822,0.015196934861770347,2.369884708899676
B12p5_A20,steger,h001,H1,1.0,4,1715,1740,50,1.0,1.0,1.0,1908.6356783658266,0.018019798507494092,0.022476852256127992,-0.9622327020117609,0.9622327020117609,0.010376911538425506,,,,
B12p5_A20,centroid,h010,H10,10.0,0,1771,1807,50,1.0,0.9632432432432433,0.9459459459459459,1900.694348785872,0.043670549541764477,0.06445435818258106,-8.071811546730714,0.8071811546730714,0.0,0.0,-0.009144680359440827,0.0011984095557063415,2.535099240255262
B12p5_A20,steger,h010,H10,10.0,0,1771,1807,50,1.0,0.9983783783783784,1.0,1900.7185216993093,0.01959982924252945,0.025424786990228865,-8.081496489347956,0.8081496489347956,0.0,,,,
