u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2128.081127,471.000000,5.628786,-101.161048,713.346625,5.630990,101.165871,0.076904
2128.049898,472.000000,5.625688,-101.062999,713.341139,5.627685,101.067780,0.081444
2127.890095,473.000000,5.609775,-100.959136,713.294582,5.609741,100.963540,0.126391
2127.718832,474.000000,5.592721,-100.854769,713.244370,5.590495,100.858765,0.174934
2127.615119,475.000000,5.582401,-100.753465,713.215735,5.578941,100.757231,0.202249
2127.575327,476.000000,5.578451,-100.655052,713.207511,5.574662,100.658753,0.209483
2127.570984,477.000000,5.578032,-100.558238,713.210606,5.574418,100.561968,0.205580
2127.568701,478.000000,5.577819,-100.461516,713.214359,5.574408,100.465280,0.201032
2127.527081,479.000000,5.573686,-100.363024,713.205548,5.569921,100.366719,0.208843
2127.461024,480.000000,5.567119,-100.263438,713.188934,5.562653,100.267001,0.224331
2127.404448,481.000000,5.561496,-100.164282,713.175347,5.556464,100.167737,0.236842
2127.457036,482.000000,5.566749,-100.070023,713.196614,5.562699,100.073655,0.215061
2127.479524,483.000000,5.569004,-99.974410,713.208270,5.565508,99.978141,0.202737
2127.556628,484.000000,5.576700,-99.881238,713.237365,5.574534,99.885210,0.173254
2127.531332,485.000000,5.574194,-99.783481,713.233760,5.571904,99.787427,0.175944
2127.465570,486.000000,5.567656,-99.683919,713.217233,5.564669,99.687733,0.191348
2127.419244,487.000000,5.563055,-99.585228,713.206911,5.559647,99.588961,0.200646
2127.343458,488.000000,5.555519,-99.485228,713.187181,5.551271,99.488802,0.219200
2127.334198,489.000000,5.554610,-99.388195,713.188693,5.550467,99.391785,0.216856
2127.378290,490.000000,5.559017,-99.293534,713.207238,5.555735,99.297279,0.197753
2127.458256,491.000000,5.566998,-99.200463,713.237239,5.565085,99.204457,0.167380
2127.429450,492.000000,5.564142,-99.102555,713.232506,5.562056,99.106513,0.171180
2127.403394,493.000000,5.561561,-99.004771,713.228649,5.559340,99.008701,0.174117
2127.354038,494.000000,5.556657,-98.905956,713.217351,5.553972,98.909796,0.184376
2127.231305,495.000000,5.544445,-98.803897,713.182625,5.540255,98.807456,0.217685
2127.168684,496.000000,5.538221,-98.704505,713.167092,5.533378,98.707941,0.232111
2127.172812,497.000000,5.538647,-98.608065,713.172868,5.534097,98.611552,0.225571
2127.172154,498.000000,5.538595,-98.511414,713.177116,5.534271,98.514938,0.220535
2127.113356,499.000000,5.532752,-98.412198,713.162800,5.527829,98.415609,0.233763
2127.003995,500.000000,5.521874,-98.310761,713.132342,5.515635,98.313925,0.262873
2126.957959,501.000000,5.517303,-98.212117,713.122100,5.510647,98.215201,0.272093
2127.019646,502.000000,5.523461,-98.118210,713.146245,5.517914,98.121495,0.247481
2127.095574,503.000000,5.531038,-98.024922,713.174937,5.526802,98.028445,0.218395
2127.151455,504.000000,5.536618,-97.930747,713.197229,5.533409,97.934456,0.195606
2127.181872,505.000000,5.539662,-97.835451,713.211391,5.537119,97.839279,0.180816
2127.169573,506.000000,5.538451,-97.738281,713.211913,5.535968,97.742116,0.179446
2127.163046,507.000000,5.537815,-97.641364,713.214276,5.535474,97.645222,0.176264
2127.157567,508.000000,5.537283,-97.544492,713.216973,5.535099,97.548375,0.172754
2127.153042,509.000000,5.536847,-97.447661,713.219974,5.534833,97.451572,0.168946
2127.132191,510.000000,5.534784,-97.350117,713.217761,5.532709,97.354013,0.170267
2127.143000,511.000000,5.535875,-97.253954,713.225655,5.534187,97.257918,0.161643
2127.210897,512.000000,5.542653,-97.160273,713.251777,5.542162,97.164453,0.135085
2127.227894,513.000000,5.544360,-97.064372,713.261646,5.544345,97.068637,0.124519
2127.058560,514.000000,5.527506,-96.960376,713.212016,5.525324,96.964238,0.172493
2126.831042,515.000000,5.504860,-96.853871,713.143817,5.499686,96.857178,0.238736
2126.638028,516.000000,5.485653,-96.748881,713.086644,5.477978,96.751725,0.294132
