weighting,profile_type,t,weak_singular_value,weak_to_strong_ratio,invalid_count,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,rmse_mm,p95_abs_mm,residual_energy,explained_fraction_vs_theta0
point_equal,weak_singular_direction,-8,2.35687497705e-05,1.62826960676e-06,0,2.57832957681,-0.00605550715837,-402.824762671,103.315088745,460.859738437,1.56080193254,89.4273633906,0.0745681480088,0.124458450436,97.6630183622,0.841368713844
point_equal,weak_singular_direction,-7.8,2.35687497705e-05,1.62826960676e-06,0,2.57834870103,-0.00602932066826,-401.230493275,102.646529522,461.838244976,1.5608423072,89.4296766877,0.0716762374681,0.121180757097,90.2347517208,0.853434237837
point_equal,weak_singular_direction,-7.6,2.35687497705e-05,1.62826960676e-06,0,2.57836782524,-0.00600313417815,-399.636223879,101.977970299,462.816751515,1.56088268185,89.4319899848,0.0688901750682,0.1179859453,83.3562186643,0.864606845072
point_equal,weak_singular_direction,-7.4,2.35687497705e-05,1.62826960676e-06,0,2.57838694946,-0.00597694768804,-398.041954483,101.309411076,463.795258054,1.5609230565,89.4343032819,0.0662113623146,0.114874017885,76.9996011902,0.874931719548
point_equal,weak_singular_direction,-7.2,2.35687497705e-05,1.62826960676e-06,0,2.57840607367,-0.00595076119793,-396.447685087,100.640851853,464.773764593,1.56096343115,89.436616579,0.0636412221025,0.111844977652,71.1378032668,0.884452872584
point_equal,weak_singular_direction,-7,2.35687497705e-05,1.62826960676e-06,0,2.57842519788,-0.00592457470782,-394.85341569,99.9722926302,465.752271132,1.5610038058,89.4389298761,0.0611811783316,0.10889882741,65.7444509271,0.893213142671
point_equal,weak_singular_direction,-6.8,2.35687497705e-05,1.62826960676e-06,0,2.5784443221,-0.00589838821772,-393.259146294,99.3037334073,466.730777671,1.56104418045,89.4412431732,0.058832629622,0.106035569936,60.7938922059,0.901254195572
point_equal,weak_singular_direction,-6.6,2.35687497705e-05,1.62826960676e-06,0,2.57846344631,-0.00587220172761,-391.664876898,98.6351741843,467.70928421,1.5610845551,89.4435564703,0.0565969165398,0.103255208028,56.2611973334,0.908616524009
point_equal,weak_singular_direction,-6.4,2.35687497705e-05,1.62826960676e-06,0,2.57848257053,-0.0058460152375,-390.070607502,97.9666149613,468.68779075,1.56112492975,89.4458697674,0.0544752814605,0.100557744468,52.1221586811,0.915339447751
point_equal,weak_singular_direction,-6.2,2.35687497705e-05,1.62826960676e-06,0,2.57850169474,-0.00581982874739,-388.476338106,97.2980557384,469.666297289,1.5611653044,89.4481830645,0.0524688208554,0.097943182008,48.3532908725,0.921461113433
