heldout_frame,weighting,region,v_min_px,v_max_px,sample_count,before_rmse_mm,after_rmse_mm,before_p95_abs_mm,after_p95_abs_mm,explained_fraction
001,v_region_equal,extrap_top_v_lt_242,0,241.997693497,220,0.496099712132,0.191065599625,0.769522281371,0.311797797636,0.851670663807
001,v_region_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,138,0.33932283793,0.0962641730037,0.386684174876,0.120180195931,0.919517179586
002,point_equal,top_0_299,0,300,300,0.331779778406,0.149079160683,0.723774268972,0.33431542634,0.798101053641
002,point_equal,middle_300_2699,300,2700,1241,0.0852989275903,0.0581941482384,0.158136315532,0.0925633416972,0.534551655645
002,point_equal,bottom_2700_2999,2700,3000,249,0.214549755446,0.116919525642,0.321764656965,0.207616736598,0.703026264555
002,point_equal,bin_0000_0299,0,300,300,0.331779778406,0.149079160683,0.723774268972,0.33431542634,0.798101053641
002,point_equal,bin_0300_0599,300,600,123,0.0877112155032,0.0426315450378,0.130255634265,0.0614252702972,0.763760842056
002,point_equal,bin_0600_0899,600,900,207,0.0916137952073,0.0230454322912,0.130356763362,0.0401562819936,0.936722695761
002,point_equal,bin_0900_1199,900,1200,165,0.0417371684227,0.0579727478769,0.0796655509538,0.0879588049833,-0.929309081745
002,point_equal,bin_1200_1499,1200,1500,97,0.080382770877,0.0920736631289,0.142790151968,0.121966433643,-0.312033422175
002,point_equal,bin_1500_1799,1500,1800,156,0.0384446862784,0.0583005572267,0.077330213056,0.0829983742832,-1.29970838576
002,point_equal,bin_1800_2099,1800,2100,208,0.02840264974,0.0705755154096,0.055562468328,0.0889790609388,-5.17433800563
002,point_equal,bin_2100_2399,2100,2400,64,0.218144623024,0.0345835781851,0.281337565188,0.0581021152105,0.974866624162
002,point_equal,bin_2400_2699,2400,2700,221,0.0948359332391,0.0620015025808,0.162881482677,0.0947259370997,0.572576314609
002,point_equal,bin_2700_2999,2700,3000,249,0.214549755446,0.116919525642,0.321764656965,0.207616736598,0.703026264555
002,point_equal,extrap_top_v_lt_242,0,241.997693497,242,0.362037249309,0.162651448682,0.730880570828,0.336145822296,0.798159014304
002,point_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,217,0.218879298913,0.12511714159,0.324520212237,0.208098975949,0.673243489074
002,frame_equal,top_0_299,0,300,300,0.331779778406,0.145165039216,0.723774268972,0.329025726316,0.808563720191
002,frame_equal,middle_300_2699,300,2700,1241,0.0852989275903,0.057478860061,0.158136315532,0.0919064366142,0.545923369816
002,frame_equal,bottom_2700_2999,2700,3000,249,0.214549755446,0.117860081248,0.321764656965,0.20945364853,0.69822905379
002,frame_equal,bin_0000_0299,0,300,300,0.331779778406,0.145165039216,0.723774268972,0.329025726316,0.808563720191
002,frame_equal,bin_0300_0599,300,600,123,0.0877112155032,0.0385590755364,0.130255634265,0.0568490924939,0.806739558628
002,frame_equal,bin_0600_0899,600,900,207,0.0916137952073,0.0261821958868,0.130356763362,0.0435539417223,0.918324766218
002,frame_equal,bin_0900_1199,900,1200,165,0.0417371684227,0.0556348860643,0.0796655509538,0.0856181961916,-0.776840490198
002,frame_equal,bin_1200_1499,1200,1500,97,0.080382770877,0.0901423183141,0.142790151968,0.119729800315,-0.25756806737
002,frame_equal,bin_1500_1799,1500,1800,156,0.0384446862784,0.0569189601384,0.077330213056,0.0814071867285,-1.19200364532
002,frame_equal,bin_1800_2099,1800,2100,208,0.02840264974,0.0700872124296,0.055562468328,0.0885840803036,-5.08919466345
002,frame_equal,bin_2100_2399,2100,2400,64,0.218144623024,0.0343685997992,0.281337565188,0.057715837149,0.975178121085
002,frame_equal,bin_2400_2699,2400,2700,221,0.0948359332391,0.0628731291816,0.162881482677,0.0955402951664,0.560474267146
002,frame_equal,bin_2700_2999,2700,3000,249,0.214549755446,0.117860081248,0.321764656965,0.20945364853,0.69822905379
002,frame_equal,extrap_top_v_lt_242,0,241.997693497,242,0.362037249309,0.158651977834,0.730880570828,0.330814411414,0.807963196639
002,frame_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,217,0.218879298913,0.126110701793,0.324520212237,0.209938354971,0.668033310843
002,v_region_equal,top_0_299,0,300,300,0.331779778406,0.127213316853,0.723774268972,0.302292329373,0.852983754721
002,v_region_equal,middle_300_2699,300,2700,1241,0.101953029064,0.0569922958198,0.233762757857,0.0938091163644,0.687512940544
002,v_region_equal,bottom_2700_2999,2700,3000,249,0.214549755446,0.105260394281,0.321764656965,0.181269869902,0.759301193286
002,v_region_equal,bin_0000_0299,0,300,300,0.331779778406,0.127213316853,0.723774268972,0.302292329373,0.852983754721
002,v_region_equal,bin_0300_0599,300,600,123,0.0877112155032,0.0244429275247,0.130255634265,0.0399042992123,0.922340215499
002,v_region_equal,bin_0600_0899,600,900,207,0.0916137952073,0.0324210290699,0.130356763362,0.0492595528707,0.874763234695
002,v_region_equal,bin_0900_1199,900,1200,165,0.0417371684227,0.0562079371044,0.0796655509538,0.0870861566871,-0.813632665219
002,v_region_equal,bin_1200_1499,1200,1500,97,0.080382770877,0.0925836105095,0.142790151968,0.121709375362,-0.32660698841
002,v_region_equal,bin_1500_1799,1500,1800,156,0.0384446862784,0.0599152938541,0.077330213056,0.0846222489678,-1.42886146568
002,v_region_equal,bin_1800_2099,1800,2100,208,0.02840264974,0.0704344660116,0.055562468328,0.0884569977253,-5.14968309821
002,v_region_equal,bin_2100_2399,2100,2400,64,0.218144623024,0.0386051964897,0.281337565188,0.0650338626842,0.968681387807
002,v_region_equal,bin_2400_2699,2400,2700,221,0.0948359332391,0.0506371372228,0.162881482677,0.0835898365008,0.714903132783
002,v_region_equal,bin_2700_2999,2700,3000,249,0.214549755446,0.105260394281,0.321764656965,0.181269869902,0.759301193286
002,v_region_equal,extrap_top_v_lt_242,0,241.997693497,242,0.362037249309,0.139939866794,0.730880570828,0.303487421922,0.850591123761
002,v_region_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,217,0.218879298913,0.112609109531,0.324520212237,0.181709221343,0.735309916725
003,point_equal,top_0_299,0,300,97,0.15523052518,0.0337806895154,0.210487847131,0.053009374075,0.952643154446
003,point_equal,middle_300_2699,300,2700,1360,0.0769122899507,0.071487674656,0.130201786116,0.0978390885265,0.136085313284
003,point_equal,bottom_2700_2999,2700,3000,73,0.308234720655,0.260591003109,0.35930011812,0.286549992967,0.285247439131
003,point_equal,bin_0000_0299,0,300,97,0.15523052518,0.0337806895154,0.210487847131,0.053009374075,0.952643154446
003,point_equal,bin_0300_0599,300,600,150,0.0751842126699,0.0188557394023,0.123359631451,0.037968483478,0.937102436479
003,point_equal,bin_0600_0899,600,900,208,0.0976528000057,0.0367482682085,0.140629676323,0.0544144059344,0.858386598617
003,point_equal,bin_0900_1199,900,1200,137,0.0405730920655,0.0450260980891,0.0667915983804,0.0735352073762,-0.231551034482
003,point_equal,bin_1200_1499,1200,1500,100,0.0506451959615,0.0727612475881,0.086571818635,0.0917931509623,-1.06406686588
003,point_equal,bin_1500_1799,1500,1800,273,0.0596065028127,0.0720947890095,0.137676810402,0.139983656088,-0.46291962633
003,point_equal,bin_1800_2099,1800,2100,96,0.0360132875147,0.0753385174162,0.0647879011818,0.0957580569052,-3.3763152842
003,point_equal,bin_2100_2399,2100,2400,205,0.041187800221,0.0724225402709,0.0733666108132,0.0887427226561,-2.09179231065
003,point_equal,bin_2400_2699,2400,2700,191,0.131233180074,0.120422436527,0.347741179711,0.279039060019,0.157970097812
003,point_equal,bin_2700_2999,2700,3000,73,0.308234720655,0.260591003109,0.35930011812,0.286549992967,0.285247439131
003,point_equal,extrap_top_v_lt_242,0,241.997693497,39,0.192789060905,0.0373813607137,0.226362604586,0.0518183509454,0.962403671437
003,point_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,41,0.307547365169,0.260675763266,0.360156876347,0.287163966772,0.281581865557
003,frame_equal,top_0_299,0,300,97,0.15523052518,0.0289896319296,0.210487847131,0.047143283289,0.965123640229
003,frame_equal,middle_300_2699,300,2700,1360,0.0769122899507,0.0721521566545,0.130201786116,0.0998520812513,0.119950400495
003,frame_equal,bottom_2700_2999,2700,3000,73,0.308234720655,0.263489325263,0.35930011812,0.28953102248,0.269259908122
003,frame_equal,bin_0000_0299,0,300,97,0.15523052518,0.0289896319296,0.210487847131,0.047143283289,0.965123640229
003,frame_equal,bin_0300_0599,300,600,150,0.0751842126699,0.0166530290024,0.123359631451,0.0332819241149,0.950939365061
003,frame_equal,bin_0600_0899,600,900,208,0.0976528000057,0.0397446009666,0.140629676323,0.057585476182,0.834351738835
003,frame_equal,bin_0900_1199,900,1200,137,0.0405730920655,0.0434279792557,0.0667915983804,0.0717916451358,-0.145679205412
003,frame_equal,bin_1200_1499,1200,1500,100,0.0506451959615,0.071423193864,0.086571818635,0.0904116618372,-0.988849964432
003,frame_equal,bin_1500_1799,1500,1800,273,0.0596065028127,0.0718184528834,0.137676810402,0.139910493209,-0.451726506901
003,frame_equal,bin_1800_2099,1800,2100,96,0.0360132875147,0.0756352342478,0.0647879011818,0.0960294712471,-3.41085494702
003,frame_equal,bin_2100_2399,2100,2400,205,0.041187800221,0.0737529404241,0.0733666108132,0.0902702284176,-2.20642794058
003,frame_equal,bin_2400_2699,2400,2700,191,0.131233180074,0.122560230939,0.347741179711,0.281790501038,0.127808528979
003,frame_equal,bin_2700_2999,2700,3000,73,0.308234720655,0.263489325263,0.35930011812,0.28953102248,0.269259908122
003,frame_equal,extrap_top_v_lt_242,0,241.997693497,39,0.192789060905,0.0318219647687,0.226362604586,0.0459483219999,0.972754849863
003,frame_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,41,0.307547365169,0.263619196273,0.360156876347,0.290095757571,0.265266161592
003,v_region_equal,top_0_299,0,300,97,0.15523052518,0.0162237500779,0.210487847131,0.0318321634057,0.989076841351
003,v_region_equal,middle_300_2699,300,2700,1360,0.0734577441051,0.0690644325339,0.125881199715,0.0917463712889,0.116037744005
003,v_region_equal,bottom_2700_2999,2700,3000,73,0.308234720655,0.252055789017,0.35930011812,0.277768077927,0.331301671518
003,v_region_equal,bin_0000_0299,0,300,97,0.15523052518,0.0162237500779,0.210487847131,0.0318321634057,0.989076841351
003,v_region_equal,bin_0300_0599,300,600,150,0.0751842126699,0.0162050006462,0.123359631451,0.0299171760519,0.953543681226
003,v_region_equal,bin_0600_0899,600,900,208,0.0976528000057,0.0456681071589,0.140629676323,0.0632019316154,0.781296052371
003,v_region_equal,bin_0900_1199,900,1200,137,0.0405730920655,0.0419288623953,0.0667915983804,0.0703206859564,-0.0679476043925
003,v_region_equal,bin_1200_1499,1200,1500,100,0.0506451959615,0.0706346430381,0.086571818635,0.0897001801421,-0.945176426335
003,v_region_equal,bin_1500_1799,1500,1800,273,0.0596065028127,0.0719159256611,0.137676810402,0.140117175779,-0.455669778714
003,v_region_equal,bin_1800_2099,1800,2100,96,0.0360132875147,0.07535371524,0.0647879011818,0.0958348703522,-3.37808110543
003,v_region_equal,bin_2100_2399,2100,2400,205,0.041187800221,0.0707997249758,0.0733666108132,0.0866169848812,-1.954785412
